"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Enfield","69","76","79","83","68","80","86","76","80","84","66","72","73","78"
"Essex","73","81","82","85","74","91","72","91","77","82","73","80","62","91"
"Gateshead","74","82","86","96","67","90","86","80","77","85","74","82","45","65"
"Gloucestershire","71","80","78","81","69","76","100","100","76","84","71","80","62","56"
"Greenwich","75","84","82","89","78","89","91","96","70","87","71","78","75","73"
"Hackney","77","85","84","90","75","87","91","88","79","83","75","86","81","76"
"Halton","69","77","50","N/A","N/A","100","N/A","N/A","78","93","69","77","0","100"
"Hammersmith and Fulham","77","82","83","86","72","76","100","100","78","83","80","84","69","81"
"Hampshire","78","84","78","89","73","83","92","96","80","86","78","84","78","82"
"Haringey","73","81","84","84","77","84","44","94","80","86","72","79","66","69"
"Harrow","75","82","80","87","72","80","60","100","77","84","71","77","61","68"
"Hartlepool","71","80","70","83","100","100","50","100","58","85","72","80","75","50"
"Havering","72","82","79","92","75","83","92","100","68","85","71","80","67","77"
"Herefordshire, County of","74","84","78","73","100","100","100","N/A","83","88","73","85","57","33"
"Hertfordshire","74","82","79","87","75","82","93","92","75","81","74","82","80","78"
"Hillingdon","71","81","76","86","73","79","67","100","74","84","68","79","69","76"
"Hounslow","76","84","83","88","70","83","100","83","82","88","73","83","73","81"
"Isle of Wight","64","76","67","100","0","N/A","100","N/A","65","74","64","76","0","N/A"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","71","80","76","83","65","74","100","100","74","77","73","85","68","75"
"Kensington and Chelsea","77","85","80","85","65","86","60","N/A","86","84","81","85","64","83"
"Kent","74","83","81","90","82","90","77","88","79","86","73","82","65","78"
"Kingston upon Hull, City of","68","76","95","74","75","59","100","100","66","74","68","77","64","67"
"Kingston upon Thames","76","84","75","84","65","82","79","100","77","86","78","84","73","75"
"Kirklees","68","77","66","78","72","67","100","57","61","75","69","78","69","65"
"Knowsley","66","77","89","86","89","75","100","100","57","77","65","77","60","80"
"Lambeth","75","83","77","90","73","84","83","90","77","85","77","82","76","77"
"Lancashire","71","79","70","77","70","87","74","86","69","82","71","79","71","52"
"Leeds","66","73","64","73","64","68","82","79","66","71","67","74","62","72"
"Leicester","67","74","73","80","68","76","64","88","65","76","61","68","63","79"
"Leicestershire","71","79","73","85","78","80","75","93","73","76","71","79","78","93"
"Lewisham","75","81","70","88","71","79","71","88","77","82","79","82","64","81"
"Lincolnshire","68","77","83","92","75","93","60","100","72","79","68","77","62","64"
"Liverpool","65","75","67","80","71","81","67","84","65","75","65","75","48","63"
"Luton","65","79","66","80","69","81","67","75","68","83","62","75","54","71"
"Manchester","67","77","67","76","71","83","91","87","70","82","67","77","62","67"
"Medway","73","83","77","93","86","88","88","100","75","85","71","82","87","78"
"Merton","75","82","79","88","76","83","77","75","70","81","75","79","66","73"
"Middlesbrough","63","73","61","75","76","90","67","0","71","79","64","74","42","36"
"Milton Keynes","71","81","79","88","73","80","100","75","73","89","69","79","67","73"
"Newcastle upon Tyne","72","80","67","81","66","80","81","83","76","82","74","80","60","84"
"Newham","76","83","79","86","76","86","78","82","76","85","70","77","82","81"
"Norfolk","69","78","76","82","69","74","73","79","73","78","69","78","58","77"
"North East Lincolnshire","66","77","89","67","50","80","100","100","82","72","66","77","50","71"
"North Lincolnshire","69","81","84","97","75","20","100","75","89","90","69","82","31","60"
"North Somerset","73","80","73","65","67","57","67","100","72","81","73","81","0","50"
"North Tyneside","74","82","78","84","75","83","100","100","76","86","74","82","56","67"
"North Yorkshire","71","79","79","79","58","91","67","60","74","83","71","79","53","71"
"Northamptonshire","70","78","72","78","67","80","88","92","71","75","70","78","60","85"
"Northumberland","76","85","93","78","100","100","100","75","81","92","75","85","71","80"
"Nottingham","64","74","67","75","73","77","71","100","66","75","63","74","59","67"
"Nottinghamshire","70","79","74","79","75","81","83","90","71","82","70","79","74","77"
"Oldham","64","73","59","71","64","70","69","33","66","77","68","76","55","39"
"Oxfordshire","73","80","74","80","67","77","87","92","73","83","73","81","56","67"
"Peterborough","62","74","65","74","74","80","67","75","61","79","62","74","63","78"
"Plymouth","66","79","57","100","64","67","82","100","59","84","67","78","39","71"
"Poole","75","82","84","91","67","80","100","0","76","70","75","83","75","75"
"Portsmouth","68","79","79","83","81","74","86","100","74","83","67","79","46","80"
"Reading","74","77","83","82","67","79","83","86","78","76","73","76","61","85"
"Redbridge","79","84","83","88","79","80","88","100","77","84","73","78","72","86"
"Redcar and Cleveland","73","81","67","100","67","0","100","N/A","91","76","72","81","33","0"
"Richmond upon Thames","81","87","83","92","79","68","80","90","83","88","82","87","66","100"
"Rochdale","67","77","64","75","69","81","71","100","64","76","69","78","63","68"
"Rotherham","69","77","73","81","66","86","50","60","68","80","69","76","46","67"
"Rutland","70","82","80","67","100","67","N/A","N/A","88","100","68","82","N/A","100"
"Salford","69","80","71","88","77","83","50","67","70","83","69","80","64","76"
"Sandwell","67","75","72","78","73","78","67","82","66","81","64","73","51","61"
"Sefton","68","78","63","75","50","40","67","100","61","87","69","78","45","55"
"Sheffield","68","76","71","78","65","78","81","79","65","76","69","77","63","70"
"Shropshire","71","78","79","79","100","80","100","50","65","80","71","78","67","N/A"
"Slough","71","82","78","87","62","84","100","100","72","83","63","76","63","82"
"Solihull","73","81","73","90","63","78","86","100","74","84","73","80","85","70"
"Somerset","72","81","71","90","83","89","83","83","78","81","72","81","45","82"
"South Gloucestershire","74","85","85","95","88","87","80","100","75","89","73","85","50","70"
"South Tyneside","74","81","75","83","67","67","100","83","57","73","74","83","80","63"
"Southampton","71","82","73","83","75","82","73","100","72","84","71","82","65","74"
"Southend-on-Sea","72","80","78","62","74","92","100","75","78","81","71","82","64","75"
"Southwark","74","83","78","87","73","83","87","90","75","86","77","84","65","71"
"St. Helens","68","78","67","92","60","50","100","80","63","88","69","77","13","83"
"Staffordshire","74","83","69","84","67","76","81","89","73","89","74","83","50","68"
"Stockport","72","78","69","70","65","82","100","89","71","68","73","79","60","67"
"Stockton-on-Tees","73","82","72","80","84","92","40","100","74","84","73","83","50","50"
"Stoke-on-Trent","67","76","68","76","68","72","77","86","76","85","68","76","50","57"
"Suffolk","68","78","70","88","80","79","100","100","68","80","69","78","72","79"
"Sunderland","71","81","71","80","100","92","82","75","60","82","71","82","75","88"
"Surrey","75","83","75","83","71","83","90","82","79","87","74","83","68","81"
"Sutton","75","85","85","93","76","93","86","96","73","81","74","83","63","90"
"Swindon","73","82","72","87","86","98","100","83","73","81","73","81","64","73"
"Tameside","66","79","69","75","64","81","75","75","71","81","66","80","63","73"
"Telford and Wrekin","72","80","75","88","69","81","100","100","73","75","73","80","50","N/A"
"Thurrock","73","80","81","85","82","86","100","100","70","83","71","79","81","64"
"Torbay","67","80","71","75","N/A","100","100","100","59","82","68","80","40","33"
"Tower Hamlets","72","81","72","82","76","89","78","89","73","75","72","77","66","69"
"Trafford","75","82","75","82","71","75","70","93","71","82","75","83","78","70"
"Wakefield","69","77","71","79","74","72","100","86","71","69","68","77","65","67"
"Walsall","67","78","71","83","67","82","67","73","69","80","67","77","52","67"
"Waltham Forest","76","83","81","85","71","83","94","94","78","83","75","83","79","78"
"Wandsworth","79","85","74","84","75","82","83","100","79","82","83","89","80","71"
"Warrington","71","81","84","89","75","100","100","100","63","74","71","81","73","78"
"Warwickshire","73","82","77","87","78","82","85","90","75","86","72","82","79","70"
"West Berkshire","73","83","73","91","91","73","50","100","78","85","73","83","75","83"
"West Sussex","70","79","70","81","68","75","90","89","70","82","71","79","48","73"
"Westminster","74","84","76","84","80","77","67","83","79","89","74","90","69","80"
"Wigan","70","80","75","59","60","84","73","80","76","90","70","81","53","61"
"Wiltshire","72","79","83","81","65","83","86","100","74","72","72","80","67","67"
"Windsor and Maidenhead","78","84","76","77","83","88","100","100","83","96","78","85","62","85"
"Wirral","68","78","76","86","89","100","75","100","74","83","67","78","80","50"
"Wokingham","78","85","82","91","85","93","83","87","78","80","76","84","63","67"
"Wolverhampton","69","78","77","84","76","79","75","83","68","77","66","77","62","73"
"Worcestershire","71","80","69","82","80","92","56","80","73","83","71","80","88","50"
"York","74","79","75","88","N/A","100","80","50","77","79","74","79","54","86"
