"Measure","Time","Ethnicity","Value","Value_type","Denominator","Numerator","CI"
"Percentage self-employed in the labour force","2015","Asian","16.3","%","1890000","308900","3.3"
"Percentage self-employed in the labour force","2015","Black","11.0","%","865700","95500","5.5"
"Percentage self-employed in the labour force","2015","Indian","13.7","%","813800","111800","5.2"
"Percentage self-employed in the labour force","2015","Mixed/Multiple ethnic groups","11.4","%","298400","34200","7.3"
"Percentage self-employed in the labour force","2015","Other Asian (inc. Chinese)","14.0","%","485200","67800","6.9"
"Percentage self-employed in the labour force","2015","Other ethnic group","16.2","%","440900","71600","7.1"
"Percentage self-employed in the labour force","2015","Pakistani/ Bangladeshi","21.9","%","591000","129400","5.7"
"Percentage self-employed in the labour force","2015","White","14.8","%","27559500","4088500","0.7"
"Percentage self-employed in the labour force","2015","White British","14.6","%","24818100","3622500","0.8"
"Percentage self-employed in the labour force","2015","White Other","17.0","%","2739900","465400","2.6"
"Percentage self-employed in the labour force","2016","All","15.3","%","31424900","4796700","0.5"
"Percentage self-employed in the labour force","2016","Asian","16.9","%","2006900","339600","3.3"
"Percentage self-employed in the labour force","2016","Black","10.8","%","892600","96500","5.4"
"Percentage self-employed in the labour force","2016","Indian","14.1","%","842600","118600","5.3"
"Percentage self-employed in the labour force","2016","Mixed/Multiple ethnic groups","14.6","%","329300","48100","7.4"
"Percentage self-employed in the labour force","2016","Other Asian (inc. Chinese)","15.1","%","524500","79200","6.8"
"Percentage self-employed in the labour force","2016","Other ethnic group","18.2","%","476300","86900","7.0"
"Percentage self-employed in the labour force","2016","Pakistani/ Bangladeshi","22.2","%","639700","141800","5.6"
"Percentage self-employed in the labour force","2016","White","15.2","%","27720800","4225600","0.8"
"Percentage self-employed in the labour force","2016","White British","14.9","%","24723000","3688700","0.8"
"Percentage self-employed in the labour force","2016","White Other","17.9","%","2996800","536900","2.6"
"Percentage self-employed in the labour force","2017","All","15.2","%","31875000","4842500","0.5"
"Percentage self-employed in the labour force","2017","Asian","17.1","%","2051500","350200","3.3"
"Percentage self-employed in the labour force","2017","Black","12.3","%","866700","106600","5.6"
"Percentage self-employed in the labour force","2017","Indian","12.8","%","849300","108900","5.2"
"Percentage self-employed in the labour force","2017","Mixed/Multiple ethnic groups","13.7","%","366400","50000","7.0"
"Percentage self-employed in the labour force","2017","Other Asian (inc. Chinese)","15.2","%","542900","82600","6.7"
"Percentage self-employed in the labour force","2017","Other ethnic group","17.2","%","495800","85200","7.0"
"Percentage self-employed in the labour force","2017","Pakistani/ Bangladeshi","24.1","%","659400","158700","5.6"
"Percentage self-employed in the labour force","2017","White","15.1","%","28095900","4251300","0.8"
"Percentage self-employed in the labour force","2017","White British","14.8","%","24929200","3694900","0.8"
"Percentage self-employed in the labour force","2017","White Other","17.6","%","3165400","555600","2.5"
"Percentage self-employed in the labour force","2018","All","15.1","%","32110900","4838900","0.5"
"Percentage self-employed in the labour force","2018","Asian","15.8","%","2118800","334700","3.3"
"Percentage self-employed in the labour force","2018","Black","11.2","%","955000","106800","5.6"
"Percentage self-employed in the labour force","2018","Indian","13.2","%","876200","115500","5.3"
"Percentage self-employed in the labour force","2018","Mixed/Multiple ethnic groups","11.4","%","370100","42400","7.1"
"Percentage self-employed in the labour force","2018","Other Asian (inc. Chinese)","13.9","%","524100","72900","6.8"
"Percentage self-employed in the labour force","2018","Other ethnic group","19.0","%","500200","95200","7.1"
"Percentage self-employed in the labour force","2018","Pakistani/ Bangladeshi","20.4","%","718600","146300","5.5"
"Percentage self-employed in the labour force","2018","White","15.1","%","28169700","4260000","0.8"
"Percentage self-employed in the labour force","2018","White British","14.9","%","25051300","3723000","0.8"
"Percentage self-employed in the labour force","2018","White Other","17.2","%","3115600","536800","2.6"
"Percentage self-employed in the labour force","2019","All","15.3","%","32525700","4973200","0.3"
"Percentage self-employed in the labour force","2019","Asian","17.5","%","2178600","380700","1.1"
"Percentage self-employed in the labour force","2019","Black","11.2","%","1014700","113500","1.3"
"Percentage self-employed in the labour force","2019","Indian","14.7","%","916400","134300","1.6"
"Percentage self-employed in the labour force","2019","Mixed","14.0","%","374200","52500","2.4"
"Percentage self-employed in the labour force","2019","White","15.2","%","28419900","4318600","0.3"
"Percentage self-employed in the labour force","2019","White British","14.9","%","25156600","3746400","0.3"
"Percentage self-employed in the labour force","2019","White Other","17.5","%","3259700","570700","1.0"
"Percentage self-employed in the labour force","2019","Black","11.2","%","1014700","113500","1.3"
"Percentage self-employed in the labour force","2019","Other","20.1","%","523800","105100","2.4"
"Percentage self-employed in the labour force","2019","Asian Other","14.6","%","543500","79600","2.0"
"Percentage self-employed in the labour force","2019","Pakistani, Bangladeshi","23.2","%","718700","166900","2.0"
"Percentage self-employed in the labour force","2020","All","14.0","%","31460100","4415100","n/a"
"Percentage self-employed in the labour force","2020","Asian","14.7","%","2131600","313200","n/a"
"Percentage self-employed in the labour force","2020","Black","10.9","%","988500","107600","n/a"
"Percentage self-employed in the labour force","2020","Indian","12.1","%","950500","114700","n/a"
"Percentage self-employed in the labour force","2020","Mixed","13.2","%","451700","59700","n/a"
"Percentage self-employed in the labour force","2020","White","14.1","%","27408000","3874200","n/a"
"Percentage self-employed in the labour force","2020","White British","14.0","%","24847400","3470900","n/a"
"Percentage self-employed in the labour force","2020","White Irish","14.6","%","226600","33100","n/a"
"Percentage self-employed in the labour force","2020","White Other","15.9","%","2334600","370400","n/a"
"Percentage self-employed in the labour force","2020","Black","10.9","%","988500","107600","n/a"
"Percentage self-employed in the labour force","2020","Other","12.6","%","479600","60300","n/a"
"Percentage self-employed in the labour force","2020","Asian Other","14.1","%","565200","79500","n/a"
"Percentage self-employed in the labour force","2020","Pakistani, Bangladeshi","19.3","%","615900","119000","n/a"
"Percentage self-employed in the labour force","2021","All","13.3","%","31208400","4155000","n/a"
"Percentage self-employed in the labour force","2021","Asian","13.3","%","2210000","293700","n/a"
"Percentage self-employed in the labour force","2021","Black","9.8","%","987500","96600","n/a"
"Percentage self-employed in the labour force","2021","Indian","11.4","%","967300","110100","n/a"
"Percentage self-employed in the labour force","2021","Mixed","12.3","%","453300","55800","n/a"
"Percentage self-employed in the labour force","2021","White","13.4","%","27051600","3629900","n/a"
"Percentage self-employed in the labour force","2021","White British","13.2","%","24847400","3470900","n/a"
"Percentage self-employed in the labour force","2021","White Irish","13.6","%","198000","26900","n/a"
"Percentage self-employed in the labour force","2021","White Other","16.1","%","2340700","375800","n/a"
"Percentage self-employed in the labour force","2021","Black","9.8","%","987500","96600","n/a"
"Percentage self-employed in the labour force","2021","Other","15.6","%","504900","78800","n/a"
"Percentage self-employed in the labour force","2021","Asian Other","13.2","%","592100","78100","n/a"
"Percentage self-employed in the labour force","2021","Pakistani, Bangladeshi","16.2","%","650600","105600","n/a"
