"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Sample size"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","White","ONS 2011 5+1","England","32.9","31.6","34.2","9050"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","Mixed","ONS 2011 5+1","England","49.8","37.9","61.7","99"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","Asian","ONS 2011 5+1","England","49.3","43.1","55.6","367"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","Black","ONS 2011 5+1","England","44.9","36.5","53.6","239"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","Other","ONS 2011 5+1","England","38.9","24.6","55.4","52"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2014/15","Year","All","ONS 2011 5+1","England","34.5","35.8","33.2","9,817"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","White","ONS 2011 5+1","England","31.6","30.4","32.9","9312"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Mixed","ONS 2011 5+1","England","40.4","30.4","51.3","119"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Asian","ONS 2011 5+1","England","46.6","41","52.3","434"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Black","ONS 2011 5+1","England","47.6","39.4","55.8","242"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","Other","ONS 2011 5+1","England","38.5","24.2","55.1","55"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2015/16","Year","All","ONS 2011 5+1","England","33.4","34.6","32.2","10,171"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2016/17","Year","White","ONS 2011 5+1","England","32.3","31.1","33.6","8473"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2016/17","Year","Mixed","ONS 2011 5+1","England","41.6","32.4","51.4","170"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2016/17","Year","Asian","ONS 2011 5+1","England","47.7","41.9","53.5","423"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2016/17","Year","Black","ONS 2011 5+1","England","44.0","35.2","53.3","242"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2016/17","Year","Other","ONS 2011 5+1","England","?","?","?","27"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2016/17","Year","All","ONS 2011 5+1","England","34.0","35.3","32.8","9,352"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","White","White & other","England","47.2","48.8","45.6","24,038"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","Other","White & other","England","57.5","59.6","55.4","4,047"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2005/06","Year","All","White & other","England","48.2","48.9","47.5","28,117"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2006/07","Year","White","White & other","England","44.9","45.8","44","21,317"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2006/07","Year","Other","White & other","England","56.7","59.1","54.3","2,829"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2006/07","Year","All","White & other","England","46.1","47","45.3","24,174"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2007/08","Year","White","White & other","England","43.6","44.5","42.7","22,794"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2007/08","Year","Other","White & other","England","57.9","60.3","55.4","2,880"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2007/08","Year","All","White & other","England","45","45.9","44.2","25,720"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2008/09","Year","White","White & other","England","40.1","41.3","38.9","9,728"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2008/09","Year","Other","White & other","England","50.2","54.1","46.3","1,010"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2008/09","Year","All","White & other","England","41.1","42","40.2","10,752"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2009/10","Year","White","White & other","England","37.9","39.6","36.2","5,455"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2009/10","Year","Other","White & other","England","50.6","56.4","44.9","630"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2009/10","Year","All","White & other","England","39.4","41.2","37.7","6,097"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","White","White & other","England","38.3","39.4","37.3","12,617"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","Other","White & other","England","50","52.8","47.1","1,457"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2010/11","Year","All","White & other","England","39.7","40.6","38.7","14,102"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2011/12","Year","White","White & other","England","37.8","39.1","36.4","8,301"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2011/12","Year","Other","White & other","England","46.5","50.5","42.6","871"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2011/12","Year","All","White & other","England","38.8","40","37.6","9,188"
