"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Lancashire","13.9","11,631","16.9","1,347","12.2","41","58.3","36","14.7","258","13.3","9,797"
"Leeds","15.0","7,598","16.1","956","12.0","476","47.4","38","14.6","369","15.6","5,344"
"Leicester","12.7","3,511","17.9","1,719","11.2","365","14.3","7","10.0","229","5.6","1,108"
"Leicestershire","14.4","6,837","28.3","547","12.8","78","41.7","12","15.4","260","13.1","5,877"
"Lewisham","16.3","2,104","16.0","125","9.8","902","24.0","25","17.8","297","24.3","596"
"Lincolnshire","19.7","7,255","65.0","80","41.9","31","48.0","25","29.0","162","18.8","6,878"
"Liverpool","14.4","4,461","35.9","128","10.5","181","40.9","44","15.8","228","13.5","3,748"
"Luton","10.8","2,567","14.2","1,177","5.0","282","50.0","8","10.4","183","7.4","863"
"Manchester","12.7","4,734","17.8","1,068","11.2","815","31.1","45","12.0","375","10.4","2,081"
"Medway","15.1","2,899","28.2","156","21.8","124","42.9","7","20.6","136","13.7","2,424"
"Merton","23.9","1,404","27.2","232","15.3","261","40.0","10","12.8","149","28.4","677"
"Middlesbrough","9.0","1,337","16.9","177","27.8","18","~0","2","11.4","44","7.1","1,021"
"Milton Keynes","14.4","2,774","19.2","240","10.4","376","45.5","11","12.0","192","14.5","1,892"
"Newcastle upon Tyne","16.7","2,438","25.7","268","16.5","91","50.0","16","31.2","77","14.5","1,906"
"Newham","22.9","3,745","27.5","1,710","18.8","890","44.4","9","23.8","210","16.0","657"
"Norfolk","12.8","7,486","31.9","94","12.5","88","33.3","18","16.0","181","12.5","6,995"
"North East Lincolnshire","13.3","1,558","20.0","15","33.3","3","50.0","2","13.0","23","14.6","1,360"
"North Lincolnshire","14.6","1,680","14.3","70","~0","10","33.3","3","16.0","25","14.8","1,526"
"North Somerset","14.8","2,085","12.5","32","~0","15","50.0","4","16.7","54","14.8","1,970"
"North Tyneside","16.9","1,879","20.6","34","11.1","9","~0","5","40.0","30","16.6","1,782"
"North Yorkshire","19.6","5,971","34.2","111","29.2","24","40.0","5","23.6","110","19.3","5,654"
"Northamptonshire","14.4","7,323","21.3","343","10.5","334","28.6","28","13.2","333","14.2","6,196"
"Northumberland","12.7","3,056","22.0","41","16.7","6","~0","3","10.3","39","12.7","2,933"
"Nottingham","8.8","2,539","12.6","467","7.7","285","9.1","11","8.3","240","7.6","1,441"
"Nottinghamshire","16.2","7,494","31.5","213","18.9","90","45.8","24","13.4","277","15.6","6,792"
"Oldham","9.0","2,957","4.1","894","15.3","85","57.1","7","8.4","107","11.3","1,781"
"Oxfordshire","17.0","5,886","10.6","293","9.5","126","60.0","25","17.9","324","17.6","4,944"
"Peterborough","12.1","2,305","14.5","365","13.8","80","42.9","7","13.8","130","11.1","1,679"
"Plymouth","14.3","2,480","45.0","20","20.0","15","38.5","13","17.0","47","13.6","2,339"
"Poole","22.8","1,306","26.3","38","~0","4","28.6","7","26.4","53","22.7","1,188"
"Portsmouth","13.3","1,686","26.0","96","22.2","45","60.0","5","9.8","61","11.6","1,437"
"Reading","27.1","1,076","40.8","211","10.3","87","90.0","20","28.6","91","22.2","621"
"Redbridge","24.9","3,508","31.2","1,858","14.2","507","66.7","24","21.2","231","17.3","797"
"Redcar and Cleveland","11.9","1,517","7.7","26","50.0","2","33.3","3","31.3","16","11.7","1,459"
"Richmond upon Thames","31.1","1,479","37.8","111","12.9","62","33.3","6","25.5","145","32.4","1,110"
"Rochdale","6.8","2,231","9.6","617","9.1","66","12.5","8","6.8","74","5.5","1,430"
"Rotherham","10.7","3,141","8.5","272","17.9","28","50.0","8","8.8","68","10.8","2,739"
"Rutland","14.2","459","25.0","4","25.0","4","N/A","0","30.0","10","13.7","439"
"Salford","10.7","2,082","26.2","42","13.3","90","20.0","5","14.1","99","10.0","1,786"
"Sandwell","6.4","3,634","8.6","1,066","3.5","318","25.0","4","6.6","241","5.6","1,896"
"Sefton","12.4","2,855","15.2","33","21.4","14","33.3","6","11.7","60","12.4","2,662"
"Sheffield","14.0","4,993","12.7","550","7.8","230","47.4","19","10.9","294","14.5","3,683"
"Shropshire","15.0","2,850","10.7","28","25.0","8","36.4","11","13.8","58","14.9","2,695"
"Slough","23.9","1,679","25.9","891","18.0","139","50.0","6","29.3","133","19.6","429"
"Solihull","16.1","2,917","19.1","319","11.4","88","42.9","7","8.7","218","16.4","2,204"
"Somerset","12.1","4,606","4.8","42","~0","10","22.2","9","20.2","84","12.0","4,421"
"South Gloucestershire","13.8","2,498","21.3","75","10.3","39","60.0","5","19.2","99","13.3","2,251"
"South Tyneside","12.1","1,462","29.3","58","42.9","7","~0","1","20.0","25","11.3","1,324"
"Southampton","13.4","1,893","14.8","203","14.6","48","50.0","6","17.5","103","12.7","1,511"
"Southend-on-Sea","28.3","2,019","52.0","200","52.6","133","69.2","13","22.9","83","23.5","1,565"
"Southwark","24.3","2,386","31.9","138","20.2","1,064","46.7","30","28.1","260","26.0","645"
"St. Helens","11.8","1,732","7.1","14","16.7","6","66.7","3","20.7","29","11.9","1,634"
"Staffordshire","11.9","8,288","12.5","287","14.0","43","52.6","19","7.4","229","11.9","7,642"
"Stockport","17.5","2,571","25.2","151","7.4","27","18.8","16","22.2","108","17.1","2,239"
"Stockton-on-Tees","15.3","1,929","26.5","117","6.7","15","20.0","5","22.0","41","14.5","1,739"
"Stoke-on-Trent","8.1","2,168","9.3","355","10.6","66","40.0","5","10.0","80","7.5","1,636"
"Suffolk","12.4","6,775","24.1","116","9.1","55","33.3","6","12.2","263","12.1","6,206"
"Sunderland","14.3","2,608","34.4","96","21.4","14","25.0","4","15.2","33","13.4","2,446"
"Surrey","22.1","9,841","26.2","604","11.8","195","41.9","31","24.0","495","21.7","8,356"
"Sutton","37.4","2,719","59.6","636","28.1","224","77.5","40","41.6","238","27.5","1,519"
"Swindon","11.1","2,029","13.9","238","10.0","40","~0","2","8.7","92","10.9","1,605"
"Tameside","11.3","2,512","11.3","302","9.5","42","28.6","7","12.5","88","11.3","2,053"
"Telford and Wrekin","17.7","1,934","28.3","127","23.5","51","54.5","11","12.5","80","16.7","1,654"
"Thurrock","10.3","1,634","26.8","71","16.0","162","50.0","12","12.9","70","8.4","1,271"
"Torbay","19.6","1,409","44.4","18","~0","3","71.4","7","36.4","33","19.7","1,267"
"Tower Hamlets","17.3","2,721","20.9","1,865","11.3","302","25.0","4","7.2","111","9.0","299"
"Trafford","33.9","2,850","39.8","377","29.5","95","70.7","41","28.1","185","32.6","2,079"
"Wakefield","9.9","3,406","11.2","125","17.4","46","30.0","10","17.7","79","9.4","3,123"
"Walsall","14.8","3,233","21.8","716","16.9","160","50.0","4","16.1","180","12.0","2,142"
"Waltham Forest","15.6","2,484","15.7","743","11.5","546","53.8","13","16.0","237","16.8","840"
"Wandsworth","27.1","1,707","27.5","334","17.7","475","71.4","7","33.5","224","30.8","565"
"Warrington","17.3","2,365","33.3","51","~0","14","40.0","10","17.6","68","17.0","2,184"
"Warwickshire","20.3","5,466","40.3","293","22.0","41","44.4","18","23.4","205","19.1","4,809"
"West Berkshire","21.0","1,741","22.9","48","13.8","29","66.7","3","16.2","68","21.5","1,562"
"West Sussex","15.9","7,578","22.7","330","8.7","115","22.7","22","14.3","286","15.7","6,736"
"Westminster","26.5","1,495","20.8","216","16.7","353","66.7","15","29.3","133","38.8","371"
"Wigan","10.2","3,221","27.6","29","12.5","32","25.0","8","3.6","55","10.2","3,070"
"Wiltshire","16.2","4,631","26.8","56","11.1","45","41.7","12","23.1","121","16.2","4,241"
"Windsor and Maidenhead","24.1","1,489","18.2","192","25.8","31","60.0","5","30.6","121","24.7","1,090"
"Wirral","23.0","3,237","59.3","59","16.7","6","43.8","16","31.8","85","22.0","3,035"
"Wokingham","26.8","1,636","27.6","185","19.3","57","35.7","14","18.0","89","27.7","1,253"
"Wolverhampton","10.8","2,612","19.0","578","7.5","266","28.6","7","7.8","269","8.5","1,454"
"Worcestershire","15.5","5,273","16.3","196","20.8","24","46.2","13","16.8","167","15.4","4,830"
"York","21.2","1,620","25.0","28","18.2","11","33.3","3","25.0","40","21.0","1,521"
