"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Coventry","12.3","8.2","16.7","19.1","12.5","25.9","10.1","6.4","14.1","33.3","25.0","50.0","9.9","8.0","12.0","10.6","7.0","14.2"
"Croydon","16.0","11.4","20.3","17.2","13.0","21.4","12.0","6.2","17.5","61.5","50.0","71.4","18.4","15.0","21.4","17.9","13.3","21.9"
"Cumbria","15.0","11.2","18.9","26.7","21.4","31.3","13.3","15.4","~0","46.7","44.4","50.0","22.0","14.8","28.1","14.7","10.8","18.7"
"Darlington","16.0","14.1","18.0","15.6","18.2","14.3","20.0","~0","33.3","~0","~0","~0","18.8","15.4","21.1","15.7","13.4","18.3"
"Derby","15.5","12.1","19.2","19.3","17.2","21.4","15.6","10.9","20.0","25.0","25.0","25.0","14.4","10.9","20.3","14.7","11.2","18.5"
"Derbyshire","13.3","9.0","17.8","17.1","12.2","24.1","18.5","25.0","9.1","33.3","33.3","33.3","13.5","7.0","20.0","13.2","8.9","17.6"
"Devon","14.2","10.9","17.8","26.1","37.5","20.0","~0","~0","~0","46.2","60.0","37.5","11.0","11.9","10.0","14.2","10.7","18.1"
"Doncaster","7.4","5.5","9.5","13.7","11.1","17.1","3.7","7.1","~0","20.0","~0","33.3","8.8","4.9","14.8","7.1","5.3","9.0"
"Dorset","16.4","13.3","20.0","35.7","43.8","25.0","28.6","25.0","33.3","33.3","33.3","33.3","22.8","19.2","29.6","16.2","12.9","19.8"
"Dudley","11.6","7.7","15.7","16.2","10.1","22.1","11.0","6.3","17.6","75.0","100.0","50.0","14.4","9.4","20.0","10.9","7.5","14.4"
"Ealing","27.5","22.4","32.3","23.1","19.7","26.1","16.3","10.8","21.8","81.8","87.5","66.7","35.1","25.5","44.0","36.4","31.2","41.7"
"East Riding of Yorkshire","14.8","10.2","19.5","57.1","40.0","100.0","~0","~0","N/A","~0","~0","N/A","17.2","9.4","26.9","14.7","10.1","19.4"
"East Sussex","12.9","9.6","16.5","32.5","23.3","38.0","12.0","20.0","~0","41.7","66.7","33.3","14.2","11.3","16.5","12.5","9.2","16.1"
"Enfield","19.3","15.0","23.8","40.1","31.8","49.3","12.9","8.1","17.9","82.4","62.5","100.0","23.2","20.5","26.3","17.4","14.2","20.8"
"Essex","14.7","11.4","18.2","41.6","36.0","48.8","21.8","11.9","30.3","56.1","45.0","66.7","15.9","14.9","17.0","13.4","10.3","16.7"
"Gateshead","16.2","12.5","20.0","27.3","22.6","38.5","14.3","~0","30.0","60.0","100.0","50.0","30.0","14.3","38.5","15.2","12.0","18.5"
"Gloucestershire","19.8","15.9","23.9","33.5","23.7","45.6","18.3","20.0","16.7","53.3","37.5","71.4","23.4","21.2","25.4","19.0","15.1","23.1"
"Greenwich","15.3","11.2","19.5","15.7","15.1","16.5","14.1","8.0","20.1","31.3","30.0","33.3","15.9","8.4","24.1","15.6","12.6","18.6"
"Hackney","22.3","19.2","24.8","25.2","21.3","28.7","17.5","11.7","21.8","33.3","~0","60.0","22.7","21.2","24.1","25.7","23.3","27.5"
"Halton","14.5","11.1","17.9","25.0","50.0","~0","N/A","N/A","N/A","~0","N/A","~0","29.0","33.3","23.1","13.9","10.2","17.7"
"Hammersmith and Fulham","32.4","25.7","38.9","26.3","19.0","35.3","19.4","16.6","22.0","33.3","28.6","40.0","29.4","15.8","40.6","43.6","34.0","53.2"
"Hampshire","16.0","12.4","19.8","24.1","16.9","32.7","16.3","12.7","20.0","16.2","16.7","15.8","23.5","22.0","25.0","15.4","11.9","19.2"
"Haringey","19.3","15.6","22.9","22.8","14.7","30.1","8.8","4.7","13.5","55.6","60.0","50.0","23.9","17.4","30.1","22.6","21.1","24.1"
"Harrow","24.5","18.1","30.6","30.6","23.5","37.9","16.4","7.2","23.7","25.0","~0","50.0","26.9","22.4","31.7","18.9","14.1","23.3"
"Hartlepool","9.1","4.9","13.2","24.0","15.4","33.3","25.0","N/A","25.0","~0","N/A","~0","17.6","22.2","12.5","8.5","4.3","12.7"
"Havering","19.2","16.0","22.6","27.4","25.7","29.2","20.2","13.0","27.0","57.1","50.0","60.0","15.4","19.0","10.9","18.8","15.9","21.9"
"Herefordshire, County of","14.9","10.0","20.1","57.1","~0","80.0","~0","~0","~0","50.0","50.0","N/A","16.2","23.1","12.5","14.7","9.9","19.9"
"Hertfordshire","25.0","20.4","29.8","39.8","31.4","49.7","18.6","14.2","22.9","50.8","42.9","56.8","26.9","25.7","28.1","23.6","19.2","28.2"
"Hillingdon","18.7","13.8","23.9","29.9","22.2","37.2","13.3","9.4","17.1","25.0","33.3","~0","17.1","12.8","22.0","13.6","9.4","18.1"
"Hounslow","27.1","22.1","32.4","34.2","26.6","41.5","21.7","16.6","27.3","66.7","N/A","66.7","21.5","17.5","26.1","25.7","23.2","28.4"
"Isle of Wight","8.1","6.7","9.6","~0","N/A","~0","~0","N/A","~0","N/A","N/A","N/A","~0","~0","~0","8.3","6.8","9.9"
"Isles of Scilly","40.0","12.5","71.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","~0","~0","N/A","38.5","14.3","66.7"
"Islington","17.4","18.4","16.3","19.6","28.9","10.1","11.6","11.0","12.2","55.6","60.0","50.0","17.7","17.4","18.1","19.8","19.8","19.8"
"Kensington and Chelsea","12.0","14.1","9.3","14.6","27.8","4.3","8.3","10.0","5.9","50.0","N/A","50.0","14.3","16.1","12.3","16.2","19.9","9.6"
"Kent","20.8","15.2","26.7","39.6","31.0","49.4","33.8","29.1","39.4","52.6","37.0","66.7","28.6","19.5","37.6","19.0","13.7","24.6"
"Kingston upon Hull, City of","11.4","9.4","13.7","8.8","5.3","13.3","13.9","5.6","22.2","100.0","100.0","100.0","23.6","18.5","28.6","11.5","9.5","13.9"
"Kingston upon Thames","40.5","36.1","44.5","58.6","52.5","64.2","22.4","16.2","28.2","75.0","66.7","77.8","29.1","25.0","32.9","34.8","31.8","37.6"
"Kirklees","14.2","9.5","19.1","15.1","9.9","20.0","5.0","4.8","5.3","60.0","42.9","75.0","9.1","5.3","13.2","14.5","9.6","19.4"
"Knowsley","7.3","4.5","10.2","~0","~0","~0","~0","~0","N/A","~0","~0","N/A","~0","~0","~0","7.6","4.7","10.5"
"Lambeth","17.5","13.0","22.1","19.8","20.6","18.2","14.8","9.6","19.7","50.0","50.0","50.0","15.1","11.9","19.6","23.3","17.0","30.0"
"Lancashire","13.9","10.5","17.3","16.9","11.5","22.4","12.2","18.2","5.3","58.3","53.8","60.9","14.7","9.6","20.3","13.3","10.3","16.4"
"Leeds","15.0","11.4","18.8","16.1","10.0","24.4","12.0","6.6","17.5","47.4","41.2","52.4","14.6","12.5","16.8","15.6","12.4","19.0"
"Leicester","12.7","8.2","17.5","17.9","12.5","23.9","11.2","6.0","16.6","14.3","~0","25.0","10.0","3.4","16.8","5.6","2.8","8.6"
"Leicestershire","14.4","10.3","18.8","28.3","21.7","35.2","12.8","14.6","10.8","41.7","50.0","37.5","15.4","12.0","18.9","13.1","9.1","17.3"
"Lewisham","16.3","11.1","21.4","16.0","7.1","27.3","9.8","5.4","14.2","24.0","20.0","30.0","17.8","15.7","19.7","24.3","17.0","31.5"
"Lincolnshire","19.7","15.9","23.8","65.0","57.1","71.1","41.9","15.4","61.1","48.0","41.2","62.5","29.0","27.4","30.3","18.8","15.1","22.8"
"Liverpool","14.4","10.6","18.1","35.9","34.4","37.3","10.5","3.3","18.0","40.9","41.7","40.0","15.8","13.5","17.7","13.5","9.6","17.2"
"Luton","10.8","9.9","11.6","14.2","13.8","14.6","5.0","4.3","5.7","50.0","~0","80.0","10.4","5.8","14.4","7.4","7.3","7.6"
"Manchester","12.7","7.6","18.0","17.8","7.6","28.1","11.2","4.7","17.7","31.1","32.0","30.0","12.0","9.3","14.8","10.4","7.7","13.0"
"Medway","15.1","12.8","17.4","28.2","24.7","31.6","21.8","8.5","29.9","42.9","25.0","66.7","20.6","15.9","25.4","13.7","12.0","15.3"
"Merton","23.9","19.8","28.3","27.2","17.2","37.1","15.3","11.6","18.6","40.0","50.0","25.0","12.8","12.0","13.6","28.4","25.0","31.8"
"Middlesbrough","9.0","6.2","11.8","16.9","7.2","25.5","27.8","12.5","40.0","~0","~0","N/A","11.4","6.3","14.3","7.1","5.8","8.5"
"Milton Keynes","14.4","10.7","18.3","19.2","14.6","23.9","10.4","5.8","15.1","45.5","75.0","28.6","12.0","6.4","19.3","14.5","11.3","17.8"
"Newcastle upon Tyne","16.7","14.1","19.4","25.7","20.9","30.6","16.5","9.5","22.4","50.0","20.0","63.6","31.2","31.6","30.8","14.5","13.0","16.3"
"Newham","22.9","17.2","28.5","27.5","20.8","34.5","18.8","12.1","24.7","44.4","25.0","60.0","23.8","13.9","33.0","16.0","13.8","18.1"
"Norfolk","12.8","9.5","16.3","31.9","28.3","35.4","12.5","11.4","13.6","33.3","28.6","36.4","16.0","11.0","22.2","12.5","9.3","15.9"
"North East Lincolnshire","13.3","8.0","18.8","20.0","14.3","25.0","33.3","~0","50.0","50.0","N/A","50.0","13.0","23.1","~0","14.6","8.4","21.0"
"North Lincolnshire","14.6","11.1","18.4","14.3","15.4","12.9","~0","~0","~0","33.3","~0","100.0","16.0","~0","22.2","14.8","11.2","18.9"
"North Somerset","14.8","10.7","18.8","12.5","17.6","6.7","~0","~0","~0","50.0","50.0","N/A","16.7","17.9","15.4","14.8","10.3","19.2"
"North Tyneside","16.9","11.8","22.1","20.6","18.2","25.0","11.1","~0","100.0","~0","~0","~0","40.0","30.8","47.1","16.6","11.4","21.7"
"North Yorkshire","19.6","14.7","24.8","34.2","26.7","43.1","29.2","22.2","33.3","40.0","~0","66.7","23.6","12.7","34.5","19.3","14.5","24.3"
"Northamptonshire","14.4","10.9","18.1","21.3","18.1","23.9","10.5","6.8","14.6","28.6","30.0","27.8","13.2","11.0","15.2","14.2","10.6","18.0"
"Northumberland","12.7","9.0","16.4","22.0","15.0","28.6","16.7","~0","50.0","~0","~0","N/A","10.3","12.0","7.1","12.7","9.0","16.5"
"Nottingham","8.8","6.5","11.0","12.6","9.3","15.8","7.7","6.7","8.7","9.1","~0","25.0","8.3","6.8","10.2","7.6","5.2","9.9"
"Nottinghamshire","16.2","13.1","19.3","31.5","21.0","44.7","18.9","20.0","17.8","45.8","28.6","70.0","13.4","6.7","19.6","15.6","13.0","18.4"
"Oldham","9.0","6.0","12.2","4.1","1.6","6.5","15.3","5.6","22.4","57.1","50.0","60.0","8.4","10.0","6.4","11.3","7.8","15.1"
"Oxfordshire","17.0","13.5","20.7","10.6","9.9","11.5","9.5","7.7","11.5","60.0","37.5","70.6","17.9","13.9","22.2","17.6","14.0","21.3"
"Peterborough","12.1","8.6","15.9","14.5","12.2","17.0","13.8","9.8","17.9","42.9","33.3","100.0","13.8","9.5","19.6","11.1","7.7","15.0"
"Plymouth","14.3","9.6","19.2","45.0","33.3","54.5","20.0","12.5","28.6","38.5","33.3","50.0","17.0","17.4","16.7","13.6","8.9","18.4"
"Poole","22.8","21.4","24.3","26.3","20.0","30.4","~0","~0","~0","28.6","50.0","20.0","26.4","26.5","26.3","22.7","21.4","24.1"
"Portsmouth","13.3","10.5","16.4","26.0","21.7","30.0","22.2","25.0","20.7","60.0","50.0","66.7","9.8","7.1","15.8","11.6","9.3","14.3"
"Reading","27.1","24.4","30.4","40.8","35.8","46.1","10.3","10.6","10.0","90.0","91.7","87.5","28.6","20.5","34.6","22.2","19.9","25.2"
"Redbridge","24.9","19.0","31.5","31.2","23.0","40.8","14.2","7.5","20.3","66.7","60.0","71.4","21.2","15.3","27.4","17.3","15.9","18.9"
"Redcar and Cleveland","11.9","9.1","14.9","7.7","6.3","10.0","50.0","50.0","N/A","33.3","33.3","N/A","31.3","33.3","28.6","11.7","8.6","14.9"
"Richmond upon Thames","31.1","25.7","36.4","37.8","30.2","47.9","12.9","3.3","21.9","33.3","33.3","33.3","25.5","18.3","32.4","32.4","28.0","36.6"
"Rochdale","6.8","4.5","9.2","9.6","7.1","12.1","9.1","3.1","14.7","12.5","~0","25.0","6.8","7.9","5.6","5.5","3.5","7.6"
"Rotherham","10.7","7.0","14.4","8.5","2.9","14.4","17.9","7.7","26.7","50.0","33.3","60.0","8.8","5.6","12.5","10.8","7.4","14.3"
"Rutland","14.2","9.0","19.6","25.0","~0","50.0","25.0","~0","50.0","N/A","N/A","N/A","30.0","42.9","~0","13.7","8.1","19.4"
"Salford","10.7","6.2","15.1","26.2","29.2","22.2","13.3","7.0","19.1","20.0","~0","25.0","14.1","8.5","19.2","10.0","5.2","14.6"
"Sandwell","6.4","5.2","7.7","8.6","6.4","11.3","3.5","3.2","3.7","25.0","25.0","N/A","6.6","7.0","6.3","5.6","4.5","6.8"
"Sefton","12.4","9.0","16.0","15.2","4.8","33.3","21.4","~0","37.5","33.3","66.7","~0","11.7","9.4","14.3","12.4","8.9","16.1"
"Sheffield","14.0","10.7","17.4","12.7","10.5","15.2","7.8","6.1","9.5","47.4","50.0","44.4","10.9","6.3","15.2","14.5","11.1","18.0"
"Shropshire","15.0","10.9","19.4","10.7","5.9","18.2","25.0","33.3","20.0","36.4","37.5","33.3","13.8","12.1","16.0","14.9","10.8","19.2"
"Slough","23.9","17.5","29.7","25.9","20.0","31.3","18.0","7.5","27.8","50.0","50.0","50.0","29.3","29.0","29.6","19.6","12.6","25.7"
"Solihull","16.1","13.1","19.3","19.1","16.5","22.6","11.4","6.0","18.4","42.9","~0","75.0","8.7","7.7","9.6","16.4","13.1","19.9"
"Somerset","12.1","8.3","16.3","4.8","~0","9.5","~0","~0","~0","22.2","~0","40.0","20.2","11.4","30.0","12.0","8.3","16.1"
"South Gloucestershire","13.8","9.8","17.9","21.3","13.3","26.7","10.3","3.8","23.1","60.0","~0","100.0","19.2","10.2","28.0","13.3","9.9","16.7"
"South Tyneside","12.1","8.5","15.6","29.3","25.9","32.3","42.9","25.0","66.7","~0","~0","N/A","20.0","7.7","33.3","11.3","8.0","14.5"
"Southampton","13.4","12.9","13.9","14.8","15.2","14.4","14.6","12.0","17.4","50.0","75.0","~0","17.5","14.3","20.4","12.7","12.3","13.1"
"Southend-on-Sea","28.3","22.9","34.0","52.0","50.4","54.0","52.6","40.5","67.8","69.2","60.0","75.0","22.9","15.8","28.9","23.5","17.8","29.2"
"Southwark","24.3","21.6","26.9","31.9","24.2","38.9","20.2","18.4","21.8","46.7","33.3","60.0","28.1","25.6","30.5","26.0","22.3","30.3"
"St. Helens","11.8","10.3","13.5","7.1","14.3","~0","16.7","25.0","~0","66.7","100.0","50.0","20.7","13.0","50.0","11.9","10.2","13.8"
"Staffordshire","11.9","8.4","15.6","12.5","5.8","20.3","14.0","4.5","23.8","52.6","30.0","77.8","7.4","5.5","9.2","11.9","8.5","15.5"
"Stockport","17.5","13.8","21.5","25.2","15.4","35.6","7.4","5.9","10.0","18.8","18.2","20.0","22.2","19.3","25.5","17.1","13.7","20.6"
"Stockton-on-Tees","15.3","12.6","18.5","26.5","19.7","35.3","6.7","~0","10.0","20.0","~0","33.3","22.0","13.0","33.3","14.5","12.2","17.2"
"Stoke-on-Trent","8.1","5.2","11.2","9.3","4.5","14.1","10.6","10.3","11.1","40.0","33.3","50.0","10.0","13.0","5.9","7.5","4.5","10.6"
"Suffolk","12.4","9.7","15.1","24.1","14.0","33.9","9.1","3.8","13.8","33.3","25.0","50.0","12.2","6.8","17.7","12.1","9.6","14.7"
"Sunderland","14.3","10.8","17.8","34.4","23.8","42.6","21.4","37.5","~0","25.0","~0","100.0","15.2","6.3","23.5","13.4","10.3","16.6"
"Surrey","22.1","16.7","27.8","26.2","17.8","35.7","11.8","5.0","18.9","41.9","23.1","55.6","24.0","18.7","29.5","21.7","16.6","27.1"
"Sutton","37.4","32.5","42.6","59.6","53.7","65.9","28.1","15.7","39.7","77.5","73.7","81.0","41.6","32.8","50.0","27.5","24.6","30.7"
"Swindon","11.1","8.7","13.7","13.9","7.6","20.0","10.0","10.0","10.0","~0","~0","~0","8.7","8.0","9.5","10.9","9.1","12.9"
"Tameside","11.3","5.2","17.7","11.3","5.3","17.3","9.5","5.0","13.6","28.6","50.0","20.0","12.5","7.1","17.4","11.3","5.0","17.9"
"Telford and Wrekin","17.7","15.7","19.8","28.3","28.4","28.3","23.5","16.7","33.3","54.5","80.0","33.3","12.5","7.5","17.5","16.7","14.4","19.1"
"Thurrock","10.3","7.1","13.4","26.8","19.4","34.3","16.0","11.5","20.2","50.0","40.0","57.1","12.9","5.9","19.4","8.4","5.9","10.8"
"Torbay","19.6","16.6","22.7","44.4","60.0","38.5","~0","~0","N/A","71.4","100.0","60.0","36.4","35.0","38.5","19.7","15.9","23.8"
"Tower Hamlets","17.3","13.5","21.0","20.9","16.6","24.8","11.3","7.4","14.9","25.0","~0","33.3","7.2","7.8","6.4","9.0","6.8","11.2"
"Trafford","33.9","27.9","40.3","39.8","33.5","46.7","29.5","29.4","29.5","70.7","61.1","78.3","28.1","28.3","27.9","32.6","25.5","39.9"
"Wakefield","9.9","6.6","13.4","11.2","3.4","18.2","17.4","8.3","27.3","30.0","28.6","33.3","17.7","17.1","18.2","9.4","6.4","12.5"
"Walsall","14.8","11.8","17.8","21.8","19.2","24.5","16.9","12.7","21.0","50.0","50.0","50.0","16.1","15.6","16.5","12.0","8.8","15.4"
"Waltham Forest","15.6","11.3","19.7","15.7","11.0","20.6","11.5","7.6","14.8","53.8","85.7","16.7","16.0","12.8","19.2","16.8","12.0","21.5"
"Wandsworth","27.1","23.6","30.9","27.5","24.5","31.5","17.7","18.4","17.0","71.4","66.7","75.0","33.5","25.0","40.8","30.8","26.1","36.3"
"Warrington","17.3","13.2","21.9","33.3","31.3","36.8","~0","~0","~0","40.0","33.3","42.9","17.6","16.7","18.8","17.0","12.7","21.8"
"Warwickshire","20.3","15.2","25.7","40.3","38.7","41.7","22.0","16.7","26.1","44.4","55.6","33.3","23.4","24.7","22.2","19.1","13.4","25.0"
"West Berkshire","21.0","15.9","26.1","22.9","11.5","36.4","13.8","5.9","25.0","66.7","66.7","N/A","16.2","10.5","23.3","21.5","16.5","26.3"
"West Sussex","15.9","11.6","20.4","22.7","17.2","28.8","8.7","5.5","11.7","22.7","25.0","21.4","14.3","8.8","20.3","15.7","11.5","20.1"
"Westminster","26.5","14.7","38.2","20.8","17.9","24.7","16.7","8.0","26.5","66.7","40.0","80.0","29.3","13.7","39.0","38.8","20.0","51.6"
"Wigan","10.2","7.2","13.3","27.6","13.3","42.9","12.5","~0","28.6","25.0","28.6","~0","3.6","3.4","3.8","10.2","7.2","13.1"
"Wiltshire","16.2","12.3","20.2","26.8","15.6","41.7","11.1","~0","19.2","41.7","50.0","37.5","23.1","20.0","25.0","16.2","12.3","20.2"
"Windsor and Maidenhead","24.1","17.9","30.9","18.2","5.5","29.7","25.8","14.3","35.3","60.0","N/A","60.0","30.6","22.4","40.7","24.7","19.7","30.0"
"Wirral","23.0","18.9","26.9","59.3","64.3","54.8","16.7","~0","25.0","43.8","44.4","42.9","31.8","32.5","31.1","22.0","17.6","26.4"
"Wokingham","26.8","20.4","33.5","27.6","21.6","37.7","19.3","8.6","36.4","35.7","44.4","20.0","18.0","9.5","25.5","27.7","21.4","33.8"
"Wolverhampton","10.8","5.1","16.1","19.0","9.5","28.2","7.5","4.3","11.0","28.6","20.0","50.0","7.8","4.9","10.2","8.5","3.4","13.4"
"Worcestershire","15.5","12.0","19.2","16.3","14.9","17.4","20.8","27.3","15.4","46.2","~0","60.0","16.8","17.0","16.4","15.4","11.7","19.3"
"York","21.2","15.5","26.8","25.0","25.0","25.0","18.2","12.5","33.3","33.3","50.0","~0","25.0","23.5","26.1","21.0","14.9","26.9"
