"Ethnicity","Police force area","Rate per 1,000"
"Other","Humberside","6.2"
"Other","Kent","12.5"
"Other","Lancashire","4.4"
"Other","Leicestershire","4.4"
"Other","Lincolnshire","26.3"
"Other","London, City of","N/A"
"Other","Merseyside","29.9"
"Other","Metropolitan Police","30.5"
"Other","Norfolk","25.7"
"Other","North Wales","8.8"
"Other","North Yorkshire","9.3"
"Other","Northamptonshire","7.3"
"Other","Northumbria","1.3"
"Other","Nottinghamshire","5.4"
"Other","South Wales","29.2"
"Other","South Yorkshire","10.3"
"Other","Staffordshire","18.7"
"Other","Suffolk","25.5"
"Other","Surrey","6.7"
"Other","Sussex","10.2"
"Other","Thames Valley","7.2"
"Other","Warwickshire","7.8"
"Other","West Mercia","13.7"
"Other","West Midlands","0.6"
"Other","West Yorkshire","7.6"
"Other","Wiltshire","1.6"
