"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Age Bracket","Value","Value_type","Unweighted respondents","Lower CI","Upper CI"
"Health related quality of life for older people -average status score","2014/15","Financial year","White and Black African","ONS 2011 18+1","65+ yrs","0.690655556","average status score","106","0.635721662","0.745589449"
"Health related quality of life for older people -average status score","2014/15","Financial year","White and Asian","ONS 2011 18+1","65+ yrs","0.722740113","average status score","199","0.684673271","0.760806955"
"Health related quality of life for older people -average status score","2014/15","Financial year","Any other mixed/multiple ethnic background","ONS 2011 18+1","65+ yrs","0.714988506","average status score","326","0.685116907","0.744860104"
"Health related quality of life for older people -average status score","2014/15","Financial year","Indian","ONS 2011 18+1","65+ yrs","0.680795989","average status score","4324","0.672132713","0.689459266"
"Health related quality of life for older people -average status score","2014/15","Financial year","Pakistani","ONS 2011 18+1","65+ yrs","0.578188665","average status score","1484","0.561351636","0.595025693"
"Health related quality of life for older people -average status score","2014/15","Financial year","Bangladeshi","ONS 2011 18+1","65+ yrs","0.593448029","average status score","329","0.559486406","0.627409651"
"Health related quality of life for older people -average status score","2014/15","Financial year","Any other Asian background","ONS 2011 18+1","65+ yrs","0.791632653","average status score","589","0.772138859","0.811126447"
"Health related quality of life for older people -average status score","2014/15","Financial year","Caribbean","ONS 2011 18+1","65+ yrs","0.715375679","average status score","1741","0.702452369","0.72829899"
"Health related quality of life for older people -average status score","2014/15","Financial year","African","ONS 2011 18+1","65+ yrs","0.720507212","average status score","936","0.703178946","0.737835477"
"Health related quality of life for older people -average status score","2014/15","Financial year","Any other Black/African/Caribbean background","ONS 2011 18+1","65+ yrs","0.676137146","average status score","2319","0.664705665","0.687568627"
"Health related quality of life for older people -average status score","2014/15","Financial year","Chinese","ONS 2011 18+1","65+ yrs","0.697593928","average status score","709","0.677679573","0.717508283"
"Health related quality of life for older people -average status score","2014/15","Financial year","Arab","ONS 2011 18+1","65+ yrs","0.610067901","average status score","179","0.557663107","0.662472695"
"Health related quality of life for older people -average status score","2014/15","Financial year","Any other ethnic group","ONS 2011 18+1","65+ yrs","0.667104014","average status score","4371","0.658028499","0.676179529"
"Health related quality of life for older people -average status score","2014/15","Financial year","All ethnicity","ONS 2011 18+1","65+ yrs","0.733811752","average status score","330506","0.73297054","0.734652964"
"Health related quality of life for older people -average status score","2015/16","Financial year","English/Welsh/Scottish/Northern Irish/British","ONS 2011 18+1","65+ yrs","0.736374","average status score","266193","0.735446","0.737302"
"Health related quality of life for older people -average status score","2015/16","Financial year","Irish","ONS 2011 18+1","65+ yrs","0.732712","average status score","4444","0.724982","0.740442"
"Health related quality of life for older people -average status score","2015/16","Financial year","Gypsy or Irish traveller","ONS 2011 18+1","65+ yrs","0.6255","average status score","43","0.528494","0.722506"
"Health related quality of life for older people -average status score","2015/16","Financial year","Any other white background","ONS 2011 18+1","65+ yrs","0.723031","average status score","6868","0.716764","0.729297"
"Health related quality of life for older people -average status score","2015/16","Financial year","White and Black Caribbean","ONS 2011 18+1","65+ yrs","0.690346","average status score","202","0.650621","0.730071"
"Health related quality of life for older people -average status score","2015/16","Financial year","White and Black African","ONS 2011 18+1","65+ yrs","0.744417","average status score","88","0.690641","0.798193"
"Health related quality of life for older people -average status score","2015/16","Financial year","White and Asian","ONS 2011 18+1","65+ yrs","0.727293","average status score","181","0.692214","0.762372"
"Health related quality of life for older people -average status score","2015/16","Financial year","Any other mixed/multiple ethnic background","ONS 2011 18+1","65+ yrs","0.71069","average status score","343","0.683228","0.738151"
"Health related quality of life for older people -average status score","2015/16","Financial year","Indian","ONS 2011 18+1","65+ yrs","0.679267","average status score","4363","0.670491","0.688043"
"Health related quality of life for older people -average status score","2015/16","Financial year","Pakistani","ONS 2011 18+1","65+ yrs","0.59005","average status score","1603","0.574431","0.605669"
"Health related quality of life for older people -average status score","2015/16","Financial year","Bangladeshi","ONS 2011 18+1","65+ yrs","0.606906","average status score","326","0.574684","0.639129"
"Health related quality of life for older people -average status score","2015/16","Financial year","Any other Asian background","ONS 2011 18+1","65+ yrs","0.802294","average status score","654","0.786094","0.818494"
"Health related quality of life for older people -average status score","2015/16","Financial year","Caribbean","ONS 2011 18+1","65+ yrs","0.720554","average status score","1808","0.708101","0.733006"
"Health related quality of life for older people -average status score","2015/16","Financial year","African","ONS 2011 18+1","65+ yrs","0.720954","average status score","919","0.703692","0.738217"
"Health related quality of life for older people -average status score","2015/16","Financial year","Any other Black/African/Caribbean background","ONS 2011 18+1","65+ yrs","0.68644","average status score","2083","0.674517","0.698364"
"Health related quality of life for older people -average status score","2015/16","Financial year","Chinese","ONS 2011 18+1","65+ yrs","0.704898","average status score","660","0.685692","0.724104"
"Health related quality of life for older people -average status score","2015/16","Financial year","Arab","ONS 2011 18+1","65+ yrs","0.649081","average status score","198","0.603149","0.695013"
"Health related quality of life for older people -average status score","2015/16","Financial year","Any other ethnic group","ONS 2011 18+1","65+ yrs","0.673408106","average status score","3195","0.662952","0.683865"
"Health related quality of life for older people -average status score","2015/16","Financial year","All ethnicity","ONS 2011 18+1","65+ yrs","0.732872756","average status score","297624","0.731980699","0.733764813"
"Health related quality of life for older people -average status score","2016/17","Financial year","English/Welsh/Scottish/Northern Irish/British","ONS 2011 18+1","65+ yrs","0.738696882","average status score","239498","0.73772277","0.739670994"
"Health related quality of life for older people -average status score","2016/17","Financial year","Irish","ONS 2011 18+1","65+ yrs","0.73989308","average status score","3582","0.731430926","0.748355233"
"Health related quality of life for older people -average status score","2016/17","Financial year","Gypsy or Irish traveller","ONS 2011 18+1","65+ yrs","0.509454549","average status score","44","0.38610598","0.632803118"
"Health related quality of life for older people -average status score","2016/17","Financial year","Any other white background","ONS 2011 18+1","65+ yrs","0.725845496","average status score","5702","0.719058973","0.732632019"
"Health related quality of life for older people -average status score","2016/17","Financial year","White and Black Caribbean","ONS 2011 18+1","65+ yrs","0.71659603","average status score","151","0.672932541","0.760259519"
"Health related quality of life for older people -average status score","2016/17","Financial year","White and Black African","ONS 2011 18+1","65+ yrs","0.720023531","average status score","85","0.667801322","0.772245739"
"Health related quality of life for older people -average status score","2016/17","Financial year","White and Asian","ONS 2011 18+1","65+ yrs","0.746431476","average status score","197","0.71242596","0.780436992"
"Health related quality of life for older people -average status score","2016/17","Financial year","Any other mixed/multiple ethnic background","ONS 2011 18+1","65+ yrs","0.727687503","average status score","272","0.700247839","0.755127168"
"Health related quality of life for older people -average status score","2016/17","Financial year","Indian","ONS 2011 18+1","65+ yrs","0.687664564","average status score","3801","0.678658558","0.696670571"
"Health related quality of life for older people -average status score","2016/17","Financial year","Pakistani","ONS 2011 18+1","65+ yrs","0.580107574","average status score","1413","0.562904995","0.597310152"
"Health related quality of life for older people -average status score","2016/17","Financial year","Bangladeshi","ONS 2011 18+1","65+ yrs","0.555813435","average status score","268","0.51476653","0.59686034"
"Health related quality of life for older people -average status score","2016/17","Financial year","Any other Asian background","ONS 2011 18+1","65+ yrs","0.805338032","average status score","639","0.788150957","0.822525107"
"Health related quality of life for older people -average status score","2016/17","Financial year","Caribbean","ONS 2011 18+1","65+ yrs","0.727400827","average status score","1699","0.714642475","0.740159179"
"Health related quality of life for older people -average status score","2016/17","Financial year","African","ONS 2011 18+1","65+ yrs","0.752951701","average status score","766","0.7356175","0.770285902"
"Health related quality of life for older people -average status score","2016/17","Financial year","Any other Black/African/Caribbean background","ONS 2011 18+1","65+ yrs","0.679299499","average status score","1586","0.66525562","0.693343377"
"Health related quality of life for older people -average status score","2016/17","Financial year","Chinese","ONS 2011 18+1","65+ yrs","0.681124318","average status score","547","0.657969553","0.704279083"
"Health related quality of life for older people -average status score","2016/17","Financial year","Arab","ONS 2011 18+1","65+ yrs","0.677081972","average status score","183","0.633642719","0.720521224"
"Health related quality of life for older people -average status score","2016/17","Financial year","Any other ethnic group","ONS 2011 18+1","65+ yrs","0.682773","average status score","3022","0.671828868","0.693717133"
"Health related quality of life for older people -average status score","2016/17","Financial year","All ethnicity","ONS 2011 18+1","65+ yrs","0.735316066","average status score","265935","0.734375955","0.736256176"
