"Ethnicity","Geography","Rate per 1,000"
"White","Avon and Somerset","9"
"White","Bedfordshire","10"
"White","Cambridgeshire","11"
"White","Cheshire","11"
"White","Cleveland","19"
"White","Cumbria","14"
"White","Derbyshire","10"
"White","Devon and Cornwall","6"
"White","Dorset","9"
"White","Durham","14"
"White","Dyfed-Powys","8"
"White","Essex","7"
"White","Gloucestershire","7"
"White","Greater Manchester","9"
"White","Gwent","9"
"White","Hampshire","9"
"White","Hertfordshire","9"
"White","Humberside","12"
"White","Kent","13"
"White","Lancashire","N/A"
"White","Leicestershire","10"
"White","Lincolnshire","12"
"White","London, City of","N/A"
"White","Merseyside","12"
"White","Metropolitan Police","12"
"White","Norfolk","4"
"White","North Wales","17"
"White","North Yorkshire","11"
"White","Northamptonshire","10"
"White","Northumbria","14"
"White","Nottinghamshire","10"
"White","South Wales","16"
"White","South Yorkshire","7"
"White","Staffordshire","10"
"White","Suffolk","4"
"White","Surrey","7"
"White","Sussex","8"
"White","Thames Valley","11"
"White","Warwickshire","6"
"White","West Mercia","6"
"White","West Midlands","13"
"White","West Yorkshire","15"
"White","Wiltshire","10"
"Other inc Chinese","All","11"
"Other inc Chinese","Avon and Somerset","8"
"Other inc Chinese","Bedfordshire","9"
"Other inc Chinese","Cambridgeshire","10"
"Other inc Chinese","Cheshire","12"
"Other inc Chinese","Cleveland","18"
"Other inc Chinese","Cumbria","29"
"Other inc Chinese","Derbyshire","10"
"Other inc Chinese","Devon and Cornwall","9"
"Other inc Chinese","Dorset","9"
"Other inc Chinese","Durham","19"
"Other inc Chinese","Dyfed-Powys","6"
"Other inc Chinese","Essex","12"
"Other inc Chinese","Gloucestershire","28"
"Other inc Chinese","Greater Manchester","8"
"Other inc Chinese","Gwent","33"
"Other inc Chinese","Hampshire","11"
"Other inc Chinese","Hertfordshire","10"
"Other inc Chinese","Humberside","5"
"Other inc Chinese","Kent","29"
"Other inc Chinese","Lancashire","N/A"
"Other inc Chinese","Leicestershire","9"
"Other inc Chinese","Lincolnshire","35"
"Other inc Chinese","London, City of","N/A"
"Other inc Chinese","Merseyside","11"
"Other inc Chinese","Metropolitan Police","12"
"Other inc Chinese","Norfolk","6"
"Other inc Chinese","North Wales","21"
"Other inc Chinese","North Yorkshire","13"
"Other inc Chinese","Northamptonshire","21"
"Other inc Chinese","Northumbria","1"
"Other inc Chinese","Nottinghamshire","8"
"Other inc Chinese","South Wales","10"
"Other inc Chinese","South Yorkshire","6"
"Other inc Chinese","Staffordshire","23"
"Other inc Chinese","Suffolk","6"
"Other inc Chinese","Surrey","9"
"Other inc Chinese","Sussex","10"
"Other inc Chinese","Thames Valley","11"
"Other inc Chinese","Warwickshire","7"
"Other inc Chinese","West Mercia","11"
"Other inc Chinese","West Midlands","11"
"Other inc Chinese","West Yorkshire","11"
"Other inc Chinese","Wiltshire","16"
