"Measure","Time","Time_type","Ethnicity","Industry","SIC","Value","Value_type","Denominator","Numerator","CI"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","L-N: Public admin, education & health","SIC 92","27.7","%","252100","69900","6.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","O-Q: Other services","SIC 92","4.1","%","252100","10200","8.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other Asian","Workplace outside UK","SIC 92","-","%","252100","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","A-B: Agriculture & fishing","SIC 92","0.2","%","256500","400","6.1"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","C,E: Energy & water","SIC 92","0.2","%","256500","600","6.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","D: Manufacturing","SIC 92","9.7","%","256500","24900","7.2"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","F: Construction","SIC 92","3.8","%","256500","9700","8.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","G-H: Distribution, hotels & restaurants","SIC 92","21.5","%","256500","55100","7.2"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","I: Transport & communication","SIC 92","6.5","%","256500","16600","8.1"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","J-K: Banking, finance & insurance etc","SIC 92","19.3","%","256500","49500","7.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","L-N: Public admin, education & health","SIC 92","32","%","256500","82000","6.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","O-Q: Other services","SIC 92","6.7","%","256500","17100","7.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Other","Workplace outside UK","SIC 92","-","%","256500","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","A-B: Agriculture & fishing","SIC 92","-","%","315400","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","C,E: Energy & water","SIC 92","1","%","315400","3200","8.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","D: Manufacturing","SIC 92","11.4","%","315400","35900","6.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","F: Construction","SIC 92","1.2","%","315400","3700","7.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","G-H: Distribution, hotels & restaurants","SIC 92","36.1","%","315400","113800","6.1"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","I: Transport & communication","SIC 92","14.4","%","315400","45600","6.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","J-K: Banking, finance & insurance etc","SIC 92","13.9","%","315400","43900","7.1"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","L-N: Public admin, education & health","SIC 92","19.1","%","315400","60200","6.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","O-Q: Other services","SIC 92","2.8","%","315400","9000","7.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","Pakistani/ Bangladehsi","Workplace outside UK","SIC 92","-","%","315400","-","-"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","A-B: Agriculture & fishing","SIC 92","1.3","%","25463200","327200","0.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","C,E: Energy & water","SIC 92","1","%","25463200","252300","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","D: Manufacturing","SIC 92","14.3","%","25463200","3628800","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","F: Construction","SIC 92","8.1","%","25463200","2066400","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","G-H: Distribution, hotels & restaurants","SIC 92","19","%","25463200","4846100","0.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","I: Transport & communication","SIC 92","6.8","%","25463200","1732700","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","J-K: Banking, finance & insurance etc","SIC 92","15.7","%","25463200","3994700","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","L-N: Public admin, education & health","SIC 92","27.6","%","25463200","7024000","0.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","O-Q: Other services","SIC 92","6.2","%","25463200","1585900","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White","Workplace outside UK","SIC 92","0","%","25463200","5100","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","A-B: Agriculture & fishing","SIC 92","1.3","%","24167600","316200","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","C,E: Energy & water","SIC 92","1","%","24167600","243800","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","D: Manufacturing","SIC 92","14.4","%","24167600","3484100","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","F: Construction","SIC 92","8.1","%","24167600","1963500","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","G-H: Distribution, hotels & restaurants","SIC 92","19","%","24167600","4600300","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","I: Transport & communication","SIC 92","6.8","%","24167600","1643100","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","J-K: Banking, finance & insurance etc","SIC 92","15.5","%","24167600","3739400","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","L-N: Public admin, education & health","SIC 92","27.7","%","24167600","6693100","0.5"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","O-Q: Other services","SIC 92","6.1","%","24167600","1479300","0.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White British","Workplace outside UK","SIC 92","0","%","24167600","4600","0.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","A-B: Agriculture & fishing","SIC 92","0.9","%","1295600","11000","2.3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","C,E: Energy & water","SIC 92","0.7","%","1295600","8500","2.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","D: Manufacturing","SIC 92","11.2","%","1295600","144600","2.6"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","F: Construction","SIC 92","7.9","%","1295600","102900","2.9"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","G-H: Distribution, hotels & restaurants","SIC 92","19","%","1295600","245700","2.7"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","I: Transport & communication","SIC 92","6.9","%","1295600","89600","3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","J-K: Banking, finance & insurance etc","SIC 92","19.7","%","1295600","255300","2.8"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","L-N: Public admin, education & health","SIC 92","25.5","%","1295600","330900","2.4"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","O-Q: Other services","SIC 92","8.2","%","1295600","106500","3"
"Proportion of ethnic group who are employed, split by industry","2004","Year","White Other","Workplace outside UK","SIC 92","0","%","1295600","600","3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","A-B: Agriculture & fishing","SIC 92","1.2","%","28106300","347300","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","C,E: Energy & water","SIC 92","1","%","28106300","276700","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","D: Manufacturing","SIC 92","13.3","%","28106300","3747400","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","F: Construction","SIC 92","7.8","%","28106300","2202800","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","G-H: Distribution, hotels & restaurants","SIC 92","19.3","%","28106300","5434300","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","I: Transport & communication","SIC 92","6.9","%","28106300","1936400","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","J-K: Banking, finance & insurance etc","SIC 92","16","%","28106300","4490300","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","L-N: Public admin, education & health","SIC 92","28.3","%","28106300","7954400","0.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","O-Q: Other services","SIC 92","6.1","%","28106300","1712500","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","All","Workplace outside UK","SIC 92","0","%","28106300","4200","0.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","A-B: Agriculture & fishing","SIC 92","0.1","%","1166200","1300","3.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","C,E: Energy & water","SIC 92","0.7","%","1166200","8600","4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","D: Manufacturing","SIC 92","11.1","%","1166200","129900","3.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","F: Construction","SIC 92","2.1","%","1166200","24100","4.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","G-H: Distribution, hotels & restaurants","SIC 92","29.4","%","1166200","342600","3.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","I: Transport & communication","SIC 92","10.7","%","1166200","124400","3.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","J-K: Banking, finance & insurance etc","SIC 92","17.8","%","1166200","207900","3.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","L-N: Public admin, education & health","SIC 92","24.5","%","1166200","285800","3.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","O-Q: Other services","SIC 92","3.5","%","1166200","41100","4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Asian","Workplace outside UK","SIC 92","-","%","1166200","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","A-B: Agriculture & fishing","SIC 92","0.2","%","536400","1000","6.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","C,E: Energy & water","SIC 92","0.2","%","536400","1000","5.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","D: Manufacturing","SIC 92","7.5","%","536400","40300","5.7"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","F: Construction","SIC 92","3.9","%","536400","20900","6.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","G-H: Distribution, hotels & restaurants","SIC 92","16.1","%","536400","86600","6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","I: Transport & communication","SIC 92","9.2","%","536400","49600","6.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","J-K: Banking, finance & insurance etc","SIC 92","16.9","%","536400","90500","5.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","L-N: Public admin, education & health","SIC 92","40.6","%","536400","217500","4.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","O-Q: Other services","SIC 92","5.4","%","536400","29000","6.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Black","Workplace outside UK","SIC 92","-","%","536400","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","A-B: Agriculture & fishing","SIC 92","0.2","%","553800","900","5.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","C,E: Energy & water","SIC 92","0.9","%","553800","4700","5.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","D: Manufacturing","SIC 92","13.7","%","553800","75900","5.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","F: Construction","SIC 92","2.7","%","553800","15000","5.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","G-H: Distribution, hotels & restaurants","SIC 92","22.4","%","553800","123900","5"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","I: Transport & communication","SIC 92","10","%","553800","55500","5.5"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","J-K: Banking, finance & insurance etc","SIC 92","21.5","%","553800","119200","5.5"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","L-N: Public admin, education & health","SIC 92","25.3","%","553800","140300","4.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","O-Q: Other services","SIC 92","3.3","%","553800","18300","5.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Indian","Workplace outside UK","SIC 92","-","%","553800","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","A-B: Agriculture & fishing","SIC 92","0.2","%","171500","300","6.2"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","C,E: Energy & water","SIC 92","1.1","%","171500","1800","7.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","D: Manufacturing","SIC 92","8.1","%","171500","14000","7.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","F: Construction","SIC 92","5.6","%","171500","9500","8.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","G-H: Distribution, hotels & restaurants","SIC 92","25.3","%","171500","43300","7.4"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","I: Transport & communication","SIC 92","6.2","%","171500","10600","8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","J-K: Banking, finance & insurance etc","SIC 92","17.9","%","171500","30600","7.7"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","L-N: Public admin, education & health","SIC 92","28.7","%","171500","49200","7"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","O-Q: Other services","SIC 92","6.7","%","171500","11500","8.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Mixed","Workplace outside UK","SIC 92","-","%","171500","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","A-B: Agriculture & fishing","SIC 92","0.1","%","285000","300","5.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","C,E: Energy & water","SIC 92","0.4","%","285000","1300","7.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","D: Manufacturing","SIC 92","7.7","%","285000","22100","7.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","F: Construction","SIC 92","1.7","%","285000","4800","7.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","G-H: Distribution, hotels & restaurants","SIC 92","35.1","%","285000","99900","6.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","I: Transport & communication","SIC 92","6.2","%","285000","17800","8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","J-K: Banking, finance & insurance etc","SIC 92","15.7","%","285000","44700","7.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","L-N: Public admin, education & health","SIC 92","28","%","285000","79900","6.3"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","O-Q: Other services","SIC 92","4.9","%","285000","13900","8.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other Asian","Workplace outside UK","SIC 92","-","%","285000","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","A-B: Agriculture & fishing","SIC 92","0.4","%","309500","1200","6.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","C,E: Energy & water","SIC 92","0.4","%","309500","1300","6.1"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","D: Manufacturing","SIC 92","8.7","%","309500","26900","6.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","F: Construction","SIC 92","3.9","%","309500","12000","7.5"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","G-H: Distribution, hotels & restaurants","SIC 92","22.7","%","309500","70300","6.7"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","I: Transport & communication","SIC 92","7.8","%","309500","24300","7.5"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","J-K: Banking, finance & insurance etc","SIC 92","17.7","%","309500","54800","7.2"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","L-N: Public admin, education & health","SIC 92","30.9","%","309500","95600","6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","O-Q: Other services","SIC 92","7.4","%","309500","23000","7.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Other","Workplace outside UK","SIC 92","-","%","309500","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","A-B: Agriculture & fishing","SIC 92","-","%","327400","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","C,E: Energy & water","SIC 92","0.8","%","327400","2600","7.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","D: Manufacturing","SIC 92","9.8","%","327400","31900","6.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","F: Construction","SIC 92","1.3","%","327400","4200","7.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","G-H: Distribution, hotels & restaurants","SIC 92","36.3","%","327400","118800","6.2"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","I: Transport & communication","SIC 92","15.6","%","327400","51100","6.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","J-K: Banking, finance & insurance etc","SIC 92","13.5","%","327400","44100","7"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","L-N: Public admin, education & health","SIC 92","20.1","%","327400","65700","6.8"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","O-Q: Other services","SIC 92","2.7","%","327400","8900","7.9"
"Proportion of ethnic group who are employed, split by industry","2005","Year","Pakistani/ Bangladehsi","Workplace outside UK","SIC 92","-","%","327400","-","-"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","A-B: Agriculture & fishing","SIC 92","1.3","%","25922700","343500","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","C,E: Energy & water","SIC 92","1","%","25922700","264000","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","D: Manufacturing","SIC 92","13.6","%","25922700","3536300","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","F: Construction","SIC 92","8.2","%","25922700","2136200","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","G-H: Distribution, hotels & restaurants","SIC 92","18.9","%","25922700","4891500","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","I: Transport & communication","SIC 92","6.7","%","25922700","1727500","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","J-K: Banking, finance & insurance etc","SIC 92","15.8","%","25922700","4106500","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","L-N: Public admin, education & health","SIC 92","28.2","%","25922700","7306200","0.5"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","O-Q: Other services","SIC 92","6.2","%","25922700","1607900","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White","Workplace outside UK","SIC 92","0","%","25922700","3100","0.7"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","A-B: Agriculture & fishing","SIC 92","1.3","%","24495600","328000","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","C,E: Energy & water","SIC 92","1","%","24495600","254400","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","D: Manufacturing","SIC 92","13.8","%","24495600","3376300","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","F: Construction","SIC 92","8.2","%","24495600","2018900","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","G-H: Distribution, hotels & restaurants","SIC 92","18.9","%","24495600","4618500","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","I: Transport & communication","SIC 92","6.7","%","24495600","1637700","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","J-K: Banking, finance & insurance etc","SIC 92","15.6","%","24495600","3827200","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","L-N: Public admin, education & health","SIC 92","28.3","%","24495600","6931500","0.5"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","O-Q: Other services","SIC 92","6.1","%","24495600","1500500","0.6"
"Proportion of ethnic group who are employed, split by industry","2005","Year","White British","Workplace outside UK","SIC 92","0","%","24495600","2700","0.7"
