"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Key stage 2 progress in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","1","Numeric","15772.54","16173","0.9","1.1"
"Key stage 2 progress in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.4","Numeric","3673.63","8339","0.3","0.6"
"Key stage 2 progress in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.5","Numeric","12098.91","7834","1.4","1.7"
"Key stage 2 progress in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.2","Numeric","7385.58","33483","0.2","0.3"
"Key stage 2 progress in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.6","Numeric","-9802.64","16991","-0.7","-0.5"
"Key stage 2 progress in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1","Numeric","17188.22","16492","1","1.1"
"Key stage 2 progress in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.6","Numeric","6854.37","11809","0.5","0.7"
"Key stage 2 progress in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.2","Numeric","-959.22","6072","-0.3","0"
"Key stage 2 progress in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.4","Numeric","7813.59","5737","1.2","1.5"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.5","Numeric","4148.23","7835","0.4","0.7"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.1","Numeric","-549.55","3951","-0.3","0"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.2","Numeric","4697.78","3884","1","1.4"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.4","Numeric","1581.28","4493","0.2","0.5"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.4","Numeric","-1036","2317","-0.7","-0.2"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.2","Numeric","2617.28","2176","1","1.4"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.6","Numeric","-5198.3","9346","-0.7","-0.4"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-1.6","Numeric","-7257.87","4651","-1.7","-1.4"
"Key stage 2 progress in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.4","Numeric","2059.57","4695","0.3","0.6"
"Key stage 2 progress in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","1.3","Numeric","12437.09","9331","1.2","1.4"
"Key stage 2 progress in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.8","Numeric","3620.55","4798","0.6","0.9"
"Key stage 2 progress in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.9","Numeric","8816.54","4533","1.8","2.1"
"Key stage 2 progress in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.6","Numeric","14753.8","25597","0.5","0.6"
"Key stage 2 progress in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0","Numeric","-179.95","13037","-0.1","0.1"
"Key stage 2 progress in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.2","Numeric","14933.75","12560","1.1","1.3"
"Key stage 2 progress in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0","Numeric","-65.14","3974","-0.2","0.2"
"Key stage 2 progress in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.9","Numeric","-1818.64","2006","-1.2","-0.7"
"Key stage 2 progress in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.9","Numeric","1753.5","1968","0.6","1.1"
"Key stage 2 progress in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.2","Numeric","-84313.3","443555","-0.2","-0.2"
"Key stage 2 progress in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-1","Numeric","-229980.5","226746","-1","-1"
"Key stage 2 progress in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.7","Numeric","145667.2","216809","0.6","0.7"
"Key stage 2 progress in writing by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.3","Numeric","-131108.12","409836","-0.3","-0.3"
"Key stage 2 progress in writing by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-1.1","Numeric","-240726.73","209572","-1.2","-1.1"
"Key stage 2 progress in writing by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.5","Numeric","109618.61","200264","0.5","0.6"
"Key stage 2 progress in writing by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.3","Numeric","-422.61","1675","-0.5","0"
"Key stage 2 progress in writing by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-1.1","Numeric","-900.51","821","-1.5","-0.7"
"Key stage 2 progress in writing by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.6","Numeric","477.9","854","0.2","0.9"
"Key stage 2 progress in writing by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.1","Numeric","96.81","1529","-0.2","0.4"
"Key stage 2 progress in writing by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.9","Numeric","-658.37","771","-1.3","-0.4"
"Key stage 2 progress in writing by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1","Numeric","755.18","758","0.6","1.4"
"Key stage 2 progress in writing by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-1.1","Numeric","-448.97","391","-1.7","-0.6"
"Key stage 2 progress in writing by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-1.8","Numeric","-361.3","199","-2.6","-1"
"Key stage 2 progress in writing by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.5","Numeric","-87.67","192","-1.3","0.4"
"Key stage 2 progress in writing by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","1.6","Numeric","47569.59","30124","1.5","1.6"
"Key stage 2 progress in writing by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.8","Numeric","12666.41","15383","0.7","0.9"
"Key stage 2 progress in writing by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","2.4","Numeric","34903.18","14741","2.3","2.5"
