"Measure","Ethnic Group","Academic Year","Classification of first degree","Count","Value","Value_type"
"% of ethnic group with each classification of degree","Unknown","2016/17","Unclassified","550","N/A","%"
"% of ethnic group with each classification of degree","Unknown","2016/17","Upper second class honours","2310","37.2","%"
"% of ethnic group with each classification of degree","White","2016/17","First class honours","71955","28.5","%"
"% of ethnic group with each classification of degree","White","2016/17","Lower second, third or pass","51970","20.6","%"
"% of ethnic group with each classification of degree","White","2016/17","Unclassified","15215","N/A","%"
"% of ethnic group with each classification of degree","White","2016/17","Upper second class honours","128335","50.9","%"
"% of ethnic group with each classification of degree","Asian","2017/18","First class honours","7890","22.5","%"
"% of ethnic group with each classification of degree","Asian","2017/18","Lower second, third or pass","10415","29.8","%"
"% of ethnic group with each classification of degree","Asian","2017/18","Unclassified","2710","N/A","%"
"% of ethnic group with each classification of degree","Asian","2017/18","Upper second class honours","16700","47.7","%"
"% of ethnic group with each classification of degree","Black","2017/18","First class honours","3040","13.4","%"
"% of ethnic group with each classification of degree","Black","2017/18","Lower second, third or pass","9955","44","%"
"% of ethnic group with each classification of degree","Black","2017/18","Unclassified","745","N/A","%"
"% of ethnic group with each classification of degree","Black","2017/18","Upper second class honours","9620","42.5","%"
"% of ethnic group with each classification of degree","Mixed","2017/18","First class honours","3375","26.2","%"
"% of ethnic group with each classification of degree","Mixed","2017/18","Lower second, third or pass","2995","23.2","%"
"% of ethnic group with each classification of degree","Mixed","2017/18","Unclassified","540","N/A","%"
"% of ethnic group with each classification of degree","Mixed","2017/18","Upper second class honours","6535","50.6","%"
"% of ethnic group with each classification of degree","Other","2017/18","First class honours","955","21.4","%"
"% of ethnic group with each classification of degree","Other","2017/18","Lower second, third or pass","1475","33","%"
"% of ethnic group with each classification of degree","Other","2017/18","Unclassified","305","N/A","%"
"% of ethnic group with each classification of degree","Other","2017/18","Upper second class honours","2035","45.6","%"
"% of ethnic group with each classification of degree","Unknown","2017/18","First class honours","1055","18.4","%"
"% of ethnic group with each classification of degree","Unknown","2017/18","Lower second, third or pass","2655","46.4","%"
"% of ethnic group with each classification of degree","Unknown","2017/18","Unclassified","580","N/A","%"
"% of ethnic group with each classification of degree","Unknown","2017/18","Upper second class honours","2015","35.2","%"
"% of ethnic group with each classification of degree","White","2017/18","First class honours","77280","30.7","%"
"% of ethnic group with each classification of degree","White","2017/18","Lower second, third or pass","48435","19.3","%"
"% of ethnic group with each classification of degree","White","2017/18","Unclassified","14535","N/A","%"
"% of ethnic group with each classification of degree","White","2017/18","Upper second class honours","125630","50","%"
"% of ethnic group with each classification of degree","Asian","2018/19","First class honours","8470","22.8","%"
"% of ethnic group with each classification of degree","Asian","2018/19","Lower second, third or pass","11095","29.9","%"
"% of ethnic group with each classification of degree","Asian","2018/19","Unclassified","2600","N/A","%"
"% of ethnic group with each classification of degree","Asian","2018/19","Upper second class honours","17575","47.3","%"
"% of ethnic group with each classification of degree","Black","2018/19","First class honours","3265","14","%"
"% of ethnic group with each classification of degree","Black","2018/19","Lower second, third or pass","9850","42.3","%"
"% of ethnic group with each classification of degree","Black","2018/19","Unclassified","720","N/A","%"
"% of ethnic group with each classification of degree","Black","2018/19","Upper second class honours","10170","43.7","%"
"% of ethnic group with each classification of degree","Mixed","2018/19","First class honours","3550","26.1","%"
"% of ethnic group with each classification of degree","Mixed","2018/19","Lower second, third or pass","3220","23.7","%"
"% of ethnic group with each classification of degree","Mixed","2018/19","Unclassified","580","N/A","%"
"% of ethnic group with each classification of degree","Mixed","2018/19","Upper second class honours","6845","50.3","%"
"% of ethnic group with each classification of degree","Other","2018/19","First class honours","1070","22.2","%"
"% of ethnic group with each classification of degree","Other","2018/19","Lower second, third or pass","1615","33.4","%"
"% of ethnic group with each classification of degree","Other","2018/19","Unclassified","285","N/A","%"
"% of ethnic group with each classification of degree","Other","2018/19","Upper second class honours","2145","44.4","%"
"% of ethnic group with each classification of degree","Unknown","2018/19","First class honours","1105","18.6","%"
"% of ethnic group with each classification of degree","Unknown","2018/19","Lower second, third or pass","2680","45.2","%"
"% of ethnic group with each classification of degree","Unknown","2018/19","Unclassified","605","N/A","%"
"% of ethnic group with each classification of degree","Unknown","2018/19","Upper second class honours","2140","36.1","%"
"% of ethnic group with each classification of degree","White","2018/19","First class honours","78500","31.4","%"
"% of ethnic group with each classification of degree","White","2018/19","Lower second, third or pass","47060","18.8","%"
"% of ethnic group with each classification of degree","White","2018/19","Unclassified","14725","N/A","%"
"% of ethnic group with each classification of degree","White","2018/19","Upper second class honours","124735","49.8","%"
"% of ethnic group with each classification of degree","Asian","2019/20","First class honours","11515","30.3","%"
"% of ethnic group with each classification of degree","Asian","2019/20","Lower second, third or pass","8520","22.4","%"
"% of ethnic group with each classification of degree","Asian","2019/20","Unclassified","2710","N/A","%"
"% of ethnic group with each classification of degree","Asian","2019/20","Upper second class honours","17925","47.2","%"
"% of ethnic group with each classification of degree","Black","2019/20","First class honours","4340","19.1","%"
"% of ethnic group with each classification of degree","Black","2019/20","Lower second, third or pass","7800","34.2","%"
"% of ethnic group with each classification of degree","Black","2019/20","Unclassified","750","N/A","%"
"% of ethnic group with each classification of degree","Black","2019/20","Upper second class honours","10640","46.7","%"
"% of ethnic group with each classification of degree","Mixed","2019/20","First class honours","4575","33.2","%"
"% of ethnic group with each classification of degree","Mixed","2019/20","Lower second, third or pass","2450","17.8","%"
"% of ethnic group with each classification of degree","Mixed","2019/20","Unclassified","565","N/A","%"
"% of ethnic group with each classification of degree","Mixed","2019/20","Upper second class honours","6740","49","%"
"% of ethnic group with each classification of degree","Other","2019/20","First class honours","1415","28","%"
"% of ethnic group with each classification of degree","Other","2019/20","Lower second, third or pass","1255","24.8","%"
"% of ethnic group with each classification of degree","Other","2019/20","Unclassified","290","N/A","%"
"% of ethnic group with each classification of degree","Other","2019/20","Upper second class honours","2385","47.2","%"
"% of ethnic group with each classification of degree","Unknown","2019/20","First class honours","1370","22.5","%"
"% of ethnic group with each classification of degree","Unknown","2019/20","Lower second, third or pass","2365","38.9","%"
"% of ethnic group with each classification of degree","Unknown","2019/20","Unclassified","635","N/A","%"
"% of ethnic group with each classification of degree","Unknown","2019/20","Upper second class honours","2350","38.6","%"
"% of ethnic group with each classification of degree","White","2019/20","First class honours","92260","38.2","%"
"% of ethnic group with each classification of degree","White","2019/20","Lower second, third or pass","34100","14.1","%"
"% of ethnic group with each classification of degree","White","2019/20","Unclassified","12585","N/A","%"
"% of ethnic group with each classification of degree","White","2019/20","Upper second class honours","114885","47.6","%"
