"Measure","Ethnic Group","Academic year","Classification of first degree","Count","Value"
"% of ethnic group with each classification of degree","Unknown","2013/14","Lower second, third or passs","3570","47.5"
"% of ethnic group with each classification of degree","Unknown","2013/14","Unclassified","910","N/A"
"% of ethnic group with each classification of degree","White","2013/14","First class honours","58385","22.4"
"% of ethnic group with each classification of degree","White","2013/14","Upper second class honours","139000","53.3"
"% of ethnic group with each classification of degree","White","2013/14","Lower second, third or passs","63570","24.4"
"% of ethnic group with each classification of degree","White","2013/14","Unclassified","17755","N/A"
"% of ethnic group with each classification of degree","Asian","2014/15","First class honours","5230","17.7"
"% of ethnic group with each classification of degree","Asian","2014/15","Upper second class honours","14005","47.5"
"% of ethnic group with each classification of degree","Asian","2014/15","Lower second, third or passs","10270","34.8"
"% of ethnic group with each classification of degree","Asian","2014/15","Unclassified","2640","N/A"
"% of ethnic group with each classification of degree","Black","2014/15","First class honours","1870","9.8"
"% of ethnic group with each classification of degree","Black","2014/15","Upper second class honours","7845","41"
"% of ethnic group with each classification of degree","Black","2014/15","Lower second, third or passs","9420","49.2"
"% of ethnic group with each classification of degree","Black","2014/15","Unclassified","710","N/A"
"% of ethnic group with each classification of degree","Mixed","2014/15","First class honours","2015","19.6"
"% of ethnic group with each classification of degree","Mixed","2014/15","Upper second class honours","5395","52.5"
"% of ethnic group with each classification of degree","Mixed","2014/15","Lower second, third or passs","2870","27.9"
"% of ethnic group with each classification of degree","Mixed","2014/15","Unclassified","560","N/A"
"% of ethnic group with each classification of degree","Other","2014/15","First class honours","575","17.1"
"% of ethnic group with each classification of degree","Other","2014/15","Upper second class honours","1530","45.5"
"% of ethnic group with each classification of degree","Other","2014/15","Lower second, third or passs","1255","37.4"
"% of ethnic group with each classification of degree","Other","2014/15","Unclassified","240","N/A"
"% of ethnic group with each classification of degree","Total","2014/15","First class honours","68495","22.8"
"% of ethnic group with each classification of degree","Total","2014/15","Upper second class honours","153510","51.1"
"% of ethnic group with each classification of degree","Total","2014/15","Lower second, third or passs","78405","26.1"
"% of ethnic group with each classification of degree","Total","2014/15","Unclassified","20715","N/A"
"% of ethnic group with each classification of degree","Unknown","2014/15","First class honours","920","15.3"
"% of ethnic group with each classification of degree","Unknown","2014/15","Upper second class honours","2190","36.4"
"% of ethnic group with each classification of degree","Unknown","2014/15","Lower second, third or passs","2915","48.4"
"% of ethnic group with each classification of degree","Unknown","2014/15","Unclassified","765","N/A"
"% of ethnic group with each classification of degree","White","2014/15","First class honours","58805","24.7"
"% of ethnic group with each classification of degree","White","2014/15","Upper second class honours","124735","52.4"
"% of ethnic group with each classification of degree","White","2014/15","Lower second, third or passs","54590","22.9"
"% of ethnic group with each classification of degree","White","2014/15","Unclassified","16565","N/A"
"% of ethnic group with each classification of degree","Asian","2015/16","First class honours","5705","18.4"
"% of ethnic group with each classification of degree","Asian","2015/16","Upper second class honours","14860","48"
"% of ethnic group with each classification of degree","Asian","2015/16","Lower second, third or passs","10365","33.5"
"% of ethnic group with each classification of degree","Asian","2015/16","Unclassified","2605","N/A"
"% of ethnic group with each classification of degree","Black","2015/16","First class honours","2145","10.9"
"% of ethnic group with each classification of degree","Black","2015/16","Upper second class honours","8265","42.2"
"% of ethnic group with each classification of degree","Black","2015/16","Lower second, third or passs","9195","46.9"
"% of ethnic group with each classification of degree","Black","2015/16","Unclassified","760","N/A"
"% of ethnic group with each classification of degree","Mixed","2015/16","First class honours","2300","20.9"
"% of ethnic group with each classification of degree","Mixed","2015/16","Upper second class honours","5680","51.6"
"% of ethnic group with each classification of degree","Mixed","2015/16","Lower second, third or passs","3020","27.5"
"% of ethnic group with each classification of degree","Mixed","2015/16","Unclassified","450","N/A"
"% of ethnic group with each classification of degree","Other","2015/16","First class honours","675","17.7"
"% of ethnic group with each classification of degree","Other","2015/16","Upper second class honours","1795","47.1"
"% of ethnic group with each classification of degree","Other","2015/16","Lower second, third or passs","1345","35.3"
"% of ethnic group with each classification of degree","Other","2015/16","Unclassified","245","N/A"
"% of ethnic group with each classification of degree","Total","2015/16","First class honours","74245","24.3"
"% of ethnic group with each classification of degree","Total","2015/16","Upper second class honours","155780","50.9"
"% of ethnic group with each classification of degree","Total","2015/16","Lower second, third or passs","76030","24.8"
"% of ethnic group with each classification of degree","Total","2015/16","Unclassified","19855","N/A"
"% of ethnic group with each classification of degree","Unknown","2015/16","First class honours","855","15.1"
"% of ethnic group with each classification of degree","Unknown","2015/16","Upper second class honours","2045","36.2"
"% of ethnic group with each classification of degree","Unknown","2015/16","Lower second, third or passs","2755","48.7"
"% of ethnic group with each classification of degree","Unknown","2015/16","Unclassified","620","N/A"
"% of ethnic group with each classification of degree","White","2015/16","First class honours","63420","26.4"
"% of ethnic group with each classification of degree","White","2015/16","Upper second class honours","125180","52"
"% of ethnic group with each classification of degree","White","2015/16","Lower second, third or passs","52105","21.7"
"% of ethnic group with each classification of degree","White","2015/16","Unclassified","15795","N/A"
"% of ethnic group with each classification of degree","Asian","2016/17","First class honours","6850","20.8"
"% of ethnic group with each classification of degree","Asian","2016/17","Upper second class honours","15940","48.4"
"% of ethnic group with each classification of degree","Asian","2016/17","Lower second, third or passs","10125","30.8"
"% of ethnic group with each classification of degree","Asian","2016/17","Unclassified","2605","N/A"
"% of ethnic group with each classification of degree","Black","2016/17","First class honours","2510","12.3"
"% of ethnic group with each classification of degree","Black","2016/17","Upper second class honours","8865","43.3"
"% of ethnic group with each classification of degree","Black","2016/17","Lower second, third or passs","9105","44.5"
"% of ethnic group with each classification of degree","Black","2016/17","Unclassified","660","N/A"
"% of ethnic group with each classification of degree","Mixed","2016/17","First class honours","2835","24.2"
"% of ethnic group with each classification of degree","Mixed","2016/17","Upper second class honours","5900","50.3"
"% of ethnic group with each classification of degree","Mixed","2016/17","Lower second, third or passs","2990","25.5"
"% of ethnic group with each classification of degree","Mixed","2016/17","Unclassified","540","N/A"
"% of ethnic group with each classification of degree","Other","2016/17","First class honours","840","20.5"
"% of ethnic group with each classification of degree","Other","2016/17","Upper second class honours","1920","46.8"
"% of ethnic group with each classification of degree","Other","2016/17","Lower second, third or passs","1345","32.8"
"% of ethnic group with each classification of degree","Other","2016/17","Unclassified","230","N/A"
"% of ethnic group with each classification of degree","Total","2016/17","First class honours","84375","26.5"
"% of ethnic group with each classification of degree","Total","2016/17","Upper second class honours","159630","50.1"
"% of ethnic group with each classification of degree","Total","2016/17","Lower second, third or passs","74540","23.4"
"% of ethnic group with each classification of degree","Total","2016/17","Unclassified","19195","N/A"
"% of ethnic group with each classification of degree","Unknown","2016/17","First class honours","1010","16.9"
"% of ethnic group with each classification of degree","Unknown","2016/17","Upper second class honours","2210","37.1"
"% of ethnic group with each classification of degree","Unknown","2016/17","Lower second, third or passs","2745","46"
"% of ethnic group with each classification of degree","Unknown","2016/17","Unclassified","540","N/A"
"% of ethnic group with each classification of degree","White","2016/17","First class honours","71340","28.6"
"% of ethnic group with each classification of degree","White","2016/17","Upper second class honours","127005","50.9"
"% of ethnic group with each classification of degree","White","2016/17","Lower second, third or passs","50975","20.5"
"% of ethnic group with each classification of degree","White","2016/17","Unclassified","15160","N/A"
"% of ethnic group with each classification of degree","Asian","2017/18","First class honours","7845","22.7"
"% of ethnic group with each classification of degree","Asian","2017/18","Upper second class honours","16555","47.9"
"% of ethnic group with each classification of degree","Asian","2017/18","Lower second, third or passs","10190","29.5"
"% of ethnic group with each classification of degree","Asian","2017/18","Unclassified","2705","N/A"
"% of ethnic group with each classification of degree","Black","2017/18","First class honours","2970","14"
"% of ethnic group with each classification of degree","Black","2017/18","Upper second class honours","9245","43.5"
"% of ethnic group with each classification of degree","Black","2017/18","Lower second, third or passs","9035","42.5"
"% of ethnic group with each classification of degree","Black","2017/18","Unclassified","720","N/A"
"% of ethnic group with each classification of degree","Mixed","2017/18","First class honours","3330","26.3"
"% of ethnic group with each classification of degree","Mixed","2017/18","Upper second class honours","6430","50.9"
"% of ethnic group with each classification of degree","Mixed","2017/18","Lower second, third or passs","2885","22.8"
"% of ethnic group with each classification of degree","Mixed","2017/18","Unclassified","535","N/A"
"% of ethnic group with each classification of degree","Other","2017/18","First class honours","940","21.8"
"% of ethnic group with each classification of degree","Other","2017/18","Upper second class honours","1990","46.1"
"% of ethnic group with each classification of degree","Other","2017/18","Lower second, third or passs","1390","32.2"
"% of ethnic group with each classification of degree","Other","2017/18","Unclassified","300","N/A"
"% of ethnic group with each classification of degree","Total","2017/18","First class honours","91660","28.6"
"% of ethnic group with each classification of degree","Total","2017/18","Upper second class honours","158220","49.3"
"% of ethnic group with each classification of degree","Total","2017/18","Lower second, third or passs","70845","22.1"
"% of ethnic group with each classification of degree","Total","2017/18","Unclassified","18750","N/A"
"% of ethnic group with each classification of degree","Unknown","2017/18","First class honours","1030","18.4"
"% of ethnic group with each classification of degree","Unknown","2017/18","Upper second class honours","1970","35.3"
"% of ethnic group with each classification of degree","Unknown","2017/18","Lower second, third or passs","2585","46.3"
"% of ethnic group with each classification of degree","Unknown","2017/18","Unclassified","570","N/A"
"% of ethnic group with each classification of degree","White","2017/18","First class honours","76575","30.9"
"% of ethnic group with each classification of degree","White","2017/18","Upper second class honours","124000","50"
"% of ethnic group with each classification of degree","White","2017/18","Lower second, third or passs","47345","19.1"
"% of ethnic group with each classification of degree","White","2017/18","Unclassified","14490","N/A"
"% of ethnic group with each classification of degree","Asian","2018/19","First class honours","8420","23"
"% of ethnic group with each classification of degree","Asian","2018/19","Upper second class honours","17380","47.5"
"% of ethnic group with each classification of degree","Asian","2018/19","Lower second, third or passs","10780","29.5"
"% of ethnic group with each classification of degree","Asian","2018/19","Unclassified","2585","N/A"
"% of ethnic group with each classification of degree","Black","2018/19","First class honours","3195","14.5"
"% of ethnic group with each classification of degree","Black","2018/19","Upper second class honours","9760","44.3"
"% of ethnic group with each classification of degree","Black","2018/19","Lower second, third or passs","9070","41.2"
"% of ethnic group with each classification of degree","Black","2018/19","Unclassified","710","N/A"
"% of ethnic group with each classification of degree","Mixed","2018/19","First class honours","3500","26.2"
"% of ethnic group with each classification of degree","Mixed","2018/19","Upper second class honours","6725","50.4"
"% of ethnic group with each classification of degree","Mixed","2018/19","Lower second, third or passs","3120","23.4"
"% of ethnic group with each classification of degree","Mixed","2018/19","Unclassified","570","N/A"
"% of ethnic group with each classification of degree","Other","2018/19","First class honours","1060","22.7"
"% of ethnic group with each classification of degree","Other","2018/19","Upper second class honours","2080","44.6"
"% of ethnic group with each classification of degree","Other","2018/19","Lower second, third or passs","1515","32.5"
"% of ethnic group with each classification of degree","Other","2018/19","Unclassified","280","N/A"
"% of ethnic group with each classification of degree","Total","2018/19","First class honours","93850","29"
"% of ethnic group with each classification of degree","Total","2018/19","Upper second class honours","159075","49.2"
"% of ethnic group with each classification of degree","Total","2018/19","Lower second, third or passs","70470","21.8"
"% of ethnic group with each classification of degree","Total","2018/19","Unclassified","18820","N/A"
"% of ethnic group with each classification of degree","Unknown","2018/19","First class honours","1075","18.6"
"% of ethnic group with each classification of degree","Unknown","2018/19","Upper second class honours","2090","36.1"
"% of ethnic group with each classification of degree","Unknown","2018/19","Lower second, third or passs","2630","45.4"
"% of ethnic group with each classification of degree","Unknown","2018/19","Unclassified","600","N/A"
"% of ethnic group with each classification of degree","White","2018/19","First class honours","77675","31.5"
"% of ethnic group with each classification of degree","White","2018/19","Upper second class honours","123130","49.9"
"% of ethnic group with each classification of degree","White","2018/19","Lower second, third or passs","45980","18.6"
"% of ethnic group with each classification of degree","White","2018/19","Unclassified","14670","N/A"
