"Region","Ethnicity","%"
"North East","White Gypsy/Traveller","29"
"North East","White other","29"
"North East","Other",""
"North East","Arab","31"
"North East","Any other","41"
"North West","Asian",""
"North West","Bangladeshi","27"
"North West","Chinese","33"
"North West","Indian","35"
"North West","Pakistani","32"
"North West","Asian other","35"
"North West","Black",""
"North West","Black African","33"
"North West","Black Caribbean","36"
"North West","Black other","36"
"North West","Mixed",""
"North West","Mixed White/Asian","35"
"North West","Mixed White/Black African","35"
"North West","Mixed White/Black Caribbean","36"
"North West","Mixed other","35"
"North West","White",""
"North West","White British","34"
"North West","White Irish","36"
"North West","White Gypsy/Traveller","32"
"North West","White other","29"
"North West","Other",""
"North West","Arab","35"
"North West","Any other","35"
"South East","Asian",""
"South East","Bangladeshi","34"
"South East","Chinese","30"
"South East","Indian","39"
"South East","Pakistani","35"
"South East","Asian other","37"
"South East","Black",""
"South East","Black African","38"
"South East","Black Caribbean","42"
"South East","Black other","37"
"South East","Mixed",""
"South East","Mixed White/Asian","38"
"South East","Mixed White/Black African","38"
"South East","Mixed White/Black Caribbean","39"
"South East","Mixed other","38"
"South East","White",""
"South East","White British","38"
"South East","White Irish","40"
"South East","White Gypsy/Traveller","40"
"South East","White other","36"
"South East","Other",""
"South East","Arab","37"
"South East","Any other","35"
"South West","Asian",""
"South West","Bangladeshi","29"
"South West","Chinese","40"
"South West","Indian","31"
"South West","Pakistani","36"
"South West","Asian other","35"
"South West","Black",""
"South West","Black African","33"
"South West","Black Caribbean","36"
"South West","Black other","37"
"South West","Mixed",""
"South West","Mixed White/Asian","32"
"South West","Mixed White/Black African","35"
"South West","Mixed White/Black Caribbean","39"
"South West","Mixed other","34"
"South West","White",""
"South West","White British","34"
"South West","White Irish","38"
"South West","White Gypsy/Traveller","34"
"South West","White other","28"
"South West","Other",""
"South West","Arab","35"
"South West","Any other","34"
"West Midlands","Asian",""
"West Midlands","Bangladeshi","31"
"West Midlands","Chinese","31"
"West Midlands","Indian","36"
"West Midlands","Pakistani","32"
"West Midlands","Asian other","39"
"West Midlands","Black",""
"West Midlands","Black African","35"
"West Midlands","Black Caribbean","37"
"West Midlands","Black other","36"
"West Midlands","Mixed",""
"West Midlands","Mixed White/Asian","37"
"West Midlands","Mixed White/Black African","34"
"West Midlands","Mixed White/Black Caribbean","38"
"West Midlands","Mixed other","37"
"West Midlands","White",""
"West Midlands","White British","35"
"West Midlands","White Irish","37"
"West Midlands","White Gypsy/Traveller","31"
"West Midlands","White other","31"
"West Midlands","Other",""
"West Midlands","Arab","37"
"West Midlands","Any other","39"
"Yorkshire & Humber","Asian",""
"Yorkshire & Humber","Bangladeshi","30"
"Yorkshire & Humber","Chinese","34"
"Yorkshire & Humber","Indian","37"
"Yorkshire & Humber","Pakistani","32"
"Yorkshire & Humber","Asian other","35"
"Yorkshire & Humber","Black",""
"Yorkshire & Humber","Black African","33"
"Yorkshire & Humber","Black Caribbean","35"
"Yorkshire & Humber","Black other","33"
"Yorkshire & Humber","Mixed",""
"Yorkshire & Humber","Mixed White/Asian","35"
"Yorkshire & Humber","Mixed White/Black African","33"
"Yorkshire & Humber","Mixed White/Black Caribbean","34"
"Yorkshire & Humber","Mixed other","33"
"Yorkshire & Humber","White",""
"Yorkshire & Humber","White British","34"
"Yorkshire & Humber","White Irish","35"
"Yorkshire & Humber","White Gypsy/Traveller","27"
"Yorkshire & Humber","White other","27"
"Yorkshire & Humber","Other",""
"Yorkshire & Humber","Arab","33"
"Yorkshire & Humber","Any other","34"
