"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Mixed","ONS 5+2","K02000001","72","%","531"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Mixed","ONS 5+2","K02000001","5","%","531"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Mixed","ONS 5+2","K02000001","1","%","531"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Mixed","ONS 5+2","K02000001","4","%","531"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Mixed","ONS 5+2","K02000001","2","%","531"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Mixed","ONS 5+2","K02000001","3","%","531"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Mixed","ONS 5+2","K02000001","1","%","531"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Mixed","ONS 5+2","K02000001","9","%","531"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Mixed","ONS 5+2","K02000001","4","%","531"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Asian","ONS 5+2","K02000001","69","%","2622"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Asian","ONS 5+2","K02000001","6","%","2622"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Asian","ONS 5+2","K02000001","1","%","2622"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Asian","ONS 5+2","K02000001","4","%","2622"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Asian","ONS 5+2","K02000001","3","%","2622"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Asian","ONS 5+2","K02000001","2","%","2622"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Asian","ONS 5+2","K02000001","1","%","2622"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Asian","ONS 5+2","K02000001","7","%","2622"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Asian","ONS 5+2","K02000001","7","%","2622"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Indian","ONS 5+2","K02000001","77","%","1127"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Indian","ONS 5+2","K02000001","6","%","1127"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","%","1127"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Indian","ONS 5+2","K02000001","2","%","1127"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","%","1127"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Indian","ONS 5+2","K02000001","2","%","1127"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","%","1127"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Indian","ONS 5+2","K02000001","5","%","1127"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","%","1127"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","56","%","618"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","9","%","618"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","-","%","618"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","10","%","618"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","3","%","618"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","1","%","618"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","2","%","618"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","12","%","618"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","8","%","618"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","55","%","221"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","5","%","221"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","-","%","221"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","9","%","221"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","4","%","221"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","%","221"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","%","221"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","16","%","221"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","7","%","221"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Chinese","ONS 5+2","K02000001","63","%","236"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Chinese","ONS 5+2","K02000001","5","%","236"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Chinese","ONS 5+2","K02000001","2","%","236"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","%","236"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","%","236"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Chinese","ONS 5+2","K02000001","2","%","236"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Chinese","ONS 5+2","K02000001","-","%","236"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Chinese","ONS 5+2","K02000001","3","%","236"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Chinese","ONS 5+2","K02000001","23","%","236"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Asian other","ONS 5+2","K02000001","70","%","420"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Asian other","ONS 5+2","K02000001","5","%","420"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Asian other","ONS 5+2","K02000001","1","%","420"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Asian other","ONS 5+2","K02000001","3","%","420"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Asian other","ONS 5+2","K02000001","2","%","420"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Asian other","ONS 5+2","K02000001","2","%","420"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Asian other","ONS 5+2","K02000001","-","%","420"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Asian other","ONS 5+2","K02000001","8","%","420"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Asian other","ONS 5+2","K02000001","9","%","420"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Black","ONS 5+2","K02000001","67","%","1457"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Black","ONS 5+2","K02000001","5","%","1457"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Black","ONS 5+2","K02000001","-","%","1457"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Black","ONS 5+2","K02000001","4","%","1457"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Black","ONS 5+2","K02000001","3","%","1457"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Black","ONS 5+2","K02000001","2","%","1457"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Black","ONS 5+2","K02000001","1","%","1457"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Black","ONS 5+2","K02000001","12","%","1457"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Black","ONS 5+2","K02000001","5","%","1457"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","Other","ONS 5+2","K02000001","67","%","597"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","Other","ONS 5+2","K02000001","6","%","597"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Other","ONS 5+2","K02000001","1","%","597"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Other","ONS 5+2","K02000001","3","%","597"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","Other","ONS 5+2","K02000001","3","%","597"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","Other","ONS 5+2","K02000001","4","%","597"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","Other","ONS 5+2","K02000001","1","%","597"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Other","ONS 5+2","K02000001","8","%","597"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Other","ONS 5+2","K02000001","6","%","597"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","All","ONS 5+2","K02000001","64","%","66320"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","All","ONS 5+2","K02000001","8","%","66320"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","All","ONS 5+2","K02000001","2","%","66320"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","All","ONS 5+2","K02000001","2","%","66320"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","All","ONS 5+2","K02000001","7","%","66320"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","All","ONS 5+2","K02000001","8","%","66320"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","All","ONS 5+2","K02000001","1","%","66320"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","All","ONS 5+2","K02000001","6","%","66320"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","All","ONS 5+2","K02000001","3","%","66320"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","White","ONS 5+2","K02000001","64","%","61420"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","White","ONS 5+2","K02000001","8","%","61420"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","White","ONS 5+2","K02000001","2","%","61420"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","White","ONS 5+2","K02000001","2","%","61420"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","White","ONS 5+2","K02000001","7","%","61420"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","White","ONS 5+2","K02000001","8","%","61420"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","White","ONS 5+2","K02000001","1","%","61420"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","White","ONS 5+2","K02000001","5","%","61420"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","White","ONS 5+2","K02000001","3","%","61420"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","White British","ONS 5+2","K02000001","63","%","58941"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","White British","ONS 5+2","K02000001","7","%","58941"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","White British","ONS 5+2","K02000001","2","%","58941"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","White British","ONS 5+2","K02000001","2","%","58941"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","White British","ONS 5+2","K02000001","8","%","58941"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","White British","ONS 5+2","K02000001","9","%","58941"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","White British","ONS 5+2","K02000001","2","%","58941"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","White British","ONS 5+2","K02000001","5","%","58941"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","White British","ONS 5+2","K02000001","2","%","58941"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","White other","ONS 5+2","K02000001","72","%","2479"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","White other","ONS 5+2","K02000001","10","%","2479"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","White other","ONS 5+2","K02000001","1","%","2479"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","White other","ONS 5+2","K02000001","2","%","2479"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","White other","ONS 5+2","K02000001","3","%","2479"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","White other","ONS 5+2","K02000001","3","%","2479"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","White other","ONS 5+2","K02000001","1","%","2479"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","White other","ONS 5+2","K02000001","5","%","2479"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","White other","ONS 5+2","K02000001","4","%","2479"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Mixed","ONS 5+2","K02000001","66","%","491"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Mixed","ONS 5+2","K02000001","8","%","491"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Mixed","ONS 5+2","K02000001","-","%","491"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Mixed","ONS 5+2","K02000001","4","%","491"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Mixed","ONS 5+2","K02000001","2","%","491"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Mixed","ONS 5+2","K02000001","3","%","491"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Mixed","ONS 5+2","K02000001","1","%","491"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Mixed","ONS 5+2","K02000001","10","%","491"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Mixed","ONS 5+2","K02000001","7","%","491"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Asian","ONS 5+2","K02000001","68","%","2454"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Asian","ONS 5+2","K02000001","8","%","2454"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Asian","ONS 5+2","K02000001","1","%","2454"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Asian","ONS 5+2","K02000001","4","%","2454"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Asian","ONS 5+2","K02000001","3","%","2454"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Asian","ONS 5+2","K02000001","2","%","2454"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Asian","ONS 5+2","K02000001","1","%","2454"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Asian","ONS 5+2","K02000001","7","%","2454"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Asian","ONS 5+2","K02000001","6","%","2454"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Indian","ONS 5+2","K02000001","75","%","1047"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Indian","ONS 5+2","K02000001","9","%","1047"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Indian","ONS 5+2","K02000001","1","%","1047"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Indian","ONS 5+2","K02000001","1","%","1047"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Indian","ONS 5+2","K02000001","3","%","1047"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Indian","ONS 5+2","K02000001","2","%","1047"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Indian","ONS 5+2","K02000001","1","%","1047"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Indian","ONS 5+2","K02000001","4","%","1047"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Indian","ONS 5+2","K02000001","3","%","1047"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","57","%","570"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","10","%","570"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","-","%","570"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","10","%","570"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","3","%","570"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","1","%","570"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","2","%","570"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","12","%","570"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","5","%","570"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","55","%","228"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","3","%","228"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","-","%","228"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","10","%","228"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","5","%","228"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","3","%","228"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","1","%","228"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","15","%","228"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","7","%","228"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Chinese","ONS 5+2","K02000001","65","%","213"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Chinese","ONS 5+2","K02000001","4","%","213"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Chinese","ONS 5+2","K02000001","1","%","213"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Chinese","ONS 5+2","K02000001","1","%","213"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Chinese","ONS 5+2","K02000001","2","%","213"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Chinese","ONS 5+2","K02000001","2","%","213"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Chinese","ONS 5+2","K02000001","-","%","213"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Chinese","ONS 5+2","K02000001","3","%","213"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Chinese","ONS 5+2","K02000001","22","%","213"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Asian other","ONS 5+2","K02000001","68","%","396"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Asian other","ONS 5+2","K02000001","5","%","396"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Asian other","ONS 5+2","K02000001","-","%","396"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Asian other","ONS 5+2","K02000001","3","%","396"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Asian other","ONS 5+2","K02000001","2","%","396"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Asian other","ONS 5+2","K02000001","2","%","396"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Asian other","ONS 5+2","K02000001","1","%","396"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Asian other","ONS 5+2","K02000001","8","%","396"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Asian other","ONS 5+2","K02000001","10","%","396"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Black","ONS 5+2","K02000001","65","%","1355"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Black","ONS 5+2","K02000001","6","%","1355"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Black","ONS 5+2","K02000001","-","%","1355"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Black","ONS 5+2","K02000001","5","%","1355"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Black","ONS 5+2","K02000001","3","%","1355"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Black","ONS 5+2","K02000001","2","%","1355"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Black","ONS 5+2","K02000001","1","%","1355"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Black","ONS 5+2","K02000001","13","%","1355"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Black","ONS 5+2","K02000001","5","%","1355"
"Gross household income by ethnic group of the head of the household","Wages/salary","2010/11-2012/13","Other","ONS 5+2","K02000001","68","%","600"
"Gross household income by ethnic group of the head of the household","Self-employment","2010/11-2012/13","Other","ONS 5+2","K02000001","6","%","600"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Other","ONS 5+2","K02000001","1","%","600"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Other","ONS 5+2","K02000001","3","%","600"
"Gross household income by ethnic group of the head of the household","State pension","2010/11-2012/13","Other","ONS 5+2","K02000001","3","%","600"
"Gross household income by ethnic group of the head of the household","Private pension","2010/11-2012/13","Other","ONS 5+2","K02000001","4","%","600"
"Gross household income by ethnic group of the head of the household","Disability benefit","2010/11-2012/13","Other","ONS 5+2","K02000001","1","%","600"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Other","ONS 5+2","K02000001","8","%","600"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Other","ONS 5+2","K02000001","6","%","600"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","All","ONS 5+2","K02000001","65","%","61106"
