"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","8","1391","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","88","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1391","1391","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","139","3686","3.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","75","3686","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","38","3686","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3422","3686","92.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","12","3686","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","204","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3686","3686","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","363","7741","4.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","180","7741","2.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","92","7741","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7056","7741","91.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","50","7741","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","336","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7741","7741","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","851","15006","5.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","463","15006","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","178","15006","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","13408","15006","89.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","106","15006","0.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","535","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","15006","15006","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","2640","38302","6.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1405","38302","3.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","500","38302","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","33377","38302","87.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","380","38302","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1339","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","38302","38302","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","7222","112080","6.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","5109","112080","4.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1438","112080","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","96735","112080","86.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1576","112080","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","3934","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","112080","112080","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","14458","198604","7.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","11617","198604","5.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","2774","198604","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","165872","198604","83.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","3883","198604","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","7630","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","198604","198604","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","23046","211135","10.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","16260","211135","7.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","3341","211135","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","161892","211135","76.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","6596","211135","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","9836","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","211135","211135","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","5584","91016","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","4378","91016","4.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","1397","91016","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","78823","91016","86.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","834","91016","0.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","3406","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","91016","91016","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8521","140133","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8593","140133","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","2087","140133","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","119212","140133","85.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","1720","140133","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","5587","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","140133","140133","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","13638","175285","7.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","10569","175285","6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","2691","175285","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","144975","175285","82.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","3412","175285","1.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","7411","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","175285","175285","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","3064","33421","9.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","2273","33421","6.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","532","33421","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","26826","33421","80.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","726","33421","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","1669","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","33421","33421","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Non-medical","Unspecified","Other grade","Other grade","1086","13919","7.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Non-medical","Unspecified","Other grade","Other grade","736","13919","5.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Non-medical","Unspecified","Other grade","Other grade","246","13919","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Non-medical","Unspecified","Other grade","Other grade","11673","13919","83.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Non-medical","Unspecified","Other grade","Other grade","178","13919","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Non-medical","Unspecified","Other grade","Other grade","1341","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Non-medical","Unspecified","Other grade","Other grade","13919","13919","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","13669","45827","29.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1301","45827","2.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","992","45827","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","28341","45827","61.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1524","45827","3.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","2780","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","45827","45827","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","913","2197","41.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","112","2197","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","69","2197","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","904","2197","41.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","199","2197","9.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","140","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","2197","2197","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","3174","7048","45","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","361","7048","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","210","7048","3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","2806","7048","39.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","497","7048","7.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","589","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Specialty Doctor","7048","7048","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","149","394","37.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","31","394","7.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","17","394","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","177","394","44.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","20","394","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","38","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Career grade (Senior doctors)","Staff Grade","394","394","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","8962","28478","31.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1488","28478","5.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1080","28478","3.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","15720","28478","55.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","1228","28478","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","3236","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Specialty Registrar","28478","28478","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","2778","8895","31.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","477","8895","5.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","388","8895","4.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","4877","8895","54.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","375","8895","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","1013","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","8895","8895","100","%"
