"Ethnicity","Local Authority ","%","Number"
"All","Wolverhampton","65","2,121"
"All","Worcestershire","61","3,797"
"All","York","66","1,254"
"Asian","Barking and Dagenham","75","515"
"Asian","Barnet","79","345"
"Asian","Barnsley","71","12"
"Asian","Bath and North East Somerset","64","18"
"Asian","Bedford","48","151"
"Asian","Bexley","86","216"
"Asian","Birmingham","63","3,607"
"Asian","Blackburn with Darwen","68","677"
"Asian","Blackpool","71","22"
"Asian","Bolton","68","605"
"Asian","Bournemouth","88","60"
"Asian","Bracknell Forest","74","63"
"Asian","Bradford","63","2,055"
"Asian","Brent","68","711"
"Asian","Brighton and Hove","65","60"
"Asian","Bristol, City of","55","210"
"Asian","Bromley","82","160"
"Asian","Buckinghamshire","69","703"
"Asian","Bury","52","177"
"Asian","Calderdale","62","250"
"Asian","Cambridgeshire","68","189"
"Asian","Camden","71","221"
"Asian","Central Bedfordshire","71","60"
"Asian","Cheshire East","72","51"
"Asian","Cheshire West and Chester","64","38"
"Asian","City of London","40","2"
"Asian","Cornwall","67","18"
"Asian","County Durham","80","28"
"Asian","Coventry","71","584"
"Asian","Croydon","76","542"
"Asian","Cumbria","81","29"
"Asian","Darlington","76","22"
"Asian","Derby","66","382"
"Asian","Derbyshire","68","63"
"Asian","Devon","77","33"
"Asian","Doncaster","62","64"
"Asian","Dorset","65","24"
"Asian","Dudley","62","266"
"Asian","Ealing","71","856"
"Asian","East Riding of Yorkshire","71","10"
"Asian","East Sussex","78","94"
"Asian","Enfield","76","298"
"Asian","Essex","85","379"
"Asian","Gateshead","61","23"
"Asian","Gloucestershire","72","144"
"Asian","Greenwich","82","200"
"Asian","Hackney","77","238"
"Asian","Halton","100","3"
"Asian","Hammersmith and Fulham","80","72"
"Asian","Hampshire","77","323"
"Asian","Haringey","74","131"
"Asian","Harrow","77","1,039"
"Asian","Hartlepool","78","21"
"Asian","Havering","78","159"
"Asian","Herefordshire, County of","86","6"
"Asian","Hertfordshire","76","798"
"Asian","Hillingdon","73","740"
"Asian","Hounslow","78","711"
"Asian","Isle of Wight","67","12"
"Asian","Isles of Scilly","N/A","N/A"
"Asian","Islington","74","111"
"Asian","Kensington and Chelsea","76","28"
"Asian","Kent","80","512"
"Asian","Kingston upon Hull, City of","85","39"
"Asian","Kingston upon Thames","75","229"
"Asian","Kirklees","61","873"
"Asian","Knowsley","86","38"
"Asian","Lambeth","75","105"
"Asian","Lancashire","63","1,013"
"Asian","Leeds","59","638"
"Asian","Leicester","68","1,293"
"Asian","Leicestershire","72","417"
"Asian","Lewisham","74","187"
"Asian","Lincolnshire","86","60"
"Asian","Liverpool","69","121"
"Asian","Luton","61","880"
"Asian","Manchester","60","914"
"Asian","Medway","76","112"
"Asian","Merton","75","411"
"Asian","Middlesbrough","70","123"
"Asian","Milton Keynes","79","348"
"Asian","Newcastle upon Tyne","69","283"
"Asian","Newham","78","1,643"
"Asian","Norfolk","72","84"
"Asian","North East Lincolnshire","79","11"
"Asian","North Lincolnshire","72","55"
"Asian","North Somerset","58","15"
"Asian","North Tyneside","73","44"
"Asian","North Yorkshire","74","64"
"Asian","Northamptonshire","66","277"
"Asian","Northumberland","74","40"
"Asian","Nottingham","68","401"
"Asian","Nottinghamshire","71","193"
"Asian","Oldham","58","671"
"Asian","Oxfordshire","63","257"
"Asian","Peterborough","55","280"
"Asian","Plymouth","69","22"
"Asian","Poole","76","28"
"Asian","Portsmouth","72","106"
"Asian","Reading","67","218"
"Asian","Redbridge","74","1,538"
"Asian","Redcar and Cleveland","67","6"
"Asian","Richmond upon Thames","76","128"
"Asian","Rochdale","56","406"
"Asian","Rotherham","70","183"
"Asian","Rutland","80","4"
"Asian","Salford","78","70"
"Asian","Sandwell","67","871"
"Asian","Sefton","77","27"
"Asian","Sheffield","67","506"
"Asian","Shropshire","88","22"
"Asian","Slough","78","845"
"Asian","Solihull","72","210"
"Asian","Somerset","69","45"
"Asian","South Gloucestershire","79","88"
"Asian","South Tyneside","63","38"
"Asian","Southampton","67","216"
"Asian","Southend-on-Sea","80","117"
"Asian","Southwark","74","128"
"Asian","St. Helens","56","14"
"Asian","Staffordshire","63","246"
"Asian","Stockport","72","167"
"Asian","Stockton-on-Tees","70","83"
"Asian","Stoke-on-Trent","56","271"
"Asian","Suffolk","73","106"
"Asian","Sunderland","68","97"
"Asian","Surrey","74","639"
"Asian","Sutton","88","378"
"Asian","Swindon","71","212"
"Asian","Tameside","61","205"
"Asian","Telford and Wrekin","74","94"
"Asian","Thurrock","79","95"
"Asian","Torbay","69","11"
"Asian","Tower Hamlets","73","1,514"
"Asian","Trafford","82","348"
"Asian","Wakefield","55","93"
"Asian","Walsall","68","589"
"Asian","Waltham Forest","73","642"
"Asian","Wandsworth","72","314"
"Asian","Warrington","79","56"
"Asian","Warwickshire","77","262"
"Asian","West Berkshire","76","51"
"Asian","West Sussex","68","290"
"Asian","Westminster","73","165"
"Asian","Wigan","76","42"
"Asian","Wiltshire","77","61"
"Asian","Windsor and Maidenhead","69","161"
"Asian","Wirral","70","80"
"Asian","Wokingham","85","233"
"Asian","Wolverhampton","74","551"
"Asian","Worcestershire","59","142"
"Asian","York","75","30"
"Black","Barking and Dagenham","69","760"
"Black","Barnet","66","329"
"Black","Barnsley","68","15"
"Black","Bath and North East Somerset","33","4"
"Black","Bedford","42","54"
"Black","Bexley","75","455"
"Black","Birmingham","60","1,230"
"Black","Blackburn with Darwen","64","21"
"Black","Blackpool","100","5"
"Black","Bolton","56","127"
"Black","Bournemouth","74","14"
"Black","Bracknell Forest","63","29"
"Black","Bradford","58","70"
"Black","Brent","59","553"
"Black","Brighton and Hove","57","30"
"Black","Bristol, City of","51","288"
"Black","Bromley","70","235"
"Black","Buckinghamshire","59","98"
"Black","Bury","59","33"
"Black","Calderdale","63","10"
"Black","Cambridgeshire","52","44"
"Black","Camden","66","219"
"Black","Central Bedfordshire","56","51"
"Black","Cheshire East","53","10"
"Black","Cheshire West and Chester","53","8"
"Black","City of London","50","1"
"Black","Cornwall","83","5"
"Black","County Durham","44","7"
"Black","Coventry","61","333"
"Black","Croydon","64","864"
"Black","Cumbria","43","3"
"Black","Darlington","80","4"
"Black","Derby","64","89"
"Black","Derbyshire","58","18"
"Black","Devon","44","7"
"Black","Doncaster","47","21"
"Black","Dorset","64","9"
"Black","Dudley","53","49"
"Black","Ealing","59","385"
"Black","East Riding of Yorkshire","50","1"
"Black","East Sussex","50","17"
"Black","Enfield","63","708"
"Black","Essex","71","379"
"Black","Gateshead","79","27"
"Black","Gloucestershire","57","51"
"Black","Greenwich","74","863"
"Black","Hackney","68","619"
"Black","Halton","75","3"
"Black","Hammersmith and Fulham","69","246"
"Black","Hampshire","61","108"
"Black","Haringey","59","485"
"Black","Harrow","66","194"
"Black","Hartlepool","100","2"
"Black","Havering","71","248"
"Black","Herefordshire, County of","0","0"
"Black","Hertfordshire","62","366"
"Black","Hillingdon","62","250"
"Black","Hounslow","64","240"
"Black","Isle of Wight","0","0"
"Black","Isles of Scilly","N/A","N/A"
"Black","Islington","60","264"
"Black","Kensington and Chelsea","70","112"
"Black","Kent","72","311"
"Black","Kingston upon Hull, City of","56","35"
"Black","Kingston upon Thames","52","30"
"Black","Kirklees","55","62"
"Black","Knowsley","94","15"
"Black","Lambeth","64","829"
"Black","Lancashire","61","43"
"Black","Leeds","53","353"
"Black","Leicester","59","288"
"Black","Leicestershire","69","55"
"Black","Lewisham","65","855"
"Black","Lincolnshire","60","21"
"Black","Liverpool","64","158"
"Black","Luton","57","196"
"Black","Manchester","65","796"
"Black","Medway","74","151"
"Black","Merton","62","211"
"Black","Middlesbrough","53","17"
"Black","Milton Keynes","63","362"
"Black","Newcastle upon Tyne","69","98"
"Black","Newham","76","835"
"Black","Norfolk","59","51"
"Black","North East Lincolnshire","100","5"
"Black","North Lincolnshire","29","2"
"Black","North Somerset","50","4"
"Black","North Tyneside","70","19"
"Black","North Yorkshire","40","8"
"Black","Northamptonshire","58","274"
"Black","Northumberland","100","6"
"Black","Nottingham","63","236"
"Black","Nottinghamshire","61","55"
"Black","Oldham","69","75"
"Black","Oxfordshire","60","103"
"Black","Peterborough","59","66"
"Black","Plymouth","54","15"
"Black","Poole","33","3"
"Black","Portsmouth","68","46"
"Black","Reading","58","98"
"Black","Redbridge","63","278"
"Black","Redcar and Cleveland","67","2"
"Black","Richmond upon Thames","66","43"
"Black","Rochdale","57","69"
"Black","Rotherham","60","32"
"Black","Rutland","0","0"
"Black","Salford","72","109"
"Black","Sandwell","63","277"
"Black","Sefton","82","9"
"Black","Sheffield","60","232"
"Black","Shropshire","40","2"
"Black","Slough","64","124"
"Black","Solihull","67","36"
"Black","Somerset","71","15"
"Black","South Gloucestershire","59","30"
"Black","South Tyneside","80","8"
"Black","Southampton","61","56"
"Black","Southend-on-Sea","74","67"
"Black","Southwark","65","902"
"Black","St. Helens","36","4"
"Black","Staffordshire","70","51"
"Black","Stockport","48","22"
"Black","Stockton-on-Tees","74","25"
"Black","Stoke-on-Trent","63","64"
"Black","Suffolk","57","35"
"Black","Sunderland","74","20"
"Black","Surrey","62","119"
"Black","Sutton","73","131"
"Black","Swindon","61","54"
"Black","Tameside","61","38"
"Black","Telford and Wrekin","58","49"
"Black","Thurrock","77","286"
"Black","Torbay","67","2"
"Black","Tower Hamlets","64","228"
"Black","Trafford","75","93"
"Black","Wakefield","60","28"
"Black","Walsall","62","115"
"Black","Waltham Forest","66","418"
"Black","Wandsworth","61","364"
"Black","Warrington","57","8"
"Black","Warwickshire","55","46"
"Black","West Berkshire","55","11"
"Black","West Sussex","51","71"
"Black","Westminster","70","168"
"Black","Wigan","65","24"
"Black","Wiltshire","49","29"
"Black","Windsor and Maidenhead","64","9"
"Black","Wirral","71","12"
"Black","Wokingham","66","43"
"Black","Wolverhampton","63","259"
"Black","Worcestershire","54","14"
"Black","York","67","8"
"Chinese","Barking and Dagenham","86","6"
"Chinese","Barnet","91","50"
"Chinese","Barnsley","100","4"
"Chinese","Bath and North East Somerset","57","4"
"Chinese","Bedford","86","6"
"Chinese","Bexley","97","29"
"Chinese","Birmingham","77","50"
"Chinese","Blackburn with Darwen","100","5"
"Chinese","Blackpool","78","7"
"Chinese","Bolton","92","12"
"Chinese","Bournemouth","75","9"
"Chinese","Bracknell Forest","100","3"
"Chinese","Bradford","67","2"
"Chinese","Brent","83","5"
"Chinese","Brighton and Hove","91","10"
"Chinese","Bristol, City of","85","22"
"Chinese","Bromley","76","22"
"Chinese","Buckinghamshire","80","16"
"Chinese","Bury","80","4"
"Chinese","Calderdale","0","0"
"Chinese","Cambridgeshire","95","37"
"Chinese","Camden","100","7"
"Chinese","Central Bedfordshire","85","11"
"Chinese","Cheshire East","73","11"
"Chinese","Cheshire West and Chester","73","11"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","78","7"
"Chinese","County Durham","77","10"
"Chinese","Coventry","73","11"
"Chinese","Croydon","87","20"
"Chinese","Cumbria","79","11"
"Chinese","Darlington","100","3"
"Chinese","Derby","73","11"
"Chinese","Derbyshire","73","19"
"Chinese","Devon","86","12"
"Chinese","Doncaster","88","14"
"Chinese","Dorset","78","7"
"Chinese","Dudley","60","6"
"Chinese","Ealing","80","12"
"Chinese","East Riding of Yorkshire","50","1"
"Chinese","East Sussex","75","9"
"Chinese","Enfield","83","20"
"Chinese","Essex","88","64"
"Chinese","Gateshead","69","9"
"Chinese","Gloucestershire","54","7"
"Chinese","Greenwich","83","35"
"Chinese","Hackney","80","16"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","2"
"Chinese","Hampshire","92","46"
"Chinese","Haringey","74","29"
"Chinese","Harrow","100","14"
"Chinese","Hartlepool","50","2"
"Chinese","Havering","94","16"
"Chinese","Herefordshire, County of","67","2"
"Chinese","Hertfordshire","85","57"
"Chinese","Hillingdon","60","6"
"Chinese","Hounslow","100","17"
"Chinese","Isle of Wight","75","3"
"Chinese","Isles of Scilly","N/A","N/A"
"Chinese","Islington","100","10"
"Chinese","Kensington and Chelsea","100","4"
"Chinese","Kent","90","43"
"Chinese","Kingston upon Hull, City of","83","5"
"Chinese","Kingston upon Thames","92","23"
"Chinese","Kirklees","67","8"
"Chinese","Knowsley","80","4"
"Chinese","Lambeth","80","12"
"Chinese","Lancashire","82","27"
"Chinese","Leeds","91","50"
"Chinese","Leicester","100","13"
"Chinese","Leicestershire","84","27"
"Chinese","Lewisham","82","37"
"Chinese","Lincolnshire","81","13"
"Chinese","Liverpool","76","55"
"Chinese","Luton","50","2"
"Chinese","Manchester","74","39"
"Chinese","Medway","100","9"
"Chinese","Merton","84","16"
"Chinese","Middlesbrough","100","2"
"Chinese","Milton Keynes","86","18"
"Chinese","Newcastle upon Tyne","79","19"
"Chinese","Newham","93","13"
"Chinese","Norfolk","60","18"
"Chinese","North East Lincolnshire","100","2"
"Chinese","North Lincolnshire","N/A","N/A"
"Chinese","North Somerset","75","3"
"Chinese","North Tyneside","100","7"
"Chinese","North Yorkshire","67","8"
"Chinese","Northamptonshire","93","26"
"Chinese","Northumberland","50","1"
"Chinese","Nottingham","82","14"
"Chinese","Nottinghamshire","72","28"
"Chinese","Oldham","86","6"
"Chinese","Oxfordshire","80","20"
"Chinese","Peterborough","67","4"
"Chinese","Plymouth","81","13"
"Chinese","Poole","N/A","N/A"
"Chinese","Portsmouth","60","6"
"Chinese","Reading","80","4"
"Chinese","Redbridge","89","17"
"Chinese","Redcar and Cleveland","N/A","N/A"
"Chinese","Richmond upon Thames","94","15"
"Chinese","Rochdale","80","4"
"Chinese","Rotherham","75","3"
"Chinese","Rutland","100","1"
"Chinese","Salford","86","6"
"Chinese","Sandwell","77","10"
"Chinese","Sefton","67","2"
"Chinese","Sheffield","79","22"
"Chinese","Shropshire","67","4"
"Chinese","Slough","100","1"
"Chinese","Solihull","100","6"
"Chinese","Somerset","68","13"
"Chinese","South Gloucestershire","75","9"
"Chinese","South Tyneside","50","1"
"Chinese","Southampton","67","8"
"Chinese","Southend-on-Sea","75","9"
"Chinese","Southwark","72","28"
"Chinese","St. Helens","80","4"
"Chinese","Staffordshire","79","19"
"Chinese","Stockport","72","13"
"Chinese","Stockton-on-Tees","91","10"
"Chinese","Stoke-on-Trent","76","13"
"Chinese","Suffolk","89","8"
"Chinese","Sunderland","62","8"
"Chinese","Surrey","93","52"
"Chinese","Sutton","89","25"
"Chinese","Swindon","78","7"
"Chinese","Tameside","42","5"
"Chinese","Telford and Wrekin","100","7"
"Chinese","Thurrock","88","14"
"Chinese","Torbay","100","5"
"Chinese","Tower Hamlets","95","18"
"Chinese","Trafford","95","36"
"Chinese","Wakefield","82","9"
"Chinese","Walsall","84","16"
"Chinese","Waltham Forest","89","33"
"Chinese","Wandsworth","100","11"
"Chinese","Warrington","75","9"
"Chinese","Warwickshire","100","18"
"Chinese","West Berkshire","63","5"
"Chinese","West Sussex","71","15"
"Chinese","Westminster","81","21"
"Chinese","Wigan","75","9"
"Chinese","Wiltshire","56","5"
"Chinese","Windsor and Maidenhead","86","6"
"Chinese","Wirral","88","15"
"Chinese","Wokingham","90","18"
"Chinese","Wolverhampton","100","7"
"Chinese","Worcestershire","90","9"
"Chinese","York","89","8"
"Mixed","Barking and Dagenham","66","175"
"Mixed","Barnet","70","288"
"Mixed","Barnsley","72","38"
"Mixed","Bath and North East Somerset","63","63"
"Mixed","Bedford","48","96"
"Mixed","Bexley","69","161"
"Mixed","Birmingham","59","786"
"Mixed","Blackburn with Darwen","66","42"
"Mixed","Blackpool","60","33"
"Mixed","Bolton","72","110"
"Mixed","Bournemouth","68","73"
"Mixed","Bracknell Forest","67","56"
"Mixed","Bradford","59","244"
"Mixed","Brent","62","159"
"Mixed","Brighton and Hove","66","196"
"Mixed","Bristol, City of","59","215"
"Mixed","Bromley","77","313"
"Mixed","Buckinghamshire","64","288"
"Mixed","Bury","61","72"
"Mixed","Calderdale","54","51"
"Mixed","Cambridgeshire","67","242"
"Mixed","Camden","77","131"
"Mixed","Central Bedfordshire","61","129"
"Mixed","Cheshire East","73","115"
"Mixed","Cheshire West and Chester","72","79"
"Mixed","City of London","67","2"
"Mixed","Cornwall","66","79"
"Mixed","County Durham","79","56"
"Mixed","Coventry","61","178"
"Mixed","Croydon","68","450"
"Mixed","Cumbria","65","41"
"Mixed","Darlington","52","15"
"Mixed","Derby","68","187"
"Mixed","Derbyshire","63","142"
"Mixed","Devon","73","131"
"Mixed","Doncaster","60","62"
"Mixed","Dorset","68","104"
"Mixed","Dudley","56","130"
"Mixed","Ealing","70","271"
"Mixed","East Riding of Yorkshire","72","48"
"Mixed","East Sussex","62","152"
"Mixed","Enfield","68","295"
"Mixed","Essex","66","518"
"Mixed","Gateshead","58","19"
"Mixed","Gloucestershire","60","193"
"Mixed","Greenwich","69","230"
"Mixed","Hackney","68","175"
"Mixed","Halton","75","30"
"Mixed","Hammersmith and Fulham","76","134"
"Mixed","Hampshire","71","403"
"Mixed","Haringey","75","242"
"Mixed","Harrow","73","150"
"Mixed","Hartlepool","75","9"
"Mixed","Havering","73","128"
"Mixed","Herefordshire, County of","63","27"
"Mixed","Hertfordshire","69","688"
"Mixed","Hillingdon","68","310"
"Mixed","Hounslow","71","179"
"Mixed","Isle of Wight","71","27"
"Mixed","Isles of Scilly","0","0"
"Mixed","Islington","71","206"
"Mixed","Kensington and Chelsea","74","131"
"Mixed","Kent","69","637"
"Mixed","Kingston upon Hull, City of","65","85"
"Mixed","Kingston upon Thames","73","120"
"Mixed","Kirklees","52","179"
"Mixed","Knowsley","68","27"
"Mixed","Lambeth","74","311"
"Mixed","Lancashire","62","278"
"Mixed","Leeds","59","309"
"Mixed","Leicester","58","183"
"Mixed","Leicestershire","60","208"
"Mixed","Lewisham","68","323"
"Mixed","Lincolnshire","59","139"
"Mixed","Liverpool","66","164"
"Mixed","Luton","62","155"
"Mixed","Manchester","64","357"
"Mixed","Medway","71","159"
"Mixed","Merton","69","164"
"Mixed","Middlesbrough","72","63"
"Mixed","Milton Keynes","67","186"
"Mixed","Newcastle upon Tyne","77","89"
"Mixed","Newham","78","225"
"Mixed","Norfolk","62","161"
"Mixed","North East Lincolnshire","70","40"
"Mixed","North Lincolnshire","65","32"
"Mixed","North Somerset","64","49"
"Mixed","North Tyneside","65","40"
"Mixed","North Yorkshire","64","94"
"Mixed","Northamptonshire","62","312"
"Mixed","Northumberland","74","40"
"Mixed","Nottingham","58","263"
"Mixed","Nottinghamshire","65","280"
"Mixed","Oldham","64","93"
"Mixed","Oxfordshire","61","268"
"Mixed","Peterborough","51","84"
"Mixed","Plymouth","59","51"
"Mixed","Poole","55","36"
"Mixed","Portsmouth","48","46"
"Mixed","Reading","57","99"
"Mixed","Redbridge","69","236"
"Mixed","Redcar and Cleveland","69","22"
"Mixed","Richmond upon Thames","82","180"
"Mixed","Rochdale","59","87"
"Mixed","Rotherham","60","55"
"Mixed","Rutland","86","12"
"Mixed","Salford","71","153"
"Mixed","Sandwell","57","209"
"Mixed","Sefton","73","44"
"Mixed","Sheffield","61","275"
"Mixed","Shropshire","58","45"
"Mixed","Slough","60","125"
"Mixed","Solihull","63","147"
"Mixed","Somerset","63","90"
"Mixed","South Gloucestershire","66","107"
"Mixed","South Tyneside","67","22"
"Mixed","Southampton","69","121"
"Mixed","Southend-on-Sea","64","83"
"Mixed","Southwark","71","243"
"Mixed","St. Helens","60","25"
"Mixed","Staffordshire","63","192"
"Mixed","Stockport","69","134"
"Mixed","Stockton-on-Tees","65","36"
"Mixed","Stoke-on-Trent","57","87"
"Mixed","Suffolk","64","286"
"Mixed","Sunderland","70","35"
"Mixed","Surrey","71","507"
"Mixed","Sutton","76","167"
"Mixed","Swindon","63","99"
"Mixed","Tameside","64","79"
"Mixed","Telford and Wrekin","74","93"
"Mixed","Thurrock","65","90"
"Mixed","Torbay","68","30"
"Mixed","Tower Hamlets","66","135"
"Mixed","Trafford","76","158"
"Mixed","Wakefield","65","84"
"Mixed","Walsall","63","140"
"Mixed","Waltham Forest","72","253"
"Mixed","Wandsworth","70","218"
"Mixed","Warrington","75","51"
"Mixed","Warwickshire","70","194"
"Mixed","West Berkshire","74","67"
"Mixed","West Sussex","66","273"
"Mixed","Westminster","78","122"
"Mixed","Wigan","65","53"
"Mixed","Wiltshire","65","116"
"Mixed","Windsor and Maidenhead","64","81"
"Mixed","Wirral","64","75"
"Mixed","Wokingham","68","85"
"Mixed","Wolverhampton","60","227"
"Mixed","Worcestershire","64","145"
"Mixed","York","62","32"
"White","Barking and Dagenham","60","761"
"White","Barnet","75","1,589"
"White","Barnsley","64","1,672"
"White","Bath and North East Somerset","67","1,156"
"White","Bedford","49","647"
"White","Bexley","66","1,321"
"White","Birmingham","59","3,253"
"White","Blackburn with Darwen","64","677"
"White","Blackpool","61","947"
"White","Bolton","66","1,587"
"White","Bournemouth","66","934"
"White","Bracknell Forest","63","714"
"White","Bradford","59","2,160"
"White","Brent","66","635"
"White","Brighton and Hove","68","1,418"
"White","Bristol, City of","67","2,150"
"White","Bromley","75","1,939"
"White","Buckinghamshire","66","2,882"
"White","Bury","66","1,152"
"White","Calderdale","62","1,296"
"White","Cambridgeshire","61","3,576"
"White","Camden","73","432"
"White","Central Bedfordshire","62","1,770"
"White","Cheshire East","68","2,519"
"White","Cheshire West and Chester","63","2,274"
"White","City of London","80","12"
"White","Cornwall","61","3,378"
"White","County Durham","68","3,638"
"White","Coventry","59","1,431"
"White","Croydon","66","1,038"
"White","Cumbria","65","3,194"
"White","Darlington","65","750"
"White","Derby","58","1,242"
"White","Derbyshire","64","4,977"
"White","Devon","64","4,747"
"White","Doncaster","61","1,929"
"White","Dorset","59","2,420"
"White","Dudley","58","1,618"
"White","Ealing","71","843"
"White","East Riding of Yorkshire","64","2,206"
"White","East Sussex","64","3,085"
"White","Enfield","62","1,321"
"White","Essex","64","8,998"
"White","Gateshead","71","1,348"
"White","Gloucestershire","63","3,644"
"White","Greenwich","65","882"
"White","Hackney","72","610"
"White","Halton","63","881"
"White","Hammersmith and Fulham","78","415"
"White","Hampshire","68","8,876"
"White","Haringey","68","1,010"
"White","Harrow","70","515"
"White","Hartlepool","66","718"
"White","Havering","69","1,496"
"White","Herefordshire, County of","68","1,234"
"White","Hertfordshire","66","7,038"
"White","Hillingdon","62","923"
"White","Hounslow","66","675"
"White","Isle of Wight","54","672"
"White","Isles of Scilly","58","19"
"White","Islington","71","600"
"White","Kensington and Chelsea","80","295"
"White","Kent","66","9,855"
"White","Kingston upon Hull, City of","67","1,875"
"White","Kingston upon Thames","71","754"
"White","Kirklees","63","2,091"
"White","Knowsley","61","971"
"White","Lambeth","75","687"
"White","Lancashire","65","7,413"
"White","Leeds","63","3,985"
"White","Leicester","56","901"
"White","Leicestershire","65","4,185"
"White","Lewisham","71","783"
"White","Lincolnshire","60","4,339"
"White","Liverpool","61","2,436"
"White","Luton","58","573"
