"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"East Sussex","64","3,411","78","94","50","17","75","9","62","152","64","3,085"
"Enfield","65","2,864","76","298","63","708","83","20","68","295","62","1,321"
"Essex","66","10,557","85","379","71","379","88","64","66","518","64","8,998"
"Gateshead","71","1,479","61","23","79","27","69","9","58","19","71","1,348"
"Gloucestershire","63","4,100","72","144","57","51","54","7","60","193","63","3,644"
"Greenwich","70","2,282","82","200","74","863","83","35","69","230","65","882"
"Hackney","71","1,782","77","238","68","619","80","16","68","175","72","610"
"Halton","63","927","100","3","75","3","N/A","N/A","75","30","63","881"
"Hammersmith and Fulham","74","995","80","72","69","246","100","2","76","134","78","415"
"Hampshire","68","9,850","77","323","61","108","92","46","71","403","68","8,876"
"Haringey","66","2,035","74","131","59","485","74","29","75","242","68","1,010"
"Harrow","73","2,012","77","1,039","66","194","100","14","73","150","70","515"
"Hartlepool","67","754","78","21","100","2","50","2","75","9","66","718"
"Havering","70","2,080","78","159","71","248","94","16","73","128","69","1,496"
"Herefordshire, County of","68","1,279","86","6","0","0","67","2","63","27","68","1,234"
"Hertfordshire","67","9,084","76","798","62","366","85","57","69","688","66","7,038"
"Hillingdon","66","2,434","73","740","62","250","60","6","68","310","62","923"
"Hounslow","70","2,065","78","711","64","240","100","17","71","179","66","675"
"Isle of Wight","54","717","67","12","0","0","75","3","71","27","54","672"
"Isles of Scilly","56","19","N/A","N/A","N/A","N/A","N/A","N/A","0","0","58","19"
"Islington","69","1,280","74","111","60","264","100","10","71","206","71","600"
"Kensington and Chelsea","76","728","76","28","70","112","100","4","74","131","80","295"
"Kent","67","11,557","80","512","72","311","90","43","69","637","66","9,855"
"Kingston upon Hull, City of","67","2,093","85","39","56","35","83","5","65","85","67","1,875"
"Kingston upon Thames","71","1,265","75","229","52","30","92","23","73","120","71","754"
"Kirklees","62","3,251","61","873","55","62","67","8","52","179","63","2,091"
"Knowsley","62","1,058","86","38","94","15","80","4","68","27","61","971"
"Lambeth","70","2,075","75","105","64","829","80","12","74","311","75","687"
"Lancashire","65","8,830","63","1,013","61","43","82","27","62","278","65","7,413"
"Leeds","61","5,457","59","638","53","353","91","50","59","309","63","3,985"
"Leicester","62","2,788","68","1,293","59","288","100","13","58","183","56","901"
"Leicestershire","66","4,940","72","417","69","55","84","27","60","208","65","4,185"
"Lewisham","69","2,317","74","187","65","855","82","37","68","323","71","783"
"Lincolnshire","60","4,620","86","60","60","21","81","13","59","139","60","4,339"
"Liverpool","62","3,038","69","121","64","158","76","55","66","164","61","2,436"
"Luton","59","1,830","61","880","57","196","50","2","62","155","58","573"
"Manchester","62","4,097","60","914","65","796","74","39","64","357","63","1,718"
"Medway","63","2,042","76","112","74","151","100","9","71","159","61","1,578"
"Merton","69","1,595","75","411","62","211","84","16","69","164","69","751"
"Middlesbrough","64","1,147","70","123","53","17","100","2","72","63","64","923"
"Milton Keynes","65","2,281","79","348","63","362","86","18","67","186","62","1,322"
"Newcastle upon Tyne","70","1,932","69","283","69","98","79","19","77","89","69","1,390"
"Newham","76","3,483","78","1,643","76","835","93","13","78","225","70","536"
"Norfolk","59","5,222","72","84","59","51","60","18","62","161","59","4,835"
"North East Lincolnshire","65","1,241","79","11","100","5","100","2","70","40","65","1,169"
"North Lincolnshire","65","1,278","72","55","29","2","N/A","N/A","65","32","65","1,170"
"North Somerset","64","1,529","58","15","50","4","75","3","64","49","64","1,446"
"North Tyneside","68","1,520","73","44","70","19","100","7","65","40","68","1,403"
"North Yorkshire","62","3,634","74","64","40","8","67","8","64","94","62","3,429"
"Northamptonshire","61","5,488","66","277","58","274","93","26","62","312","61","4,555"
"Northumberland","65","2,162","74","40","100","6","50","1","74","40","64","2,066"
"Nottingham","62","2,141","68","401","63","236","82","14","58","263","61","1,160"
"Nottinghamshire","65","5,889","71","193","61","55","72","28","65","280","65","5,288"
"Oldham","63","2,103","58","671","69","75","86","6","64","93","65","1,229"
"Oxfordshire","63","4,472","63","257","60","103","80","20","61","268","64","3,729"
"Peterborough","54","1,497","55","280","59","66","67","4","51","84","54","1,022"
"Plymouth","63","1,801","69","22","54","15","81","13","59","51","63","1,667"
"Poole","61","860","76","28","33","3","N/A","N/A","55","36","62","784"
"Portsmouth","57","1,209","72","106","68","46","60","6","48","46","56","976"
"Reading","60","984","67","218","58","98","80","4","57","99","58","539"
"Redbridge","71","2,774","74","1,538","63","278","89","17","69","236","70","639"
"Redcar and Cleveland","71","1,123","67","6","67","2","N/A","N/A","69","22","71","1,087"
"Richmond upon Thames","81","1,717","76","128","66","43","94","15","82","180","82","1,293"
"Rochdale","60","1,753","56","406","57","69","80","4","59","87","62","1,162"
"Rotherham","62","2,005","70","183","60","32","75","3","60","55","61","1,713"
"Rutland","66","260","80","4","0","0","100","1","86","12","66","241"
"Salford","65","1,858","78","70","72","109","86","6","71","153","64","1,448"
"Sandwell","61","2,624","67","871","63","277","77","10","57","209","57","1,193"
"Sefton","67","1,943","77","27","82","9","67","2","73","44","67","1,841"
"Sheffield","62","3,797","67","506","60","232","79","22","61","275","62","2,631"
"Shropshire","63","1,864","88","22","40","2","67","4","58","45","63","1,763"
"Slough","69","1,557","78","845","64","124","100","1","60","125","58","384"
"Solihull","66","1,753","72","210","67","36","100","6","63","147","65","1,327"
"Somerset","62","3,452","69","45","71","15","68","13","63","90","62","3,267"
"South Gloucestershire","63","1,981","79","88","59","30","75","9","66","107","63","1,726"
"South Tyneside","68","1,094","63","38","80","8","50","1","67","22","68","1,010"
"Southampton","66","1,707","67","216","61","56","67","8","69","121","66","1,282"
"Southend-on-Sea","69","1,440","80","117","74","67","75","9","64","83","68","1,130"
"Southwark","69","2,168","74","128","65","902","72","28","71","243","75","678"
"St. Helens","63","1,281","56","14","36","4","80","4","60","25","63","1,226"
"Staffordshire","65","6,098","63","246","70","51","79","19","63","192","65","5,547"
"Stockport","67","2,227","72","167","48","22","72","13","69","134","66","1,853"
"Stockton-on-Tees","71","1,694","70","83","74","25","91","10","65","36","70","1,526"
"Stoke-on-Trent","58","1,802","56","271","63","64","76","13","57","87","59","1,347"
"Suffolk","61","4,685","73","106","57","35","89","8","64","286","60","4,153"
"Sunderland","68","2,176","68","97","74","20","62","8","70","35","68","2,008"
"Surrey","70","8,440","74","639","62","119","93","52","71","507","69","6,966"
"Sutton","74","1,699","88","378","73","131","89","25","76","167","70","958"
"Swindon","63","1,763","71","212","61","54","78","7","63","99","63","1,378"
"Tameside","64","1,778","61","205","61","38","42","5","64","79","64","1,425"
"Telford and Wrekin","67","1,491","74","94","58","49","100","7","74","93","66","1,244"
"Thurrock","66","1,554","79","95","77","286","88","14","65","90","62","1,017"
"Torbay","63","869","69","11","67","2","100","5","68","30","62","813"
"Tower Hamlets","72","2,324","73","1,514","64","228","95","18","66","135","72","333"
"Trafford","76","2,213","82","348","75","93","95","36","76","158","74","1,498"
"Wakefield","60","2,315","55","93","60","28","82","9","65","84","60","2,081"
"Walsall","61","2,200","68","589","62","115","84","16","63","140","59","1,312"
"Waltham Forest","70","2,264","73","642","66","418","89","33","72","253","70","839"
"Wandsworth","71","1,719","72","314","61","364","100","11","70","218","77","747"
"Warrington","71","1,792","79","56","57","8","75","9","75","51","71","1,655"
"Warwickshire","67","4,073","77","262","55","46","100","18","70","194","67","3,504"
"West Berkshire","64","1,130","76","51","55","11","63","5","74","67","63","982"
"West Sussex","62","5,413","68","290","51","71","71","15","66","273","61","4,673"
"Westminster","72","1,024","73","165","70","168","81","21","78","122","76","275"
"Wigan","70","2,495","76","42","65","24","75","9","65","53","70","2,344"
"Wiltshire","63","3,267","77","61","49","29","56","5","65","116","63","2,982"
"Windsor and Maidenhead","69","1,040","69","161","64","9","86","6","64","81","69","761"
"Wirral","60","2,269","70","80","71","12","88","15","64","75","60","2,069"
"Wokingham","72","1,421","85","233","66","43","90","18","68","85","70","1,028"
"Wolverhampton","65","2,121","74","551","63","259","100","7","60","227","63","1,042"
"Worcestershire","61","3,797","59","142","54","14","90","9","64","145","61","3,448"
"York","66","1,254","75","30","67","8","89","8","62","32","66","1,161"
