"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Kirklees","78","83","74","83","79","64","100","57","75","81","81","85","72","68"
"Knowsley","74","81","89","86","78","75","100","100","71","84","73","81","60","80"
"Lambeth","84","89","79","92","79","89","92","90","86","83","88","89","85","89"
"Lancashire","79","84","73","80","67","87","84","86","79","88","81","85","63","64"
"Leeds","76","80","72","79","73","77","96","83","74","79","78","81","68","75"
"Leicester","76","80","79","85","77","78","73","88","78","83","73","76","75","77"
"Leicestershire","82","85","80","87","80","82","81","93","82","84","83","85","83","79"
"Lewisham","81","85","77","91","76","82","82","88","83","85","85","89","75","85"
"Lincolnshire","79","83","89","92","75","87","60","100","79","82","79","83","73","73"
"Liverpool","73","79","70","81","76","83","72","89","72","81","75","80","59","69"
"Luton","71","82","71","84","76","82","67","75","75","85","74","80","58","74"
"Manchester","75","81","74","80","76","86","89","84","78","86","77","83","69","71"
"Medway","80","87","78","94","88","88","88","100","78","89","79","87","87","89"
"Merton","83","88","83","91","81","88","85","75","82","87","83","88","82","87"
"Middlesbrough","72","79","68","80","71","90","67","100","78","84","73","80","47","36"
"Milton Keynes","81","87","87","90","78","83","100","75","78","92","81","86","71","86"
"Newcastle upon Tyne","79","85","71","83","71","83","86","78","81","83","81","85","67","82"
"Newham","80","86","82","87","79","87","78","82","82","89","76","81","85","82"
"Norfolk","81","86","81","86","72","87","77","82","82","82","82","86","70","80"
"North East Lincolnshire","77","83","100","83","50","80","100","100","82","81","77","83","60","86"
"North Lincolnshire","77","86","86","91","100","40","100","75","89","95","77","86","38","70"
"North Somerset","86","89","93","82","83","57","100","100","85","87","86","90","100","50"
"North Tyneside","83","87","75","79","75","67","100","80","76","92","83","87","89","67"
"North Yorkshire","82","87","76","76","75","91","67","80","85","87","83","87","71","76"
"Northamptonshire","80","85","78","82","73","83","88","92","80","84","81","85","76","93"
"Northumberland","83","90","93","83","100","100","100","75","89","94","83","90","57","80"
"Nottingham","73","79","75","80","73","83","86","100","74","80","72","79","67","76"
"Nottinghamshire","81","86","78","83","77","85","90","95","81","85","81","87","78","77"
"Oldham","73","80","66","74","70","74","62","33","75","85","78","84","60","56"
"Oxfordshire","84","87","77","83","76","86","87","92","86","88","85","88","70","70"
"Peterborough","74","82","77","85","84","78","67","88","70","84","73","82","74","89"
"Plymouth","75","83","50","100","71","75","73","100","80","84","76","83","61","81"
"Poole","82","85","84","87","67","80","100","33","80","82","83","86","75","75"
"Portsmouth","79","87","76","83","88","88","100","100","84","83","80","88","42","80"
"Reading","80","83","86","87","77","84","83","86","82","81","79","83","72","85"
"Redbridge","81","86","84","90","78","82","88","100","79","85","79","81","72","86"
"Redcar and Cleveland","81","88","83","100","67","100","100","N/A","83","76","82","88","67","0"
"Richmond upon Thames","89","93","84","95","86","80","80","100","91","92","91","94","79","100"
"Rochdale","76","81","72","79","78","77","100","100","74","81","78","83","67","63"
"Rotherham","79","84","81","85","62","83","88","80","77","90","80","84","54","73"
"Rutland","90","90","100","67","100","67","N/A","N/A","100","100","89","90","N/A","100"
"Salford","76","86","79","86","75","79","50","67","74","89","76","86","73","82"
"Sandwell","75","80","77","84","74","83","75","82","72","84","75","77","67","70"
"Sefton","79","86","71","88","83","60","100","100","79","94","80","86","55","64"
"Sheffield","78","84","80","82","71","84","88","89","75","84","79","84","76","79"
"Shropshire","85","86","79","89","100","80","100","50","86","78","85","87","67","N/A"
"Slough","78","87","84","90","71","90","100","75","82","85","73","82","65","87"
"Solihull","81","87","79","90","79","72","79","100","84","91","81","86","77","90"
"Somerset","85","88","74","93","67","100","100","83","85","91","85","88","55","91"
"South Gloucestershire","83","89","91","93","83","87","80","100","83","91","83","89","60","70"
"South Tyneside","80","85","67","90","67","67","100","83","71","77","81","86","80","63"
"Southampton","78","87","77","90","79","86","73","100","81","88","79","87","73","70"
"Southend-on-Sea","83","86","86","78","77","100","100","100","86","88","82","86","82","75"
"Southwark","79","86","80","90","77","84","89","100","79","90","83","87","71","75"
"St. Helens","76","83","78","85","80","50","100","100","75","88","76","83","25","83"
"Staffordshire","81","87","77","88","69","84","75","89","80","89","82","87","42","80"
"Stockport","82","88","77","79","71","91","100","89","84","85","83","89","76","87"
"Stockton-on-Tees","82","88","87","89","88","92","60","100","84","89","82","88","83","60"
"Stoke-on-Trent","77","81","77","83","76","80","85","100","77","84","78","82","50","66"
"Suffolk","79","83","79","88","83","81","100","100","75","85","79","84","74","82"
"Sunderland","80","87","76","77","100","92","82","75","69","88","80","88","75","88"
"Surrey","84","88","82","85","72","88","95","88","85","90","84","89","75","92"
"Sutton","83","90","87","96","81","94","86","96","84","88","83","89","71","97"
"Swindon","81","87","78","89","84","100","100","83","81","86","82","86","64","73"
"Tameside","77","85","75","79","77","81","75","75","84","87","78","86","75","73"
"Telford and Wrekin","80","84","82","95","79","92","100","100","84","80","80","83","75","N/A"
"Thurrock","79","84","87","87","85","87","100","100","74","88","78","84","88","64"
"Torbay","78","85","86","100","N/A","100","100","100","78","91","79","85","60","33"
"Tower Hamlets","79","86","80","86","77","90","78","89","77","84","78","86","74","76"
"Trafford","86","89","85","87","91","85","90","93","79","87","86","91","83","89"
"Wakefield","77","81","76","86","78","69","92","86","79","73","76","81","76","83"
"Walsall","75","82","78","84","71","85","67","91","76","81","74","82","59","70"
"Waltham Forest","82","88","85","88","75","88","88","100","87","86","83","89","86","83"
"Wandsworth","85","89","80","89","78","85","83","100","83","87","90","92","82","82"
"Warrington","83","88","93","93","75","100","100","100","76","79","83","88","82","89"
"Warwickshire","82","87","84","90","78","83","92","90","81","91","82","87","79","85"
"West Berkshire","83","88","77","84","91","82","50","100","89","89","83","88","75","100"
"West Sussex","81","84","75","83","65","78","90","100","80","86","82","84","59","73"
"Westminster","78","83","78","83","81","81","83","83","85","89","80","85","71","81"
"Wigan","79","85","81","65","63","84","73","100","88","87","79","86","65","72"
"Wiltshire","82","85","88","81","69","87","71","100","83","78","83","86","72","76"
"Windsor and Maidenhead","87","90","90","82","83","100","100","100","91","96","87","91","85","100"
"Wirral","78","84","83","82","89","100","83","100","81","85","77","84","80","83"
"Wokingham","87","90","88","93","81","96","100","100","86","88","88","91","75","67"
"Wolverhampton","76","83","79","87","80","84","81","100","76","78","76","83","72","80"
"Worcestershire","81","86","79","83","90","100","67","100","82","90","81","87","81","50"
"York","84","85","79","88","N/A","50","80","50","81","79","85","86","54","86"
