"","All","Asian","Black","Chinese","Mixed","White","Other"
"Lancashire","82","77","78","85","83","83","63"
"Leeds","78","75","75","90","77","80","71"
"Leicester","78","82","77","79","81","74","76"
"Leicestershire","84","84","81","87","83","84","81"
"Lewisham","83","83","79","85","84","87","80"
"Lincolnshire","81","90","81","86","80","81","73"
"Liverpool","76","76","79","80","77","77","64"
"Luton","77","77","79","71","80","77","67"
"Manchester","78","77","81","86","82","80","70"
"Medway","83","85","88","91","84","83","88"
"Merton","86","87","85","81","85","86","84"
"Middlesbrough","75","74","81","75","81","77","42"
"Milton Keynes","84","88","80","89","85","84","78"
"Newcastle upon Tyne","82","77","77","82","82","83","75"
"Newham","83","84","83","80","86","78","84"
"Norfolk","83","84","80","80","82","84","75"
"North East Lincolnshire","80","93","71","100","82","80","71"
"North Lincolnshire","82","89","67","83","93","82","52"
"North Somerset","88","88","69","100","86","88","67"
"North Tyneside","85","76","71","89","84","85","80"
"North Yorkshire","85","76","83","75","86","85","74"
"Northamptonshire","82","79","78","89","82","83","82"
"Northumberland","86","88","100","88","92","86","67"
"Nottingham","76","78","78","92","77","75","71"
"Nottinghamshire","83","80","81","92","83","84","77"
"Oldham","76","70","72","56","80","81","58"
"Oxfordshire","86","80","81","89","87","87","70"
"Peterborough","78","81","81","79","78","78","81"
"Plymouth","79","73","73","84","82","79","70"
"Poole","84","86","73","67","81","84","75"
"Portsmouth","83","79","88","100","83","84","56"
"Reading","81","86","80","85","82","81","77"
"Redbridge","83","87","80","93","82","80","77"
"Redcar and Cleveland","84","90","75","100","80","85","50"
"Richmond upon Thames","91","89","83","90","91","92","87"
"Rochdale","79","76","77","100","77","81","65"
"Rotherham","81","83","74","85","83","82","64"
"Rutland","90","88","83","N/A","100","89","100"
"Salford","80","83","77","57","81","81","77"
"Sandwell","77","80","79","78","79","76","69"
"Sefton","83","78","73","100","85","83","59"
"Sheffield","81","81","77","89","79","82","78"
"Shropshire","85","85","88","83","82","86","67"
"Slough","82","87","79","80","83","77","76"
"Solihull","84","84","76","86","87","83","83"
"Somerset","86","83","87","92","88","86","73"
"South Gloucestershire","86","92","85","92","87","86","65"
"South Tyneside","82","80","67","86","74","83","72"
"Southampton","82","83","82","86","84","83","72"
"Southend-on-Sea","84","81","88","100","87","84","79"
"Southwark","82","85","81","93","85","84","73"
"St. Helens","79","82","71","100","83","79","50"
"Staffordshire","84","82","75","83","85","84","68"
"Stockport","85","78","82","93","85","86","80"
"Stockton-on-Tees","85","88","89","71","86","85","69"
"Stoke-on-Trent","79","80","78","90","80","80","59"
"Suffolk","81","83","82","100","80","81","78"
"Sunderland","83","77","95","80","78","84","83"
"Surrey","86","83","81","92","88","86","83"
"Sutton","86","92","87","91","86","86","85"
"Swindon","84","84","92","92","83","84","68"
"Tameside","81","77","79","75","86","82","74"
"Telford and Wrekin","82","89","86","100","82","82","75"
"Thurrock","82","87","86","100","80","81","77"
"Torbay","82","91","100","100","84","82","50"
"Tower Hamlets","82","83","84","85","81","82","75"
"Trafford","87","86","88","91","84","88","87"
"Wakefield","79","81","73","89","76","79","79"
"Walsall","78","81","77","86","78","78","65"
"Waltham Forest","85","87","81","94","87","86","85"
"Wandsworth","87","84","82","94","85","91","82"
"Warrington","85","93","83","100","77","85","85"
"Warwickshire","85","87","82","91","86","85","82"
"West Berkshire","86","81","86","67","89","86","94"
"West Sussex","82","79","71","95","83","83","65"
"Westminster","80","81","81","83","86","82","76"
"Wigan","82","70","74","81","88","82","69"
"Wiltshire","84","85","78","78","80","84","74"
"Windsor and Maidenhead","88","86","90","100","94","89","92"
"Wirral","81","82","92","89","83","80","82"
"Wokingham","89","90","89","100","87","89","71"
"Wolverhampton","80","83","82","86","77","80","76"
"Worcestershire","84","81","95","79","86","84","69"
"York","85","83","50","64","80","85","65"
