"Measure","Age group","Year","Ethnicity","Number of offenders","Number of reoffenders","Number of reoffences","Proportion of offenders who reoffend (%)","Average number of reoffences per reoffender"
"Proportion of offenders who reoffend ","All","2013/14","Asian","32422","7744","23700","23.9","3.06"
"Proportion of offenders who reoffend ","All","2013/14","Black","51845","17660","56398","34.1","3.19"
"Proportion of offenders who reoffend ","All","2013/14","Other inc Mixed","7036","1551","4444","22","2.87"
"Proportion of offenders who reoffend ","All","2013/14","White","489706","158053","574934","32.3","3.64"
"Proportion of offenders who reoffend ","All","2013/14","Unknown","18288","1574","4497","8.6","2.86"
"Proportion of offenders who reoffend ","All","2013/14","All","599297","186582","663973","31.1","3.56"
"Proportion of offenders who reoffend ","Young offender","2013/14","Asian","2393","881","2784","36.8","3.16"
"Proportion of offenders who reoffend ","Young offender","2013/14","Black","5748","2878","9571","50.1","3.33"
"Proportion of offenders who reoffend ","Young offender","2013/14","Unknown","1385","246","740","17.8","3.01"
"Proportion of offenders who reoffend ","Young offender","2013/14","Other inc Mixed","462","189","591","40.9","3.13"
"Proportion of offenders who reoffend ","Young offender","2013/14","White","42351","18268","62935","43.1","3.45"
"Proportion of offenders who reoffend ","Young offender","2013/14","All","52339","22462","76621","42.9","3.41"
"Proportion of offenders who reoffend ","Adult","2014/15","Asian","27987","6391","19929","22.8","3.12"
"Proportion of offenders who reoffend ","Adult","2014/15","Black","44196","13800","46312","31.2","3.36"
"Proportion of offenders who reoffend ","Adult","2014/15","Unknown","18580","1168","3486","6.3","2.98"
"Proportion of offenders who reoffend ","Adult","2014/15","Other inc Mixed","6161","1210","3624","19.6","3"
"Proportion of offenders who reoffend ","Adult","2014/15","White","415760","125561","471368","30.2","3.75"
"Proportion of offenders who reoffend ","Adult ","2014/15","All","512684","148130","544719","28.9","3.68"
"Proportion of offenders who reoffend ","All","2014/15","Asian","30057","7143","22513","23.8","3.15"
"Proportion of offenders who reoffend ","All","2014/15","Black","49525","16457","55155","33.2","3.35"
"Proportion of offenders who reoffend ","All","2014/15","Other inc Mixed","6484","1349","4070","20.8","3.02"
"Proportion of offenders who reoffend ","All","2014/15","White","451525","140954","528056","31.2","3.75"
"Proportion of offenders who reoffend ","All","2014/15","Unknown","20135","1413","4244","7","3"
"Proportion of offenders who reoffend ","All","2014/15","All","557726","167316","614038","30","3.67"
"Proportion of offenders who reoffend ","Young offender","2014/15","Asian","2070","752","2584","36.3","3.44"
"Proportion of offenders who reoffend ","Young offender","2014/15","Black","5329","2657","8843","49.9","3.33"
"Proportion of offenders who reoffend ","Young offender","2014/15","Unknown","1555","245","758","15.8","3.09"
"Proportion of offenders who reoffend ","Young offender","2014/15","Other inc Mixed","323","139","446","43","3.21"
"Proportion of offenders who reoffend ","Young offender","2014/15","White","35765","15393","56688","43","3.68"
"Proportion of offenders who reoffend ","Young offender","2014/15","All","45042","19186","69319","42.6","3.61"
"Proportion of offenders who reoffend ","Adult","2015/16","Asian","27102","6262","20780","23.1","3.32"
"Proportion of offenders who reoffend ","Adult","2015/16","Black","43784","13803","47648","31.5","3.45"
"Proportion of offenders who reoffend ","Adult","2015/16","Unknown","18617","1083","2989","5.8","2.76"
"Proportion of offenders who reoffend ","Adult","2015/16","Other inc Mixed","5700","1116","3418","19.6","3.06"
"Proportion of offenders who reoffend ","Adult","2015/16","White","389839","115927","448127","29.7","3.87"
"Proportion of offenders who reoffend ","Adult ","2015/16","All","485042","138191","522962","28.5","3.78"
"Proportion of offenders who reoffend ","All","2015/16","Asian","28979","6972","23074","24.1","3.31"
"Proportion of offenders who reoffend ","All","2015/16","Black","48857","16379","56788","33.5","3.47"
"Proportion of offenders who reoffend ","All","2015/16","Other inc Mixed","5984","1236","3767","20.7","3.05"
"Proportion of offenders who reoffend ","All","2015/16","White","419336","128487","496983","30.6","3.87"
"Proportion of offenders who reoffend ","All","2015/16","Unknown","20210","1301","3619","6.4","2.78"
"Proportion of offenders who reoffend ","All","2015/16","All","523366","154375","584231","29.5","3.78"
"Proportion of offenders who reoffend ","Young offender","2015/16","Asian","1877","710","2294","37.8","3.23"
"Proportion of offenders who reoffend ","Young offender","2015/16","Black","5073","2576","9140","50.8","3.55"
"Proportion of offenders who reoffend ","Young offender","2015/16","Unknown","1593","218","630","13.7","2.89"
"Proportion of offenders who reoffend ","Young offender","2015/16","Other inc Mixed","284","120","349","42.3","2.91"
"Proportion of offenders who reoffend ","Young offender","2015/16","White","29497","12560","48856","42.6","3.89"
"Proportion of offenders who reoffend ","Young offender","2015/16","All","38324","16184","61269","42.2","3.79"
"Proportion of offenders who reoffend ","Adult","2016/17","Asian","25571","5938","19843","23.2","3.34"
"Proportion of offenders who reoffend ","Adult","2016/17","Black","40590","12777","45625","31.5","3.57"
"Proportion of offenders who reoffend ","Adult","2016/17","Unknown","18596","1039","3121","5.6","3"
"Proportion of offenders who reoffend ","Adult","2016/17","Other inc Mixed","5024","1017","3479","20.2","3.42"
"Proportion of offenders who reoffend ","Adult","2016/17","White","351928","105154","434000","29.9","4.13"
"Proportion of offenders who reoffend ","Adult ","2016/17","All","441709","125925","506068","28.5","4.02"
"Proportion of offenders who reoffend ","All","2016/17","Asian","27328","6569","21872","24","3.33"
"Proportion of offenders who reoffend ","All","2016/17","Black","45470","15150","54373","33.3","3.59"
"Proportion of offenders who reoffend ","All","2016/17","Other inc Mixed","5325","1136","3925","21.3","3.46"
"Proportion of offenders who reoffend ","All","2016/17","White","376640","115505","475636","30.7","4.12"
"Proportion of offenders who reoffend ","All","2016/17","Unknown","20372","1251","3853","6.1","3.08"
"Proportion of offenders who reoffend ","All","2016/17","All","475135","139611","559659","29.4","4.01"
"Proportion of offenders who reoffend ","Young offender","2016/17","Asian","1757","631","2029","35.9","3.22"
"Proportion of offenders who reoffend ","Young offender","2016/17","Black","4880","2373","8748","48.6","3.69"
"Proportion of offenders who reoffend ","Young offender","2016/17","Unknown","1776","212","732","11.9","3.45"
"Proportion of offenders who reoffend ","Young offender","2016/17","Other inc Mixed","301","119","446","39.5","3.75"
"Proportion of offenders who reoffend ","Young offender","2016/17","White","24712","10351","41636","41.9","4.02"
"Proportion of offenders who reoffend ","Young offender","2016/17","All","33426","13686","53591","40.9","3.92"
"Proportion of offenders who reoffend ","Adult","2017/18","Asian","23209","5546","18819","23.9","3.39"
"Proportion of offenders who reoffend ","Adult","2017/18","Black","37717","11694","40739","31","3.48"
"Proportion of offenders who reoffend ","Adult","2017/18","Unknown","18834","1001","2843","5.3","2.84"
"Proportion of offenders who reoffend ","Adult","2017/18","Other inc Mixed","4335","864","2899","19.9","3.36"
"Proportion of offenders who reoffend ","Adult","2017/18","White","318903","95818","398711","30","4.16"
"Proportion of offenders who reoffend ","Adult ","2017/18","All","402998","114923","464011","28.5","4.04"
"Proportion of offenders who reoffend ","All","2017/18","Asian","24703","6010","20423","24.3","3.4"
"Proportion of offenders who reoffend ","All","2017/18","Black","42230","13818","48430","32.7","3.5"
"Proportion of offenders who reoffend ","All","2017/18","Other inc Mixed","4597","962","3197","20.9","3.32"
"Proportion of offenders who reoffend ","All","2017/18","White","339285","103866","432686","30.6","4.17"
"Proportion of offenders who reoffend ","All","2017/18","Unknown","20576","1173","3415","5.7","2.91"
"Proportion of offenders who reoffend ","All","2017/18","All","431391","125829","508151","29.2","4.04"
"Proportion of offenders who reoffend ","Young offender","2017/18","Asian","1494","464","1604","31.1","3.46"
"Proportion of offenders who reoffend ","Young offender","2017/18","Black","4513","2124","7691","47.1","3.62"
"Proportion of offenders who reoffend ","Young offender","2017/18","Unknown","1742","172","572","9.9","3.33"
"Proportion of offenders who reoffend ","Young offender","2017/18","Other inc Mixed","262","98","298","37.4","3.04"
"Proportion of offenders who reoffend ","Young offender","2017/18","White","20382","8048","33975","39.5","4.22"
"Proportion of offenders who reoffend ","Young offender","2017/18","All","28393","10906","44140","38.4","4.05"
