"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Gateshead","82","1,716","87","40","86","32","89","8","87","33","81","1,566","79","26"
"Gloucestershire","78","5,321","89","181","75","83","82","14","83","281","77","4,689","77","17"
"Greenwich","83","2,785","89","251","88","1,076","90","43","85","290","75","1,045","89","72"
"Hackney","78","2,022","83","258","78","736","91","10","80","214","74","666","81","124"
"Halton","75","1,199","86","6","100","1","N/A","N/A","79","26","75","1,153","40","2"
"Hammersmith and Fulham","84","1,107","86","69","79","295","100","3","74","136","89","451","87","130"
"Hampshire","79","11,671","89","426","87","161","83","44","83","486","78","10,418","88","84"
"Haringey","81","2,480","93","175","80","640","93","28","83","286","80","1,199","72","134"
"Harrow","89","2,606","93","1,300","84","238","100","8","85","217","85","701","87","106"
"Hartlepool","79","930","88","21","67","2","89","8","80","12","79","882","40","2"
"Havering","83","2,511","91","222","88","321","78","7","86","181","81","1,735","85","17"
"Herefordshire, County of","81","1,514","90","9","100","7","100","3","83","50","80","1,433","86","6"
"Hertfordshire","80","11,383","88","1,077","83","541","93","63","82","828","78","8,656","81","137"
"Hillingdon","84","3,294","91","978","85","375","100","6","85","399","79","1,210","86","278"
"Hounslow","85","2,800","91","983","87","343","94","17","82","238","78","861","86","324"
"Isle of Wight","70","903","80","8","67","2","100","5","74","37","70","846","100","1"
"Isles of Scilly","53","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50","9","N/A","N/A"
"Islington","81","1,537","85","128","78","383","100","10","80","245","81","676","81","79"
"Kensington and Chelsea","88","835","86","36","90","164","100","3","89","166","88","303","88","145"
"Kent","77","13,845","92","668","88","465","100","51","82","804","76","11,614","84","133"
"Kingston upon Hull, City of","78","2,492","94","50","78","51","100","5","80","94","77","2,225","81","60"
"Kingston upon Thames","85","1,614","92","304","89","32","100","30","86","183","82","933","87","114"
"Kirklees","78","4,312","81","1,224","74","76","100","16","74","274","77","2,659","70","35"
"Knowsley","77","1,395","89","34","75","9","50","1","69","27","77","1,309","89","8"
"Lambeth","83","2,512","91","143","81","1,089","88","15","83","348","84","775","82","124"
"Lancashire","78","10,961","82","1,319","79","45","88","36","82","394","77","9,066","84","54"
"Leeds","76","7,133","81","895","77","587","88","46","74","469","76","4,964","69","126"
"Leicester","79","3,736","85","1,725","84","402","100","17","78","258","70","1,212","81","87"
"Leicestershire","80","6,133","91","520","85","77","86","24","85","320","79","5,133","80","24"
"Lewisham","80","2,765","91","187","79","1,084","87","41","78","438","79","887","79","89"
"Lincolnshire","75","6,165","97","84","81","34","92","23","80","199","74","5,741","83","29"
"Liverpool","76","3,952","83","197","80","200","89","70","78","231","75","3,099","68","145"
"Luton","80","2,591","82","1,260","83","285","90","9","82","230","74","745","83","43"
"Manchester","78","5,286","84","1,287","82","982","86","55","79","452","75","2,102","75","370"
"Medway","73","2,460","90","168","87","213","86","6","74","167","70","1,862","85","29"
"Merton","86","1,970","93","456","85","293","100","15","80","185","84","947","88","63"
"Middlesbrough","76","1,406","85","167","78","14","N/A","N/A","79","88","75","1,096","77","36"
"Milton Keynes","81","3,047","93","453","86","460","92","24","84","262","77","1,755","93","28"
"Newcastle upon Tyne","78","2,303","86","349","83","157","92","33","78","105","76","1,590","74","59"
"Newham","87","4,133","90","1,940","87","967","100","20","83","258","80","670","88","246"
"Norfolk","71","6,553","90","128","77","63","87","33","72","233","71","5,983","75","59"
"North East Lincolnshire","78","1,492","94","17","86","6","100","1","84","49","78","1,395","76","16"
"North Lincolnshire","78","1,533","86","65","75","9","100","3","76","26","78","1,409","71","10"
"North Somerset","76","1,829","82","27","92","11","88","7","85","78","75","1,696","75","3"
"North Tyneside","79","1,918","84","49","84","16","94","16","82","62","78","1,764","75","6"
"North Yorkshire","75","4,768","86","72","65","20","90","9","74","128","75","4,494","64","16"
"Northamptonshire","75","7,081","88","393","83","441","97","32","76","392","73","5,726","70","49"
"Northumberland","76","2,694","89","51","40","2","100","7","79","52","75","2,566","75","9"
"Nottingham","77","2,772","87","505","81","360","92","11","80","390","73","1,412","78","82"
"Nottinghamshire","78","7,245","89","254","78","86","92","24","81","337","77","6,443","80","47"
"Oldham","79","2,741","82","960","80","104","85","11","80","144","77","1,492","56","15"
"Oxfordshire","77","5,750","81","378","80","168","95","19","78","400","77","4,639","68","68"
"Peterborough","72","2,169","78","441","79","107","88","7","75","141","70","1,416","78","28"
"Plymouth","78","2,310","89","24","92","22","100","10","80","72","78","2,136","75","30"
"Portsmouth","73","1,621","90","108","84","64","56","5","87","104","70","1,284","81","35"
"Reading","78","1,470","88","334","83","159","100","11","75","162","74","760","88","21"
"Redbridge","86","3,492","90","1,963","83","389","100","21","81","250","79","780","85","46"
"Redcar and Cleveland","81","1,327","80","8","80","4","100","1","94","47","81","1,256","29","2"
"Richmond upon Thames","91","2,114","95","197","76","44","92","22","88","201","92","1,576","87","47"
"Rochdale","79","2,386","83","652","79","100","100","12","79","91","78","1,495","70","26"
"Rotherham","73","2,461","66","175","77","51","92","11","70","76","73","2,111","86","24"
"Rutland","84","334","100","5","67","4","N/A","N/A","100","12","84","308","100","4"
"Salford","79","2,360","93","95","84","144","100","1","80","193","79","1,844","64","63"
"Sandwell","78","3,712","85","1,179","79","385","92","22","76","337","74","1,681","78","89"
"Sefton","79","2,322","90","27","71","10","86","6","83","64","79","2,197","69","9"
"Sheffield","75","4,764","81","636","77","297","90","43","74","362","74","3,221","79","174"
"Shropshire","78","2,406","88","21","86","6","100","4","82","76","78","2,281","75","3"
"Slough","84","1,988","92","1,043","85","180","100","3","84","178","71","487","92","85"
"Solihull","83","2,174","91","311","88","50","97","29","84","185","80","1,541","91","29"
"Somerset","73","4,310","86","69","88","14","92","12","76","135","73","4,040","56","10"
"South Gloucestershire","78","2,581","88","92","84","38","91","10","86","147","77","2,260","77","20"
"South Tyneside","80","1,327","88","50","90","9","100","3","72","31","80","1,222","89","8"
"Southampton","74","2,091","78","288","81","73","94","15","73","128","73","1,542","77","40"
"Southend-on-Sea","80","1,759","91","128","84","54","96","22","82","121","78","1,402","94","15"
"Southwark","82","2,712","86","155","82","1,231","83","25","80","301","81","753","78","198"
"St. Helens","79","1,738","100","20","83","10","90","9","79","34","79","1,658","63","5"
"Staffordshire","79","7,702","85","376","70","54","89","33","75","265","79","6,897","83","38"
"Stockport","80","2,761","89","224","82","37","91","20","79","143","80","2,296","78","25"
"Stockton-on-Tees","81","2,037","85","117","89","24","71","5","87","58","81","1,821","71","5"
"Stoke-on-Trent","75","2,508","82","412","82","106","92","11","82","130","73","1,806","73","41"
"Suffolk","73","5,862","87","127","77","66","50","2","78","362","73","5,173","78","58"
"Sunderland","79","2,582","91","120","96","27","69","9","82","45","79","2,375","33","1"
"Surrey","82","10,207","89","773","84","193","96","67","85","669","81","8,301","80","106"
"Sutton","85","2,035","94","398","89","150","93","38","86","202","81","1,190","94","32"
"Swindon","78","2,260","86","298","85","77","87","13","75","135","76","1,697","83","20"
"Tameside","79","2,335","86","268","86","72","100","13","83","117","78","1,833","79","19"
"Telford and Wrekin","78","1,792","81","120","87","76","92","12","89","104","77","1,466","83","5"
"Thurrock","81","1,958","93","125","91","362","100","16","89","127","77","1,287","81","21"
"Torbay","74","1,074","92","23","100","1","75","3","67","28","74","1,005","64","7"
"Tower Hamlets","85","2,806","87","1,888","83","278","100","11","79","169","76","348","89","97"
"Trafford","86","2,600","92","408","82","113","95","59","88","204","85","1,720","86","70"
"Wakefield","76","3,058","81","133","89","50","95","21","75","93","76","2,742","62","16"
"Walsall","77","2,928","86","808","78","153","93","13","73","172","74","1,738","61","31"
"Waltham Forest","84","2,787","88","769","82","526","93","27","86","344","81","999","82","106"
"Wandsworth","83","1,981","86","380","79","437","100","10","81","241","83","816","82","73"
"Warrington","83","2,177","89","78","83","19","100","6","96","73","83","1,976","65","13"
"Warwickshire","79","5,013","90","345","84","66","91","20","83","263","77","4,251","90","27"
"West Berkshire","75","1,458","85","46","70","16","100","6","78","81","74","1,291","80","8"
"West Sussex","75","6,974","84","367","78","98","91","20","80","367","75","6,010","79","41"
"Westminster","86","1,224","88","169","83","213","92","11","87","130","85","317","87","372"
"Wigan","79","3,031","81","35","74","42","67","4","84","82","80","2,838","68","26"
"Wiltshire","76","4,075","92","61","75","67","100","16","84","158","75","3,704","77","37"
"Windsor and Maidenhead","78","1,236","82","208","82","18","100","6","81","112","76","857","90","19"
"Wirral","75","2,821","90","81","72","13","95","19","80","78","75","2,611","56","5"
"Wokingham","85","1,809","93","285","98","61","100","14","86","144","82","1,270","94","17"
"Wolverhampton","79","2,646","84","656","83","329","88","7","75","297","76","1,308","77","36"
"Worcestershire","75","4,601","81","205","86","25","100","10","76","184","74","4,120","75","18"
"York","78","1,543","90","37","86","6","100","4","79","48","77","1,429","82","9"
