"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","12.5","%","8"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","8.5","%","966"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","4.3","%","485"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Girls","All Pupils","12.7","%","481"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","9","%","1337"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","Boys","All Pupils","6.2","%","678"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Middlesbrough","Local authority","E06000002","Girls","All Pupils","11.8","%","659"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","16.9","%","177"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","7.2","%","83"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","25.5","%","94"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","27.8","%","18"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","12.5","%","8"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","40","%","10"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","0","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","0","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","11.4","%","44"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","6.3","%","16"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","14.3","%","28"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","All Pupils","All Pupils","7.1","%","1021"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Boys","All Pupils","5.8","%","536"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local authority","E06000002","Girls","All Pupils","8.5","%","485"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","11.9","%","1517"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","9.1","%","784"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","14.9","%","733"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","7.7","%","26"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","6.3","%","16"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","10","%","10"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","50","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","50","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","31.3","%","16"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","33.3","%","9"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","28.6","%","7"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","All Pupils","All Pupils","11.7","%","1459"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Boys","All Pupils","8.6","%","747"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local authority","E06000003","Girls","All Pupils","14.9","%","712"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","15.3","%","1929"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","12.6","%","1025"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","18.5","%","904"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","26.5","%","117"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","19.7","%","66"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","35.3","%","51"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","6.7","%","15"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","0","%","5"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","10","%","10"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","20","%","5"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","0","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","22","%","41"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","13","%","23"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","33.3","%","18"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","All Pupils","All Pupils","14.5","%","1739"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Boys","All Pupils","12.2","%","921"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local authority","E06000004","Girls","All Pupils","17.2","%","818"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","All Pupils","All Pupils","16","%","1097"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","Boys","All Pupils","14.1","%","574"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Darlington","Local authority","E06000005","Girls","All Pupils","18","%","523"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","15.6","%","32"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","18.2","%","11"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","14.3","%","21"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","20","%","5"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","0","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","0","%","4"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","0","%","1"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","0","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","18.8","%","32"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","15.4","%","13"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","21.1","%","19"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","All Pupils","All Pupils","15.7","%","1008"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Boys","All Pupils","13.4","%","538"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Darlington","Local authority","E06000005","Girls","All Pupils","18.3","%","470"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","All Pupils","All Pupils","13.2","%","4614"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","Boys","All Pupils","10.6","%","2361"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","County Durham","Local authority","E06000047","Girls","All Pupils","15.9","%","2253"
