"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Role","Duty","value","value_type","count"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2019","Year","England","FRA","Firefighters","All","1.8","Percent","577"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","All","2","Percent","624"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2011","Year","England","FRA","Firefighters","All","96.5","Percent","38061"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2012","Year","England","FRA","Firefighters","All","96.5","Percent","37513"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2013","Year","England","FRA","Firefighters","All","96.3","Percent","35930"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2014","Year","England","FRA","Firefighters","All","96.2","Percent","34481"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2015","Year","England","FRA","Firefighters","All","96.2","Percent","32393"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2016","Year","England","FRA","Firefighters","All","96.2","Percent","32001"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2017","Year","England","FRA","Firefighters","All","96.1","Percent","31002"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2018","Year","England","FRA","Firefighters","All","95.9","Percent","30346"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2019","Year","England","FRA","Firefighters","All","95.7","Percent","30285"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","All","95.6","Percent","30298"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","FRA","Firefighters","All","0.4","Percent","174"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","FRA","Firefighters","All","0.4","Percent","137"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2013","Year","England","FRA","Firefighters","All","0.4","Percent","150"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2014","Year","England","FRA","Firefighters","All","0.6","Percent","200"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2015","Year","England","FRA","Firefighters","All","0.4","Percent","133"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2016","Year","England","FRA","Firefighters","All","0.4","Percent","138"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2017","Year","England","FRA","Firefighters","All","0.4","Percent","143"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","FRA","Firefighters","All","0.4","Percent","139"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","FRA","Firefighters","All","0.5","Percent","145"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","All","0.5","Percent","149"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2011","Year","England","FRA","Firefighters","All","N/A","Percent","3921"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2012","Year","England","FRA","Firefighters","All","N/A","Percent","3172"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2013","Year","England","FRA","Firefighters","All","N/A","Percent","3494"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2014","Year","England","FRA","Firefighters","All","N/A","Percent","3631"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2015","Year","England","FRA","Firefighters","All","N/A","Percent","4392"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2016","Year","England","FRA","Firefighters","All","N/A","Percent","3340"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2017","Year","England","FRA","Firefighters","All","N/A","Percent","3244"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2018","Year","England","FRA","Firefighters","All","N/A","Percent","3323"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2019","Year","England","FRA","Firefighters","All","N/A","Percent","3370"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","All","N/A","Percent","3583"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2011","Year","England","FRA","Firefighters","All","N/A","Percent","43360"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2012","Year","England","FRA","Firefighters","All","N/A","Percent","42062"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2013","Year","England","FRA","Firefighters","All","N/A","Percent","40786"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2014","Year","England","FRA","Firefighters","All","N/A","Percent","39472"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2015","Year","England","FRA","Firefighters","All","N/A","Percent","38061"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2016","Year","England","FRA","Firefighters","All","N/A","Percent","36610"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2017","Year","England","FRA","Firefighters","All","N/A","Percent","35501"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2018","Year","England","FRA","Firefighters","All","N/A","Percent","34962"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2019","Year","England","FRA","Firefighters","All","N/A","Percent","35023"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","All","N/A","Percent","35291"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2011","Year","England","FRA","Fire Control","All","0.3","Percent","5"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2012","Year","England","FRA","Fire Control","All","0.4","Percent","5"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2013","Year","England","FRA","Fire Control","All","0.4","Percent","5"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2014","Year","England","FRA","Fire Control","All","0.2","Percent","3"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2015","Year","England","FRA","Fire Control","All","0.4","Percent","4"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2016","Year","England","FRA","Fire Control","All","0.3","Percent","3"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2017","Year","England","FRA","Fire Control","All","0.3","Percent","3"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2018","Year","England","FRA","Fire Control","All","0.5","Percent","5"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2019","Year","England","FRA","Fire Control","All","0.4","Percent","4"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","England","FRA","Fire Control","All","0.4","Percent","4"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2011","Year","England","FRA","Fire Control","All","0.6","Percent","8"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2012","Year","England","FRA","Fire Control","All","0.5","Percent","7"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2013","Year","England","FRA","Fire Control","All","0.5","Percent","7"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2014","Year","England","FRA","Fire Control","All","0.6","Percent","7"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2015","Year","England","FRA","Fire Control","All","0.8","Percent","9"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2016","Year","England","FRA","Fire Control","All","0.7","Percent","7"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2017","Year","England","FRA","Fire Control","All","0.9","Percent","9"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2018","Year","England","FRA","Fire Control","All","1","Percent","10"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2019","Year","England","FRA","Fire Control","All","0.8","Percent","8"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","England","FRA","Fire Control","All","0.8","Percent","9"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2011","Year","England","FRA","Fire Control","All","1.2","Percent","17"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2012","Year","England","FRA","Fire Control","All","1.2","Percent","17"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2013","Year","England","FRA","Fire Control","All","1.5","Percent","20"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2014","Year","England","FRA","Fire Control","All","1.6","Percent","20"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2015","Year","England","FRA","Fire Control","All","1.9","Percent","21"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2016","Year","England","FRA","Fire Control","All","1.9","Percent","20"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2017","Year","England","FRA","Fire Control","All","2","Percent","21"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2018","Year","England","FRA","Fire Control","All","1.6","Percent","17"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2019","Year","England","FRA","Fire Control","All","1.3","Percent","14"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","England","FRA","Fire Control","All","1.5","Percent","16"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2011","Year","England","FRA","Fire Control","All","97.7","Percent","1407"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2012","Year","England","FRA","Fire Control","All","97.6","Percent","1333"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2013","Year","England","FRA","Fire Control","All","97.2","Percent","1277"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2014","Year","England","FRA","Fire Control","All","97.2","Percent","1192"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2015","Year","England","FRA","Fire Control","All","96.7","Percent","1063"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2016","Year","England","FRA","Fire Control","All","97","Percent","1017"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2017","Year","England","FRA","Fire Control","All","96.8","Percent","992"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2018","Year","England","FRA","Fire Control","All","96.8","Percent","998"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2019","Year","England","FRA","Fire Control","All","97.5","Percent","1034"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","England","FRA","Fire Control","All","97.1","Percent","1053"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","FRA","Fire Control","All","0.2","Percent","3"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","FRA","Fire Control","All","0.3","Percent","4"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2013","Year","England","FRA","Fire Control","All","0.4","Percent","5"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2014","Year","England","FRA","Fire Control","All","0.3","Percent","4"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2015","Year","England","FRA","Fire Control","All","0.2","Percent","2"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2016","Year","England","FRA","Fire Control","All","0.1","Percent","1"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2017","Year","England","FRA","Fire Control","All","0","Percent","0"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","FRA","Fire Control","All","0.1","Percent","1"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","FRA","Fire Control","All","0.1","Percent","1"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2020","Year","England","FRA","Fire Control","All","0.2","Percent","2"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2011","Year","England","FRA","Fire Control","All","N/A","Percent","116"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2012","Year","England","FRA","Fire Control","All","N/A","Percent","76"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2013","Year","England","FRA","Fire Control","All","N/A","Percent","74"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2014","Year","England","FRA","Fire Control","All","N/A","Percent","80"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2015","Year","England","FRA","Fire Control","All","N/A","Percent","100"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2016","Year","England","FRA","Fire Control","All","N/A","Percent","76"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2017","Year","England","FRA","Fire Control","All","N/A","Percent","94"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2018","Year","England","FRA","Fire Control","All","N/A","Percent","92"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2019","Year","England","FRA","Fire Control","All","N/A","Percent","73"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2020","Year","England","FRA","Fire Control","All","N/A","Percent","67"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2011","Year","England","FRA","Fire Control","All","N/A","Percent","1556"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2012","Year","England","FRA","Fire Control","All","N/A","Percent","1442"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2013","Year","England","FRA","Fire Control","All","N/A","Percent","1388"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2014","Year","England","FRA","Fire Control","All","N/A","Percent","1306"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2015","Year","England","FRA","Fire Control","All","N/A","Percent","1199"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2016","Year","England","FRA","Fire Control","All","N/A","Percent","1124"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2017","Year","England","FRA","Fire Control","All","N/A","Percent","1119"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2018","Year","England","FRA","Fire Control","All","N/A","Percent","1123"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2019","Year","England","FRA","Fire Control","All","N/A","Percent","1134"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2020","Year","England","FRA","Fire Control","All","N/A","Percent","1151"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2011","Year","England","FRA","Support Staff","All","2.6","Percent","224"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2012","Year","England","FRA","Support Staff","All","2.5","Percent","203"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2013","Year","England","FRA","Support Staff","All","2.6","Percent","197"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2014","Year","England","FRA","Support Staff","All","2.5","Percent","185"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2015","Year","England","FRA","Support Staff","All","2.7","Percent","188"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2016","Year","England","FRA","Support Staff","All","2.6","Percent","182"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2017","Year","England","FRA","Support Staff","All","2.6","Percent","182"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2018","Year","England","FRA","Support Staff","All","2.8","Percent","201"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2019","Year","England","FRA","Support Staff","All","2.9","Percent","207"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","England","FRA","Support Staff","All","2.7","Percent","199"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2011","Year","England","FRA","Support Staff","All","2.5","Percent","215"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2012","Year","England","FRA","Support Staff","All","2.7","Percent","216"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2013","Year","England","FRA","Support Staff","All","2.6","Percent","201"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2014","Year","England","FRA","Support Staff","All","2.5","Percent","182"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2015","Year","England","FRA","Support Staff","All","2.7","Percent","189"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2016","Year","England","FRA","Support Staff","All","2.6","Percent","186"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2017","Year","England","FRA","Support Staff","All","2.6","Percent","178"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2018","Year","England","FRA","Support Staff","All","2.9","Percent","207"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2019","Year","England","FRA","Support Staff","All","3","Percent","221"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","England","FRA","Support Staff","All","3","Percent","222"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2011","Year","England","FRA","Support Staff","All","0.9","Percent","82"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2012","Year","England","FRA","Support Staff","All","0.9","Percent","71"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2013","Year","England","FRA","Support Staff","All","1","Percent","76"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2014","Year","England","FRA","Support Staff","All","1","Percent","71"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2015","Year","England","FRA","Support Staff","All","1","Percent","71"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2016","Year","England","FRA","Support Staff","All","1.2","Percent","81"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2017","Year","England","FRA","Support Staff","All","1.3","Percent","88"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2018","Year","England","FRA","Support Staff","All","1.3","Percent","92"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2019","Year","England","FRA","Support Staff","All","1.3","Percent","93"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","England","FRA","Support Staff","All","1.4","Percent","102"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2011","Year","England","FRA","Support Staff","All","93.3","Percent","8143"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2012","Year","England","FRA","Support Staff","All","93.1","Percent","7509"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2013","Year","England","FRA","Support Staff","All","93.1","Percent","7168"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2014","Year","England","FRA","Support Staff","All","93.2","Percent","6800"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2015","Year","England","FRA","Support Staff","All","93.1","Percent","6513"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2016","Year","England","FRA","Support Staff","All","92.9","Percent","6524"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2017","Year","England","FRA","Support Staff","All","92.8","Percent","6431"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2018","Year","England","FRA","Support Staff","All","92.2","Percent","6543"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2019","Year","England","FRA","Support Staff","All","91.9","Percent","6673"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","England","FRA","Support Staff","All","92","Percent","6717"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","FRA","Support Staff","All","0.7","Percent","60"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","FRA","Support Staff","All","0.8","Percent","65"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2013","Year","England","FRA","Support Staff","All","0.8","Percent","59"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2014","Year","England","FRA","Support Staff","All","0.8","Percent","57"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2015","Year","England","FRA","Support Staff","All","0.5","Percent","38"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2016","Year","England","FRA","Support Staff","All","0.7","Percent","49"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2017","Year","England","FRA","Support Staff","All","0.7","Percent","50"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","FRA","Support Staff","All","0.8","Percent","56"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","FRA","Support Staff","All","0.9","Percent","64"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2020","Year","England","FRA","Support Staff","All","0.9","Percent","63"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2011","Year","England","FRA","Support Staff","All","N/A","Percent","624"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2012","Year","England","FRA","Support Staff","All","N/A","Percent","503"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2013","Year","England","FRA","Support Staff","All","N/A","Percent","588"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2014","Year","England","FRA","Support Staff","All","N/A","Percent","669"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2015","Year","England","FRA","Support Staff","All","N/A","Percent","834"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2016","Year","England","FRA","Support Staff","All","N/A","Percent","637"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2017","Year","England","FRA","Support Staff","All","N/A","Percent","677"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2018","Year","England","FRA","Support Staff","All","N/A","Percent","805"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2019","Year","England","FRA","Support Staff","All","N/A","Percent","749"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2020","Year","England","FRA","Support Staff","All","N/A","Percent","852"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2011","Year","England","FRA","Support Staff","All","N/A","Percent","9348"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2012","Year","England","FRA","Support Staff","All","N/A","Percent","8567"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2013","Year","England","FRA","Support Staff","All","N/A","Percent","8289"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2014","Year","England","FRA","Support Staff","All","N/A","Percent","7964"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2015","Year","England","FRA","Support Staff","All","N/A","Percent","7833"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2016","Year","England","FRA","Support Staff","All","N/A","Percent","7659"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2017","Year","England","FRA","Support Staff","All","N/A","Percent","7606"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2018","Year","England","FRA","Support Staff","All","N/A","Percent","7904"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2019","Year","England","FRA","Support Staff","All","N/A","Percent","8007"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2020","Year","England","FRA","Support Staff","All","N/A","Percent","8155"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2011","Year","England","FRA","All Staff","All","0.9","Percent","441"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2012","Year","England","FRA","All Staff","All","0.8","Percent","404"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2013","Year","England","FRA","All Staff","All","0.9","Percent","402"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2014","Year","England","FRA","All Staff","All","0.8","Percent","364"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2015","Year","England","FRA","All Staff","All","0.9","Percent","392"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2016","Year","England","FRA","All Staff","All","0.9","Percent","371"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2017","Year","England","FRA","All Staff","All","0.9","Percent","355"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2018","Year","England","FRA","All Staff","All","1","Percent","409"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2019","Year","England","FRA","All Staff","All","1.1","Percent","430"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","England","FRA","All Staff","All","1","Percent","418"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2011","Year","England","FRA","All Staff","All","1.5","Percent","742"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2012","Year","England","FRA","All Staff","All","1.6","Percent","763"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2013","Year","England","FRA","All Staff","All","1.5","Percent","714"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2014","Year","England","FRA","All Staff","All","1.5","Percent","672"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2015","Year","England","FRA","All Staff","All","1.6","Percent","649"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2016","Year","England","FRA","All Staff","All","1.6","Percent","641"
