"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value type","Denominator","Numerator","Lower CI","Upper CI","Unweighted Respondents","Note"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Black other","ONS 18+1","England","91","%","878.4","799.1","","","917","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Any other","ONS 18+1","England","87.6","%","5,874.00","5,143.10","","","5,555","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Mixed other","ONS 18+1","England","93.9","%","774.1","726.6","","","548","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","White other","ONS 18+1","England","91.3","%","11,272.50","10,293.50","","","9,238","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Arab","ONS 18+1","England","88.7","%","551.7","489.3","","","472","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Bangladeshi","ONS 18+1","England","91.6","%","1,202.00","1,100.70","","","977","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Black Caribbean","ONS 18+1","England","93.8","%","1,914.30","1,794.80","","","2,234","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Chinese","ONS 18+1","England","94.9","%","1,353.40","1,284.70","","","1,068","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","White British","ONS 18+1","England","95.8","%","201,462.10","193,086.00","","","199,557","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","White Gypsy/Traveller","ONS 18+1","England","89.7","%","77.4","69.5","","","59","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Indian","ONS 18+1","England","91.2","%","5,037.00","4,592.70","","","5,354","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","White Irish","ONS 18+1","England","95.8","%","1,964.70","1,882.10","","","2,332","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Pakistani","ONS 18+1","England","91.2","%","3,520.90","3,210.50","","","3,301","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Unknown","ONS 18+1","England","92.7","%","2,214.60","2,052.10","","","2,416","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Mixed White/Asian","ONS 18+1","England","94.3","%","712.9","672","","","491","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Mixed White/Black African","ONS 18+1","England","90.1","%","336.1","302.8","","","296","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Mixed White/Black Caribbean","ONS 18+1","England","94.8","%","839.7","795.8","","","602","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Black African","ONS 18+1","England","88.6","%","2,956.20","2,620.30","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Asian other","ONS 18+1","England","88.7","%","2,849.40","2,527.60","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Black other","ONS 18+1","England","89.6","%","974.6","873.3","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Any other","ONS 18+1","England","88.7","%","6,445.10","5,714.90","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Mixed other","ONS 18+1","England","91.2","%","686.5","625.9","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","White other","ONS 18+1","England","91.6","%","11,049.40","10,121.30","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Arab","ONS 18+1","England","86.4","%","502.9","434.4","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Bangladeshi","ONS 18+1","England","92.7","%","1,222.20","1,133.00","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Black Caribbean","ONS 18+1","England","93.4","%","2,161.70","2,019.30","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Chinese","ONS 18+1","England","92.9","%","1,273.50","1,183.20","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","White British","ONS 18+1","England","95.6","%","214,793.40","205,395.20","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","White Gypsy/Traveller","ONS 18+1","England","86.2","%","98.4","84.8","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Indian","ONS 18+1","England","91.6","%","5,011.80","4,588.70","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","White Irish","ONS 18+1","England","94.1","%","2,024.00","1,904.70","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Pakistani","ONS 18+1","England","91.3","%","3,771.80","3,443.90","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Unknown","ONS 18+1","England","92.3","%","1,980.20","1,828.60","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Mixed White/Asian","ONS 18+1","England","94.6","%","663.1","627.4","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Mixed White/Black African","ONS 18+1","England","87.8","%","401.7","352.9","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Mixed White/Black Caribbean","ONS 18+1","England","91.7","%","858.6","787.2","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Black African","ONS 18+1","England","88.8","%","3,259.90","2,893.70","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Asian other","ONS 18+1","England","91.7","%","2,877.00","2,638.40","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Black other","ONS 18+1","England","91","%","1,053.70","959","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Any other","ONS 18+1","England","88.5","%","6,653.30","5,889.60","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Mixed other","ONS 18+1","England","93.3","%","662.7","618","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","White other","ONS 18+1","England","91.3","%","11,598.50","10,592.20","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Arab","ONS 18+1","England","92.5","%","532.3","492.5","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Bangladeshi","ONS 18+1","England","88.1","%","1,327.30","1,169.80","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Black Caribbean","ONS 18+1","England","93.2","%","2,332.50","2,174.20","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Chinese","ONS 18+1","England","94.2","%","1,341.20","1,263.50","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","White British","ONS 18+1","England","95.7","%","232,161.90","222,193.30","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","White Gypsy/Traveller","ONS 18+1","England","87.2","%","110.6","96.4","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Indian","ONS 18+1","England","91.2","%","5,379.10","4,906.90","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","White Irish","ONS 18+1","England","94.6","%","2,193.30","2,074.00","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Pakistani","ONS 18+1","England","90.2","%","3,832.80","3,456.10","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Unknown","ONS 18+1","England","93","%","2,521.90","2,346.00","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Mixed White/Asian","ONS 18+1","England","92.3","%","824.3","760.5","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Mixed White/Black African","ONS 18+1","England","86","%","353.5","304","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2012/13","July 2012 to March 2013","Mixed White/Black Caribbean","ONS 18+1","England","93.4","%","1,026.30","958.7","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Black African","ONS 18+1","England","87.2","%","3,437.40","2,998.60","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Asian other","ONS 18+1","England","90.7","%","3,196.90","2,900.20","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Black other","ONS 18+1","England","88.2","%","1,136.60","1,002.70","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Any other","ONS 18+1","England","87.2","%","5,491.90","4,791.00","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Mixed other","ONS 18+1","England","89.4","%","735.6","657.9","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","White other","ONS 18+1","England","90.9","%","11,237.10","10,209.50","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Arab","ONS 18+1","England","90.4","%","521.3","471.3","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Bangladeshi","ONS 18+1","England","90.4","%","1,392.00","1,258.70","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Black Caribbean","ONS 18+1","England","94.9","%","2,401.90","2,278.70","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Chinese","ONS 18+1","England","93.2","%","1,395.90","1,301.30","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","White British","ONS 18+1","England","95.4","%","230,680.70","219,960.60","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","White Gypsy/Traveller","ONS 18+1","England","86.2","%","114.4","98.6","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Indian","ONS 18+1","England","91.8","%","5,538.00","5,083.20","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","White Irish","ONS 18+1","England","94.7","%","2,359.00","2,233.50","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Pakistani","ONS 18+1","England","90.4","%","4,012.70","3,627.50","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Unknown","ONS 18+1","England","91.7","%","3,339.70","3,061.20","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Mixed White/Asian","ONS 18+1","England","92.6","%","683.6","633.1","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Mixed White/Black African","ONS 18+1","England","91.7","%","403.6","370.3","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","Mixed White/Black Caribbean","ONS 18+1","England","92","%","871.7","801.6","","","","No figures to report for upper and lower bounds"
