"Measure","Ethnicity","Time","Time_Type","Geography_Code","Geography","Geography_Type","Value","%"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","352","Manchester","LA","97","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","353","Oldham","LA","72","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","354","Rochdale","LA","77","26"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","355","Salford","LA","48","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","356","Stockport","LA","43","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","357","Tameside","LA","62","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","358","Trafford","LA","22","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","359","Wigan","LA","73","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","370","Barnsley","LA","112","34"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","371","Doncaster","LA","93","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","372","Rotherham","LA","81","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","373","Sheffield","LA","84","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","380","Bradford","LA","65","10"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","381","Calderdale","LA","34","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","382","Kirklees","LA","79","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","383","Leeds","LA","143","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","384","Wakefield","LA","82","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","390","Gateshead","LA","72","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","391","Newcastle upon Tyne","LA","91","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","392","North Tyneside","LA","38","9"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","393","South Tyneside","LA","45","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","394","Sunderland","LA","114","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","420","Isles of Scilly","LA","0","0"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","800","Bath and North East Somerset","LA","31","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","801","Bristol, City of","LA","50","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","802","North Somerset","LA","39","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","803","South Gloucestershire","LA","9","4"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","805","Hartlepool","LA","31","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","806","Middlesbrough","LA","50","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","807","Redcar and Cleveland","LA","31","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","808","Stockton-on-Tees","LA","54","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","810","Kingston Upon Hull, City of","LA","89","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","811","East Riding of Yorkshire","LA","44","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","812","North East Lincolnshire","LA","46","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","813","North Lincolnshire","LA","36","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","815","North Yorkshire","LA","61","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","816","York","LA","25","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","821","Luton","LA","30","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","822","Bedford","LA","53","30"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","823","Central Bedfordshire","LA","43","20"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","825","Buckinghamshire","LA","49","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","826","Milton Keynes","LA","40","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","830","Derbyshire","LA","114","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","831","Derby","LA","64","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","838","Dorset","LA","N/A","N/A"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","839","Bournemouth, Christchurch and Poole","LA","N/A","N/A"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","840","Durham","LA","153","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","841","Darlington","LA","35","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","845","East Sussex","LA","81","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","846","Brighton and Hove","LA","73","20"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","850","Hampshire","LA","179","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","851","Portsmouth","LA","66","21"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","852","Southampton","LA","118","25"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","855","Leicestershire","LA","80","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","856","Leicester","LA","58","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","857","Rutland","LA","6","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","860","Staffordshire","LA","117","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","861","Stoke-on-Trent","LA","74","20"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","865","Wiltshire","LA","71","20"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","866","Swindon","LA","49","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","867","Bracknell Forest","LA","16","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","868","Windsor and Maidenhead","LA","9","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","869","West Berkshire","LA","16","10"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","870","Reading","LA","38","21"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","871","Slough","LA","20","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","872","Wokingham","LA","9","9"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","873","Cambridgeshire","LA","125","21"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","874","Peterborough","LA","50","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","876","Halton","LA","44","21"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","877","Warrington","LA","57","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","878","Devon","LA","122","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","879","Plymouth","LA","79","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","880","Torbay","LA","56","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","881","Essex","LA","199","22"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","882","Southend-on-Sea","LA","67","28"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","883","Thurrock","LA","31","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","884","Herefordshire","LA","45","20"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","885","Worcestershire","LA","124","21"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","886","Kent","LA","240","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","887","Medway","LA","75","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","888","Lancashire","LA","212","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","889","Blackburn with Darwen","LA","54","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","890","Blackpool","LA","97","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","891","Nottinghamshire","LA","111","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","892","Nottingham","LA","75","20"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","893","Shropshire","LA","18","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","894","Telford and Wrekin","LA","76","30"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","895","Cheshire East","LA","48","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","896","Cheshire West & Chester","LA","46","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","908","Cornwall","LA","78","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","909","Cumbria","LA","122","21"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","916","Gloucestershire","LA","82","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","919","Hertfordshire","LA","109","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","921","Isle of Wight","LA","32","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","925","Lincolnshire","LA","111","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","926","Norfolk","LA","172","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","928","Northamptonshire","LA","133","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","929","Northumberland","LA","83","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","931","Oxfordshire","LA","73","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","933","Somerset","LA","93","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","935","Suffolk","LA","133","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","936","Surrey","LA","74","10"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","937","Warwickshire","LA","91","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","938","West Sussex","LA","103","15"
"All White children leaving care","White","2017-20","3 Year","201","City of London","LA","c","c"
"All White children leaving care","White","2017-20","3 Year","202","Camden","LA","79","100"
"All White children leaving care","White","2017-20","3 Year","203","Greenwich","LA","277","100"
"All White children leaving care","White","2017-20","3 Year","204","Hackney","LA","158","100"
"All White children leaving care","White","2017-20","3 Year","205","Hammersmith and Fulham","LA","110","100"
"All White children leaving care","White","2017-20","3 Year","206","Islington","LA","192","100"
"All White children leaving care","White","2017-20","3 Year","207","Kensington and Chelsea","LA","34","100"
"All White children leaving care","White","2017-20","3 Year","208","Lambeth","LA","94","100"
"All White children leaving care","White","2017-20","3 Year","209","Lewisham","LA","184","100"
"All White children leaving care","White","2017-20","3 Year","210","Southwark","LA","156","100"
"All White children leaving care","White","2017-20","3 Year","211","Tower Hamlets","LA","115","100"
"All White children leaving care","White","2017-20","3 Year","212","Wandsworth","LA","151","100"
"All White children leaving care","White","2017-20","3 Year","213","Westminster","LA","49","100"
"All White children leaving care","White","2017-20","3 Year","301","Barking and Dagenham","LA","317","100"
"All White children leaving care","White","2017-20","3 Year","302","Barnet","LA","188","100"
"All White children leaving care","White","2017-20","3 Year","303","Bexley","LA","197","100"
"All White children leaving care","White","2017-20","3 Year","304","Brent","LA","120","100"
"All White children leaving care","White","2017-20","3 Year","305","Bromley","LA","237","100"
"All White children leaving care","White","2017-20","3 Year","306","Croydon","LA","460","100"
"All White children leaving care","White","2017-20","3 Year","307","Ealing","LA","140","100"
"All White children leaving care","White","2017-20","3 Year","308","Enfield","LA","250","100"
"All White children leaving care","White","2017-20","3 Year","309","Haringey","LA","194","100"
"All White children leaving care","White","2017-20","3 Year","310","Harrow","LA","124","100"
"All White children leaving care","White","2017-20","3 Year","311","Havering","LA","236","100"
"All White children leaving care","White","2017-20","3 Year","312","Hillingdon","LA","210","100"
"All White children leaving care","White","2017-20","3 Year","313","Hounslow","LA","170","100"
"All White children leaving care","White","2017-20","3 Year","314","Kingston upon Thames","LA","92","100"
"All White children leaving care","White","2017-20","3 Year","315","Merton","LA","93","100"
"All White children leaving care","White","2017-20","3 Year","316","Newham","LA","162","100"
"All White children leaving care","White","2017-20","3 Year","317","Redbridge","LA","123","100"
"All White children leaving care","White","2017-20","3 Year","318","Richmond upon Thames","LA","99","100"
"All White children leaving care","White","2017-20","3 Year","319","Sutton","LA","213","100"
"All White children leaving care","White","2017-20","3 Year","320","Waltham Forest","LA","139","100"
"All White children leaving care","White","2017-20","3 Year","330","Birmingham","LA","778","100"
"All White children leaving care","White","2017-20","3 Year","331","Coventry","LA","462","100"
"All White children leaving care","White","2017-20","3 Year","332","Dudley","LA","412","100"
"All White children leaving care","White","2017-20","3 Year","333","Sandwell","LA","331","100"
"All White children leaving care","White","2017-20","3 Year","334","Solihull","LA","226","100"
"All White children leaving care","White","2017-20","3 Year","335","Walsall","LA","393","100"
"All White children leaving care","White","2017-20","3 Year","336","Wolverhampton","LA","265","100"
"All White children leaving care","White","2017-20","3 Year","340","Knowsley","LA","232","100"
"All White children leaving care","White","2017-20","3 Year","341","Liverpool","LA","753","100"
"All White children leaving care","White","2017-20","3 Year","342","St. Helens","LA","333","100"
"All White children leaving care","White","2017-20","3 Year","343","Sefton","LA","383","100"
"All White children leaving care","White","2017-20","3 Year","344","Wirral","LA","579","100"
"All White children leaving care","White","2017-20","3 Year","350","Bolton","LA","414","100"
"All White children leaving care","White","2017-20","3 Year","351","Bury","LA","255","100"
"All White children leaving care","White","2017-20","3 Year","352","Manchester","LA","679","100"
"All White children leaving care","White","2017-20","3 Year","353","Oldham","LA","384","100"
"All White children leaving care","White","2017-20","3 Year","354","Rochdale","LA","291","100"
"All White children leaving care","White","2017-20","3 Year","355","Salford","LA","400","100"
"All White children leaving care","White","2017-20","3 Year","356","Stockport","LA","395","100"
"All White children leaving care","White","2017-20","3 Year","357","Tameside","LA","475","100"
"All White children leaving care","White","2017-20","3 Year","358","Trafford","LA","266","100"
"All White children leaving care","White","2017-20","3 Year","359","Wigan","LA","398","100"
"All White children leaving care","White","2017-20","3 Year","370","Barnsley","LA","334","100"
"All White children leaving care","White","2017-20","3 Year","371","Doncaster","LA","580","100"
"All White children leaving care","White","2017-20","3 Year","372","Rotherham","LA","580","100"
"All White children leaving care","White","2017-20","3 Year","373","Sheffield","LA","526","100"
"All White children leaving care","White","2017-20","3 Year","380","Bradford","LA","623","100"
"All White children leaving care","White","2017-20","3 Year","381","Calderdale","LA","198","100"
"All White children leaving care","White","2017-20","3 Year","382","Kirklees","LA","413","100"
"All White children leaving care","White","2017-20","3 Year","383","Leeds","LA","762","100"
"All White children leaving care","White","2017-20","3 Year","384","Wakefield","LA","458","100"
"All White children leaving care","White","2017-20","3 Year","390","Gateshead","LA","414","100"
"All White children leaving care","White","2017-20","3 Year","391","Newcastle upon Tyne","LA","608","100"
"All White children leaving care","White","2017-20","3 Year","392","North Tyneside","LA","409","100"
"All White children leaving care","White","2017-20","3 Year","393","South Tyneside","LA","293","100"
"All White children leaving care","White","2017-20","3 Year","394","Sunderland","LA","903","100"
"All White children leaving care","White","2017-20","3 Year","420","Isles of Scilly","LA","0","100"
"All White children leaving care","White","2017-20","3 Year","800","Bath and North East Somerset","LA","173","100"
"All White children leaving care","White","2017-20","3 Year","801","Bristol, City of","LA","463","100"
"All White children leaving care","White","2017-20","3 Year","802","North Somerset","LA","224","100"
"All White children leaving care","White","2017-20","3 Year","803","South Gloucestershire","LA","215","100"
"All White children leaving care","White","2017-20","3 Year","805","Hartlepool","LA","271","100"
"All White children leaving care","White","2017-20","3 Year","806","Middlesbrough","LA","427","100"
"All White children leaving care","White","2017-20","3 Year","807","Redcar and Cleveland","LA","259","100"
"All White children leaving care","White","2017-20","3 Year","808","Stockton-on-Tees","LA","335","100"
"All White children leaving care","White","2017-20","3 Year","810","Kingston Upon Hull, City of","LA","615","100"
"All White children leaving care","White","2017-20","3 Year","811","East Riding of Yorkshire","LA","272","100"
"All White children leaving care","White","2017-20","3 Year","812","North East Lincolnshire","LA","320","100"
"All White children leaving care","White","2017-20","3 Year","813","North Lincolnshire","LA","193","100"
"All White children leaving care","White","2017-20","3 Year","815","North Yorkshire","LA","423","100"
"All White children leaving care","White","2017-20","3 Year","816","York","LA","158","100"
"All White children leaving care","White","2017-20","3 Year","821","Luton","LA","242","100"
"All White children leaving care","White","2017-20","3 Year","822","Bedford","LA","175","100"
"All White children leaving care","White","2017-20","3 Year","823","Central Bedfordshire","LA","212","100"
"All White children leaving care","White","2017-20","3 Year","825","Buckinghamshire","LA","378","100"
"All White children leaving care","White","2017-20","3 Year","826","Milton Keynes","LA","294","100"
"All White children leaving care","White","2017-20","3 Year","830","Derbyshire","LA","756","100"
"All White children leaving care","White","2017-20","3 Year","831","Derby","LA","439","100"
"All White children leaving care","White","2017-20","3 Year","838","Dorset","LA","N/A","N/A"
"All White children leaving care","White","2017-20","3 Year","839","Bournemouth, Christchurch and Poole","LA","N/A","N/A"
"All White children leaving care","White","2017-20","3 Year","840","Durham","LA","1015","100"
"All White children leaving care","White","2017-20","3 Year","841","Darlington","LA","248","100"
"All White children leaving care","White","2017-20","3 Year","845","East Sussex","LA","439","100"
"All White children leaving care","White","2017-20","3 Year","846","Brighton and Hove","LA","364","100"
"All White children leaving care","White","2017-20","3 Year","850","Hampshire","LA","1358","100"
"All White children leaving care","White","2017-20","3 Year","851","Portsmouth","LA","317","100"
"All White children leaving care","White","2017-20","3 Year","852","Southampton","LA","471","100"
"All White children leaving care","White","2017-20","3 Year","855","Leicestershire","LA","428","100"
"All White children leaving care","White","2017-20","3 Year","856","Leicester","LA","409","100"
"All White children leaving care","White","2017-20","3 Year","857","Rutland","LA","31","100"
"All White children leaving care","White","2017-20","3 Year","860","Staffordshire","LA","758","100"
"All White children leaving care","White","2017-20","3 Year","861","Stoke-on-Trent","LA","364","100"
"All White children leaving care","White","2017-20","3 Year","865","Wiltshire","LA","359","100"
"All White children leaving care","White","2017-20","3 Year","866","Swindon","LA","346","100"
"All White children leaving care","White","2017-20","3 Year","867","Bracknell Forest","LA","149","100"
"All White children leaving care","White","2017-20","3 Year","868","Windsor and Maidenhead","LA","111","100"
"All White children leaving care","White","2017-20","3 Year","869","West Berkshire","LA","155","100"
"All White children leaving care","White","2017-20","3 Year","870","Reading","LA","183","100"
"All White children leaving care","White","2017-20","3 Year","871","Slough","LA","138","100"
"All White children leaving care","White","2017-20","3 Year","872","Wokingham","LA","105","100"
"All White children leaving care","White","2017-20","3 Year","873","Cambridgeshire","LA","605","100"
"All White children leaving care","White","2017-20","3 Year","874","Peterborough","LA","336","100"
"All White children leaving care","White","2017-20","3 Year","876","Halton","LA","211","100"
"All White children leaving care","White","2017-20","3 Year","877","Warrington","LA","340","100"
"All White children leaving care","White","2017-20","3 Year","878","Devon","LA","801","100"
"All White children leaving care","White","2017-20","3 Year","879","Plymouth","LA","434","100"
"All White children leaving care","White","2017-20","3 Year","880","Torbay","LA","327","100"
"All White children leaving care","White","2017-20","3 Year","881","Essex","LA","922","100"
"All White children leaving care","White","2017-20","3 Year","882","Southend-on-Sea","LA","241","100"
"All White children leaving care","White","2017-20","3 Year","883","Thurrock","LA","277","100"
"All White children leaving care","White","2017-20","3 Year","884","Herefordshire","LA","228","100"
"All White children leaving care","White","2017-20","3 Year","885","Worcestershire","LA","583","100"
"All White children leaving care","White","2017-20","3 Year","886","Kent","LA","1543","100"
"All White children leaving care","White","2017-20","3 Year","887","Medway","LA","414","100"
"All White children leaving care","White","2017-20","3 Year","888","Lancashire","LA","1771","100"
"All White children leaving care","White","2017-20","3 Year","889","Blackburn with Darwen","LA","325","100"
"All White children leaving care","White","2017-20","3 Year","890","Blackpool","LA","499","100"
"All White children leaving care","White","2017-20","3 Year","891","Nottinghamshire","LA","771","100"
"All White children leaving care","White","2017-20","3 Year","892","Nottingham","LA","377","100"
"All White children leaving care","White","2017-20","3 Year","893","Shropshire","LA","236","100"
"All White children leaving care","White","2017-20","3 Year","894","Telford and Wrekin","LA","255","100"
"All White children leaving care","White","2017-20","3 Year","895","Cheshire East","LA","365","100"
"All White children leaving care","White","2017-20","3 Year","896","Cheshire West & Chester","LA","405","100"
"All White children leaving care","White","2017-20","3 Year","908","Cornwall","LA","642","100"
"All White children leaving care","White","2017-20","3 Year","909","Cumbria","LA","579","100"
"All White children leaving care","White","2017-20","3 Year","916","Gloucestershire","LA","687","100"
"All White children leaving care","White","2017-20","3 Year","919","Hertfordshire","LA","728","100"
"All White children leaving care","White","2017-20","3 Year","921","Isle of Wight","LA","177","100"
"All White children leaving care","White","2017-20","3 Year","925","Lincolnshire","LA","747","100"
"All White children leaving care","White","2017-20","3 Year","926","Norfolk","LA","1130","100"
"All White children leaving care","White","2017-20","3 Year","928","Northamptonshire","LA","852","100"
"All White children leaving care","White","2017-20","3 Year","929","Northumberland","LA","473","100"
"All White children leaving care","White","2017-20","3 Year","931","Oxfordshire","LA","591","100"
"All White children leaving care","White","2017-20","3 Year","933","Somerset","LA","541","100"
"All White children leaving care","White","2017-20","3 Year","935","Suffolk","LA","735","100"
"All White children leaving care","White","2017-20","3 Year","936","Surrey","LA","729","100"
"All White children leaving care","White","2017-20","3 Year","937","Warwickshire","LA","601","100"
"All White children leaving care","White","2017-20","3 Year","938","West Sussex","LA","692","100"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","201","City of London","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","202","Camden","LA","10","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","203","Greenwich","LA","18","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","204","Hackney","LA","23","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","205","Hammersmith and Fulham","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","206","Islington","LA","20","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","207","Kensington and Chelsea","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","208","Lambeth","LA","22","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","209","Lewisham","LA","29","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","210","Southwark","LA","19","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","211","Tower Hamlets","LA","18","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","212","Wandsworth","LA","18","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","213","Westminster","LA","9","2"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","301","Barking and Dagenham","LA","9","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","302","Barnet","LA","13","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","303","Bexley","LA","6","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","304","Brent","LA","9","2"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","305","Bromley","LA","12","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","306","Croydon","LA","23","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","307","Ealing","LA","11","2"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","308","Enfield","LA","11","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","309","Haringey","LA","18","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","310","Harrow","LA","7","2"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","311","Havering","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","312","Hillingdon","LA","13","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","313","Hounslow","LA","12","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","314","Kingston upon Thames","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","315","Merton","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","316","Newham","LA","12","2"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","317","Redbridge","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","318","Richmond upon Thames","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","319","Sutton","LA","7","6"
