"Measure","Gender","Ethnicity","Ethnicity_Type","Age","Time","Time_Type","Count","Value","Value_Type","Geography"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","All","2019","Year to 31st March","2,980","83","%","England"
"Percentage of looked after children who were adopted","Male","White","ONS 5+1","All","2019","Year to 31st March","1,580","44","%","England"
"Percentage of looked after children who were adopted","Female","White","ONS 5+1","All","2019","Year to 31st March","1,400","39","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","All","2019","Year to 31st March","400","11","%","England"
"Percentage of looked after children who were adopted","Male","Mixed","ONS 5+1","All","2019","Year to 31st March","190","5","%","England"
"Percentage of looked after children who were adopted","Female","Mixed","ONS 5+1","All","2019","Year to 31st March","210","6","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","All","2019","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","Male","Asian","ONS 5+1","All","2019","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","Female","Asian","ONS 5+1","All","2019","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","All","2019","Year to 31st March","70","2","%","England"
"Percentage of looked after children who were adopted","Male","Black","ONS 5+1","All","2019","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","Female","Black","ONS 5+1","All","2019","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","All","2019","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","Male","Other","ONS 5+1","All","2019","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","Female","Other","ONS 5+1","All","2019","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","All","2019","Year to 31st March","70","2","%","England"
"Percentage of looked after children who were adopted","Male","Unknown","ONS 5+1","All","2019","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","Female","Unknown","ONS 5+1","All","2019","Year to 31st March","30","1","%","England"
"Percentage of looked after children","All","All","ONS 5+1","All","2020","Year to 31st March","108,630","100","%","England"
"Percentage of looked after children","Male","All","ONS 5+1","All","2020","Year to 31st March","61,390","57","%","England"
"Percentage of looked after children","Female","All","ONS 5+1","All","2020","Year to 31st March","47,240","43","%","England"
"Percentage of looked after children","All","White","ONS 5+1","All","2020","Year to 31st March","77,880","72","%","England"
"Percentage of looked after children","Male","White","ONS 5+1","All","2020","Year to 31st March","42,010","39","%","England"
"Percentage of looked after children","Female","White","ONS 5+1","All","2020","Year to 31st March","35,870","33","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","All","2020","Year to 31st March","10,450","10","%","England"
"Percentage of looked after children","Male","Mixed","ONS 5+1","All","2020","Year to 31st March","5,640","5","%","England"
"Percentage of looked after children","Female","Mixed","ONS 5+1","All","2020","Year to 31st March","4,810","4","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","All","2020","Year to 31st March","5,400","5","%","England"
"Percentage of looked after children","Male","Asian","ONS 5+1","All","2020","Year to 31st March","3,380","3","%","England"
"Percentage of looked after children","Female","Asian","ONS 5+1","All","2020","Year to 31st March","2,020","2","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","All","2020","Year to 31st March","9,010","8","%","England"
"Percentage of looked after children","Male","Black","ONS 5+1","All","2020","Year to 31st March","5,950","5","%","England"
"Percentage of looked after children","Female","Black","ONS 5+1","All","2020","Year to 31st March","3,060","3","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","All","2020","Year to 31st March","4,800","4","%","England"
"Percentage of looked after children","Male","Other","ONS 5+1","All","2020","Year to 31st March","3,810","4","%","England"
"Percentage of looked after children","Female","Other","ONS 5+1","All","2020","Year to 31st March","990","1","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","All","2020","Year to 31st March","1,090","1","%","England"
"Percentage of looked after children","Male","Unknown","ONS 5+1","All","2020","Year to 31st March","600","1","%","England"
"Percentage of looked after children","Female","Unknown","ONS 5+1","All","2020","Year to 31st March","490","~0","%","England"
"Percentage of looked after children who were adopted","All","All","ONS 5+1","All","2020","Year to 31st March","3,440","100","%","England"
"Percentage of looked after children who were adopted","Male","All","ONS 5+1","All","2020","Year to 31st March","1,780","52","%","England"
"Percentage of looked after children who were adopted","Female","All","ONS 5+1","All","2020","Year to 31st March","1,670","48","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","All","2020","Year to 31st March","2,850","83","%","England"
"Percentage of looked after children who were adopted","Male","White","ONS 5+1","All","2020","Year to 31st March","1,500","43","%","England"
"Percentage of looked after children who were adopted","Female","White","ONS 5+1","All","2020","Year to 31st March","1,350","39","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","All","2020","Year to 31st March","360","10","%","England"
"Percentage of looked after children who were adopted","Male","Mixed","ONS 5+1","All","2020","Year to 31st March","170","5","%","England"
"Percentage of looked after children who were adopted","Female","Mixed","ONS 5+1","All","2020","Year to 31st March","190","6","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","All","2020","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","Male","Asian","ONS 5+1","All","2020","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","Female","Asian","ONS 5+1","All","2020","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","All","2020","Year to 31st March","60","2","%","England"
"Percentage of looked after children who were adopted","Male","Black","ONS 5+1","All","2020","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","Female","Black","ONS 5+1","All","2020","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","All","2020","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","Male","Other","ONS 5+1","All","2020","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","Female","Other","ONS 5+1","All","2020","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","All","2020","Year to 31st March","80","2","%","England"
"Percentage of looked after children who were adopted","Male","Unknown","ONS 5+1","All","2020","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","Female","Unknown","ONS 5+1","All","2020","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","Under 1","2018","Year to 31st March","270","7","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","1 to 4","2018","Year to 31st March","2,240","58","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","5 to 9","2018","Year to 31st March","670","17","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","10 to 15","2018","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","16 and Above","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","Under 1","2018","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","1 to 4","2018","Year to 31st March","280","7","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","5 to 9","2018","Year to 31st March","80","2","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","10 to 15","2018","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","16 and Above","2018","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","Under 1","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","1 to 4","2018","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","5 to 9","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","10 to 15","2018","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","16 and Above","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","Under 1","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","1 to 4","2018","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","5 to 9","2018","Year to 31st March","20","~0","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","10 to 15","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","16 and Above","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","Under 1","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","1 to 4","2018","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","5 to 9","2018","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","10 to 15","2018","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","16 and Above","2018","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","Under 1","2018","Year to 31st March","20","~0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","1 to 4","2018","Year to 31st March","60","1","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","5 to 9","2018","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","10 to 15","2018","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","16 and Above","2018","Year to 31st March","0","0","%","England"
"Percentage of looked after children","All","White","ONS 5+1","Under 1","2018","Year to 31st March","4,940","5","%","England"
"Percentage of looked after children","All","White","ONS 5+1","1 to 4","2018","Year to 31st March","12,740","12","%","England"
"Percentage of looked after children","All","White","ONS 5+1","5 to 9","2018","Year to 31st March","14,320","14","%","England"
"Percentage of looked after children","All","White","ONS 5+1","10 to 15","2018","Year to 31st March","25,740","25","%","England"
"Percentage of looked after children","All","White","ONS 5+1","16 and Above","2018","Year to 31st March","17,930","17","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","Under 1","2018","Year to 31st March","790","1","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","1 to 4","2018","Year to 31st March","1,820","2","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","5 to 9","2018","Year to 31st March","1,870","2","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","10 to 15","2018","Year to 31st March","3,230","3","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","16 and Above","2018","Year to 31st March","2,110","2","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","Under 1","2018","Year to 31st March","160","~0","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","1 to 4","2018","Year to 31st March","450","~0","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","5 to 9","2018","Year to 31st March","590","1","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","10 to 15","2018","Year to 31st March","1,520","1","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","16 and Above","2018","Year to 31st March","2,640","3","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","Under 1","2018","Year to 31st March","250","~0","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","1 to 4","2018","Year to 31st March","650","1","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","5 to 9","2018","Year to 31st March","1,060","1","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","10 to 15","2018","Year to 31st March","2,560","2","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","16 and Above","2018","Year to 31st March","4,000","4","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","Under 1","2018","Year to 31st March","100","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","1 to 4","2018","Year to 31st March","240","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","5 to 9","2018","Year to 31st March","260","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","10 to 15","2018","Year to 31st March","800","1","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","16 and Above","2018","Year to 31st March","2,840","3","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","Under 1","2018","Year to 31st March","230","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","1 to 4","2018","Year to 31st March","210","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","5 to 9","2018","Year to 31st March","70","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","10 to 15","2018","Year to 31st March","60","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","16 and Above","2018","Year to 31st March","100","~0","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","Under 1","2019","Year to 31st March","210","6","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","1 to 4","2019","Year to 31st March","2,180","61","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","5 to 9","2019","Year to 31st March","550","15","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","10 to 15","2019","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","16 and Above","2019","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","Under 1","2019","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","1 to 4","2019","Year to 31st March","320","9","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","5 to 9","2019","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","10 to 15","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","16 and Above","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","Under 1","2019","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","1 to 4","2019","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","5 to 9","2019","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","10 to 15","2019","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","16 and Above","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","Under 1","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","1 to 4","2019","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","5 to 9","2019","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","10 to 15","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","16 and Above","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","Under 1","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","1 to 4","2019","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","5 to 9","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","10 to 15","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","16 and Above","2019","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","Under 1","2019","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","1 to 4","2019","Year to 31st March","60","2","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","5 to 9","2019","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","10 to 15","2019","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","16 and Above","2019","Year to 31st March","0","0","%","England"
"Percentage of looked after children","All","White","ONS 5+1","Under 1","2019","Year to 31st March","4,820","5","%","England"
"Percentage of looked after children","All","White","ONS 5+1","1 to 4","2019","Year to 31st March","13,280","12","%","England"
"Percentage of looked after children","All","White","ONS 5+1","5 to 9","2019","Year to 31st March","14,360","13","%","England"
"Percentage of looked after children","All","White","ONS 5+1","10 to 15","2019","Year to 31st March","26,340","25","%","England"
"Percentage of looked after children","All","White","ONS 5+1","16 and Above","2019","Year to 31st March","18,140","17","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","Under 1","2019","Year to 31st March","750","1","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","1 to 4","2019","Year to 31st March","1,950","2","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","5 to 9","2019","Year to 31st March","1,910","2","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","10 to 15","2019","Year to 31st March","3,450","3","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","16 and Above","2019","Year to 31st March","2,220","2","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","Under 1","2019","Year to 31st March","170","~0","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","1 to 4","2019","Year to 31st March","450","~0","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","5 to 9","2019","Year to 31st March","600","1","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","10 to 15","2019","Year to 31st March","1,460","1","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","16 and Above","2019","Year to 31st March","2,660","2","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","Under 1","2019","Year to 31st March","240","~0","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","1 to 4","2019","Year to 31st March","630","1","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","5 to 9","2019","Year to 31st March","960","1","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","10 to 15","2019","Year to 31st March","2,540","2","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","16 and Above","2019","Year to 31st March","4,570","4","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","Under 1","2019","Year to 31st March","100","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","1 to 4","2019","Year to 31st March","260","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","5 to 9","2019","Year to 31st March","270","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","10 to 15","2019","Year to 31st March","770","1","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","16 and Above","2019","Year to 31st March","3,010","3","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","Under 1","2019","Year to 31st March","230","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","1 to 4","2019","Year to 31st March","250","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","5 to 9","2019","Year to 31st March","60","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","10 to 15","2019","Year to 31st March","80","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","16 and Above","2019","Year to 31st March","120","~0","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","Under 1","2020","Year to 31st March","190","5","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","1 to 4","2020","Year to 31st March","2,180","63","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","5 to 9","2020","Year to 31st March","440","13","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","10 to 15","2020","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","16 and Above","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","Under 1","2020","Year to 31st March","20","~0","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","1 to 4","2020","Year to 31st March","280","8","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","5 to 9","2020","Year to 31st March","50","2","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","10 to 15","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","16 and Above","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","Under 1","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","1 to 4","2020","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","5 to 9","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","10 to 15","2020","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","16 and Above","2020","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","Under 1","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","1 to 4","2020","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","5 to 9","2020","Year to 31st March","10","~0","%","England"
