"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","2","2,734"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","3","2,734"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","3","2,734"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","1","2,734"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","5","2,734"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","3","2,734"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","72","531"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","531"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","531"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","531"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","531"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","531"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","531"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","531"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","531"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","69","2,622"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","6","2,622"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","1","2,622"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","4","2,622"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","3","2,622"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","2","2,622"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","1","2,622"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","7","2,622"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","7","2,622"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","77","1,127"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","6","1,127"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","1","1,127"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","2","1,127"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","3","1,127"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","2","1,127"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","1","1,127"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","5","1,127"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","3","1,127"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","56","618"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","9","618"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","-","618"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","10","618"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","3","618"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","1","618"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","2","618"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","12","618"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","8","618"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","55","221"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","5","221"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","-","221"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","9","221"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","4","221"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","2","221"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","2","221"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","16","221"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","7","221"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","63","236"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","5","236"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","2","236"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","236"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","236"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","2","236"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","-","236"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","3","236"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","23","236"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","70","420"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","5","420"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","1","420"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","3","420"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","2","420"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","2","420"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","-","420"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","8","420"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","9","420"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","67","1,457"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1,457"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","1,457"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1,457"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1,457"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","1,457"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","1,457"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1,457"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1,457"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","67","595"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","6","595"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","1","595"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","3","595"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","3","595"
"Share of income made up by Private pensions6 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","4","595"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","1","595"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","8","595"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","6","595"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","64","66,320"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","8","66,320"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","2","66,320"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","2","66,320"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","66,320"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","8","66,320"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","1","66,320"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","6","66,320"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","3","66,320"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","64","61,423"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","8","61,423"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","2","61,423"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","2","61,423"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","61,423"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","8","61,423"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","1","61,423"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","5","61,423"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","3","61,423"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","63","58,941"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","58,941"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58,941"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58,941"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","8","58,941"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","9","58,941"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58,941"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","5","58,941"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58,941"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","72","2,482"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","10","2,482"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","1","2,482"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","2","2,482"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","3","2,482"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","3","2,482"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","1","2,482"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","5","2,482"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","4","2,482"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","66","491"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","491"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","491"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","491"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","491"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","491"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","491"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","10","491"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","491"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","68","2,454"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","8","2,454"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","1","2,454"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","4","2,454"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","3","2,454"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","2","2,454"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","1","2,454"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","7","2,454"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","6","2,454"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","75","1,047"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","9","1,047"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","1","1,047"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","1","1,047"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","3","1,047"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","2","1,047"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","1","1,047"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","4","1,047"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","3","1,047"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","57","570"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","10","570"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","-","570"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","10","570"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","3","570"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","1","570"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","2","570"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","12","570"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","5","570"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","55","228"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","3","228"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","-","228"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","10","228"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","5","228"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","3","228"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","1","228"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","15","228"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","7","228"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","65","213"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","4","213"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","213"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","213"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","2","213"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","2","213"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","-","213"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","3","213"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","22","213"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","68","396"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","5","396"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","-","396"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","3","396"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","2","396"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","2","396"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","1","396"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","8","396"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","10","396"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","65","1,355"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1,355"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","1,355"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1,355"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1,355"
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","1,355"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","1,355"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","1,355"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1,355"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","68","597"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","6","597"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","1","597"
