"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Croydon","45.8","3,452","51.4","472","43.5","998","68.3","13","46.5","499","46.9","1,268"
"Cumbria","46.7","4,689","59.0","30","49.9","15","69.2","15","49.9","59","46.6","4,407"
"Darlington","45.8","1,097","49.3","32","50.6","5","52.5","4","50.9","32","45.5","1,008"
"Derby","43.2","2,747","48.0","487","42.8","96","57.4","12","40.9","174","42.3","1,925"
"Derbyshire","45.6","7,069","51.1","70","45.4","27","63.7","12","46.3","171","45.5","6,739"
"Devon","45.8","6,559","51.4","23","37.6","5","60.5","13","45.9","109","45.8","6,179"
"Doncaster","42.7","2,903","47.5","95","43.8","27","42.8","5","46.1","68","42.4","2,677"
"Dorset","47.4","3,989","59.4","28","45.9","7","62.7","12","51.7","79","47.2","3,827"
"Dudley","43.4","3,283","46.5","302","42.0","82","64.1","4","43.8","181","43.2","2,643"
"Ealing","50.0","2,853","51.8","824","44.3","563","72.5","11","50.0","222","51.8","837"
"East Riding of Yorkshire","48.1","3,151","64.0","7","27.7","3","56.7","3","53.6","58","47.9","3,032"
"East Sussex","45.2","4,665","54.2","80","46.1","25","59.6","12","48.1","183","45.0","4,274"
"Enfield","46.3","3,414","57.8","299","43.9","852","76.1","17","48.1","336","44.7","1,619"
"Essex","46.1","14,040","62.4","380","50.6","440","64.6","41","48.0","546","45.3","12,382"
"Gateshead","46.2","1,885","52.5","44","46.2","21","65.7","5","51.2","20","45.8","1,729"
"Gloucestershire","49.6","6,006","56.4","176","44.3","71","55.7","15","50.1","231","49.4","5,417"
"Greenwich","44.5","2,269","47.4","197","45.0","747","57.3","16","45.3","227","43.3","1,011"
"Hackney","49.0","2,058","50.7","258","45.1","758","56.0","9","46.7","172","53.1","713"
"Halton","44.2","1,333","38.8","4","N/A","0","47.5","1","51.4","31","44.0","1,281"
"Hammersmith and Fulham","52.9","1,291","50.8","114","46.6","315","60.4","12","51.7","126","57.3","567"
"Hampshire","47.2","12,497","51.8","319","45.7","123","54.9","37","49.5","323","47.0","11,536"
"Haringey","46.3","2,190","50.7","158","39.4","566","63.5","9","47.2","222","49.4","1,021"
"Harrow","50.7","2,044","55.2","912","45.6","311","52.9","8","51.8","167","46.2","507"
"Hartlepool","42.3","1,016","52.1","25","38.6","4","45.5","1","45.6","17","42.0","966"
"Havering","46.9","2,774","52.6","146","50.1","366","71.1","7","48.0","143","45.7","2,025"
"Herefordshire, County of","45.9","1,644","58.8","7","32.0","3","62.3","2","47.7","37","45.9","1,580"
"Hertfordshire","51.5","12,372","59.4","947","49.1","532","67.9","65","52.2","797","50.7","9,820"
"Hillingdon","47.8","3,064","54.4","715","44.5","345","60.5","4","49.1","339","44.4","1,410"
"Hounslow","49.4","2,666","54.3","805","47.8","346","66.0","3","49.6","237","48.5","915"
"Isle of Wight","40.8","1,070","50.4","5","53.5","2","N/A","0","37.7","15","40.8","1,042"
"Isles of Scilly","64.8","15","N/A","0","N/A","0","N/A","0","67.0","1","64.0","13"
"Islington","46.3","1,404","52.5","179","43.7","406","55.3","9","44.5","181","46.4","484"
"Kensington and Chelsea","51.6","718","56.2","41","47.3","121","58.5","2","52.4","119","54.2","260"
"Kent","47.1","15,516","58.1","581","55.6","393","63.3","57","52.5","716","46.0","13,479"
"Kingston upon Hull, City of","43.3","2,307","51.8","34","45.3","36","72.5","2","48.1","55","43.8","2,036"
"Kingston upon Thames","57.8","1,515","66.2","384","47.5","76","78.8","12","53.9","134","55.0","841"
"Kirklees","45.4","4,488","45.6","1,235","39.2","80","67.3","15","39.2","254","46.0","2,861"
"Knowsley","35.3","929","39.0","4","42.3","2","42.0","1","26.3","12","35.4","900"
"Lambeth","44.6","2,114","52.6","96","42.1","1,012","59.0","16","43.9","258","48.2","540"
"Lancashire","46.7","11,631","47.6","1,347","42.8","41","65.8","36","47.9","258","46.5","9,797"
"Leeds","44.8","7,598","45.4","956","43.4","476","59.3","38","43.6","369","46.2","5,344"
"Leicester","42.8","3,511","47.4","1,719","43.0","365","59.3","7","40.3","229","35.8","1,108"
"Leicestershire","46.2","6,837","54.7","547","45.5","78","70.1","12","44.6","260","45.5","5,877"
"Lewisham","44.9","2,104","46.3","125","42.2","902","60.3","25","46.6","297","47.1","596"
"Lincolnshire","46.6","7,255","67.6","80","58.4","31","64.0","25","53.5","162","46.1","6,878"
"Liverpool","43.5","4,461","55.5","128","43.5","181","65.4","44","44.1","228","42.9","3,748"
"Luton","43.3","2,567","46.3","1,177","39.9","282","58.3","8","42.0","183","40.5","863"
"Manchester","43.2","4,734","47.7","1,068","43.7","815","59.9","45","42.9","375","40.5","2,081"
"Medway","46.0","2,899","57.1","156","55.3","124","66.3","7","48.5","136","44.7","2,424"
"Merton","49.7","1,404","52.7","232","45.4","261","67.9","10","46.6","149","51.0","677"
"Middlesbrough","42.4","1,337","49.5","177","47.4","18","75.3","2","47.4","44","41.7","1,021"
"Milton Keynes","44.5","2,774","48.4","240","43.8","376","58.3","11","43.6","192","44.1","1,892"
"Newcastle upon Tyne","45.1","2,438","49.8","268","48.9","91","62.9","16","51.9","77","43.9","1,906"
"Newham","48.7","3,745","52.2","1,710","47.0","890","62.2","9","47.6","210","42.3","657"
"Norfolk","45.1","7,486","56.6","94","45.2","88","60.5","18","48.4","181","44.8","6,995"
"North East Lincolnshire","43.4","1,558","43.4","15","51.2","3","54.8","2","43.5","23","44.1","1,360"
"North Lincolnshire","44.8","1,680","46.9","70","40.9","10","60.7","3","48.5","25","44.5","1,526"
"North Somerset","46.5","2,085","50.6","32","47.6","15","58.0","4","49.4","54","46.4","1,970"
"North Tyneside","46.0","1,879","51.3","34","46.6","9","41.1","5","55.4","30","45.9","1,782"
"North Yorkshire","48.5","5,971","52.6","111","50.3","24","60.4","5","52.7","110","48.3","5,654"
"Northamptonshire","45.1","7,323","49.4","343","43.7","334","61.0","28","44.4","333","44.9","6,196"
"Northumberland","46.1","3,056","56.0","41","42.0","6","55.5","3","50.3","39","46.2","2,933"
"Nottingham","41.4","2,539","45.9","467","42.4","285","58.5","11","40.5","240","39.8","1,441"
"Nottinghamshire","47.2","7,494","57.5","213","47.6","90","67.1","24","47.0","277","46.9","6,792"
"Oldham","42.7","2,957","43.2","894","42.7","85","67.8","7","37.7","107","43.0","1,781"
"Oxfordshire","46.8","5,886","43.6","293","44.1","126","62.8","25","45.3","324","47.3","4,944"
"Peterborough","42.0","2,305","43.3","365","43.0","80","66.0","7","43.8","130","41.5","1,679"
"Plymouth","44.1","2,480","62.8","20","45.0","15","60.1","13","47.4","47","43.7","2,339"
"Poole","51.2","1,306","59.4","38","35.1","4","59.0","7","57.7","53","50.7","1,188"
"Portsmouth","41.0","1,686","49.7","96","42.8","45","50.2","5","40.3","61","40.1","1,437"
"Reading","49.0","1,076","58.7","211","40.6","87","80.4","20","45.8","91","46.0","621"
"Redbridge","53.1","3,508","57.0","1,858","46.1","507","67.1","24","51.4","231","48.6","797"
"Redcar and Cleveland","43.6","1,517","53.0","26","68.3","2","64.0","3","50.5","16","43.3","1,459"
"Richmond upon Thames","51.7","1,479","55.4","111","42.1","62","58.4","6","48.7","145","52.3","1,110"
"Rochdale","43.5","2,231","44.7","617","43.2","66","61.1","8","41.9","74","42.9","1,430"
"Rotherham","43.6","3,141","45.8","272","48.1","28","65.2","8","44.0","68","43.3","2,739"
"Rutland","52.7","459","58.5","4","49.5","4","N/A","0","62.4","10","52.5","439"
"Salford","41.0","2,082","53.9","42","47.0","90","58.8","5","44.3","99","40.1","1,786"
"Sandwell","40.6","3,634","44.7","1,066","38.5","318","45.3","4","40.1","241","38.7","1,896"
"Sefton","44.9","2,855","48.6","33","50.0","14","66.6","6","47.3","60","45.3","2,662"
"Sheffield","44.6","4,993","44.8","550","40.1","230","69.4","19","42.3","294","45.1","3,683"
"Shropshire","45.8","2,850","46.4","28","49.2","8","56.0","11","47.6","58","45.7","2,695"
"Slough","53.2","1,679","56.2","891","46.9","139","70.3","6","54.5","133","48.1","429"
"Solihull","47.2","2,917","50.2","319","43.6","88","68.9","7","43.2","218","47.2","2,204"
"Somerset","44.9","4,606","46.2","42","45.6","10","58.6","9","45.8","84","44.8","4,421"
"South Gloucestershire","44.8","2,498","51.8","75","47.8","39","62.9","5","45.1","99","44.5","2,251"
"South Tyneside","44.3","1,462","53.6","58","44.6","7","71.5","1","47.5","25","44.7","1,324"
"Southampton","43.3","1,893","48.1","203","46.4","48","72.5","6","45.0","103","42.3","1,511"
"Southend-on-Sea","52.0","2,019","65.5","200","63.5","133","69.8","13","54.0","83","49.2","1,565"
"Southwark","50.2","2,386","54.5","138","48.4","1,064","63.0","30","51.7","260","50.8","645"
"St. Helens","44.6","1,732","45.6","14","45.9","6","67.3","3","50.0","29","44.9","1,634"
"Staffordshire","44.6","8,288","44.7","287","45.0","43","59.4","19","42.7","229","44.5","7,642"
"Stockport","47.3","2,571","52.1","151","41.5","27","53.5","16","48.9","108","46.9","2,239"
"Stockton-on-Tees","46.8","1,929","49.7","117","57.9","15","63.3","5","51.1","41","46.4","1,739"
"Stoke-on-Trent","41.9","2,168","43.5","355","45.8","66","66.7","5","42.1","80","41.3","1,636"
"Suffolk","45.5","6,775","51.5","116","44.0","55","67.2","6","46.0","263","45.4","6,206"
"Sunderland","43.2","2,608","54.0","96","50.9","14","51.0","4","40.8","33","42.8","2,446"
"Surrey","50.2","9,841","52.9","604","42.7","195","62.0","31","51.8","495","50.0","8,356"
"Sutton","58.1","2,719","70.3","636","54.1","224","77.5","40","59.7","238","52.6","1,519"
"Swindon","43.9","2,029","44.3","238","42.0","40","57.5","2","40.9","92","44.1","1,605"
"Tameside","43.9","2,512","48.3","302","41.1","42","61.7","7","43.3","88","43.4","2,053"
"Telford and Wrekin","45.4","1,934","49.6","127","46.2","51","62.7","11","43.7","80","44.9","1,654"
"Thurrock","42.9","1,634","50.6","71","49.7","162","71.9","12","46.2","70","41.3","1,271"
"Torbay","48.2","1,409","66.8","18","60.8","3","67.7","7","56.2","33","48.2","1,267"
"Tower Hamlets","46.8","2,721","49.7","1,865","44.4","302","70.8","4","39.3","111","38.9","299"
"Trafford","56.8","2,850","61.7","377","52.8","95","74.2","41","52.6","185","55.9","2,079"
"Wakefield","43.5","3,406","43.5","125","44.3","46","65.6","10","46.9","79","43.4","3,123"
"Walsall","43.8","3,233","48.9","716","44.1","160","66.5","4","43.5","180","42.0","2,142"
"Waltham Forest","46.1","2,484","48.7","743","42.1","546","71.0","13","46.7","237","46.0","840"
"Wandsworth","50.8","1,707","51.8","334","45.5","475","71.7","7","53.6","224","53.3","565"
"Warrington","47.2","2,365","53.6","51","38.3","14","63.6","10","52.5","68","47.0","2,184"
"Warwickshire","49.4","5,466","59.7","293","52.1","41","72.4","18","50.4","205","48.8","4,809"
"West Berkshire","48.5","1,741","52.3","48","44.4","29","54.8","3","44.4","68","49.2","1,562"
"West Sussex","46.6","7,578","52.2","330","41.4","115","57.1","22","45.8","286","46.4","6,736"
"Westminster","52.9","1,495","53.8","216","49.3","353","72.5","15","51.6","133","58.1","371"
"Wigan","45.3","3,221","52.2","29","44.3","32","66.6","8","44.9","55","45.2","3,070"
"Wiltshire","48.3","4,631","54.8","56","44.2","45","67.5","12","53.0","121","48.2","4,241"
"Windsor and Maidenhead","51.5","1,489","48.9","192","48.1","31","64.9","5","53.3","121","51.9","1,090"
"Wirral","48.8","3,237","65.5","59","43.3","6","63.4","16","57.4","85","48.1","3,035"
"Wokingham","52.3","1,636","52.8","185","48.7","57","58.1","14","50.1","89","52.6","1,253"
"Wolverhampton","44.4","2,612","51.4","578","42.6","266","52.3","7","40.6","269","42.8","1,454"
"Worcestershire","46.5","5,273","47.3","196","41.5","24","60.8","13","47.6","167","46.5","4,830"
"York","49.7","1,620","52.0","28","47.4","11","63.5","3","55.3","40","49.5","1,521"
