"Ethnicity","Geography","Score","Pupils"
"All","North Yorkshire","48.5","5,971"
"All","Northamptonshire","45.1","7,323"
"All","Northumberland","46.1","3,056"
"All","Nottingham","41.4","2,539"
"All","Nottinghamshire","47.2","7,494"
"All","Oldham","42.7","2,957"
"All","Oxfordshire","46.8","5,886"
"All","Peterborough","42.0","2,305"
"All","Plymouth","44.1","2,480"
"All","Poole","51.2","1,306"
"All","Portsmouth","41.0","1,686"
"All","Reading","49.0","1,076"
"All","Redbridge","53.1","3,508"
"All","Redcar and Cleveland","43.6","1,517"
"All","Richmond upon Thames","51.7","1,479"
"All","Rochdale","43.5","2,231"
"All","Rotherham","43.6","3,141"
"All","Rutland","52.7","459"
"All","Salford","41.0","2,082"
"All","Sandwell","40.6","3,634"
"All","Sefton","44.9","2,855"
"All","Sheffield","44.6","4,993"
"All","Shropshire","45.8","2,850"
"All","Slough","53.2","1,679"
"All","Solihull","47.2","2,917"
"All","Somerset","44.9","4,606"
"All","South Gloucestershire","44.8","2,498"
"All","South Tyneside","44.3","1,462"
"All","Southampton","43.3","1,893"
"All","Southend-on-Sea","52.0","2,019"
"All","Southwark","50.2","2,386"
"All","St. Helens","44.6","1,732"
"All","Staffordshire","44.6","8,288"
"All","Stockport","47.3","2,571"
"All","Stockton-on-Tees","46.8","1,929"
"All","Stoke-on-Trent","41.9","2,168"
"All","Suffolk","45.5","6,775"
"All","Sunderland","43.2","2,608"
"All","Surrey","50.2","9,841"
"All","Sutton","58.1","2,719"
"All","Swindon","43.9","2,029"
"All","Tameside","43.9","2,512"
"All","Telford and Wrekin","45.4","1,934"
"All","Thurrock","42.9","1,634"
"All","Torbay","48.2","1,409"
"All","Tower Hamlets","46.8","2,721"
"All","Trafford","56.8","2,850"
"All","Wakefield","43.5","3,406"
"All","Walsall","43.8","3,233"
"All","Waltham Forest","46.1","2,484"
"All","Wandsworth","50.8","1,707"
"All","Warrington","47.2","2,365"
"All","Warwickshire","49.4","5,466"
"All","West Berkshire","48.5","1,741"
"All","West Sussex","46.6","7,578"
"All","Westminster","52.9","1,495"
"All","Wigan","45.3","3,221"
"All","Wiltshire","48.3","4,631"
"All","Windsor and Maidenhead","51.5","1,489"
"All","Wirral","48.8","3,237"
"All","Wokingham","52.3","1,636"
"All","Wolverhampton","44.4","2,612"
"All","Worcestershire","46.5","5,273"
"All","York","49.7","1,620"
"Asian","Barking and Dagenham","53.9","449"
"Asian","Barnet","67.8","532"
"Asian","Barnsley","51.8","8"
"Asian","Bath and North East Somerset","57.0","23"
"Asian","Bedford","45.1","269"
"Asian","Bexley","58.6","232"
"Asian","Birmingham","46.9","5,017"
"Asian","Blackburn with Darwen","49.7","838"
"Asian","Blackpool","47.3","22"
"Asian","Bolton","50.3","698"
"Asian","Bournemouth","56.9","41"
"Asian","Bracknell Forest","54.1","59"
"Asian","Bradford","44.3","2,727"
"Asian","Brent","52.0","897"
"Asian","Brighton and Hove","51.2","57"
"Asian","Bristol, City of","48.0","261"
"Asian","Bromley","68.7","166"
"Asian","Buckinghamshire","56.2","1,021"
"Asian","Bury","46.9","307"
"Asian","Calderdale","48.2","384"
"Asian","Cambridgeshire","53.0","157"
"Asian","Camden","46.6","274"
"Asian","Central Bedfordshire","47.0","50"
"Asian","Cheshire East","50.7","61"
"Asian","Cheshire West and Chester","50.7","30"
"Asian","City of London","N/A","0"
"Asian","Cornwall","50.7","16"
"Asian","County Durham","53.6","32"
"Asian","Coventry","49.2","687"
"Asian","Croydon","51.4","472"
"Asian","Cumbria","59.0","30"
"Asian","Darlington","49.3","32"
"Asian","Derby","48.0","487"
"Asian","Derbyshire","51.1","70"
"Asian","Devon","51.4","23"
"Asian","Doncaster","47.5","95"
"Asian","Dorset","59.4","28"
"Asian","Dudley","46.5","302"
"Asian","Ealing","51.8","824"
"Asian","East Riding of Yorkshire","64.0","7"
"Asian","East Sussex","54.2","80"
"Asian","Enfield","57.8","299"
"Asian","Essex","62.4","380"
"Asian","Gateshead","52.5","44"
"Asian","Gloucestershire","56.4","176"
"Asian","Greenwich","47.4","197"
"Asian","Hackney","50.7","258"
"Asian","Halton","38.8","4"
"Asian","Hammersmith and Fulham","50.8","114"
"Asian","Hampshire","51.8","319"
"Asian","Haringey","50.7","158"
"Asian","Harrow","55.2","912"
"Asian","Hartlepool","52.1","25"
"Asian","Havering","52.6","146"
"Asian","Herefordshire, County of","58.8","7"
"Asian","Hertfordshire","59.4","947"
"Asian","Hillingdon","54.4","715"
"Asian","Hounslow","54.3","805"
"Asian","Isle of Wight","50.4","5"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","52.5","179"
"Asian","Kensington and Chelsea","56.2","41"
"Asian","Kent","58.1","581"
"Asian","Kingston upon Hull, City of","51.8","34"
"Asian","Kingston upon Thames","66.2","384"
"Asian","Kirklees","45.6","1,235"
"Asian","Knowsley","39.0","4"
"Asian","Lambeth","52.6","96"
"Asian","Lancashire","47.6","1,347"
"Asian","Leeds","45.4","956"
"Asian","Leicester","47.4","1,719"
"Asian","Leicestershire","54.7","547"
"Asian","Lewisham","46.3","125"
"Asian","Lincolnshire","67.6","80"
"Asian","Liverpool","55.5","128"
"Asian","Luton","46.3","1,177"
"Asian","Manchester","47.7","1,068"
"Asian","Medway","57.1","156"
"Asian","Merton","52.7","232"
"Asian","Middlesbrough","49.5","177"
"Asian","Milton Keynes","48.4","240"
"Asian","Newcastle upon Tyne","49.8","268"
"Asian","Newham","52.2","1,710"
"Asian","Norfolk","56.6","94"
"Asian","North East Lincolnshire","43.4","15"
"Asian","North Lincolnshire","46.9","70"
"Asian","North Somerset","50.6","32"
"Asian","North Tyneside","51.3","34"
"Asian","North Yorkshire","52.6","111"
"Asian","Northamptonshire","49.4","343"
"Asian","Northumberland","56.0","41"
"Asian","Nottingham","45.9","467"
"Asian","Nottinghamshire","57.5","213"
"Asian","Oldham","43.2","894"
"Asian","Oxfordshire","43.6","293"
"Asian","Peterborough","43.3","365"
"Asian","Plymouth","62.8","20"
"Asian","Poole","59.4","38"
"Asian","Portsmouth","49.7","96"
"Asian","Reading","58.7","211"
"Asian","Redbridge","57.0","1,858"
"Asian","Redcar and Cleveland","53.0","26"
"Asian","Richmond upon Thames","55.4","111"
"Asian","Rochdale","44.7","617"
"Asian","Rotherham","45.8","272"
"Asian","Rutland","58.5","4"
"Asian","Salford","53.9","42"
"Asian","Sandwell","44.7","1,066"
"Asian","Sefton","48.6","33"
"Asian","Sheffield","44.8","550"
"Asian","Shropshire","46.4","28"
"Asian","Slough","56.2","891"
"Asian","Solihull","50.2","319"
"Asian","Somerset","46.2","42"
"Asian","South Gloucestershire","51.8","75"
"Asian","South Tyneside","53.6","58"
"Asian","Southampton","48.1","203"
"Asian","Southend-on-Sea","65.5","200"
"Asian","Southwark","54.5","138"
"Asian","St. Helens","45.6","14"
"Asian","Staffordshire","44.7","287"
"Asian","Stockport","52.1","151"
"Asian","Stockton-on-Tees","49.7","117"
"Asian","Stoke-on-Trent","43.5","355"
"Asian","Suffolk","51.5","116"
"Asian","Sunderland","54.0","96"
"Asian","Surrey","52.9","604"
"Asian","Sutton","70.3","636"
"Asian","Swindon","44.3","238"
"Asian","Tameside","48.3","302"
"Asian","Telford and Wrekin","49.6","127"
"Asian","Thurrock","50.6","71"
"Asian","Torbay","66.8","18"
"Asian","Tower Hamlets","49.7","1,865"
"Asian","Trafford","61.7","377"
"Asian","Wakefield","43.5","125"
"Asian","Walsall","48.9","716"
"Asian","Waltham Forest","48.7","743"
"Asian","Wandsworth","51.8","334"
"Asian","Warrington","53.6","51"
"Asian","Warwickshire","59.7","293"
"Asian","West Berkshire","52.3","48"
"Asian","West Sussex","52.2","330"
"Asian","Westminster","53.8","216"
"Asian","Wigan","52.2","29"
"Asian","Wiltshire","54.8","56"
"Asian","Windsor and Maidenhead","48.9","192"
"Asian","Wirral","65.5","59"
"Asian","Wokingham","52.8","185"
"Asian","Wolverhampton","51.4","578"
"Asian","Worcestershire","47.3","196"
"Asian","York","52.0","28"
"Black","Barking and Dagenham","47.1","619"
"Black","Barnet","47.1","497"
"Black","Barnsley","36.8","14"
"Black","Bath and North East Somerset","40.8","24"
"Black","Bedford","47.7","91"
"Black","Bexley","54.8","620"
"Black","Birmingham","43.3","1,489"
"Black","Blackburn with Darwen","35.6","13"
"Black","Blackpool","37.4","5"
"Black","Bolton","44.0","146"
"Black","Bournemouth","47.1","7"
"Black","Bracknell Forest","47.3","21"
"Black","Bradford","38.7","104"
"Black","Brent","44.5","675"
"Black","Brighton and Hove","42.1","58"
"Black","Bristol, City of","40.6","345"
"Black","Bromley","51.0","306"
"Black","Buckinghamshire","53.1","187"
"Black","Bury","40.0","46"
"Black","Calderdale","48.3","26"
"Black","Cambridgeshire","42.5","61"
"Black","Camden","44.2","358"
"Black","Central Bedfordshire","45.9","56"
"Black","Cheshire East","44.0","12"
"Black","Cheshire West and Chester","46.0","12"
"Black","City of London","N/A","0"
"Black","Cornwall","56.0","5"
"Black","County Durham","54.4","11"
"Black","Coventry","43.9","335"
"Black","Croydon","43.5","998"
"Black","Cumbria","49.9","15"
"Black","Darlington","50.6","5"
"Black","Derby","42.8","96"
"Black","Derbyshire","45.4","27"
"Black","Devon","37.6","5"
"Black","Doncaster","43.8","27"
"Black","Dorset","45.9","7"
"Black","Dudley","42.0","82"
"Black","Ealing","44.3","563"
"Black","East Riding of Yorkshire","27.7","3"
"Black","East Sussex","46.1","25"
"Black","Enfield","43.9","852"
"Black","Essex","50.6","440"
"Black","Gateshead","46.2","21"
"Black","Gloucestershire","44.3","71"
"Black","Greenwich","45.0","747"
"Black","Hackney","45.1","758"
"Black","Halton","N/A","0"
"Black","Hammersmith and Fulham","46.6","315"
"Black","Hampshire","45.7","123"
"Black","Haringey","39.4","566"
"Black","Harrow","45.6","311"
"Black","Hartlepool","38.6","4"
"Black","Havering","50.1","366"
"Black","Herefordshire, County of","32.0","3"
"Black","Hertfordshire","49.1","532"
"Black","Hillingdon","44.5","345"
"Black","Hounslow","47.8","346"
"Black","Isle of Wight","53.5","2"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","43.7","406"
"Black","Kensington and Chelsea","47.3","121"
"Black","Kent","55.6","393"
"Black","Kingston upon Hull, City of","45.3","36"
"Black","Kingston upon Thames","47.5","76"
"Black","Kirklees","39.2","80"
"Black","Knowsley","42.3","2"
"Black","Lambeth","42.1","1,012"
"Black","Lancashire","42.8","41"
"Black","Leeds","43.4","476"
"Black","Leicester","43.0","365"
"Black","Leicestershire","45.5","78"
"Black","Lewisham","42.2","902"
"Black","Lincolnshire","58.4","31"
"Black","Liverpool","43.5","181"
"Black","Luton","39.9","282"
"Black","Manchester","43.7","815"
"Black","Medway","55.3","124"
"Black","Merton","45.4","261"
"Black","Middlesbrough","47.4","18"
"Black","Milton Keynes","43.8","376"
"Black","Newcastle upon Tyne","48.9","91"
"Black","Newham","47.0","890"
"Black","Norfolk","45.2","88"
"Black","North East Lincolnshire","51.2","3"
"Black","North Lincolnshire","40.9","10"
"Black","North Somerset","47.6","15"
"Black","North Tyneside","46.6","9"
"Black","North Yorkshire","50.3","24"
"Black","Northamptonshire","43.7","334"
"Black","Northumberland","42.0","6"
"Black","Nottingham","42.4","285"
"Black","Nottinghamshire","47.6","90"
"Black","Oldham","42.7","85"
"Black","Oxfordshire","44.1","126"
"Black","Peterborough","43.0","80"
"Black","Plymouth","45.0","15"
"Black","Poole","35.1","4"
"Black","Portsmouth","42.8","45"
"Black","Reading","40.6","87"
"Black","Redbridge","46.1","507"
"Black","Redcar and Cleveland","68.3","2"
"Black","Richmond upon Thames","42.1","62"
"Black","Rochdale","43.2","66"
"Black","Rotherham","48.1","28"
"Black","Rutland","49.5","4"
"Black","Salford","47.0","90"
"Black","Sandwell","38.5","318"
"Black","Sefton","50.0","14"
"Black","Sheffield","40.1","230"
"Black","Shropshire","49.2","8"
"Black","Slough","46.9","139"
"Black","Solihull","43.6","88"
"Black","Somerset","45.6","10"
"Black","South Gloucestershire","47.8","39"
"Black","South Tyneside","44.6","7"
"Black","Southampton","46.4","48"
"Black","Southend-on-Sea","63.5","133"
"Black","Southwark","48.4","1,064"
"Black","St. Helens","45.9","6"
"Black","Staffordshire","45.0","43"
"Black","Stockport","41.5","27"
"Black","Stockton-on-Tees","57.9","15"
"Black","Stoke-on-Trent","45.8","66"
"Black","Suffolk","44.0","55"
"Black","Sunderland","50.9","14"
"Black","Surrey","42.7","195"
"Black","Sutton","54.1","224"
"Black","Swindon","42.0","40"
"Black","Tameside","41.1","42"
"Black","Telford and Wrekin","46.2","51"
"Black","Thurrock","49.7","162"
"Black","Torbay","60.8","3"
"Black","Tower Hamlets","44.4","302"
"Black","Trafford","52.8","95"
"Black","Wakefield","44.3","46"
"Black","Walsall","44.1","160"
"Black","Waltham Forest","42.1","546"
"Black","Wandsworth","45.5","475"
"Black","Warrington","38.3","14"
"Black","Warwickshire","52.1","41"
"Black","West Berkshire","44.4","29"
"Black","West Sussex","41.4","115"
"Black","Westminster","49.3","353"
"Black","Wigan","44.3","32"
"Black","Wiltshire","44.2","45"
"Black","Windsor and Maidenhead","48.1","31"
"Black","Wirral","43.3","6"
"Black","Wokingham","48.7","57"
"Black","Wolverhampton","42.6","266"
"Black","Worcestershire","41.5","24"
"Black","York","47.4","11"
"Chinese","Barking and Dagenham","79.3","2"
"Chinese","Barnet","72.0","44"
"Chinese","Barnsley","N/A","0"
"Chinese","Bath and North East Somerset","72.0","5"
"Chinese","Bedford","64.5","1"
"Chinese","Bexley","66.0","33"
"Chinese","Birmingham","75.0","42"
"Chinese","Blackburn with Darwen","65.3","3"
"Chinese","Blackpool","60.5","3"
"Chinese","Bolton","61.6","5"
"Chinese","Bournemouth","70.6","14"
"Chinese","Bracknell Forest","57.0","1"
"Chinese","Bradford","58.8","3"
"Chinese","Brent","62.2","3"
"Chinese","Brighton and Hove","57.7","13"
"Chinese","Bristol, City of","61.7","13"
"Chinese","Bromley","74.7","33"
"Chinese","Buckinghamshire","64.2","18"
"Chinese","Bury","56.2","8"
"Chinese","Calderdale","64.1","4"
"Chinese","Cambridgeshire","65.5","24"
"Chinese","Camden","53.1","11"
"Chinese","Central Bedfordshire","57.4","9"
"Chinese","Cheshire East","71.3","8"
"Chinese","Cheshire West and Chester","54.4","10"
"Chinese","City of London","N/A","0"
"Chinese","Cornwall","36.4","6"
"Chinese","County Durham","70.1","6"
"Chinese","Coventry","58.1","6"
"Chinese","Croydon","68.3","13"
"Chinese","Cumbria","69.2","15"
"Chinese","Darlington","52.5","4"
"Chinese","Derby","57.4","12"
"Chinese","Derbyshire","63.7","12"
"Chinese","Devon","60.5","13"
"Chinese","Doncaster","42.8","5"
"Chinese","Dorset","62.7","12"
"Chinese","Dudley","64.1","4"
"Chinese","Ealing","72.5","11"
"Chinese","East Riding of Yorkshire","56.7","3"
"Chinese","East Sussex","59.6","12"
"Chinese","Enfield","76.1","17"
"Chinese","Essex","64.6","41"
"Chinese","Gateshead","65.7","5"
"Chinese","Gloucestershire","55.7","15"
"Chinese","Greenwich","57.3","16"
"Chinese","Hackney","56.0","9"
"Chinese","Halton","47.5","1"
"Chinese","Hammersmith and Fulham","60.4","12"
"Chinese","Hampshire","54.9","37"
"Chinese","Haringey","63.5","9"
"Chinese","Harrow","52.9","8"
"Chinese","Hartlepool","45.5","1"
"Chinese","Havering","71.1","7"
"Chinese","Herefordshire, County of","62.3","2"
"Chinese","Hertfordshire","67.9","65"
"Chinese","Hillingdon","60.5","4"
"Chinese","Hounslow","66.0","3"
"Chinese","Isle of Wight","N/A","0"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","55.3","9"
"Chinese","Kensington and Chelsea","58.5","2"
"Chinese","Kent","63.3","57"
"Chinese","Kingston upon Hull, City of","72.5","2"
"Chinese","Kingston upon Thames","78.8","12"
"Chinese","Kirklees","67.3","15"
"Chinese","Knowsley","42.0","1"
"Chinese","Lambeth","59.0","16"
"Chinese","Lancashire","65.8","36"
"Chinese","Leeds","59.3","38"
"Chinese","Leicester","59.3","7"
"Chinese","Leicestershire","70.1","12"
"Chinese","Lewisham","60.3","25"
"Chinese","Lincolnshire","64.0","25"
"Chinese","Liverpool","65.4","44"
"Chinese","Luton","58.3","8"
"Chinese","Manchester","59.9","45"
"Chinese","Medway","66.3","7"
"Chinese","Merton","67.9","10"
"Chinese","Middlesbrough","75.3","2"
"Chinese","Milton Keynes","58.3","11"
"Chinese","Newcastle upon Tyne","62.9","16"
"Chinese","Newham","62.2","9"
"Chinese","Norfolk","60.5","18"
"Chinese","North East Lincolnshire","54.8","2"
"Chinese","North Lincolnshire","60.7","3"
"Chinese","North Somerset","58.0","4"
"Chinese","North Tyneside","41.1","5"
"Chinese","North Yorkshire","60.4","5"
"Chinese","Northamptonshire","61.0","28"
"Chinese","Northumberland","55.5","3"
"Chinese","Nottingham","58.5","11"
"Chinese","Nottinghamshire","67.1","24"
"Chinese","Oldham","67.8","7"
"Chinese","Oxfordshire","62.8","25"
"Chinese","Peterborough","66.0","7"
"Chinese","Plymouth","60.1","13"
"Chinese","Poole","59.0","7"
"Chinese","Portsmouth","50.2","5"
"Chinese","Reading","80.4","20"
"Chinese","Redbridge","67.1","24"
"Chinese","Redcar and Cleveland","64.0","3"
"Chinese","Richmond upon Thames","58.4","6"
"Chinese","Rochdale","61.1","8"
"Chinese","Rotherham","65.2","8"
"Chinese","Rutland","N/A","0"
"Chinese","Salford","58.8","5"
"Chinese","Sandwell","45.3","4"
"Chinese","Sefton","66.6","6"
"Chinese","Sheffield","69.4","19"
"Chinese","Shropshire","56.0","11"
"Chinese","Slough","70.3","6"
"Chinese","Solihull","68.9","7"
"Chinese","Somerset","58.6","9"
"Chinese","South Gloucestershire","62.9","5"
"Chinese","South Tyneside","71.5","1"
"Chinese","Southampton","72.5","6"
"Chinese","Southend-on-Sea","69.8","13"
"Chinese","Southwark","63.0","30"
"Chinese","St. Helens","67.3","3"
"Chinese","Staffordshire","59.4","19"
"Chinese","Stockport","53.5","16"
"Chinese","Stockton-on-Tees","63.3","5"
"Chinese","Stoke-on-Trent","66.7","5"
"Chinese","Suffolk","67.2","6"
"Chinese","Sunderland","51.0","4"
"Chinese","Surrey","62.0","31"
"Chinese","Sutton","77.5","40"
"Chinese","Swindon","57.5","2"
"Chinese","Tameside","61.7","7"
"Chinese","Telford and Wrekin","62.7","11"
"Chinese","Thurrock","71.9","12"
"Chinese","Torbay","67.7","7"
"Chinese","Tower Hamlets","70.8","4"
"Chinese","Trafford","74.2","41"
"Chinese","Wakefield","65.6","10"
"Chinese","Walsall","66.5","4"
"Chinese","Waltham Forest","71.0","13"
"Chinese","Wandsworth","71.7","7"
"Chinese","Warrington","63.6","10"
"Chinese","Warwickshire","72.4","18"
"Chinese","West Berkshire","54.8","3"
"Chinese","West Sussex","57.1","22"
"Chinese","Westminster","72.5","15"
"Chinese","Wigan","66.6","8"
"Chinese","Wiltshire","67.5","12"
"Chinese","Windsor and Maidenhead","64.9","5"
"Chinese","Wirral","63.4","16"
"Chinese","Wokingham","58.1","14"
"Chinese","Wolverhampton","52.3","7"
"Chinese","Worcestershire","60.8","13"
"Chinese","York","63.5","3"
"Mixed","Barking and Dagenham","42.4","127"
"Mixed","Barnet","55.0","409"
"Mixed","Barnsley","47.6","35"
"Mixed","Bath and North East Somerset","48.9","94"
"Mixed","Bedford","41.7","152"
"Mixed","Bexley","48.4","194"
"Mixed","Birmingham","45.1","864"
"Mixed","Blackburn with Darwen","41.6","45"
"Mixed","Blackpool","43.8","23"
"Mixed","Bolton","41.3","109"
"Mixed","Bournemouth","50.3","74"
"Mixed","Bracknell Forest","49.3","41"
"Mixed","Bradford","39.5","244"
"Mixed","Brent","49.7","178"
"Mixed","Brighton and Hove","48.4","191"
"Mixed","Bristol, City of","45.7","248"
"Mixed","Bromley","51.2","269"
"Mixed","Buckinghamshire","54.6","327"
"Mixed","Bury","42.0","97"
"Mixed","Calderdale","49.6","73"
"Mixed","Cambridgeshire","53.4","227"
"Mixed","Camden","46.7","181"
"Mixed","Central Bedfordshire","42.7","114"
"Mixed","Cheshire East","47.5","85"
"Mixed","Cheshire West and Chester","48.1","59"
"Mixed","City of London","N/A","0"
"Mixed","Cornwall","46.1","82"
"Mixed","County Durham","50.7","49"
"Mixed","Coventry","40.7","192"
"Mixed","Croydon","46.5","499"
"Mixed","Cumbria","49.9","59"
"Mixed","Darlington","50.9","32"
"Mixed","Derby","40.9","174"
"Mixed","Derbyshire","46.3","171"
"Mixed","Devon","45.9","109"
"Mixed","Doncaster","46.1","68"
"Mixed","Dorset","51.7","79"
"Mixed","Dudley","43.8","181"
"Mixed","Ealing","50.0","222"
"Mixed","East Riding of Yorkshire","53.6","58"
"Mixed","East Sussex","48.1","183"
"Mixed","Enfield","48.1","336"
"Mixed","Essex","48.0","546"
"Mixed","Gateshead","51.2","20"
"Mixed","Gloucestershire","50.1","231"
"Mixed","Greenwich","45.3","227"
"Mixed","Hackney","46.7","172"
"Mixed","Halton","51.4","31"
"Mixed","Hammersmith and Fulham","51.7","126"
"Mixed","Hampshire","49.5","323"
"Mixed","Haringey","47.2","222"
"Mixed","Harrow","51.8","167"
"Mixed","Hartlepool","45.6","17"
"Mixed","Havering","48.0","143"
"Mixed","Herefordshire, County of","47.7","37"
"Mixed","Hertfordshire","52.2","797"
"Mixed","Hillingdon","49.1","339"
"Mixed","Hounslow","49.6","237"
"Mixed","Isle of Wight","37.7","15"
"Mixed","Isles of Scilly","67.0","1"
"Mixed","Islington","44.5","181"
"Mixed","Kensington and Chelsea","52.4","119"
"Mixed","Kent","52.5","716"
"Mixed","Kingston upon Hull, City of","48.1","55"
"Mixed","Kingston upon Thames","53.9","134"
"Mixed","Kirklees","39.2","254"
"Mixed","Knowsley","26.3","12"
"Mixed","Lambeth","43.9","258"
"Mixed","Lancashire","47.9","258"
"Mixed","Leeds","43.6","369"
"Mixed","Leicester","40.3","229"
"Mixed","Leicestershire","44.6","260"
"Mixed","Lewisham","46.6","297"
"Mixed","Lincolnshire","53.5","162"
"Mixed","Liverpool","44.1","228"
"Mixed","Luton","42.0","183"
"Mixed","Manchester","42.9","375"
"Mixed","Medway","48.5","136"
"Mixed","Merton","46.6","149"
"Mixed","Middlesbrough","47.4","44"
"Mixed","Milton Keynes","43.6","192"
"Mixed","Newcastle upon Tyne","51.9","77"
"Mixed","Newham","47.6","210"
"Mixed","Norfolk","48.4","181"
"Mixed","North East Lincolnshire","43.5","23"
"Mixed","North Lincolnshire","48.5","25"
"Mixed","North Somerset","49.4","54"
"Mixed","North Tyneside","55.4","30"
"Mixed","North Yorkshire","52.7","110"
"Mixed","Northamptonshire","44.4","333"
"Mixed","Northumberland","50.3","39"
"Mixed","Nottingham","40.5","240"
"Mixed","Nottinghamshire","47.0","277"
"Mixed","Oldham","37.7","107"
"Mixed","Oxfordshire","45.3","324"
"Mixed","Peterborough","43.8","130"
"Mixed","Plymouth","47.4","47"
"Mixed","Poole","57.7","53"
"Mixed","Portsmouth","40.3","61"
"Mixed","Reading","45.8","91"
"Mixed","Redbridge","51.4","231"
"Mixed","Redcar and Cleveland","50.5","16"
"Mixed","Richmond upon Thames","48.7","145"
"Mixed","Rochdale","41.9","74"
"Mixed","Rotherham","44.0","68"
"Mixed","Rutland","62.4","10"
"Mixed","Salford","44.3","99"
"Mixed","Sandwell","40.1","241"
"Mixed","Sefton","47.3","60"
"Mixed","Sheffield","42.3","294"
"Mixed","Shropshire","47.6","58"
"Mixed","Slough","54.5","133"
"Mixed","Solihull","43.2","218"
"Mixed","Somerset","45.8","84"
"Mixed","South Gloucestershire","45.1","99"
"Mixed","South Tyneside","47.5","25"
"Mixed","Southampton","45.0","103"
"Mixed","Southend-on-Sea","54.0","83"
"Mixed","Southwark","51.7","260"
"Mixed","St. Helens","50.0","29"
"Mixed","Staffordshire","42.7","229"
"Mixed","Stockport","48.9","108"
"Mixed","Stockton-on-Tees","51.1","41"
"Mixed","Stoke-on-Trent","42.1","80"
"Mixed","Suffolk","46.0","263"
"Mixed","Sunderland","40.8","33"
"Mixed","Surrey","51.8","495"
"Mixed","Sutton","59.7","238"
"Mixed","Swindon","40.9","92"
"Mixed","Tameside","43.3","88"
"Mixed","Telford and Wrekin","43.7","80"
"Mixed","Thurrock","46.2","70"
"Mixed","Torbay","56.2","33"
"Mixed","Tower Hamlets","39.3","111"
"Mixed","Trafford","52.6","185"
"Mixed","Wakefield","46.9","79"
