"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Devon","45.8","42.9","49.0","51.4","51.7","51.2","37.6","21.5","48.3","60.5","70.8","54.1","45.9","44.3","47.8","45.8","43.0","49.0"
"Doncaster","42.7","40.3","45.3","47.5","46.2","49.1","43.8","41.1","46.7","42.8","24.0","55.3","46.1","41.5","53.2","42.4","39.9","45.1"
"Dorset","47.4","45.0","50.1","59.4","61.7","56.3","45.9","43.4","49.3","62.7","55.5","65.1","51.7","50.1","54.9","47.2","44.7","49.9"
"Dudley","43.4","40.2","46.8","46.5","42.5","50.3","42.0","40.3","44.4","64.1","72.8","55.5","43.8","41.7","46.1","43.2","40.1","46.5"
"Ealing","50.0","47.2","52.6","51.8","49.9","53.5","44.3","40.9","47.7","72.5","72.8","72.0","50.0","45.2","54.4","51.8","49.3","54.3"
"East Riding of Yorkshire","48.1","45.3","50.9","64.0","62.2","68.5","27.7","27.7","N/A","56.7","56.7","N/A","53.6","52.0","55.5","47.9","45.1","50.7"
"East Sussex","45.2","42.1","48.6","54.2","53.1","54.9","46.1","48.0","43.1","59.6","61.0","59.2","48.1","43.5","51.7","45.0","41.9","48.3"
"Enfield","46.3","43.2","49.5","57.8","54.0","62.0","43.9","40.4","47.5","76.1","69.8","81.7","48.1","44.7","51.9","44.7","42.1","47.5"
"Essex","46.1","43.2","49.0","62.4","62.0","62.9","50.6","45.2","55.1","64.6","58.9","70.1","48.0","46.2","49.9","45.3","42.4","48.3"
"Gateshead","46.2","43.5","48.9","52.5","49.4","60.0","46.2","41.0","52.0","65.7","85.5","60.8","51.2","44.9","54.6","45.8","43.2","48.4"
"Gloucestershire","49.6","46.9","52.3","56.4","54.6","58.7","44.3","38.9","49.6","55.7","46.8","65.9","50.1","47.0","53.1","49.4","46.8","52.1"
"Greenwich","44.5","42.0","47.1","47.4","46.0","48.9","45.0","40.5","49.5","57.3","56.4","58.8","45.3","41.0","50.1","43.3","42.1","44.5"
"Hackney","49.0","45.3","51.9","50.7","47.1","53.8","45.1","40.6","48.3","56.0","39.8","69.0","46.7","45.7","47.6","53.1","48.8","56.6"
"Halton","44.2","42.1","46.5","38.8","29.5","48.0","N/A","N/A","N/A","47.5","N/A","47.5","51.4","50.7","52.3","44.0","41.8","46.2"
"Hammersmith and Fulham","52.9","48.9","56.7","50.8","48.1","54.1","46.6","44.0","49.0","60.4","60.1","60.8","51.7","43.8","58.3","57.3","53.0","61.6"
"Hampshire","47.2","44.5","50.0","51.8","48.3","55.8","45.7","43.0","48.6","54.9","55.4","54.4","49.5","46.1","52.9","47.0","44.3","49.8"
"Haringey","46.3","43.5","49.1","50.7","47.1","54.1","39.4","35.7","43.5","63.5","60.9","66.9","47.2","42.3","51.8","49.4","48.1","50.7"
"Harrow","50.7","47.7","53.4","55.2","52.5","57.9","45.6","39.6","50.4","52.9","44.5","61.3","51.8","50.2","53.4","46.2","43.4","48.8"
"Hartlepool","42.3","38.0","46.5","52.1","48.5","56.0","38.6","N/A","38.6","45.5","N/A","45.5","45.6","38.4","53.8","42.0","37.8","46.3"
"Havering","46.9","45.0","48.9","52.6","53.5","51.7","50.1","47.4","52.6","71.1","76.5","68.9","48.0","49.1","46.6","45.7","43.5","48.0"
"Herefordshire, County of","45.9","43.2","48.8","58.8","53.8","60.8","32.0","30.0","36.0","62.3","62.3","N/A","47.7","53.1","44.8","45.9","43.2","48.9"
"Hertfordshire","51.5","49.0","54.1","59.4","56.3","62.9","49.1","46.6","51.4","67.9","62.1","72.3","52.2","51.2","53.1","50.7","48.3","53.3"
"Hillingdon","47.8","45.3","50.5","54.4","51.0","57.6","44.5","42.4","46.5","60.5","65.7","45.0","49.1","47.8","50.6","44.4","41.8","47.2"
"Hounslow","49.4","46.5","52.4","54.3","51.1","57.5","47.8","45.6","50.3","66.0","N/A","66.0","49.6","46.8","52.8","48.5","46.8","50.4"
"Isle of Wight","40.8","38.6","43.1","50.4","N/A","50.4","53.5","N/A","53.5","N/A","N/A","N/A","37.7","33.5","42.4","40.8","38.8","43.0"
"Isles of Scilly","64.8","57.7","72.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.0","67.0","N/A","64.0","56.4","72.9"
"Islington","46.3","44.9","47.9","52.5","55.4","49.6","43.7","41.3","46.5","55.3","52.6","58.8","44.5","42.1","48.0","46.4","44.7","48.1"
"Kensington and Chelsea","51.6","52.3","50.6","56.2","58.9","54.1","47.3","48.5","45.8","58.5","N/A","58.5","52.4","51.4","53.4","54.2","56.6","50.1"
"Kent","47.1","44.1","50.2","58.1","55.1","61.5","55.6","52.2","59.6","63.3","61.7","64.8","52.5","48.5","56.4","46.0","43.1","49.0"
"Kingston upon Hull, City of","43.3","41.8","45.0","51.8","48.8","55.6","45.3","38.5","52.1","72.5","69.0","76.0","48.1","46.5","49.7","43.8","42.0","45.8"
"Kingston upon Thames","57.8","54.7","60.5","66.2","63.4","68.8","47.5","42.4","52.4","78.8","74.7","80.2","53.9","50.2","57.3","55.0","52.4","57.4"
"Kirklees","45.4","42.0","48.9","45.6","42.0","49.0","39.2","36.0","42.7","67.3","60.2","73.6","39.2","35.6","43.3","46.0","42.8","49.4"
"Knowsley","35.3","31.6","39.1","39.0","31.0","47.0","42.3","42.3","N/A","42.0","42.0","N/A","26.3","24.1","30.8","35.4","31.7","39.2"
"Lambeth","44.6","41.9","47.4","52.6","53.8","50.4","42.1","38.5","45.4","59.0","60.3","57.8","43.9","40.8","48.3","48.2","45.5","51.1"
"Lancashire","46.7","44.0","49.5","47.6","44.3","50.9","42.8","43.6","41.9","65.8","61.6","68.2","47.9","45.3","50.7","46.5","43.9","49.2"
"Leeds","44.8","42.2","47.5","45.4","41.9","50.1","43.4","40.4","46.4","59.3","54.1","63.6","43.6","40.7","46.6","46.2","43.9","48.5"
"Leicester","42.8","39.5","46.5","47.4","44.7","50.5","43.0","38.5","47.6","59.3","64.7","55.3","40.3","36.4","44.3","35.8","31.9","39.9"
"Leicestershire","46.2","43.1","49.6","54.7","53.0","56.6","45.5","46.4","44.6","70.1","62.2","74.1","44.6","42.6","46.8","45.5","42.1","49.0"
"Lewisham","44.9","41.8","47.9","46.3","41.8","51.9","42.2","38.6","46.0","60.3","60.7","59.8","46.6","43.2","49.5","47.1","45.2","49.0"
"Lincolnshire","46.6","44.0","49.5","67.6","65.4","69.3","58.4","54.3","61.3","64.0","63.3","65.6","53.5","52.9","54.0","46.1","43.4","49.0"
"Liverpool","43.5","40.6","46.3","55.5","54.4","56.6","43.5","42.6","44.4","65.4","64.8","66.2","44.1","40.9","46.8","42.9","39.9","45.7"
"Luton","43.3","41.7","45.0","46.3","45.3","47.4","39.9","38.6","41.1","58.3","54.0","60.9","42.0","39.1","44.5","40.5","38.5","42.9"
"Manchester","43.2","40.3","46.2","47.7","44.1","51.4","43.7","39.9","47.5","59.9","58.7","61.4","42.9","40.0","46.0","40.5","38.0","42.9"
"Medway","46.0","43.2","48.7","57.1","55.6","58.6","55.3","51.0","57.9","66.3","61.9","72.2","48.5","45.1","52.0","44.7","42.1","47.3"
"Merton","49.7","47.4","52.2","52.7","50.2","55.2","45.4","41.6","48.7","67.9","67.9","67.9","46.6","44.0","49.7","51.0","49.2","52.8"
"Middlesbrough","42.4","40.0","44.8","49.5","48.4","50.4","47.4","36.6","56.1","75.3","75.3","N/A","47.4","44.5","49.0","41.7","39.5","44.3"
"Milton Keynes","44.5","41.5","47.6","48.4","46.0","50.9","43.8","39.9","47.9","58.3","61.1","56.7","43.6","41.4","46.4","44.1","41.3","47.0"
"Newcastle upon Tyne","45.1","43.3","47.0","49.8","45.8","53.7","48.9","46.1","51.3","62.9","46.7","70.2","51.9","51.2","52.6","43.9","42.8","45.1"
"Newham","48.7","46.0","51.4","52.2","50.3","54.3","47.0","43.2","50.4","62.2","55.8","67.4","47.6","42.9","52.0","42.3","38.9","45.5"
"Norfolk","45.1","42.4","47.9","56.6","55.5","57.7","45.2","40.3","50.2","60.5","62.4","59.4","48.4","47.0","50.1","44.8","42.1","47.6"
"North East Lincolnshire","43.4","40.6","46.2","43.4","42.7","43.9","51.2","53.0","50.3","54.8","N/A","54.8","43.5","45.2","41.4","44.1","40.9","47.5"
"North Lincolnshire","44.8","42.4","47.4","46.9","46.9","46.9","40.9","40.5","42.0","60.7","50.0","82.0","48.5","30.7","55.5","44.5","42.2","47.1"
"North Somerset","46.5","45.4","47.6","50.6","55.7","44.9","47.6","46.9","48.6","58.0","58.0","N/A","49.4","46.3","52.8","46.4","45.2","47.5"
"North Tyneside","46.0","43.0","49.1","51.3","50.8","52.2","46.6","42.7","78.0","41.1","29.7","58.3","55.4","46.4","62.3","45.9","42.8","48.9"
"North Yorkshire","48.5","45.8","51.3","52.6","51.5","54.0","50.3","43.8","54.1","60.4","59.0","61.3","52.7","48.9","56.4","48.3","45.6","51.2"
"Northamptonshire","45.1","42.8","47.5","49.4","46.7","51.6","43.7","39.6","48.3","61.0","62.2","60.3","44.4","43.6","45.1","44.9","42.6","47.3"
"Northumberland","46.1","43.3","49.0","56.0","53.7","58.2","42.0","30.6","64.8","55.5","55.5","N/A","50.3","46.1","57.8","46.2","43.4","49.1"
"Nottingham","41.4","38.7","44.1","45.9","43.2","48.4","42.4","39.3","45.3","58.5","51.8","70.3","40.5","38.6","42.8","39.8","37.2","42.4"
"Nottinghamshire","47.2","44.9","49.7","57.5","54.2","61.6","47.6","44.0","51.2","67.1","59.8","77.3","47.0","43.2","50.5","46.9","44.7","49.3"
"Oldham","42.7","38.9","46.7","43.2","38.6","47.6","42.7","37.7","46.4","67.8","55.0","73.0","37.7","35.8","40.1","43.0","39.5","46.7"
"Oxfordshire","46.8","44.3","49.4","43.6","41.8","45.9","44.1","42.4","46.0","62.8","53.0","67.4","45.3","40.4","50.5","47.3","44.9","49.8"
"Peterborough","42.0","39.7","44.7","43.3","40.9","45.8","43.0","39.4","46.7","66.0","65.7","68.0","43.8","41.0","47.5","41.5","39.1","44.1"
"Plymouth","44.1","41.5","46.8","62.8","66.4","59.8","45.0","34.9","56.5","60.1","60.2","59.8","47.4","50.0","44.9","43.7","41.0","46.4"
"Poole","51.2","49.6","52.8","59.4","57.0","60.9","35.1","38.0","34.2","59.0","57.3","59.7","57.7","57.5","57.9","50.7","49.1","52.4"
"Portsmouth","41.0","37.8","44.7","49.7","47.4","51.8","42.8","39.6","44.5","50.2","26.5","66.0","40.3","37.0","47.4","40.1","37.0","43.7"
"Reading","49.0","46.3","52.1","58.7","55.7","62.0","40.6","34.8","47.4","80.4","82.9","76.6","45.8","36.2","53.1","46.0","44.6","47.7"
"Redbridge","53.1","50.6","55.7","57.0","54.8","59.5","46.1","42.3","49.5","67.1","68.9","65.8","51.4","45.9","57.2","48.6","46.3","51.4"
"Redcar and Cleveland","43.6","41.2","46.2","53.0","54.8","50.1","68.3","68.3","N/A","64.0","64.0","N/A","50.5","49.2","52.3","43.3","40.6","46.1"
"Richmond upon Thames","51.7","49.9","53.4","55.4","54.1","57.2","42.1","38.6","45.3","58.4","67.2","49.7","48.7","47.2","50.2","52.3","50.6","54.0"
"Rochdale","43.5","40.9","46.2","44.7","41.5","47.9","43.2","37.5","48.6","61.1","52.5","69.6","41.9","41.0","42.8","42.9","40.6","45.3"
"Rotherham","43.6","40.7","46.6","45.8","43.7","48.0","48.1","42.3","53.2","65.2","71.0","61.7","44.0","43.7","44.2","43.3","40.3","46.3"
"Rutland","52.7","50.4","55.1","58.5","60.5","56.5","49.5","45.3","53.8","N/A","N/A","N/A","62.4","69.5","45.7","52.5","49.7","55.3"
"Salford","41.0","37.1","44.8","53.9","51.2","57.6","47.0","41.9","51.6","58.8","39.5","63.6","44.3","40.2","48.0","40.1","36.1","43.8"
"Sandwell","40.6","38.8","42.5","44.7","42.3","47.6","38.5","36.8","40.1","45.3","45.3","N/A","40.1","38.8","41.4","38.7","37.1","40.4"
"Sefton","44.9","42.7","47.3","48.6","45.1","54.9","50.0","44.4","54.2","66.6","73.5","59.7","47.3","45.6","49.3","45.3","42.9","47.9"
"Sheffield","44.6","42.1","47.3","44.8","43.1","46.7","40.1","35.4","44.7","69.4","70.4","68.4","42.3","37.7","46.7","45.1","42.7","47.6"
"Shropshire","45.8","43.3","48.4","46.4","46.9","45.5","49.2","39.9","54.7","56.0","56.3","55.3","47.6","48.0","47.1","45.7","43.1","48.3"
"Slough","53.2","48.9","57.0","56.2","52.9","59.3","46.9","36.3","56.7","70.3","63.0","85.0","54.5","55.2","53.8","48.1","42.7","52.8"
"Solihull","47.2","44.7","49.9","50.2","48.7","52.1","43.6","38.9","49.7","68.9","62.8","73.5","43.2","42.0","44.3","47.2","44.4","50.1"
"Somerset","44.9","41.5","48.5","46.2","49.6","42.7","45.6","44.3","46.1","58.6","57.5","59.5","45.8","41.9","50.2","44.8","41.4","48.4"
"South Gloucestershire","44.8","41.7","48.1","51.8","49.0","53.7","47.8","44.7","54.1","62.9","42.3","76.7","45.1","37.6","52.6","44.5","41.7","47.5"
"South Tyneside","44.3","41.9","46.5","53.6","53.3","53.8","44.6","34.3","58.3","71.5","71.5","N/A","47.5","39.7","55.8","44.7","42.8","46.5"
"Southampton","43.3","41.0","45.8","48.1","47.6","48.6","46.4","45.0","47.9","72.5","80.3","57.0","45.0","42.1","47.7","42.3","39.8","44.9"
"Southend-on-Sea","52.0","49.3","54.8","65.5","65.4","65.7","63.5","59.9","68.0","69.8","66.1","72.1","54.0","47.8","59.2","49.2","46.2","52.2"
"Southwark","50.2","48.3","52.0","54.5","52.0","56.8","48.4","46.1","50.3","63.0","59.4","66.6","51.7","52.8","50.6","50.8","48.4","53.4"
"St. Helens","44.6","42.8","46.6","45.6","39.6","51.7","45.9","46.6","44.5","67.3","71.0","65.5","50.0","46.9","62.1","44.9","42.9","47.0"
"Staffordshire","44.6","41.7","47.5","44.7","41.7","48.1","45.0","38.2","52.1","59.4","52.3","67.3","42.7","39.7","45.3","44.5","41.8","47.5"
"Stockport","47.3","44.3","50.3","52.1","47.8","56.8","41.5","39.9","44.4","53.5","50.7","59.6","48.9","47.3","50.8","46.9","43.9","49.9"
"Stockton-on-Tees","46.8","45.1","48.8","49.7","49.2","50.5","57.9","52.2","60.8","63.3","56.8","67.7","51.1","45.4","58.4","46.4","44.7","48.3"
"Stoke-on-Trent","41.9","39.0","45.0","43.5","40.2","46.8","45.8","42.0","51.3","66.7","57.5","80.5","42.1","43.0","40.9","41.3","38.2","44.5"
"Suffolk","45.5","43.7","47.4","51.5","48.4","54.4","44.0","39.2","48.3","67.2","65.0","71.5","46.0","41.8","50.3","45.4","43.7","47.2"
"Sunderland","43.2","40.5","45.9","54.0","51.2","56.2","50.9","47.8","55.0","51.0","45.7","67.0","40.8","35.3","45.9","42.8","40.2","45.4"
"Surrey","50.2","47.7","53.0","52.9","50.1","56.2","42.7","38.5","47.1","62.0","61.3","62.4","51.8","48.1","55.7","50.0","47.6","52.6"
"Sutton","58.1","57.3","59.0","70.3","69.9","70.7","54.1","50.2","57.7","77.5","79.9","75.3","59.7","58.9","60.5","52.6","51.8","53.6"
"Swindon","43.9","41.8","46.1","44.3","42.5","46.1","42.0","38.2","45.7","57.5","64.0","51.0","40.9","41.1","40.7","44.1","42.0","46.4"
"Tameside","43.9","41.1","47.0","48.3","47.4","49.1","41.1","36.6","45.1","61.7","53.5","65.0","43.3","40.5","45.9","43.4","40.2","46.7"
"Telford and Wrekin","45.4","43.1","47.8","49.6","47.8","52.0","46.2","41.9","52.4","62.7","72.3","54.7","43.7","38.7","48.7","44.9","42.6","47.3"
"Thurrock","42.9","40.3","45.3","50.6","48.8","52.5","49.7","45.2","53.9","71.9","68.9","74.1","46.2","43.0","49.2","41.3","39.1","43.4"
"Torbay","48.2","46.4","50.1","66.8","69.1","65.9","60.8","60.8","N/A","67.7","68.8","67.3","56.2","50.2","65.6","48.2","46.0","50.6"
"Tower Hamlets","46.8","43.6","49.8","49.7","46.7","52.5","44.4","41.2","47.5","70.8","64.0","73.0","39.3","37.8","41.2","38.9","35.8","41.8"
"Trafford","56.8","54.9","58.7","61.7","60.3","63.2","52.8","50.7","55.3","74.2","71.4","76.5","52.6","52.1","53.3","55.9","53.7","58.2"
"Wakefield","43.5","41.2","46.0","43.5","36.9","49.3","44.3","39.1","50.0","65.6","65.3","66.3","46.9","44.2","49.0","43.4","41.2","45.6"
"Walsall","43.8","41.4","46.3","48.9","47.9","50.0","44.1","40.2","48.0","66.5","59.0","74.0","43.5","40.3","45.9","42.0","39.2","44.9"
"Waltham Forest","46.1","42.9","49.1","48.7","45.4","52.1","42.1","38.2","45.3","71.0","74.8","66.5","46.7","44.3","49.0","46.0","43.2","48.8"
"Wandsworth","50.8","48.9","52.9","51.8","51.5","52.3","45.5","43.7","47.3","71.7","80.7","65.0","53.6","49.7","56.9","53.3","51.1","56.0"
"Warrington","47.2","44.4","50.4","53.6","53.5","53.8","38.3","30.9","45.7","63.6","60.5","64.9","52.5","49.1","56.2","47.0","44.1","50.2"
"Warwickshire","49.4","46.2","52.8","59.7","59.6","59.9","52.1","48.3","55.2","72.4","74.3","70.5","50.4","49.1","51.5","48.8","45.3","52.5"
"West Berkshire","48.5","45.1","51.8","52.3","46.8","58.8","44.4","38.4","52.8","54.8","54.8","N/A","44.4","43.7","45.3","49.2","45.8","52.4"
"West Sussex","46.6","43.8","49.5","52.2","49.9","54.7","41.4","38.3","44.2","57.1","56.6","57.4","45.8","43.3","48.4","46.4","43.6","49.4"
"Westminster","52.9","48.0","57.8","53.8","51.9","56.4","49.3","44.5","54.7","72.5","67.8","74.8","51.6","45.8","55.2","58.1","51.0","62.8"
"Wigan","45.3","41.6","48.9","52.2","44.9","59.9","44.3","38.0","52.4","66.6","64.6","80.5","44.9","39.7","50.7","45.2","41.5","48.7"
"Wiltshire","48.3","45.7","50.9","54.8","49.0","62.6","44.2","42.2","45.7","67.5","73.1","64.7","53.0","53.9","52.4","48.2","45.5","50.9"
"Windsor and Maidenhead","51.5","49.4","53.8","48.9","45.8","51.7","48.1","42.0","53.2","64.9","N/A","64.9","53.3","50.6","56.7","51.9","50.1","53.9"
"Wirral","48.8","45.8","51.6","65.5","66.3","64.7","43.3","31.8","49.1","63.4","63.8","62.9","57.4","56.2","58.6","48.1","45.0","51.1"
"Wokingham","52.3","49.9","54.9","52.8","50.8","56.2","48.7","44.0","56.3","58.1","55.8","62.2","50.1","47.8","52.2","52.6","50.2","54.8"
"Wolverhampton","44.4","40.3","48.4","51.4","47.6","55.0","42.6","38.4","47.2","52.3","57.2","40.1","40.6","36.9","43.7","42.8","38.4","47.1"
"Worcestershire","46.5","43.6","49.6","47.3","44.6","49.5","41.5","42.3","40.9","60.8","37.3","67.8","47.6","45.7","50.0","46.5","43.5","49.6"
"York","49.7","46.3","53.0","52.0","49.6","53.8","47.4","41.7","62.7","63.5","64.8","61.0","55.3","55.0","55.6","49.5","46.0","52.9"
