"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","gender","fsm","denominator","numerator","lower_95_ci","upper_95_ci"
"Key stage 2 average progress in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","All","FSM","9091","250.66529299999999","-9.9334680085206906E-2","0.15448049308707701"
"Key stage 2 average progress in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.8","All","All","1534","2716.405874","1.4618544462446901","2.0797438249417302"
"Key stage 2 average progress in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.8","All","FSM","3167","-2570.7715370000001","-1.0267524534989301","-0.596721835733804"
"Key stage 2 average progress in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","All","12768","8214.8987429999997","0.53631163536520299","0.75048328051831303"
"Key stage 2 average progress in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","All","Non-FSM","1019","-493.60656799999998","-0.86346148453750404","-0.105344340781433"
"Key stage 2 average progress in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","FSM","10124","1987.6092739999999","7.6067546179255194E-2","0.31658541194006001"
"Key stage 2 average progress in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.8","All","All","17095","14394.176568000001","0.74946465597742595","0.93455717122355098"
"Key stage 2 average progress in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","Non-FSM","3310","497.06895300000002","-6.0147551080721402E-2","0.36049132932845601"
"Key stage 2 average progress in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.3","All","Non-FSM","3617","1164.9771740000001","0.120887903754113","0.52327973462023103"
"Key stage 2 average progress in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.4","All","All","9859","-3847.5450030000002","-0.51212156117538898","-0.26839269037143998"
"Key stage 2 average progress in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","All","All","10134","9848.2097450000001","0.85159928579669897","1.0919984534967999"
"Key stage 2 average progress in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.7","All","Non-FSM","115","-81.705709999999996","-1.8388361511932501","0.417867281628029"
"Key stage 2 average progress in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","Non-FSM","17523","9644.9051760000002","0.45900498981446303","0.64182308483031503"
"Key stage 2 average progress in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.9","All","FSM","255","218.07934399999999","9.7467687149774898E-2","1.6129585403012101"
"Key stage 2 average progress in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.1","All","All","4551","517.51537800000006","-6.5651296325286199E-2","0.29308059889615001"
"Key stage 2 average progress in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","All","4364","674.08203300000002","-2.87043466615171E-2","0.33763286774309698"
"Key stage 2 average progress in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.1","All","All","1788","-2006.509","-1.4083690937673901","-0.83604813218339702"
"Key stage 2 average progress in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.4","All","FSM","5739","2339.3410239999998","0.24789583081383601","0.56734759974897198"
"Key stage 2 average progress in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","All","All","373","-232.26213799999999","-1.24921255249328","3.83915839140792E-3"
"Key stage 2 average progress in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","2","All","Non-FSM","1279","2498.3265299999998","1.61499991425998","2.2916873883201401"
"Key stage 2 average progress in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.8","All","All","8290","6527.1704499999996","0.65445740116734596","0.92025199569639504"
"Key stage 2 average progress in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.3","All","FSM","3338","1092.4262180000001","0.117834211965578","0.53670516370847898"
"Key stage 2 average progress in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.4","All","All","36019","12744.787988","0.29007818411630698","0.41759210034470801"
"Key stage 2 average progress in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.1","All","All","456671","-52949.738383000004","-0.133852948218639","-9.8041515774036997E-2"
"Key stage 2 average progress in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.3","All","Non-FSM","25521","7948.0512230000004","0.23568844936614999","0.38717517063308099"
"Key stage 2 average progress in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.9","All","Non-FSM","10048","8666.0113359999996","0.74174844224319403","0.98317419629190395"
"Key stage 2 average progress in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.5","All","Non-FSM","3837","1742.7962170000001","0.25886518388210999","0.64955087918799004"
"Key stage 2 average progress in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.5","All","All","23262","11984.2462","0.435849622483998","0.59452147200489402"
"Key stage 2 average progress in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.1","All","FSM","71577","-79315.720543000003","-1.1533453451022","-1.0628894941059599"
"Key stage 2 average progress in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1","All","FSM","2111","-2109.1221559999999","-1.2624701351399401","-0.73575076111776305"
"Key stage 2 average progress in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","All","All","6799","-4303.0450620000001","-0.77964137858015703","-0.48614625548368101"
"Key stage 2 average progress in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","FSM","194","110.262899","-0.30038000338230603","1.4371109209080799"
"Key stage 2 average progress in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","All","FSM","1446","-685.64662199999998","-0.79237445019248498","-0.155961126570998"
"Key stage 2 average progress in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.5","All","All","2546","3842.0699890000001","1.2692529660487899","1.74886957047907"
"Key stage 2 average progress in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.6","All","Non-FSM","2352","3731.8070899999998","1.3371502583331001","1.83615509030633"
"Key stage 2 average progress in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","Non-FSM","21791","5315.9461090000004","0.161981471983107","0.32592143371191401"
"Key stage 2 average progress in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.5","All","FSM","1467","785.73530200000005","0.219685986762896","0.85152778556158504"
"Key stage 2 average progress in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.5","All","FSM","2454","1274.8674149999999","0.275243746914001","0.76376800125225797"
"Key stage 2 average progress in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","All","Non-FSM","7691","7399.0921040000003","0.82407001114853695","1.10002103136874"
"Key stage 2 average progress in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-2","All","FSM","769","-1512.9024320000001","-2.40370861206797","-1.5310181291543901"
"Key stage 2 average progress in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.9","All","Non-FSM","15927","14338.086148","0.80435807237272305","0.99611736531175199"
"Key stage 2 average progress in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","All","Non-FSM","7811","8168.3098319999999","0.90883288892680303","1.1826559939307399"
"Key stage 2 average progress in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.2","All","FSM","66957","-78962.767244999995","-1.22606788492802","-1.13254338036168"
"Key stage 2 average progress in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","All","Non-FSM","350743","-16742.217927000002","-6.8165013565619298E-2","-2.73021400311728E-2"
"Key stage 2 average progress in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.7","All","Non-FSM","9201","6561.9431839999997","0.58703047324651203","0.83932387606338499"
"Key stage 2 average progress in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","All","26957","4781.8297480000001","0.10368898326114","0.25108563913749399"
"Key stage 2 average progress in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.7","All","FSM","747","-490.89514100000002","-1.0998795249834099","-0.21443142816250099"
"Key stage 2 average progress in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.1","All","Non-FSM","385094","26365.98216","4.8967457407815801E-2","8.7965250762139402E-2"
"Key stage 2 average progress in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","All","Non-FSM","4688","-2193.9229059999998","-0.64471262812228902","-0.29126130788454602"
"Key stage 2 average progress in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.2","All","All","417700","-95704.985172000001","-0.247846122748588","-0.21040135233879401"
"Key stage 2 average progress in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","All","FSM","1241","20.446425000000001","-0.32700903450387497","0.35996056552724398"
"Key stage 2 average progress in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","All","All","609211","17555.772208999999","1.3314449233994999E-2","4.43200065095819E-2"
"Key stage 2 average progress in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.8","All","FSM","102785","-79783.273973999996","-0.81395746365211397","-0.738472832091433"
"Key stage 2 average progress in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.6","Boys","FSM","1609","-2629.2524779999999","-1.93574941498838","-1.33243265834911"
"Key stage 2 average progress in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.4","Boys","All","5209","1825.4645390000001","0.18278944064003899","0.51809922858628998"
"Key stage 2 average progress in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","Boys","FSM","4625","-2971.046503","-0.82031366701853503","-0.46446319914364598"
"Key stage 2 average progress in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.4","Boys","Non-FSM","257753","-102607.941498","-0.421920017701094","-0.37425260879015998"
"Key stage 2 average progress in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.5","Boys","All","5169","2713.6270930000001","0.35667872124822197","0.69328339637606795"
"Key stage 2 average progress in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.5","Boys","All","3329","-4833.4015639999998","-1.66162634024894","-1.2421895588198399"
"Key stage 2 average progress in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.4","Boys","Non-FSM","12650","-5167.1970270000002","-0.51605818819149096","-0.300889958369772"
"Key stage 2 average progress in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.4","Boys","Non-FSM","3400","1425.008491","0.21160301292081299","0.62663727590270801"
"Key stage 2 average progress in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-2.1","Boys","FSM","401","-857.84871599999997","-2.7435299625654102","-1.5350172494046499"
"Key stage 2 average progress in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.7","Boys","All","232818","-156756.53474500001","-0.69837830498903697","-0.64822320129484601"
"Key stage 2 average progress in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.2","Boys","Non-FSM","11125","-2694.633092","-0.35693533737088901","-0.127493083662821"
"Key stage 2 average progress in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.4","Boys","Non-FSM","1871","-754.94098099999997","-0.68323723718304996","-0.123754725403798"
"Key stage 2 average progress in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.6","Boys","FSM","33978","-54384.252800000002","-1.6662164317022801","-1.5349285915481099"
"Key stage 2 average progress in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.3","Boys","FSM","52293","-65941.938936999999","-1.31392303710984","-1.20809478313382"
"Key stage 2 average progress in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.8","Boys","FSM","96","78.588099","-0.41634792061592901","2.0535999831159302"
"Key stage 2 average progress in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","Boys","Non-FSM","3980","2435.1098360000001","0.42003519576921","0.80363808865289099"
"Key stage 2 average progress in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.9","Boys","Non-FSM","3400","-3057.0088719999999","-1.1066373879615501","-0.69160312497965704"
"Key stage 2 average progress in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.1","Boys","Non-FSM","27888","3008.159662","3.5408005738560497E-2","0.180323467439861"
"Key stage 2 average progress in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.3","Boys","FSM","2939","-765.42794300000003","-0.483637932347313","-3.7238517465544602E-2"
"Key stage 2 average progress in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","Boys","All","2267","-1305.982784","-0.83022101370853496","-0.32194730036292102"
"Key stage 2 average progress in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.3","Boys","All","13784","-4410.8124470000002","-0.42305881156026998","-0.21693138678564"
"Key stage 2 average progress in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","Boys","All","2320","-1237.147428","-0.784470431128937","-0.28203597231934702"
"Key stage 2 average progress in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.8","Boys","FSM","1353","-1049.9984219999999","-1.1050131264732701","-0.44709097108770401"
"Key stage 2 average progress in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","Boys","All","5447","843.23855900000001","-9.1433610990211394E-3","0.31875913455230498"
"Key stage 2 average progress in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.3","Boys","Non-FSM","1860","-568.07140000000004","-0.58598195956244303","-2.4847502803147299E-2"
"Key stage 2 average progress in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.1","Boys","Non-FSM","13797","-1478.0785579999999","-0.210145576994924","-4.1152852215024099E-3"
"Key stage 2 average progress in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.3","Boys","Non-FSM","8084","2565.6729070000001","0.18279673975483701","0.45195657716747001"
"Key stage 2 average progress in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.8","Boys","FSM","588","-473.97431999999998","-1.30508360748343","-0.30707394353697598"
"Key stage 2 average progress in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.2","Boys","FSM","4351","-5190.8296030000001","-1.37646194458489","-1.0095778637350299"
"Key stage 2 average progress in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.4","Boys","All","18148","-6668.9081610000003","-0.457294685844226","-0.27765221309778498"
"Key stage 2 average progress in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","Boys","FSM","621","-307.24017600000002","-0.98031595335955501","-9.1854186211209905E-3"
"Key stage 2 average progress in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.1","Boys","Non-FSM","4699","702.01001099999996","-2.7123069857816599E-2","0.32591430671673099"
"Key stage 2 average progress in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","Boys","All","8672","2091.6985869999999","0.111264122906468","0.371138687748506"
"Key stage 2 average progress in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","Boys","All","1257","1256.5724540000001","0.65836812977080705","1.34095160610826"
"Key stage 2 average progress in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","Boys","All","33072","1237.751792","-2.91110218242761E-2","0.103962968607048"
"Key stage 2 average progress in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.4","Boys","Non-FSM","654","901.73472600000002","0.90564307016511003","1.85195548029361"
"Key stage 2 average progress in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.2","Boys","All","785","970.56201899999996","0.80450921952197296","1.6682602556372701"
"Key stage 2 average progress in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","Boys","Non-FSM","196466","-101214.92596399999","-0.54247700887280104","-0.48787863499433398"
"Key stage 2 average progress in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","Boys","FSM","748","141.22854799999999","-0.25361979164797599","0.631236230150651"
"Key stage 2 average progress in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.8","Boys","FSM","124","-96.101519999999994","-1.8616444610704701","0.31161994494143302"
"Key stage 2 average progress in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.2","Boys","Non-FSM","521","-639.64812099999995","-1.75785196145595","-0.69761107501237696"
"Key stage 2 average progress in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.3","Boys","Non-FSM","2264","-2935.0231800000001","-1.5506935082125399","-1.0420831525648599"
"Key stage 2 average progress in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.2","Boys","All","11626","-2067.6945380000002","-0.29007296251543002","-6.5628833115059806E-2"
"Key stage 2 average progress in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.3","Boys","FSM","5184","-1770.40787","-0.50957253201728703","-0.173455195606176"
"Key stage 2 average progress in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.3","Boys","FSM","775","-1037.8391939999999","-1.7738002282991501","-0.90449446589438798"
"Key stage 2 average progress in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-2","Boys","Non-FSM","60","-121.735315","-3.5910541322168599","-0.466789701116472"
"Key stage 2 average progress in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.5","Boys","FSM","36352","-55541.608781000003","-1.59134742974625","-1.46441889843381"
"Key stage 2 average progress in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","Boys","FSM","1189","278.51725699999997","-0.116670488041269","0.58516040730115104"
"Key stage 2 average progress in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.1","Boys","Non-FSM","8687","-1302.2665950000001","-0.27973487011916598","-2.0084767270044199E-2"
"Key stage 2 average progress in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","Boys","Non-FSM","178941","-111662.415692","-0.65262283167287105","-0.59541328852316899"
"Key stage 2 average progress in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.2","Boys","All","184","-217.83683500000001","-2.07593619879581","-0.291855485986803"
"Key stage 2 average progress in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.1","Boys","All","6490","-328.005199","-0.200740484136297","9.9660299544618303E-2"
"Key stage 2 average progress in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","Boys","Non-FSM","1161","1177.9843550000001","0.65950729790417195","1.3697508502439699"
"Key stage 2 average progress in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.5","Boys","Non-FSM","3920","1821.0570150000001","0.27129162057844902","0.65781910136031696"
"Key stage 2 average progress in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","Boys","Non-FSM","16290","10307.138438","0.53792260245488699","0.72753331381279995"
"Key stage 2 average progress in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.8","Boys","FSM","614","-473.739509","-1.25988802154098","-0.28323741494110899"
"Key stage 2 average progress in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.4","Boys","FSM","396","-551.04180299999996","-1.9995788447687199","-0.78346056432219102"
"Key stage 2 average progress in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","Boys","All","18008","10034.9054","0.46707736904763503","0.64741678910432998"
"Key stage 2 average progress in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.2","Boys","FSM","1718","-272.23303800000002","-0.45039136559736698","0.13347281146465501"
"Key stage 2 average progress in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.1","Boys","All","5009","-5686.2613499999998","-1.30617810133695","-0.96423968664466297"
"Key stage 2 average progress in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","Boys","Non-FSM","1699","-929.90725199999997","-0.84088611810980296","-0.25376632685781503"
"Key stage 2 average progress in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","Boys","FSM","1289","4.4075240000000004","-0.333609418533236","0.34044809037187201"
"Key stage 2 average progress in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.1","Boys","Non-FSM","5137","721.99322299999994","-2.82780887373403E-2","0.30937336730460502"
"Key stage 2 average progress in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.8","Boys","FSM","1065","-1898.3783840000001","-2.1532968867717401","-1.4117329423362599"
"Key stage 2 average progress in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.8","Boys","All","212919","-166046.668492","-0.80608162104380299","-0.753635158501474"
"Key stage 2 average progress in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","Boys","FSM","2659","-1716.179355","-0.88008024395128504","-0.41076545367940798"
"Key stage 2 average progress in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.5","Boys","All","310046","-168549.880435","-0.56535965607009497","-0.52189759243496503"
