"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Central Bedfordshire","72","2,491","76","56","73","65","100","4","71","184","71","2,146","72","13"
"Cheshire East","77","3,262","76","65","75","12","50","7","81","142","77","3,009","74","14"
"Cheshire West and Chester","74","2,976","82","49","53","10","71","12","76","81","75","2,799","81","17"
"City of London","89","25","73","8","100","2","N/A","N/A","100","4","100","9","100","2"
"Cornwall","72","4,237","67","10","33","1","78","7","76","108","73","4,052","73","16"
"County Durham","73","4,158","79","27","78","7","67","12","83","83","72","4,006","68","13"
"Coventry","69","3,046","70","671","70","372","71","15","71","209","69","1,718","62","44"
"Croydon","75","3,463","82","595","74","972","81","26","71","517","74","1,265","74","51"
"Cumbria","76","3,960","77","34","78","7","75","6","74","57","76","3,794","68","13"
"Darlington","75","955","68","21","71","5","0","0","80","24","75","892","64","7"
"Derby","69","2,298","71","444","73","95","100","10","73","180","69","1,503","58","43"
"Derbyshire","72","6,320","81","86","75","18","88","29","74","193","72","5,926","86","19"
"Devon","75","5,937","77","48","73","8","87","20","76","148","75","5,631","68","36"
"Doncaster","68","2,536","67","73","69","38","81","17","66","73","68","2,315","64","14"
"Dorset","72","2,826","81","22","67","8","75","9","70","86","72","2,682","100","3"
"Dudley","67","2,604","70","286","54","51","71","10","63","163","68","2,036","55","45"
"Ealing","78","3,380","78","976","74","507","94","17","85","307","80","1,056","73","482"
"East Riding of Yorkshire","73","2,664","82","14","71","5","100","2","73","57","73","2,554","67","12"
"East Sussex","72","3,976","78","90","71","29","79","11","77","246","72","3,541","50","16"
"Enfield","73","3,395","80","307","73","853","83","24","79","381","70","1,586","75","187"
"Essex","75","12,437","86","385","79","414","93","50","79","714","74","10,636","78","103"
"Gateshead","77","1,615","78","36","70","26","100","9","87","33","77","1,478","73","24"
"Gloucestershire","75","5,120","80","163","67","74","76","13","80","269","75","4,536","50","11"
"Greenwich","79","2,664","84","238","81","986","85","41","82","282","76","1,051","72","58"
"Hackney","72","1,866","74","231","69","654","91","10","78","209","71","637","74","113"
"Halton","70","1,122","71","5","100","1","N/A","N/A","58","19","70","1,088","40","2"
"Hammersmith and Fulham","79","1,050","79","63","73","271","100","3","75","138","85","433","80","119"
"Hampshire","76","11,283","80","383","76","140","77","41","81","475","76","10,120","77","74"
"Haringey","73","2,240","79","149","68","546","80","24","79","271","75","1,115","62","116"
"Harrow","80","2,343","81","1,140","76","215","100","8","82","208","79","653","74","90"
"Hartlepool","76","894","71","17","67","2","89","8","80","12","76","850","40","2"
"Havering","78","2,343","82","202","79","290","67","6","78","164","77","1,639","75","15"
"Herefordshire, County of","78","1,464","90","9","86","6","67","2","83","50","78","1,387","71","5"
"Hertfordshire","77","10,958","78","949","75","486","82","56","78","795","77","8,478","69","117"
"Hillingdon","76","2,961","81","871","73","325","100","6","76","353","74","1,134","72","232"
"Hounslow","77","2,551","82","887","74","292","89","16","76","222","74","817","77","288"
"Isle of Wight","71","906","80","8","100","3","100","5","72","36","70","848","100","1"
"Isles of Scilly","84","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","83","15","N/A","N/A"
"Islington","76","1,454","74","111","72","351","100","10","78","238","79","657","73","72"
"Kensington and Chelsea","84","793","71","30","83","152","100","3","88","165","86","297","77","126"
"Kent","76","13,611","85","620","82","433","94","48","77","762","75","11,515","74","118"
"Kingston upon Hull, City of","76","2,422","87","46","72","47","100","5","75","88","76","2,175","72","53"
"Kingston upon Thames","79","1,497","81","270","78","28","77","23","81","173","78","891","73","95"
"Kirklees","70","3,887","69","1,034","59","61","88","14","70","257","71","2,470","48","24"
"Knowsley","75","1,362","89","34","83","10","50","1","62","24","75","1,280","67","6"
"Lambeth","79","2,382","87","136","74","998","88","15","83","350","81","748","78","119"
"Lancashire","72","10,181","68","1,090","74","42","85","35","75","361","73","8,572","64","41"
"Leeds","70","6,570","67","748","64","488","79","41","70","443","72","4,705","55","101"
"Leicester","70","3,313","72","1,462","75","358","71","12","71","235","66","1,143","70","75"
"Leicestershire","75","5,722","80","460","77","70","82","23","77","289","74","4,823","67","20"
"Lewisham","76","2,643","82","168","73","997","81","38","76","426","80","902","68","76"
"Lincolnshire","69","5,705","91","79","79","33","80","20","73","182","68","5,317","75","27"
"Liverpool","71","3,732","75","176","71","176","82","65","69","203","72","2,976","60","127"
"Luton","70","2,263","69","1,056","70","242","80","8","75","210","68","691","73","38"
"Manchester","70","4,689","67","1,030","72","868","80","51","73","415","70","1,973","63","314"
"Medway","71","2,408","78","145","80","195","71","5","72","163","70","1,855","82","28"
"Merton","79","1,813","82","402","72","248","100","15","74","170","80","907","83","60"
"Middlesbrough","72","1,324","71","140","72","13","N/A","N/A","70","78","72","1,053","74","35"
"Milton Keynes","76","2,865","82","399","73","392","92","24","79","245","75","1,721","83","25"
"Newcastle upon Tyne","73","2,170","76","308","71","135","81","29","72","97","73","1,536","71","57"
"Newham","81","3,848","83","1,793","79","885","90","18","82","255","77","643","79","222"
"Norfolk","70","6,423","80","114","60","49","74","28","72","233","70","5,894","66","52"
"North East Lincolnshire","72","1,388","78","14","43","3","100","1","79","46","72","1,300","81","17"
"North Lincolnshire","72","1,401","63","48","58","7","100","3","65","22","72","1,300","71","10"
"North Somerset","75","1,800","76","25","83","10","88","7","83","76","74","1,671","75","3"
"North Tyneside","75","1,844","74","43","74","14","88","15","80","61","75","1,700","75","6"
"North Yorkshire","73","4,617","76","64","42","13","90","9","69","119","73","4,363","68","17"
"Northamptonshire","70","6,624","77","341","68","362","85","28","66","345","70","5,456","66","46"
"Northumberland","75","2,687","84","48","40","2","100","7","80","53","75","2,562","75","9"
"Nottingham","71","2,548","77","449","72","319","75","9","74","362","69","1,324","68","71"
"Nottinghamshire","73","6,770","78","224","67","74","69","18","76","319","72","6,045","61","36"
"Oldham","71","2,466","67","778","69","90","77","10","74","132","73","1,427","48","13"
"Oxfordshire","74","5,519","69","322","67","141","80","16","74","380","75","4,529","61","61"
"Peterborough","64","1,915","60","343","65","88","75","6","66","124","64","1,303","67","24"
"Plymouth","73","2,148","78","21","71","17","100","10","73","66","73","1,994","63","25"
"Portsmouth","67","1,482","72","86","70","53","56","5","75","90","66","1,201","70","30"
"Reading","72","1,352","74","282","68","129","82","9","72","156","72","741","71","17"
"Redbridge","79","3,208","81","1,771","75","352","100","21","79","241","75","745","81","44"
"Redcar and Cleveland","78","1,276","70","7","80","4","100","1","82","41","78","1,214","14","1"
"Richmond upon Thames","88","2,036","84","174","69","40","75","18","84","192","90","1,543","85","46"
"Rochdale","69","2,069","65","513","66","83","83","10","66","76","71","1,356","59","22"
"Rotherham","66","2,241","53","141","70","46","83","10","62","68","67","1,943","82","23"
"Rutland","77","306","80","4","50","3","N/A","N/A","92","11","78","284","50","2"
"Salford","73","2,171","78","80","73","125","100","1","70","168","74","1,721","58","57"
"Sandwell","71","3,354","73","1,017","71","347","75","18","70","308","69","1,569","68","77"
"Sefton","73","2,160","67","20","64","9","71","5","78","60","74","2,050","54","7"
"Sheffield","71","4,488","70","552","66","253","90","43","71","343","72","3,119","69","151"
"Shropshire","75","2,308","83","20","43","3","75","3","73","68","75","2,195","75","3"
"Slough","76","1,787","84","949","72","153","100","3","76","161","64","438","77","71"
"Solihull","78","2,041","81","279","75","43","97","29","75","166","77","1,473","84","27"
"Somerset","71","4,162","79","63","81","13","92","12","68","121","71","3,914","44","8"
"South Gloucestershire","74","2,460","78","81","71","32","82","9","79","135","74","2,171","69","18"
"South Tyneside","75","1,249","81","46","80","8","67","2","72","31","75","1,154","56","5"
"Southampton","71","2,006","71","263","81","73","75","12","72","126","71","1,490","73","38"
"Southend-on-Sea","76","1,671","86","121","77","49","91","21","76","111","75","1,337","94","15"
"Southwark","76","2,516","75","135","73","1,100","77","23","78","294","79","735","70","178"
"St. Helens","73","1,619","85","17","50","6","80","8","65","28","74","1,553","63","5"
"Staffordshire","74","7,221","68","301","64","49","76","28","71","251","74","6,517","80","37"
"Stockport","75","2,580","74","187","76","34","91","20","69","126","76","2,179","63","20"
"Stockton-on-Tees","76","1,895","76","104","78","21","57","4","84","56","76","1,700","71","5"
"Stoke-on-Trent","68","2,275","70","351","69","90","83","10","76","121","67","1,665","66","37"
"Suffolk","71","5,669","73","106","70","60","75","3","74","345","71","5,027","61","45"
"Sunderland","74","2,417","77","101","86","24","77","10","76","42","74","2,231","33","1"
"Surrey","79","9,807","80","692","73","167","89","62","80","627","79","8,064","74","98"
"Sutton","80","1,925","86","363","80","134","90","37","82","194","78","1,149","71","24"
"Swindon","71","2,071","73","253","71","65","67","10","75","134","71","1,574","63","15"
"Tameside","72","2,127","72","224","71","60","92","12","74","104","72","1,696","67","16"
"Telford and Wrekin","74","1,702","71","106","66","57","85","11","82","96","74","1,417","100","6"
"Thurrock","76","1,848","84","114","83","331","81","13","83","118","74","1,238","69","18"
"Torbay","75","1,091","80","20","100","1","75","3","81","34","75","1,020","64","7"
"Tower Hamlets","79","2,623","79","1,725","75","252","100","11","82","175","78","357","83","90"
"Trafford","83","2,493","86","384","74","102","87","54","83","193","83","1,672","81","66"
"Wakefield","71","2,851","62","102","75","42","82","18","73","91","71","2,581","54","14"
"Walsall","70","2,657","75","707","67","131","86","12","70","165","69","1,599","61","31"
"Waltham Forest","78","2,599","78","682","76","485","90","26","82","327","79","967","75","97"
"Wandsworth","77","1,837","75","332","69","380","90","9","78","232","81","796","73","65"
"Warrington","79","2,048","76","67","74","17","100","6","89","68","78","1,868","50","10"
"Warwickshire","75","4,759","82","314","73","58","91","20","80","252","74","4,053","80","24"
"West Berkshire","74","1,449","72","39","65","15","100","6","74","77","75","1,295","70","7"
"West Sussex","74","6,805","73","318","71","89","73","16","75","342","74","5,931","77","40"
"Westminster","78","1,119","79","151","79","202","92","11","81","120","82","306","74","319"
"Wigan","74","2,803","74","32","67","38","50","3","69","68","74","2,633","66","25"
"Wiltshire","75","4,002","83","55","66","59","94","15","80","151","74","3,658","73","35"
"Windsor and Maidenhead","77","1,226","73","185","64","14","100","6","78","108","79","882","76","16"
"Wirral","69","2,606","84","76","67","12","75","15","72","71","69","2,417","22","2"
"Wokingham","81","1,736","84","259","89","55","100","14","82","137","80","1,239","78","14"
"Wolverhampton","72","2,436","75","586","73","288","88","7","69","275","72","1,236","66","31"
"Worcestershire","72","4,448","71","178","79","23","90","9","75","182","72","4,002","67","16"
"York","75","1,496","76","31","86","6","100","4","72","44","75","1,392","73","8"
