"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Gloucestershire","63","76","66","82","62","74","89","100","66","82","63","75","54","44"
"Greenwich","70","82","78","88","74","87","85","96","62","83","66","76","70","73"
"Hackney","72","83","80","86","70","86","91","94","75","80","69","83","77","76"
"Halton","60","74","50","N/A","N/A","100","N/A","N/A","74","87","60","74","0","100"
"Hammersmith and Fulham","70","78","70","88","62","72","100","83","70","80","73","80","68","77"
"Hampshire","68","80","78","86","63","81","88","96","74","81","68","80","70","75"
"Haringey","68","80","78","84","67","83","56","94","76","84","68","79","66","70"
"Harrow","69","79","77","85","54","76","60","100","66","81","64","74","54","65"
"Hartlepool","64","80","70","83","100","100","50","100","50","85","65","80","75","50"
"Havering","67","80","80","89","66","82","83","100","65","84","65","78","44","77"
"Herefordshire, County of","65","82","78","82","100","100","100","N/A","75","84","65","82","57","50"
"Hertfordshire","66","79","73","84","68","76","89","96","68","79","65","78","68","71"
"Hillingdon","64","77","72","84","65","73","67","88","67","77","57","75","61","70"
"Hounslow","70","82","79","86","59","81","100","83","71","83","64","79","70","81"
"Isle of Wight","52","70","100","100","0","N/A","100","N/A","61","74","51","69","0","N/A"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","66","79","69","87","62","74","100","100","64","71","68","84","62","75"
"Kensington and Chelsea","69","82","80","90","56","80","60","N/A","77","84","74","83","59","80"
"Kent","67","80","77","90","78","90","65","84","74","84","65","79","65","75"
"Kingston upon Hull, City of","61","74","95","70","68","59","100","100","65","68","61","75","60","65"
"Kingston upon Thames","68","79","67","82","55","77","86","100","68","79","70","79","66","75"
"Kirklees","60","75","62","78","62","64","88","57","48","73","60","74","67","65"
"Knowsley","57","74","78","79","56","75","100","100","57","77","56","74","60","80"
"Lambeth","70","80","71","84","68","81","83","90","71","82","71","80","68","75"
"Lancashire","63","76","63","75","67","77","74","64","62","77","63","76","57","52"
"Leeds","57","69","57","70","57","66","79","75","56","72","57","70","52","67"
"Leicester","59","69","66","76","57","69","64","88","56","70","51","63","61","72"
"Leicestershire","62","77","72","86","66","78","63","93","63","75","61","76","72","71"
"Lewisham","68","78","71","85","64","78","64","88","69","75","72","80","62","77"
"Lincolnshire","60","74","80","92","67","87","60","100","63","74","60","74","58","82"
"Liverpool","57","72","67","81","65","79","70","87","57","72","57","71","41","63"
"Luton","58","75","60","77","59","81","67","75","59","80","57","70","46","65"
"Manchester","61","73","61","74","66","80","83","87","61","77","60","73","56","66"
"Medway","66","79","74","90","83","86","88","100","72","83","63","78","80","72"
"Merton","66","76","74","84","67","76","69","75","62","76","64","74","59","70"
"Middlesbrough","58","71","60","74","71","85","67","0","64","78","58","71","39","38"
"Milton Keynes","61","77","73","86","66","74","100","88","63","83","58","74","67","77"
"Newcastle upon Tyne","67","78","64","82","63","80","90","83","76","82","67","77","64","76"
"Newham","71","82","74","84","71","85","78","82","71","81","65","75","73","80"
"Norfolk","61","74","69","76","64","76","68","82","65","74","60","75","58","70"
"North East Lincolnshire","61","76","89","67","50","80","100","100","79","81","61","76","50","71"
"North Lincolnshire","62","79","78","88","75","40","100","75","84","86","62","80","38","50"
"North Somerset","65","78","67","65","67","43","67","100","65","77","65","79","0","50"
"North Tyneside","68","79","81","84","75","67","100","100","67","86","67","78","78","67"
"North Yorkshire","63","77","74","76","58","91","67","80","68","87","64","77","59","76"
"Northamptonshire","63","75","66","72","63","78","88","92","66","74","62","76","53","78"
"Northumberland","67","82","93","83","100","100","100","75","76","89","67","82","43","80"
"Nottingham","58","71","61","75","63","77","71","100","59","71","56","71","58","65"
"Nottinghamshire","61","77","70","80","70","81","83","90","63","79","60","77","70","73"
"Oldham","56","72","53","70","58","70","46","33","58","81","59","73","50","44"
"Oxfordshire","62","76","64","78","60","74","80","92","60","81","62","76","44","69"
"Peterborough","55","70","57","71","69","69","33","88","56","77","54","70","58","72"
"Plymouth","60","76","50","100","71","67","82","100","55","76","60","75","39","67"
"Poole","68","79","79","87","67","60","100","0","76","67","67","80","75","75"
"Portsmouth","60","75","69","80","72","71","86","100","67","79","59","74","31","80"
"Reading","64","72","77","82","63","71","83","71","64","68","61","69","61","85"
"Redbridge","72","81","77","86","72","73","88","100","71","79","65","74","63","79"
"Redcar and Cleveland","69","80","67","100","67","0","100","N/A","87","76","69","80","33","0"
"Richmond upon Thames","71","83","77","89","79","72","80","90","74","84","71","82","58","82"
"Rochdale","58","74","59","73","61","70","57","100","62","73","58","75","56","68"
"Rotherham","64","76","66","82","48","81","50","60","61","82","64","76","46","73"
"Rutland","60","80","80","67","100","67","N/A","N/A","50","100","60","80","N/A","100"
"Salford","60","75","63","88","70","79","50","67","63","77","59","75","61","74"
"Sandwell","59","72","67","77","65","75","67","82","54","76","55","69","41","60"
"Sefton","60","76","63","94","50","60","100","0","54","87","60","76","27","64"
"Sheffield","62","74","64","77","59","79","81","75","59","72","63","74","58","65"
"Shropshire","60","75","71","84","67","80","100","50","62","73","60","75","67","N/A"
"Slough","64","80","74","86","58","83","100","100","63","79","53","71","59","78"
"Solihull","65","79","67","89","53","72","86","100","68","74","64","78","77","60"
"Somerset","66","79","68","97","67","89","83","67","73","80","66","79","45","82"
"South Gloucestershire","66","82","85","93","75","83","80","100","70","88","65","81","40","60"
"South Tyneside","65","80","75","80","67","83","100","83","52","64","65","81","80","63"
"Southampton","60","77","67","80","66","75","73","100","62","78","59","78","58","70"
"Southend-on-Sea","62","78","80","73","74","85","100","100","64","82","61","78","64","50"
"Southwark","68","81","75","86","67","80","89","95","66","83","70","81","63","70"
"St. Helens","62","77","67","92","60","50","100","80","56","84","62","76","13","83"
"Staffordshire","67","80","64","82","56","80","81","89","65","83","67","80","42","72"
"Stockport","62","76","64","68","53","82","80","89","62","69","63","76","36","67"
"Stockton-on-Tees","66","80","68","80","76","92","40","100","67","73","66","80","50","50"
"Stoke-on-Trent","60","73","63","76","68","70","77","71","68","79","59","72","43","57"
"Suffolk","60","76","68","85","63","81","100","100","59","82","60","76","54","79"
"Sunderland","64","79","67","75","88","92","82","75","63","82","64","79","50","75"
"Surrey","66","80","70","81","62","81","92","82","72","84","66","79","57","81"
"Sutton","68","82","84","93","68","89","82","92","68","80","65","79","58","90"
"Swindon","67","79","71","87","79","98","100","83","69","82","66","77","45","73"
"Tameside","58","76","63","72","64","78","75","75","60","83","57","76","63","73"
"Telford and Wrekin","65","77","68","86","66","81","100","100","66","73","65","77","50","N/A"
"Thurrock","67","78","79","81","80","83","75","100","65","81","63","77","75","64"
"Torbay","60","77","71","75","N/A","100","100","100","63","82","60","77","40","33"
"Tower Hamlets","67","79","68","81","68","81","78","89","69","72","62","75","64","69"
"Trafford","67","78","68","80","68","71","70","89","62","76","67","79","78","68"
"Wakefield","61","73","68","75","70","72","92","86","63","67","60","73","53","67"
"Walsall","57","73","62","81","58","77","67","73","55","75","56","71","30","63"
"Waltham Forest","69","82","76","86","64","79","88","100","70","82","68","82","73","77"
"Wandsworth","74","83","70","85","68","79","83","100","70","77","79","87","79","71"
"Warrington","65","80","81","86","75","100","100","100","61","74","65","80","64","78"
"Warwickshire","64","79","74","87","70","82","85","90","69","87","63","78","79","70"
"West Berkshire","64","79","73","91","91","73","50","100","70","83","63","78","75","58"
"West Sussex","59","74","59","76","53","63","90","100","60","77","60","74","38","68"
"Westminster","68","79","71","82","70","74","67","83","74","86","69","84","64","76"
"Wigan","62","78","75","56","33","84","64","80","71","87","62","79","59","61"
"Wiltshire","62","75","81","81","60","79","71","100","62","75","61","75","56","62"
"Windsor and Maidenhead","66","81","68","77","67","88","100","100","70","93","66","81","69","92"
"Wirral","60","75","76","84","89","100","75","100","66","83","60","75","80","50"
"Wokingham","70","80","81","88","70","93","75","87","70","76","67","79","63","67"
"Wolverhampton","63","76","72","84","71","78","75","67","58","74","59","74","62","73"
"Worcestershire","65","77","67","80","80","92","56","80","72","83","65","77","75","60"
"York","67","76","75","88","N/A","50","60","50","70","75","67","77","54","86"
