"","All","Asian","Black","Chinese","Mixed","White","Other"
"Redbridge","76","81","72","93","75","69","69"
"Redcar and Cleveland","74","80","50","100","83","74","25"
"Richmond upon Thames","77","82","75","85","79","76","67"
"Rochdale","66","66","66","75","66","66","61"
"Rotherham","70","74","66","54","71","70","61"
"Rutland","69","75","83","N/A","67","69","100"
"Salford","68","76","74","57","70","67","67"
"Sandwell","66","72","70","74","66","62","53"
"Sefton","68","75","55","60","69","68","45"
"Sheffield","68","70","69","77","65","68","61"
"Shropshire","68","79","75","83","68","68","67"
"Slough","72","80","69","100","70","62","68"
"Solihull","72","78","62","91","71","71","70"
"Somerset","72","82","80","75","76","72","64"
"South Gloucestershire","74","89","79","92","80","73","50"
"South Tyneside","72","78","78","86","58","73","72"
"Southampton","68","73","70","86","70","68","64"
"Southend-on-Sea","70","76","79","100","73","69","58"
"Southwark","74","81","73","92","75","75","67"
"St. Helens","69","82","57","86","73","69","43"
"Staffordshire","73","72","66","86","75","73","62"
"Stockport","69","66","69","86","66","70","48"
"Stockton-on-Tees","72","73","81","57","70","73","50"
"Stoke-on-Trent","66","69","69","75","73","66","51"
"Suffolk","68","76","74","100","70","68","64"
"Sunderland","71","70","90","80","72","71","67"
"Surrey","73","75","73","88","78","72","69"
"Sutton","75","89","77","87","74","72","75"
"Swindon","73","79","89","92","75","71","59"
"Tameside","67","67","71","75","71","67","70"
"Telford and Wrekin","71","78","74","100","69","71","50"
"Thurrock","72","80","81","88","72","70","70"
"Torbay","68","73","100","100","71","68","38"
"Tower Hamlets","73","75","75","85","71","68","66"
"Trafford","72","74","69","79","70","73","71"
"Wakefield","66","72","71","89","65","66","59"
"Walsall","65","71","66","71","65","63","47"
"Waltham Forest","75","81","71","94","76","74","75"
"Wandsworth","78","77","73","94","73","83","76"
"Warrington","72","83","83","100","68","72","70"
"Warwickshire","71","81","78","87","77","70","76"
"West Berkshire","71","83","82","67","78","71","63"
"West Sussex","66","68","58","95","68","66","51"
"Westminster","73","76","72","75","79","76","70"
"Wigan","70","62","60","69","79","70","60"
"Wiltshire","68","81","69","78","68","68","59"
"Windsor and Maidenhead","73","73","75","100","82","73","81"
"Wirral","68","80","92","84","73","67","64"
"Wokingham","75","85","82","81","73","73","65"
"Wolverhampton","69","77","75","73","66","66","68"
"Worcestershire","71","73","86","64","77","71","69"
"York","72","80","50","55","72","72","65"
