"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","67","%","5385","3625"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","60","%","826","493"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","69","%","4559","3132"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","80","%","5244","4179"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","77","%","840","647"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","80","%","4404","3532"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","72","%","35585","25470"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","65","%","7577","4952"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","73","%","28008","20518"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","65","%","17924","11661"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","59","%","3743","2202"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","67","%","14181","9459"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","78","%","17661","13809"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","72","%","3834","2750"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","80","%","13827","11059"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","74","%","24153","17766"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","68","%","4950","3373"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","75","%","19203","14393"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","67","%","12179","8216"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","62","%","2471","1529"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","69","%","9708","6687"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","80","%","11974","9550"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","74","%","2479","1844"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","81","%","9495","7706"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","66","%","6409","4222"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","58","%","1587","925"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","68","%","4822","3297"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","57","%","3182","1829"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","49","%","742","367"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","60","%","2440","1462"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","74","%","3227","2393"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","66","%","845","558"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","77","%","2382","1835"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","69","%","5023","3482"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","63","%","1040","654"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","71","%","3983","2828"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","63","%","2563","1616"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","58","%","530","306"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","64","%","2033","1310"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","76","%","2460","1866"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","68","%","510","348"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","78","%","1950","1518"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","83","%","3082","2559"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","71","%","210","150"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","84","%","2872","2409"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","79","%","1609","1276"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","65","%","121","79"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","80","%","1488","1197"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","87","%","1473","1283"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","80","%","89","71"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","88","%","1384","1212"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","81","%","20428","16622"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","68","%","787","538"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","82","%","19641","16084"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","77","%","10531","8060"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","61","%","416","255"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","77","%","10115","7805"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","87","%","9897","8562"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","76","%","371","283"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","87","%","9526","8279"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","72","%","41906","30092"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","59","%","8122","4753"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","75","%","33784","25339"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","66","%","21280","13943"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","50","%","4064","2046"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","69","%","17216","11897"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","78","%","20626","16149"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","67","%","4058","2707"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","81","%","16568","13442"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","73","%","15399","11249"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","61","%","2675","1624"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","76","%","12724","9625"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","67","%","7927","5348"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","54","%","1338","725"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","70","%","6589","4623"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","79","%","7472","5901"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","67","%","1337","899"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","82","%","6135","5002"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","77","%","9937","7641"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","61","%","1342","812"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","79","%","8595","6829"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","71","%","5056","3612"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","52","%","688","361"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","74","%","4368","3251"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","83","%","4881","4029"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","69","%","654","451"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","85","%","4227","3578"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","73","%","5866","4266"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","64","%","1106","703"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","75","%","4760","3563"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","67","%","2916","1940"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","56","%","532","299"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","69","%","2384","1641"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","79","%","2950","2326"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","70","%","574","404"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","81","%","2376","1922"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","65","%","10704","6936"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","54","%","2999","1614"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","69","%","7705","5322"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","57","%","5381","3043"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","44","%","1506","661"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","61","%","3875","2382"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","73","%","5323","3893"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","64","%","1493","953"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","77","%","3830","2940"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","65","%","12481","8076"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","56","%","2475","1396"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","67","%","10006","6680"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","59","%","6556","3889"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","50","%","1324","668"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","62","%","5232","3221"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","71","%","5925","4187"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","63","%","1151","728"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","72","%","4774","3459"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","68","%","27862","18973"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","62","%","3862","2385"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","69","%","24000","16588"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","61","%","14146","8625"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","55","%","1954","1065"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","62","%","12192","7560"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","75","%","13716","10348"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","69","%","1908","1320"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","76","%","11808","9028"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","53","%","7888","4157"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","53","%","811","431"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","53","%","7077","3726"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","47","%","4111","1944"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","44","%","424","185"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","48","%","3687","1759"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","59","%","3777","2213"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","64","%","387","246"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","58","%","3390","1967"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","69","%","493332","342193"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","49","%","64386","31794"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","72","%","428946","310399"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","63","%","253297","158842"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","41","%","33300","13799"
