"","White","","Unknown","","Other",""
"Chelsea and Westminster Hospital NHS Foundation Trust","17","89.5","0","0.0","2","10.5"
"Cheshire and Wirral Partnership NHS Foundation Trust","12","85.7","1","7.1","1","7.1"
"Chesterfield Royal Hospital NHS Foundation Trust","14","100.0","0","0.0","0","0.0"
"City Hospitals Sunderland NHS Foundation Trust","10","100.0","0","0.0","0","0.0"
"Colchester Hospital University NHS Foundation Trust","10","76.9","1","7.7","2","15.4"
"Cornwall Partnership NHS Foundation Trust","13","81.3","3","18.8","0","0.0"
"Countess Of Chester Hospital NHS Foundation Trust","12","92.3","1","7.7","0","0.0"
"County Durham and Darlington NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"Coventry and Warwickshire Partnership NHS Trust","11","78.6","0","0.0","3","21.4"
"Croydon Health Services NHS Trust","10","66.7","0","0.0","5","33.3"
"Cumbria Partnership NHS Foundation Trust","8","80.0","2","20.0","0","0.0"
"Dartford and Gravesham NHS Trust","11","84.6","1","7.7","1","7.7"
"Derby Teaching Hospitals NHS Foundation Trust","9","69.2","4","30.8","0","0.0"
"Derbyshire Community Health Services NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"Derbyshire Healthcare NHS Foundation Trust","11","91.7","0","0.0","1","8.3"
"Devon Partnership NHS Trust","14","100.0","0","0.0","0","0.0"
"Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","10","83.3","1","8.3","1","8.3"
"Dorset County Hospital NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"Dorset Healthcare University NHS Foundation Trust","12","85.7","1","7.1","1","7.1"
"Dudley and Walsall Mental Health Partnership NHS Trust","8","66.7","0","0.0","4","33.3"
"ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","11","64.7","4","23.5","2","11.8"
"East Cheshire NHS Trust","8","80.0","2","20.0","0","0.0"
"East Kent Hospitals University NHS Foundation Trust","11","78.6","1","7.1","2","14.3"
"East Lancashire Hospitals NHS Trust","18","94.7","0","0.0","1","5.3"
"East London NHS Foundation Trust","10","55.6","0","0.0","8","44.4"
"East Midlands Ambulance Service NHS Trust","12","92.3","0","0.0","1","7.7"
"East Of England Ambulance Service NHS Trust","10","66.7","4","26.7","1","6.7"
"East Sussex Healthcare NHS Trust","14","100.0","0","0.0","0","0.0"
"East and North Hertfordshire NHS Trust","12","100.0","0","0.0","0","0.0"
"Epsom and St Helier University Hospitals NHS Trust","13","81.3","0","0.0","3","18.8"
"Frimley Health NHS Foundation Trust","10","71.4","3","21.4","1","7.1"
"Gateshead Health NHS Foundation Trust","14","100.0","0","0.0","0","0.0"
"George Eliot Hospital NHS Trust","14","93.3","0","0.0","1","6.7"
"Gloucestershire Care Services NHS Trust","13","100.0","0","0.0","0","0.0"
"Gloucestershire Hospitals NHS Foundation Trust","16","100.0","0","0.0","0","0.0"
"Great Ormond Street Hospital For Children NHS Foundation Trust","11","84.6","0","0.0","2","15.4"
"Great Western Hospitals NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Greater Manchester Mental Health NHS Foundation Trust","12","85.7","0","0.0","2","14.3"
"Guy's and St Thomas' NHS Foundation Trust","11","78.6","0","0.0","3","21.4"
"Hampshire Hospitals NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"Harrogate and District NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Heart Of England NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"Hertfordshire Community NHS Trust","13","92.9","0","0.0","1","7.1"
"Hertfordshire Partnership University NHS Foundation Trust","13","81.3","1","6.3","2","12.5"
"Homerton University Hospital NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Hounslow and Richmond Community Healthcare NHS Trust","10","66.7","0","0.0","5","33.3"
"Hull and East Yorkshire Hospitals NHS Trust","16","100.0","0","0.0","0","0.0"
"Humber NHS Foundation Trust","14","100.0","0","0.0","0","0.0"
"Imperial College Healthcare NHS Trust","10","83.3","1","8.3","1","8.3"
"Ipswich Hospital NHS Trust","17","100.0","0","0.0","0","0.0"
"Isle Of Wight NHS Trust","13","100.0","0","0.0","0","0.0"
"James Paget University Hospitals NHS Foundation Trust","16","100.0","0","0.0","0","0.0"
"Kent Community Health NHS Foundation Trust","5","38.5","8","61.5","0","0.0"
"Kent and Medway NHS and Social Care Partnership Trust","4","80.0","0","0.0","1","20.0"
"Kettering General Hospital NHS Foundation Trust","13","86.7","0","0.0","2","13.3"
"King's College Hospital NHS Foundation Trust","15","100.0","0","0.0","0","0.0"
"Kingston Hospital NHS Foundation Trust","15","93.8","0","0.0","1","6.3"
"Lancashire Care NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Lancashire Teaching Hospitals NHS Foundation Trust","15","100.0","0","0.0","0","0.0"
"Leeds Community Healthcare NHS Trust","6","60.0","4","40.0","0","0.0"
"Leeds Teaching Hospitals NHS Trust","15","93.8","0","0.0","1","6.3"
"Leeds and York Partnership NHS Foundation Trust","12","92.3","0","0.0","1","7.7"
"Leicestershire Partnership NHS Trust","10","76.9","2","15.4","1","7.7"
"Lewisham and Greenwich NHS Trust","13","81.3","0","0.0","3","18.8"
"Lincolnshire Community Health Services NHS Trust","12","100.0","0","0.0","0","0.0"
"Lincolnshire Partnership NHS Foundation Trust","11","100.0","0","0.0","0","0.0"
"Liverpool Heart and Chest Hospital NHS Foundation Trust","12","85.7","1","7.1","1","7.1"
"Liverpool Women's NHS Foundation Trust","13","92.9","0","0.0","1","7.1"
"London Ambulance Service NHS Trust","13","92.9","0","0.0","1","7.1"
"London North West Healthcare NHS Trust","13","76.5","0","0.0","4","23.5"
"Luton and Dunstable University Hospital NHS Foundation Trust","16","94.1","0","0.0","1","5.9"
"Maidstone and Tunbridge Wells NHS Trust","12","92.3","0","0.0","1","7.7"
"Medway NHS Foundation Trust","18","100.0","0","0.0","0","0.0"
"Mersey Care NHS Foundation Trust","16","100.0","0","0.0","0","0.0"
"Mid Cheshire Hospitals NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Mid Essex Hospital Services NHS Trust","14","87.5","0","0.0","2","12.5"
"Mid Yorkshire Hospitals NHS Trust","15","88.2","1","5.9","1","5.9"
"Milton Keynes University Hospital NHS Foundation Trust","15","88.2","0","0.0","2","11.8"
"Moorfields Eye Hospital NHS Foundation Trust","12","92.3","0","0.0","1","7.7"
"Norfolk Community Health and Care NHS Trust","11","84.6","1","7.7","1","7.7"
"Norfolk and Norwich University Hospitals NHS Foundation Trust","15","100.0","0","0.0","0","0.0"
"Norfolk and Suffolk NHS Foundation Trust","14","82.4","3","17.6","0","0.0"
"North Bristol NHS Trust","15","100.0","0","0.0","0","0.0"
"North Cumbria University Hospitals NHS Trust","11","100.0","0","0.0","0","0.0"
"North East Ambulance Service NHS Foundation Trust","12","92.3","0","0.0","1","7.7"
"North East London NHS Foundation Trust","14","82.4","0","0.0","3","17.6"
"North Middlesex University Hospital NHS Trust","6","60.0","0","0.0","4","40.0"
"North Staffordshire Combined Healthcare NHS Trust","11","84.6","0","0.0","2","15.4"
"North Tees and Hartlepool NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"North West Ambulance Service NHS Trust","10","76.9","2","15.4","1","7.7"
"North West Anglia NHS Foundation Trust","13","92.9","0","0.0","1","7.1"
"North West Boroughs Healthcare NHS Foundation Trust","9","81.8","1","9.1","1","9.1"
"Northampton General Hospital NHS Trust","13","86.7","2","13.3","0","0.0"
"Northamptonshire Healthcare NHS Foundation Trust","12","92.3","0","0.0","1","7.7"
"Northern Devon Healthcare NHS Trust","7","58.3","5","41.7","0","0.0"
"Northern Lincolnshire and Goole NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"Northumberland, Tyne and Wear NHS Foundation Trust","13","86.7","1","6.7","1","6.7"
"Northumbria Healthcare NHS Foundation Trust","13","86.7","0","0.0","2","13.3"
"Nottingham University Hospitals NHS Trust","10","90.9","0","0.0","1","9.1"
"Nottinghamshire Healthcare NHS Foundation Trust","13","92.9","0","0.0","1","7.1"
"Oxford Health NHS Foundation Trust","16","94.1","0","0.0","1","5.9"
"Oxford University Hospitals NHS Foundation Trust","15","100.0","0","0.0","0","0.0"
"Oxleas NHS Foundation Trust","8","61.5","0","0.0","5","38.5"
"Papworth Hospital NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Pennine Acute Hospitals NHS Trust","8","100.0","0","0.0","0","0.0"
"Pennine Care NHS Foundation Trust","13","92.9","0","0.0","1","7.1"
"Plymouth Hospitals NHS Trust","8","100.0","0","0.0","0","0.0"
"Poole Hospital NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Portsmouth Hospitals NHS Trust","14","100.0","0","0.0","0","0.0"
"Queen Victoria Hospital NHS Foundation Trust","11","91.7","0","0.0","1","8.3"
"Rotherham Doncaster and South Humber NHS Foundation Trust","11","84.6","0","0.0","2","15.4"
"Royal Berkshire NHS Foundation Trust","6","54.5","5","45.5","0","0.0"
"Royal Brompton & Harefield NHS Foundation Trust","9","56.3","7","43.8","0","0.0"
"Royal Cornwall Hospitals NHS Trust","15","100.0","0","0.0","0","0.0"
"Royal Devon and Exeter NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Royal Free London NHS Foundation Trust","15","93.8","0","0.0","1","6.3"
"Royal Liverpool and Broadgreen University Hospitals NHS Trust","15","100.0","0","0.0","0","0.0"
"Royal National Orthopaedic Hospital NHS Trust","13","81.3","1","6.3","2","12.5"
"Royal Surrey County Hospital NHS Foundation Trust","13","92.9","0","0.0","1","7.1"
"Royal United Hospitals Bath NHS Foundation Trust","14","100.0","0","0.0","0","0.0"
"Salford Royal NHS Foundation Trust","15","93.8","0","0.0","1","6.3"
"Salisbury NHS Foundation Trust","14","93.3","1","6.7","0","0.0"
"Sandwell and West Birmingham Hospitals NHS Trust","11","78.6","0","0.0","3","21.4"
"Sheffield Children's NHS Foundation Trust","11","91.7","0","0.0","1","8.3"
"Sheffield Health & Social Care NHS Foundation Trust","12","92.3","0","0.0","1","7.7"
"Sheffield Teaching Hospitals NHS Foundation Trust","14","87.5","2","12.5","0","0.0"
"Sherwood Forest Hospitals NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"Shrewsbury and Telford Hospital NHS Trust","12","85.7","0","0.0","2","14.3"
"Shropshire Community Health NHS Trust","9","81.8","1","9.1","1","9.1"
"Solent NHS Trust","11","91.7","1","8.3","0","0.0"
"Somerset Partnership NHS Foundation Trust","16","100.0","0","0.0","0","0.0"
"South Central Ambulance Service NHS Foundation Trust","12","80.0","0","0.0","3","20.0"
"South East Coast Ambulance Service NHS Foundation Trust","17","100.0","0","0.0","0","0.0"
"South London and Maudsley NHS Foundation Trust","14","87.5","0","0.0","2","12.5"
"South Staffordshire and Shropshire Healthcare NHS Foundation Trust","8","88.9","0","0.0","1","11.1"
"South Tees Hospitals NHS Foundation Trust","12","80.0","2","13.3","1","6.7"
"South Tyneside NHS Foundation Trust","4","66.7","2","33.3","0","0.0"
"South Warwickshire NHS Foundation Trust","11","68.8","4","25.0","1","6.3"
"South West London and St George's Mental Health NHS Trust","9","75.0","0","0.0","3","25.0"
"South West Yorkshire Partnership NHS Foundation Trust","15","93.8","0","0.0","1","6.3"
"South Western Ambulance Service NHS Foundation Trust","14","87.5","0","0.0","2","12.5"
"Southend University Hospital NHS Foundation Trust","18","85.7","1","4.8","2","9.5"
"Southern Health NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Southport and Ormskirk Hospital NHS Trust","6","60.0","1","10.0","3","30.0"
"St George's University Hospitals NHS Foundation Trust","14","87.5","0","0.0","2","12.5"
"St Helens and Knowsley Hospital Services NHS Trust","14","87.5","0","0.0","2","12.5"
"Staffordshire and Stoke On Trent Partnership NHS Trust","14","100.0","0","0.0","0","0.0"
"Stockport NHS Foundation Trust","12","80.0","2","13.3","1","6.7"
"Surrey and Borders Partnership NHS Foundation Trust","10","76.9","0","0.0","3","23.1"
"Surrey and Sussex Healthcare NHS Trust","14","93.3","0","0.0","1","6.7"
"Sussex Community NHS Foundation Trust","10","90.9","1","9.1","0","0.0"
"Sussex Partnership NHS Foundation Trust","10","100.0","0","0.0","0","0.0"
"Tameside and Glossop Integrated Care NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"Taunton and Somerset NHS Foundation Trust","18","100.0","0","0.0","0","0.0"
"Tavistock and Portman NHS Foundation Trust","13","86.7","0","0.0","2","13.3"
"Tees, Esk and Wear Valleys NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"The Christie NHS Foundation Trust","13","92.9","0","0.0","1","7.1"
"The Clatterbridge Cancer Centre NHS Foundation Trust","10","83.3","0","0.0","2","16.7"
"The Dudley Group NHS Foundation Trust","8","88.9","1","11.1","0","0.0"
"The Hillingdon Hospitals NHS Foundation Trust","11","78.6","0","0.0","3","21.4"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust","10","90.9","1","9.1","0","0.0"
"The Princess Alexandra Hospital NHS Trust","16","94.1","0","0.0","1","5.9"
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","10","83.3","2","16.7","0","0.0"
"The Rotherham NHS Foundation Trust","10","71.4","4","28.6","0","0.0"
"The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","14","100.0","0","0.0","0","0.0"
"The Royal Marsden NHS Foundation Trust","11","100.0","0","0.0","0","0.0"
"The Royal Orthopaedic Hospital NHS Foundation Trust","13","92.9","1","7.1","0","0.0"
"The Royal Wolverhampton NHS Trust","14","82.4","0","0.0","3","17.6"
"The Walton Centre NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"The Whittington Hospital NHS Trust","12","80.0","0","0.0","3","20.0"
"Torbay and South Devon NHS Foundation Trust","16","100.0","0","0.0","0","0.0"
"United Lincolnshire Hospitals NHS Trust","17","94.4","0","0.0","1","5.6"
"University College London Hospitals NHS Foundation Trust","16","94.1","0","0.0","1","5.9"
"University Hospital Southampton NHS Foundation Trust","11","84.6","0","0.0","2","15.4"
"University Hospitals Birmingham NHS Foundation Trust","16","88.9","0","0.0","2","11.1"
"University Hospitals Bristol NHS Foundation Trust","15","93.8","1","6.3","0","0.0"
"University Hospitals Coventry and Warwickshire NHS Trust","7","53.8","5","38.5","1","7.7"
"University Hospitals Of Leicester NHS Trust","16","88.9","0","0.0","2","11.1"
"University Hospitals Of Morecambe Bay NHS Foundation Trust","12","85.7","0","0.0","2","14.3"
"University Hospitals Of North Midlands NHS Trust","16","100.0","0","0.0","0","0.0"
"Walsall Healthcare NHS Trust","9","69.2","0","0.0","4","30.8"
"Warrington and Halton Hospitals NHS Foundation Trust","16","100.0","0","0.0","0","0.0"
"West Hertfordshire Hospitals NHS Trust","17","94.4","0","0.0","1","5.6"
"West London Mental Health NHS Trust","14","93.3","0","0.0","1","6.7"
"West Midlands Ambulance Service NHS Foundation Trust","12","92.3","0","0.0","1","7.7"
"West Suffolk NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Western Sussex Hospitals NHS Foundation Trust","10","66.7","4","26.7","1","6.7"
"Weston Area Health NHS Trust","9","69.2","4","30.8","0","0.0"
"Wirral Community NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Wirral University Teaching Hospital NHS Foundation Trust","18","100.0","0","0.0","0","0.0"
"Worcestershire Acute Hospitals NHS Trust","15","93.8","0","0.0","1","6.3"
"Worcestershire Health and Care NHS Trust","15","100.0","0","0.0","0","0.0"
"Wrightington, Wigan and Leigh NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"Wye Valley NHS Trust","15","100.0","0","0.0","0","0.0"
"Yeovil District Hospital NHS Foundation Trust","11","91.7","0","0.0","1","8.3"
"York Teaching Hospital NHS Foundation Trust","14","100.0","0","0.0","0","0.0"
"Yorkshire Ambulance Service NHS Trust","15","93.8","0","0.0","1","6.3"
