"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Nottinghamshire","0.00","0","0.06","1","0.00","0","0.09","5","0.03","35","0.14","1"
"Oldham","0.08","11","0.06","1","0.00","0","0.33","7","0.14","35","0.00","0"
"Oxfordshire","0.02","1","0.20","5","0.00","0","0.19","12","0.06","44","0.07","1"
"Peterborough","0.11","7","0.07","1","0.00","0","0.24","6","0.22","57","0.40","2"
"Plymouth","0.24","1","0.00","0","0.00","0","0.17","2","0.14","49","0.00","0"
"Poole","0.00","0","0.00","0","0.00","0","0.00","0","0.17","30","0.00","0"
"Portsmouth","0.00","0","0.00","0","0.00","0","0.00","0","0.08","16","0.00","0"
"Reading","0.08","4","0.15","3","0.00","0","0.08","2","0.06","7","0.00","0"
"Redbridge","0.07","22","0.22","13","0.00","0","0.05","2","0.10","13","0.00","0"
"Redcar and Cleveland","0.00","0","0.00","0","0.00","0","0.86","4","0.30","63","0.00","0"
"Richmond upon Thames","0.09","2","0.12","1","0.00","0","0.16","5","0.03","7","0.00","0"
"Rochdale","0.06","5","0.06","1","0.00","0","0.61","11","0.28","65","0.00","0"
"Rotherham","0.03","1","0.00","0","0.00","0","0.00","0","0.10","37","0.00","0"
"Rutland","0.00","0","0.00","0","0.00","0","0.00","0","0.06","3","0.00","0"
"Salford","0.00","0","0.05","1","0.00","0","0.07","2","0.19","54","0.17","2"
"Sandwell","0.01","1","0.14","8","0.00","0","0.12","6","0.07","19","0.06","1"
"Sefton","0.00","0","0.00","0","0.00","0","0.09","1","0.07","25","0.00","0"
"Sheffield","0.03","3","0.08","4","0.00","0","0.35","22","0.15","86","0.18","5"
"Shropshire","0.00","0","0.00","0","0.00","0","0.00","0","0.17","61","0.00","0"
"Slough","0.03","4","0.00","0","0.00","0","0.17","5","0.07","6","0.16","2"
"Solihull","0.12","6","0.34","3","0.00","0","0.19","6","0.13","38","0.32","1"
"Somerset","0.00","0","0.40","1","0.85","1","0.16","3","0.14","91","0.79","2"
"South Gloucestershire","0.07","1","0.40","3","0.00","0","0.10","2","0.15","53","0.00","0"
"South Tyneside","0.24","2","0.00","0","0.00","0","0.00","0","0.18","37","0.00","0"
"Southampton","0.00","0","0.00","0","0.00","0","0.23","5","0.06","14","0.00","0"
"Southend-on-Sea","0.04","1","0.00","0","0.00","0","0.05","1","0.02","4","0.00","0"
"Southwark","0.00","0","0.10","18","0.00","0","0.08","4","0.09","12","0.03","1"
"St. Helens","0.00","0","0.00","0","0.00","0","0.00","0","0.04","10","0.00","0"
"Staffordshire","0.10","5","0.00","0","0.00","0","0.28","12","0.14","150","0.00","0"
"Stockport","0.07","2","0.18","1","0.00","0","0.26","6","0.13","45","0.00","0"
"Stockton-on-Tees","0.06","1","0.00","0","0.00","0","0.11","1","0.18","52","0.62","1"
"Stoke-on-Trent","0.06","4","0.07","1","0.00","0","0.14","3","0.15","44","0.13","1"
"Suffolk","0.00","0","0.10","1","0.00","0","0.16","9","0.10","91","0.22","2"
"Sunderland","0.00","0","0.00","0","0.00","0","0.14","1","0.24","89","0.00","0"
"Surrey","0.01","1","0.00","0","0.00","0","0.03","3","0.04","52","0.06","1"
"Sutton","0.01","1","0.13","4","0.00","0","0.03","1","0.09","20","0.13","1"
"Swindon","0.10","4","0.09","1","0.00","0","0.15","3","0.12","32","0.27","1"
"Tameside","0.05","2","0.11","1","0.00","0","0.16","3","0.20","58","0.00","0"
"Telford and Wrekin","0.00","0","0.00","0","0.00","0","0.20","3","0.09","22","0.00","0"
"Thurrock","0.00","0","0.17","7","0.00","0","0.06","1","0.12","25","0.00","0"
"Torbay","0.00","0","0.00","0","0.00","0","0.16","1","0.18","34","0.00","0"
"Tower Hamlets","0.02","5","0.00","0","0.00","0","0.00","0","0.02","1","0.00","0"
"Trafford","0.03","2","0.26","4","0.00","0","0.21","7","0.15","43","0.00","0"
"Wakefield","0.05","1","0.26","2","0.56","1","0.18","3","0.17","79","0.00","0"
"Walsall","0.13","15","0.22","6","0.00","0","0.18","6","0.14","43","0.15","1"
"Waltham Forest","0.03","3","0.15","12","0.00","0","0.12","6","0.05","8","0.12","2"
"Wandsworth","0.03","2","0.11","8","0.00","0","0.11","5","0.00","0","0.00","0"
"Warrington","0.00","0","0.00","0","0.00","0","0.27","3","0.04","11","0.00","0"
"Warwickshire","0.04","2","0.09","1","0.00","0","0.22","9","0.08","54","0.00","0"
"West Berkshire","0.00","0","0.24","1","0.00","0","0.00","0","0.10","23","0.00","0"
"West Sussex","0.03","2","0.23","4","0.00","0","0.20","11","0.12","116","0.15","1"
"Westminster","0.00","0","0.35","15","0.00","0","0.04","1","0.10","6","0.05","3"
"Wigan","0.16","1","0.00","0","0.00","0","0.26","3","0.12","52","0.58","3"
"Wiltshire","0.00","0","0.10","1","0.00","0","0.00","0","0.03","21","0.00","0"
"Windsor and Maidenhead","0.09","3","0.00","0","0.00","0","0.27","5","0.13","20","0.00","0"
"Wirral","0.00","0","1.03","2","0.00","0","0.42","6","0.08","37","0.00","0"
"Wokingham","0.00","0","0.12","1","0.00","0","0.10","2","0.11","21","0.00","0"
"Wolverhampton","0.05","5","0.28","14","0.00","0","0.53","28","0.22","51","0.31","2"
"Worcestershire","0.00","0","0.22","1","0.00","0","0.27","8","0.10","71","0.00","0"
"York","0.00","0","0.00","0","0.00","0","0.13","1","0.08","18","0.00","0"
