"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Reason","Value","Numerator","Denominator"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Other","23.7","675","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Persistent disruptive behaviour","11.6","330","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Physical assault against a pupil","29.7","845","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Physical assault against an adult","3.9","110","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Racist abuse","2.3","65","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Sexual Misconduct","0.7","20","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Theft","1.7","49","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.9","168","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","11.3","323","2847"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Bullying","1.7","1","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Damage","0","0","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Drug and alcohol related","15.5","9","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Other","25.9","15","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Persistent disruptive behaviour","8.6","5","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Physical assault against a pupil","22.4","13","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Physical assault against an adult","6.9","4","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Racist abuse","0","0","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Sexual Misconduct","5.2","3","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Theft","0","0","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","10.3","6","58"
"Permanent exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","3.4","2","58"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Bullying","1.5","384","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Damage","1.6","415","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Drug and alcohol related","1.9","500","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Other","20.7","5331","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Persistent disruptive behaviour","19","4899","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Physical assault against a pupil","26.6","6868","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Physical assault against an adult","7.7","1990","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Racist abuse","0.9","223","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Sexual Misconduct","1.2","299","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Theft","2.4","624","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","5.7","1470","25800"
"Fixed period exclusions","201819","Academic Year","Black","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","10.8","2797","25800"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Bullying","0.2","1","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Damage","0.4","2","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Drug and alcohol related","9.5","50","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Other","24.4","129","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Persistent disruptive behaviour","24.2","128","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Physical assault against a pupil","19.3","102","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Physical assault against an adult","9.1","48","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Racist abuse","0","0","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Sexual Misconduct","2.5","13","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Theft","1.1","6","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","4.9","26","529"
"Permanent exclusions","201819","Academic Year","Black","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","4.5","24","529"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Bullying","1.6","211","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Damage","1.6","205","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Drug and alcohol related","1.8","232","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Other","21.5","2792","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Persistent disruptive behaviour","17.3","2255","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Physical assault against a pupil","27.7","3605","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Physical assault against an adult","7.9","1025","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Racist abuse","1.1","147","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Sexual Misconduct","1.2","153","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Theft","2.9","378","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.7","737","13015"
"Fixed period exclusions","201819","Academic Year","Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","9.8","1275","13015"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Bullying","0.4","1","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Damage","0","0","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Drug and alcohol related","10","23","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Other","26.2","60","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Persistent disruptive behaviour","22.7","52","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Physical assault against a pupil","19.7","45","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Physical assault against an adult","8.7","20","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Racist abuse","0","0","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Sexual Misconduct","3.5","8","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Theft","0.9","2","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","3.9","9","229"
"Permanent exclusions","201819","Academic Year","Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","3.9","9","229"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Bullying","1.4","125","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Damage","1.6","146","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Drug and alcohol related","2.2","196","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Other","19.5","1778","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Persistent disruptive behaviour","21.4","1949","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Physical assault against a pupil","25.4","2319","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Physical assault against an adult","7.5","685","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Racist abuse","0.5","47","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Sexual Misconduct","1.1","103","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Theft","1.7","155","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.7","518","9112"
"Fixed period exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","12","1091","9112"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Bullying","0","0","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Damage","0.5","1","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Drug and alcohol related","8.6","19","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Other","22.7","50","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Persistent disruptive behaviour","24.5","54","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Physical assault against a pupil","20.5","45","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Physical assault against an adult","8.6","19","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Racist abuse","0","0","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Sexual Misconduct","1.8","4","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Theft","1.8","4","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.5","12","220"
"Permanent exclusions","201819","Academic Year","Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","5.5","12","220"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Bullying","1.3","48","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Damage","1.7","64","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Drug and alcohol related","2","72","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Other","20.7","761","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Persistent disruptive behaviour","18.9","695","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Physical assault against a pupil","25.7","944","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Physical assault against an adult","7.6","280","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Racist abuse","0.8","29","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Sexual Misconduct","1.2","43","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Theft","2.5","91","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.9","215","3673"
"Fixed period exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","11.7","431","3673"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Bullying","0","0","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Damage","1.3","1","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Drug and alcohol related","10","8","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Other","23.8","19","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Persistent disruptive behaviour","27.5","22","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Physical assault against a pupil","15","12","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Physical assault against an adult","11.3","9","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Racist abuse","0","0","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Sexual Misconduct","1.3","1","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Theft","0","0","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","6.3","5","80"
"Permanent exclusions","201819","Academic Year","Black Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","3.8","3","80"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Bullying","2","4","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Damage","2","4","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Drug and alcohol related","5.9","12","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Other","26.8","55","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Persistent disruptive behaviour","11.2","23","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Physical assault against a pupil","24.4","50","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Physical assault against an adult","7.3","15","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Racist abuse","4.4","9","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Sexual Misconduct","1","2","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Theft","1.5","3","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","4.4","9","205"
"Fixed period exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","9.3","19","205"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Bullying","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Damage","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Drug and alcohol related","33.3","1","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Other","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Persistent disruptive behaviour","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Physical assault against a pupil","33.3","1","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Physical assault against an adult","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Racist abuse","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Sexual Misconduct","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Theft","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","0","0","3"
"Permanent exclusions","201819","Academic Year","Chinese","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","33.3","1","3"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Bullying","0.4","22","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Damage","1.7","99","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Drug and alcohol related","1","57","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Other","18.2","1056","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Persistent disruptive behaviour","35","2035","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Physical assault against a pupil","18.1","1054","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Physical assault against an adult","4.8","281","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Racist abuse","1.2","71","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Sexual Misconduct","0.4","23","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Theft","0.8","47","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.6","265","5813"
"Fixed period exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","13.8","803","5813"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Bullying","0","0","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Damage","0.9","1","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Drug and alcohol related","1.9","2","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Other","24.3","26","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Persistent disruptive behaviour","27.1","29","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Physical assault against a pupil","15.9","17","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Physical assault against an adult","14","15","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Racist abuse","0.9","1","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Sexual Misconduct","2.8","3","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Theft","0","0","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","2.8","3","107"
"Permanent exclusions","201819","Academic Year","Gypsy/Roma","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","9.3","10","107"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Bullying","2.3","52","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Damage","2.4","54","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Drug and alcohol related","6.3","142","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Other","25.8","583","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Persistent disruptive behaviour","10.3","233","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Physical assault against a pupil","28.1","635","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Physical assault against an adult","4.2","96","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Racist abuse","1.8","41","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Sexual Misconduct","1.4","31","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Theft","2.8","64","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.9","111","2263"
"Fixed period exclusions","201819","Academic Year","Indian","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","9.8","221","2263"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Bullying","0","0","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Damage","0","0","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Drug and alcohol related","26.3","10","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Other","34.2","13","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Persistent disruptive behaviour","7.9","3","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Physical assault against a pupil","13.2","5","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Physical assault against an adult","2.6","1","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Racist abuse","0","0","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Sexual Misconduct","5.3","2","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Theft","0","0","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.3","2","38"
"Permanent exclusions","201819","Academic Year","Indian","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","5.3","2","38"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Bullying","0.4","4","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Damage","1.9","18","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Drug and alcohol related","1.5","14","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Other","17.9","166","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Persistent disruptive behaviour","31.9","295","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Physical assault against a pupil","19.5","180","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Physical assault against an adult","9.2","85","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Racist abuse","1.5","14","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Sexual Misconduct","0.1","1","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Theft","0.3","3","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4","37","925"
"Fixed period exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","11.7","108","925"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Bullying","0","0","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Damage","5.9","1","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Drug and alcohol related","5.9","1","17"
