"Ethnicity","Geography","% of firefighters","Number of firefighters"
"White","Staffordshire","96.9","667"
"White","Suffolk","97.7","421"
"White","Surrey","97.9","550"
"White","Tyne and Wear","97.7","561"
"White","Warwickshire","96.8","307"
"White","West Midlands","89.7","1,238"
"White","West Sussex","99.4","505"
"White","West Yorkshire","95.9","1,041"
"Other inc Chinese","Avon","0.6","4"
"Other inc Chinese","Bedfordshire","0.0","0"
"Other inc Chinese","Berkshire","0.2","1"
"Other inc Chinese","Buckinghamshire","0.0","0"
"Other inc Chinese","Cambridgeshire","0.0","0"
"Other inc Chinese","Cheshire","0.5","3"
"Other inc Chinese","Cleveland","0.2","1"
"Other inc Chinese","Cornwall","0.2","1"
"Other inc Chinese","Cumbria","0.2","1"
"Other inc Chinese","Derbyshire","0.2","1"
"Other inc Chinese","Devon and Somerset","0.2","3"
"Other inc Chinese","Dorset and Wiltshire","0.5","4"
"Other inc Chinese","Durham","0.0","0"
"Other inc Chinese","East Sussex","0.2","1"
"Other inc Chinese","England","0.5","145"
"Other inc Chinese","Essex","0.2","1"
"Other inc Chinese","Gloucestershire","0.3","1"
"Other inc Chinese","Greater London","1.4","66"
"Other inc Chinese","Greater Manchester","0.2","2"
"Other inc Chinese","Hampshire","0.2","2"
"Other inc Chinese","Hereford and Worcester","0.2","1"
"Other inc Chinese","Hertfordshire","0.6","4"
"Other inc Chinese","Humberside","0.0","0"
"Other inc Chinese","Isle Of Wight","0.0","0"
"Other inc Chinese","Isles of Scilly","0.0","0"
"Other inc Chinese","Kent","0.7","5"
"Other inc Chinese","Lancashire","0.5","5"
"Other inc Chinese","Leicestershire","0.0","0"
"Other inc Chinese","Lincolnshire","0.0","0"
"Other inc Chinese","Merseyside","1.4","11"
"Other inc Chinese","Norfolk","0.2","1"
"Other inc Chinese","North Yorkshire","0.3","2"
"Other inc Chinese","Northamptonshire","0.0","0"
"Other inc Chinese","Northumberland","0.0","0"
"Other inc Chinese","Nottinghamshire","0.0","0"
"Other inc Chinese","Oxfordshire","0.4","2"
"Other inc Chinese","Shropshire","0.0","0"
"Other inc Chinese","South Yorkshire","0.5","3"
"Other inc Chinese","Staffordshire","0.0","0"
"Other inc Chinese","Suffolk","0.7","3"
"Other inc Chinese","Surrey","0.0","0"
"Other inc Chinese","Tyne and Wear","0.5","3"
"Other inc Chinese","Warwickshire","0.0","0"
"Other inc Chinese","West Midlands","0.6","8"
"Other inc Chinese","West Sussex","0.2","1"
"Other inc Chinese","West Yorkshire","0.4","4"
"Unknown","Avon","N/A","64"
"Unknown","Bedfordshire","N/A","17"
"Unknown","Berkshire","N/A","1"
"Unknown","Buckinghamshire","N/A","34"
"Unknown","Cambridgeshire","N/A","14"
"Unknown","Cheshire","N/A","14"
"Unknown","Cleveland","N/A","0"
"Unknown","Cornwall","N/A","130"
"Unknown","Cumbria","N/A","137"
"Unknown","Derbyshire","N/A","27"
"Unknown","Devon and Somerset","N/A","104"
"Unknown","Dorset and Wiltshire","N/A","128"
"Unknown","Durham","N/A","47"
"Unknown","East Sussex","N/A","31"
"Unknown","England","N/A","3,370"
"Unknown","Essex","N/A","593"
"Unknown","Gloucestershire","N/A","84"
"Unknown","Greater London","N/A","62"
"Unknown","Greater Manchester","N/A","160"
"Unknown","Hampshire","N/A","152"
"Unknown","Hereford and Worcester","N/A","17"
"Unknown","Hertfordshire","N/A","28"
"Unknown","Humberside","N/A","52"
"Unknown","Isle Of Wight","N/A","21"
"Unknown","Isles of Scilly","N/A","0"
"Unknown","Kent","N/A","383"
"Unknown","Lancashire","N/A","27"
"Unknown","Leicestershire","N/A","37"
"Unknown","Lincolnshire","N/A","18"
"Unknown","Merseyside","N/A","11"
"Unknown","Norfolk","N/A","100"
"Unknown","North Yorkshire","N/A","80"
"Unknown","Northamptonshire","N/A","146"
"Unknown","Northumberland","N/A","12"
"Unknown","Nottinghamshire","N/A","37"
"Unknown","Oxfordshire","N/A","55"
"Unknown","Shropshire","N/A","121"
"Unknown","South Yorkshire","N/A","1"
"Unknown","Staffordshire","N/A","2"
"Unknown","Suffolk","N/A","160"
"Unknown","Surrey","N/A","32"
"Unknown","Tyne and Wear","N/A","27"
"Unknown","Warwickshire","N/A","78"
"Unknown","West Midlands","N/A","25"
"Unknown","West Sussex","N/A","94"
"Unknown","West Yorkshire","N/A","7"
