"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","value_type","gender","fsm","denominator","numerator"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","All","All","2844","2498"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","87","%","All","FSM","199","173"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","All","Non-FSM","2645","2325"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","Boys","All","1418","1194"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","Boys","FSM","100","80"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","85","%","Boys","Non-FSM","1318","1114"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","91","%","Girls","All","1426","1304"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","94","%","Girls","FSM","99","93"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","91","%","Girls","Non-FSM","1327","1211"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","All","All","38337","30511"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","67","%","All","FSM","9106","6112"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","All","Non-FSM","29231","24399"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","Boys","All","19322","14143"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","58","%","Boys","FSM","4626","2676"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","Boys","Non-FSM","14696","11467"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","86","%","Girls","All","19015","16368"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","Girls","FSM","4480","3436"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","89","%","Girls","Non-FSM","14535","12932"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","All","All","8854","7467"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","All","FSM","1552","1069"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","All","Non-FSM","7302","6398"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","Boys","All","4484","3548"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","60","%","Boys","FSM","843","506"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","Boys","Non-FSM","3641","3042"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","90","%","Girls","All","4370","3919"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","Girls","FSM","709","563"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","92","%","Girls","Non-FSM","3661","3356"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","All","5449","4330"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","All","FSM","1350","931"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","All","Non-FSM","4099","3399"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","Boys","All","2643","1925"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","59","%","Boys","FSM","654","389"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","Boys","Non-FSM","1989","1536"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","86","%","Girls","All","2806","2405"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","Girls","FSM","696","542"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","Girls","Non-FSM","2110","1863"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","All","All","10142","7493"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","All","FSM","3269","2095"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","Non-FSM","6873","5398"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","Boys","All","5163","3408"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","54","%","Boys","FSM","1673","909"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","Non-FSM","3490","2499"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","82","%","Girls","All","4979","4085"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","Girls","FSM","1596","1186"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","86","%","Girls","Non-FSM","3383","2899"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","All","All","13892","11221"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","All","FSM","2935","2017"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","All","Non-FSM","10957","9204"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","Boys","All","7032","5262"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","60","%","Boys","FSM","1456","872"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","Boys","Non-FSM","5576","4390"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","87","%","Girls","All","6860","5959"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","Girls","FSM","1479","1145"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","89","%","Girls","Non-FSM","5381","4814"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","All","All","474164","370379"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","60","%","All","FSM","74470","44985"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","All","Non-FSM","399694","325394"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","All","242395","174532"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","52","%","Boys","FSM","38074","19747"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","Boys","Non-FSM","204321","154785"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","85","%","Girls","All","231769","195847"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","Girls","FSM","36396","25238"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","87","%","Girls","Non-FSM","195373","170609"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","All","426180","335216"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","61","%","All","FSM","69105","41929"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","82","%","All","Non-FSM","357075","293287"
"Percentage of pupils reaching the key stage 2 expected standard in writing","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","Boys","All","217769","157938"
