"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Stoke-on-Trent","74","2,477","77","385","82","106","92","11","81","129","73","1,803","75","42"
"Suffolk","77","6,103","86","126","81","70","75","3","79","366","76","5,398","78","58"
"Sunderland","81","2,646","89","117","93","26","69","9","87","48","81","2,439","33","1"
"Surrey","81","9,984","84","732","79","181","91","64","81","638","80","8,165","80","105"
"Sutton","83","2,001","90","383","85","142","93","38","83","197","81","1,188","85","29"
"Swindon","79","2,296","81","279","76","69","87","13","78","140","79","1,756","83","19"
"Tameside","78","2,321","79","245","86","72","100","13","78","110","78","1,850","71","17"
"Telford and Wrekin","79","1,806","85","126","83","72","92","12","85","100","78","1,482","80","4"
"Thurrock","83","2,004","92","124","88","350","100","16","90","129","80","1,343","81","21"
"Torbay","77","1,120","92","23","100","1","75","3","71","30","77","1,049","64","7"
"Tower Hamlets","83","2,762","85","1,853","79","266","91","10","80","171","78","356","86","94"
"Trafford","86","2,580","91","403","82","112","94","58","85","197","85","1,715","85","69"
"Wakefield","78","3,166","75","124","80","45","86","19","80","99","79","2,856","73","19"
"Walsall","77","2,914","84","787","75","146","79","11","73","172","75","1,756","55","28"
"Waltham Forest","82","2,735","85","740","81","517","90","26","84","334","81","998","81","105"
"Wandsworth","83","1,989","86","380","78","431","100","10","80","239","86","838","78","69"
"Warrington","84","2,187","91","80","83","19","100","6","93","71","84","1,989","60","12"
"Warwickshire","80","5,100","90","342","84","66","95","21","82","258","79","4,347","90","27"
"West Berkshire","78","1,529","83","45","70","16","100","6","75","78","79","1,364","80","8"
"West Sussex","76","7,007","81","350","71","90","82","18","78","358","76","6,087","75","39"
"Westminster","82","1,171","86","164","79","202","92","11","84","125","84","314","80","345"
"Wigan","80","3,051","79","34","72","41","83","5","83","81","80","2,860","68","26"
"Wiltshire","77","4,149","92","61","72","64","100","16","85","159","77","3,781","75","36"
"Windsor and Maidenhead","76","1,216","74","188","59","13","100","6","77","106","78","872","71","15"
"Wirral","75","2,822","84","76","72","13","85","17","78","76","75","2,621","56","5"
"Wokingham","85","1,811","90","276","94","58","100","14","85","142","83","1,287","89","16"
"Wolverhampton","79","2,662","83","649","83","326","88","7","76","299","78","1,331","77","36"
"Worcestershire","76","4,685","83","208","86","25","90","9","75","181","76","4,205","75","18"
"York","81","1,598","85","35","86","6","100","4","72","44","81","1,488","91","10"
