"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Value","Denominator"," Numerator ","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","91.1","279,700","254,780","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4.2","457,200","19,270","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.2","457,200","14,610","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.8","457,200","8,290","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1","457,200","4,550","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.8","457,200","3,440","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","89","457,200","407,050","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4","520,600","20,720","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.3","520,600","17,350","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","520,600","9,850","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.8","520,600","4,270","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.7","520,600","3,430","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","89.3","520,600","464,960","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.9","510,200","19,690","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.3","510,200","16,590","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2","510,200","10,110","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1","510,200","5,010","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.7","510,200","3,380","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","89.3","510,200","455,440","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4.2","440,400","18,600","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.1","440,400","13,650","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","440,400","9,470","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.9","440,400","4,110","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.7","440,400","3,110","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","88.9","440,400","391,480","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4.3","499,900","21,510","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.5","499,900","17,250","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","499,900","10,930","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.9","499,900","4,380","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.7","499,900","3,500","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","88.5","499,900","442,340","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4.2","509,400","21,380","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.4","509,400","17,500","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","509,400","11,100","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.4","509,400","7,060","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.7","509,400","3,500","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","88.1","509,400","448,830","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4.4","494,900","22,000","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.7","494,900","18,100","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","494,900","11,000","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.1","494,900","5,400","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.8","494,900","4,200","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","87.7","494,900","434,200","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4.6","375,800","17,430","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.3","375,800","12,340","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.5","375,800","9,390","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.5","375,800","5,820","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.8","375,800","3,070","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","87.2","375,800","327,720","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
