"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_Type","Geography_code","Age","Value","Value_type","Denominator"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black Other","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","5.1","%","1147"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White Other","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","21.4","%","9807"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black African","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","5.4","%","7496"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black African","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","5.8","%","7767"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White","ONS 2011 5+1","201920","Academic Year","England","Country","E92000001","16-18","20.4","%","127810"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black Caribbean","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","3.3","%","1928"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black Caribbean","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","3.2","%","1911"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed","ONS 2011 5+1","201920","Academic Year","England","Country","E92000001","16-18","20.2","%","9415"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Chinese","ONS 2011 5+1","201718","Academic Year","England","Country","E92000001","16-18","21.9","%","1487"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Chinese","ONS 2011 5+1","201819","Academic Year","England","Country","E92000001","16-18","25.1","%","1506"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White British","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","20.2","%","117160"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed","ONS 2011 5+1","201718","Academic Year","England","Country","E92000001","16-18","11","%","9075"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed","ONS 2011 5+1","201819","Academic Year","England","Country","E92000001","16-18","10.7","%","9245"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Asian Other","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","20","%","4859"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed Other","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","12","%","3476"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed Other","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","11.2","%","3686"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed Other","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","19.9","%","3877"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Asian","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","13.6","%","2574"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Asian","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","14.8","%","2577"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Asian","ONS 2011 5+1","201920","Academic Year","England","Country","E92000001","16-18","18.5","%","26026"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Black African","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","8.6","%","1058"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Black African","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","8.1","%","1105"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Other","ONS 2011 5+1","201920","Academic Year","England","Country","E92000001","16-18","18.3","%","3602"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Black Caribbean","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","7.2","%","1967"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Black Caribbean","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","5.7","%","1877"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Black African","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","15.6","%","1082"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Other","ONS 2011 5+1","201718","Academic Year","England","Country","E92000001","16-18","9.9","%","3603"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Other","ONS 2011 5+1","201819","Academic Year","England","Country","E92000001","16-18","9.7","%","3639"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Bangladeshi","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","14.7","%","4300"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Unknown","ONS 2011 5+1","201718","Academic Year","England","Country","E92000001","16-18","22.9","%","39213"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Unknown","ONS 2011 5+1","201819","Academic Year","England","Country","E92000001","16-18","22.6","%","37803"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Black Caribbean","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","14.4","%","1733"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White","ONS 2011 5+1","201718","Academic Year","England","Country","E92000001","16-18","10.6","%","146390"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White","ONS 2011 5+1","201819","Academic Year","England","Country","E92000001","16-18","10.4","%","137439"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Gypsy/Roma","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","14.3","%","28"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White Other","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","11.1","%","9478"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White Other","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","10.8","%","9934"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black African","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","12.7","%","7671"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Gypsy/Roma","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","3.6","%","28"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Gypsy/Roma","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","0","%","32"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Pakistani","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","12.4","%","8459"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Irish Traveller","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","28.6","%","7"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Irish Traveller","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","0","%","9"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black","ONS 2011 5+1","201920","Academic Year","England","Country","E92000001","16-18","12","%","10443"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White British","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","10.5","%","135943"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White British","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","10.4","%","126622"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black Other","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","11.2","%","1168"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White Irish","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","13.9","%","934"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White Irish","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","12.9","%","842"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black Caribbean","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","9.1","%","1604"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Irish Traveller","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","0","%","6"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","All","All","201718","Academic Year","England","Country","E92000001","16-18","12.5","%","234792"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","All","All","201819","Academic Year","England","Country","E92000001","16-18","12.3","%","226301"
