"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Key stage 2 progress in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","1.2","Numeric","7252.31","6019","1.1","1.3"
"Key stage 2 progress in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.1","Numeric","-470.78","5707","-0.2","0.1"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.7","Numeric","5585.8","7792","0.6","0.8"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","1.4","Numeric","5633.28","3925","1.3","1.6"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0","Numeric","-47.48","3867","-0.2","0.2"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.1","Numeric","-632.26","4458","-0.3","0"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.4","Numeric","1021.34","2297","0.2","0.7"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.8","Numeric","-1653.6","2161","-1","-0.5"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-1.3","Numeric","-12443.94","9240","-1.5","-1.2"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.8","Numeric","-3794.02","4587","-1","-0.7"
"Key stage 2 progress in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-1.9","Numeric","-8649.92","4653","-2","-1.7"
"Key stage 2 progress in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","2.3","Numeric","21530.61","9263","2.2","2.4"
"Key stage 2 progress in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","3.2","Numeric","15021.47","4768","3","3.3"
"Key stage 2 progress in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.4","Numeric","6509.14","4495","1.3","1.6"
"Key stage 2 progress in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","1.1","Numeric","27236.41","25449","1","1.1"
"Key stage 2 progress in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","1.8","Numeric","23742.28","12949","1.7","1.9"
"Key stage 2 progress in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.3","Numeric","3494.13","12500","0.2","0.4"
"Key stage 2 progress in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.2","Numeric","-798.96","3952","-0.4","0"
"Key stage 2 progress in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.4","Numeric","842.5","1993","0.2","0.7"
"Key stage 2 progress in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.8","Numeric","-1641.46","1959","-1.1","-0.6"
"Key stage 2 progress in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.3","Numeric","-140039.86","440470","-0.3","-0.3"
"Key stage 2 progress in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.3","Numeric","77356.27","224818","0.3","0.4"
"Key stage 2 progress in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-1","Numeric","-217396.13","215652","-1","-1"
"Key stage 2 progress in math by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.5","Numeric","-204928.55","407031","-0.5","-0.5"
"Key stage 2 progress in math by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.2","Numeric","31239.69","207809","0.1","0.2"
"Key stage 2 progress in math by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-1.2","Numeric","-236168.24","199222","-1.2","-1.2"
"Key stage 2 progress in math by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.7","Numeric","-1130.91","1627","-1","-0.4"
"Key stage 2 progress in math by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.2","Numeric","-139","788","-0.6","0.2"
"Key stage 2 progress in math by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-1.2","Numeric","-991.91","839","-1.5","-0.8"
"Key stage 2 progress in math by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.3","Numeric","498.89","1516","0.1","0.6"
"Key stage 2 progress in math by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.8","Numeric","616.9","764","0.4","1.2"
"Key stage 2 progress in math by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.2","Numeric","-118.01","752","-0.5","0.2"
"Key stage 2 progress in math by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-1.1","Numeric","-388.57","367","-1.6","-0.5"
"Key stage 2 progress in math by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.1","Numeric","-22.11","191","-0.9","0.7"
"Key stage 2 progress in math by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-2.1","Numeric","-366.46","176","-2.9","-1.3"
"Key stage 2 progress in math by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","2.2","Numeric","65909.28","29929","2.1","2.3"
"Key stage 2 progress in math by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","3","Numeric","45660.79","15266","2.9","3.1"
"Key stage 2 progress in math by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.4","Numeric","20248.49","14663","1.3","1.5"
