"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","94","%","2381","2544"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","92","%","1169","1264"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","95","%","1212","1280"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","87","%","15884","18169"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","87","%","8173","9379"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","88","%","7711","8790"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","26780","35501"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","13528","18067"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","76","%","13252","17434"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","78","%","9982","12822"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","77","%","5112","6602"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","78","%","4870","6220"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","81","%","6742","8309"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","81","%","3411","4209"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","81","%","3331","4100"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","76","%","3639","4796"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","1861","2477"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","77","%","1778","2319"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","67","%","6417","9574"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","66","%","3144","4779"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","68","%","3273","4795"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","76","%","8851","11655"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","77","%","4602","5989"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","75","%","4249","5666"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","20490","27362"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","10456","13933"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","75","%","10034","13429"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","64","%","3566","5563"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","63","%","1803","2841"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","65","%","1763","2722"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","343703","459064"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","175211","234947"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","75","%","168492","224117"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","312447","416255"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","159180","213050"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","75","%","153267","203205"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","30","%","644","2170"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","30","%","320","1076"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","30","%","324","1094"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","78","%","1323","1690"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","77","%","657","852"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","79","%","666","838"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","33","%","157","473"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","35","%","89","253"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","31","%","68","220"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","76","%","29132","38476"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","76","%","14965","19716"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","76","%","14167","18760"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","24","%","146026","619573"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","26","%","80775","316720"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","22","%","65251","302853"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","32","%","21972","67871"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","35","%","12077","34826"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","30","%","9895","33045"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","40","%","4596","11377"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","42","%","2482","5890"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","39","%","2114","5487"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","30","%","3262","10963"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","33","%","1841","5624"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","27","%","1421","5339"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","21","%","7761","37375"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","21","%","4004","18786"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","20","%","3757","18589"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","24","%","5940","25215"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","25","%","3101","12611"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","23","%","2839","12604"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","13","%","931","7218"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","12","%","455","3649"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","13","%","476","3569"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","18","%","890","4942"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","18","%","448","2526"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","18","%","442","2416"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","61","%","1551","2544"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","62","%","783","1264"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","60","%","768","1280"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","44","%","7926","18169"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","45","%","4261","9379"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","42","%","3665","8790"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","24","%","8689","35501"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","26","%","4668","18067"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","23","%","4021","17434"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","27","%","3510","12822"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","29","%","1896","6602"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","26","%","1614","6220"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","33","%","2704","8309"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","35","%","1463","4209"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","30","%","1241","4100"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","22","%","1042","4796"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","23","%","576","2477"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","20","%","466","2319"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","15","%","1433","9574"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","15","%","733","4779"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","15","%","700","4795"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","26","%","3075","11655"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","29","%","1762","5989"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","23","%","1313","5666"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","23","%","6188","27362"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","25","%","3493","13933"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","20","%","2695","13429"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","19","%","1069","5563"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","21","%","600","2841"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","17","%","469","2722"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","22","%","101909","459064"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","24","%","56881","234947"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","20","%","45028","224117"
"% of pupils reaching the key stage 2 higher standard in math by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","22","%","91622","416255"
