"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Liverpool","73","3,587","73","128","75","185","79","57","76","189","73","2,909"
"Luton","70","2,162","71","1,020","68","233","100","4","75","189","69","682"
"Manchester","72","4,769","69","1,057","76","925","74","39","76","426","73","2,012"
"Medway","73","2,379","81","121","80","163","100","9","76","171","71","1,881"
"Merton","80","1,854","82","447","77","265","89","17","83","197","80","874"
"Middlesbrough","72","1,296","75","131","66","21","100","2","81","71","72","1,050"
"Milton Keynes","76","2,668","83","367","72","411","86","18","78","217","75","1,600"
"Newcastle upon Tyne","78","2,176","75","308","75","106","79","19","85","99","79","1,589"
"Newham","82","3,760","82","1,737","83","914","93","13","87","251","79","601"
"Norfolk","72","6,320","74","87","71","62","60","18","75","195","72","5,872"
"North East Lincolnshire","74","1,394","79","11","100","5","100","2","75","43","73","1,318"
"North Lincolnshire","74","1,446","76","58","29","2","N/A","N/A","73","36","74","1,330"
"North Somerset","77","1,828","65","17","75","6","75","3","70","53","77","1,735"
"North Tyneside","77","1,723","77","46","89","24","100","7","73","45","77","1,593"
"North Yorkshire","75","4,386","80","69","57","12","67","8","74","110","75","4,148"
"Northamptonshire","73","6,606","74","309","70","332","93","26","75","377","73","5,501"
"Northumberland","77","2,579","80","43","100","6","50","1","81","44","77","2,474"
"Nottingham","72","2,500","77","456","73","275","88","15","71","318","71","1,363"
"Nottinghamshire","75","6,804","79","215","77","69","74","29","74","318","75","6,117"
"Oldham","73","2,446","67","770","76","83","100","7","73","108","77","1,440"
"Oxfordshire","76","5,398","73","297","72","124","80","20","76","333","77","4,503"
"Peterborough","66","1,836","66","337","65","72","83","5","64","106","66","1,262"
"Plymouth","73","2,102","69","22","61","17","81","13","70","61","73","1,952"
"Poole","72","1,008","78","29","44","4","N/A","N/A","70","46","72","914"
"Portsmouth","69","1,471","78","115","75","51","60","6","66","63","68","1,197"
"Reading","73","1,188","75","243","73","122","80","4","74","128","71","660"
"Redbridge","79","3,092","80","1,661","78","343","95","18","80","275","79","722"
"Redcar and Cleveland","79","1,252","67","6","67","2","N/A","N/A","84","27","79","1,211"
"Richmond upon Thames","88","1,876","82","137","75","49","94","15","87","192","89","1,416"
"Rochdale","72","2,077","67","484","70","86","80","4","71","104","74","1,372"
"Rotherham","71","2,292","74","195","79","42","75","3","70","64","70","1,963"
"Rutland","76","299","80","4","0","0","100","1","86","12","76","278"
"Salford","76","2,153","86","77","80","121","86","6","79","171","75","1,693"
"Sandwell","72","3,105","76","979","75","330","77","10","69","251","70","1,458"
"Sefton","79","2,296","83","29","91","10","67","2","82","49","79","2,184"
"Sheffield","72","4,408","75","559","69","265","79","22","72","323","73","3,089"
"Shropshire","77","2,277","92","23","40","2","83","5","79","61","77","2,151"
"Slough","76","1,721","83","899","73","141","100","1","69","145","68","449"
"Solihull","77","2,054","79","230","72","39","100","6","75","175","77","1,574"
"Somerset","75","4,193","74","48","90","19","79","15","76","109","75","3,972"
"South Gloucestershire","75","2,345","80","89","78","40","75","9","77","124","75","2,059"
"South Tyneside","79","1,275","75","45","90","9","50","1","76","25","79","1,176"
"Southampton","76","1,964","73","234","74","68","67","8","78","136","77","1,490"
"Southend-on-Sea","77","1,618","84","123","80","73","75","9","77","99","76","1,276"
"Southwark","77","2,467","81","142","74","1,049","74","29","80","280","82","753"
"St. Helens","74","1,524","60","15","73","8","80","4","79","33","75","1,455"
"Staffordshire","76","7,145","69","269","74","54","88","21","76","234","76","6,514"
"Stockport","79","2,626","79","183","72","33","78","14","77","150","79","2,204"
"Stockton-on-Tees","79","1,885","76","91","85","29","91","10","73","40","78","1,700"
"Stoke-on-Trent","69","2,139","66","320","74","75","76","13","67","103","70","1,602"
"Suffolk","73","5,640","78","114","67","41","89","8","75","339","73","5,025"
"Sunderland","78","2,482","74","106","78","21","62","8","80","40","78","2,296"
"Surrey","81","9,865","81","701","76","145","95","53","83","595","81","8,195"
"Sutton","83","1,906","90","389","82","147","93","26","83","184","82","1,114"
"Swindon","75","2,085","78","234","74","66","89","8","78","121","75","1,640"
"Tameside","73","2,056","68","228","76","47","50","6","79","98","74","1,648"
"Telford and Wrekin","77","1,720","79","100","63","53","100","7","83","104","77","1,451"
"Thurrock","76","1,780","82","99","86","319","88","14","78","108","72","1,186"
"Torbay","75","1,035","69","11","67","2","100","5","80","35","74","973"
"Tower Hamlets","80","2,580","80","1,649","74","262","95","18","82","167","82","376"
"Trafford","84","2,467","88","372","81","100","95","36","84","174","84","1,695"
"Wakefield","71","2,737","63","105","77","36","82","9","77","99","71","2,463"
"Walsall","72","2,595","76","652","72","133","89","17","75","167","71","1,592"
"Waltham Forest","78","2,499","79","698","75","477","89","33","80","280","77","925"
"Wandsworth","79","1,915","77","336","73","434","100","11","80","249","84","814"
"Warrington","81","2,036","85","60","79","11","75","9","81","55","81","1,887"
"Warwickshire","78","4,714","83","281","71","60","100","18","81","223","78","4,080"
"West Berkshire","76","1,347","79","53","65","13","88","7","82","75","76","1,184"
"West Sussex","76","6,678","76","321","69","97","76","16","79","327","76","5,804"
"Westminster","81","1,160","81","185","81","196","81","21","87","137","86","313"
"Wigan","79","2,831","84","46","76","28","75","9","72","58","80","2,659"
"Wiltshire","76","3,936","84","66","61","36","56","5","79","142","76","3,601"
"Windsor and Maidenhead","81","1,226","78","181","79","11","86","6","76","96","82","906"
"Wirral","74","2,773","75","85","71","12","94","16","77","90","74","2,551"
"Wokingham","82","1,624","90","247","72","47","100","20","80","100","81","1,192"
"Wolverhampton","77","2,502","81","601","76","315","100","7","76","284","76","1,255"
"Worcestershire","73","4,535","65","157","62","16","90","9","76","170","73","4,139"
"York","77","1,449","83","33","92","11","89","8","77","40","76","1,341"
