"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hertfordshire","Country","E10000015","All","10-11","80","%","10839","13617"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hillingdon","Country","E09000017","All","10-11","78","%","2844","3665"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hounslow","Country","E09000018","All","10-11","78","%","2317","2957"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Isle of Wight","Country","E06000046","All","10-11","69","%","912","1319"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Isles of Scilly","Country","E06000053","All","10-11","76","%","26","34"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Islington","Country","E09000019","All","10-11","78","%","1454","1862"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kensington and Chelsea","Country","E09000020","All","10-11","84","%","809","960"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kent","Country","E10000016","All","10-11","77","%","13352","17327"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kingston upon Hull, City of","Country","E06000010","All","10-11","76","%","2379","3119"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kingston upon Thames","Country","E09000021","All","10-11","82","%","1469","1791"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Kirklees","Country","E08000034","All","10-11","73","%","3831","5284"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Knowsley","Country","E08000011","All","10-11","73","%","1261","1720"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lambeth","Country","E09000022","All","10-11","79","%","2352","2962"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lancashire","Country","E10000017","All","10-11","76","%","10342","13625"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Leeds","Country","E08000035","All","10-11","72","%","6476","8955"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Leicester","Country","E06000016","All","10-11","71","%","3190","4479"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Leicestershire","Country","E10000018","All","10-11","77","%","5777","7535"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lewisham","Country","E09000023","All","10-11","79","%","2659","3373"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Lincolnshire","Country","E10000019","All","10-11","72","%","5556","7698"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Liverpool","Country","E08000012","All","10-11","73","%","3587","4920"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Luton","Country","E06000032","All","10-11","70","%","2162","3092"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Manchester","Country","E08000003","All","10-11","72","%","4769","6585"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Medway","Country","E06000035","All","10-11","73","%","2379","3281"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Merton","Country","E09000024","All","10-11","80","%","1854","2308"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Middlesbrough","Country","E06000002","All","10-11","72","%","1296","1794"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Milton Keynes","Country","E06000042","All","10-11","76","%","2668","3527"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Newcastle upon Tyne","Country","E08000021","All","10-11","78","%","2176","2777"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Newham","Country","E09000025","All","10-11","82","%","3760","4594"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Norfolk","Country","E10000020","All","10-11","72","%","6320","8787"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North East Lincolnshire","Country","E06000012","All","10-11","74","%","1394","1896"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Lincolnshire","Country","E06000013","All","10-11","74","%","1446","1953"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Somerset","Country","E06000024","All","10-11","77","%","1828","2384"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Tyneside","Country","E08000022","All","10-11","77","%","1723","2228"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","North Yorkshire","Country","E10000023","All","10-11","75","%","4386","5853"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Northamptonshire","Country","E10000021","All","10-11","73","%","6606","9002"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Northumberland","Country","E06000057","All","10-11","77","%","2579","3347"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Nottingham","Country","E06000018","All","10-11","72","%","2500","3455"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Nottinghamshire","Country","E10000024","All","10-11","75","%","6804","9096"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Oldham","Country","E08000004","All","10-11","73","%","2446","3351"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Oxfordshire","Country","E10000025","All","10-11","76","%","5398","7064"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Peterborough","Country","E06000031","All","10-11","66","%","1836","2771"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Plymouth","Country","E06000026","All","10-11","73","%","2102","2882"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Poole","Country","E06000029","All","10-11","72","%","1008","1407"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Portsmouth","Country","E06000044","All","10-11","69","%","1471","2134"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Reading","Country","E06000038","All","10-11","73","%","1188","1637"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Redbridge","Country","E09000026","All","10-11","79","%","3092","3898"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Redcar and Cleveland","Country","E06000003","All","10-11","79","%","1252","1589"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Richmond upon Thames","Country","E09000027","All","10-11","88","%","1876","2130"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Rochdale","Country","E08000005","All","10-11","72","%","2077","2901"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Rotherham","Country","E08000018","All","10-11","71","%","2292","3245"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Rutland","Country","E06000017","All","10-11","76","%","299","395"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Salford","Country","E08000006","All","10-11","76","%","2153","2849"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sandwell","Country","E08000028","All","10-11","72","%","3105","4318"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sefton","Country","E08000014","All","10-11","79","%","2296","2908"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sheffield","Country","E08000019","All","10-11","72","%","4408","6091"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Shropshire","Country","E06000051","All","10-11","77","%","2277","2941"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Slough","Country","E06000039","All","10-11","76","%","1721","2271"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Solihull","Country","E08000029","All","10-11","77","%","2054","2661"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Somerset","Country","E10000027","All","10-11","75","%","4193","5591"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","South Gloucestershire","Country","E06000025","All","10-11","75","%","2345","3120"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","South Tyneside","Country","E08000023","All","10-11","79","%","1275","1617"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Southampton","Country","E06000045","All","10-11","76","%","1964","2586"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Southend-on-Sea","Country","E06000033","All","10-11","77","%","1618","2097"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Southwark","Country","E09000028","All","10-11","77","%","2467","3190"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","St. Helens","Country","E08000013","All","10-11","74","%","1524","2046"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Staffordshire","Country","E10000028","All","10-11","76","%","7145","9426"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Stockport","Country","E08000007","All","10-11","79","%","2626","3334"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Stockton-on-Tees","Country","E06000004","All","10-11","79","%","1885","2401"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Stoke-on-Trent","Country","E06000021","All","10-11","69","%","2139","3084"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Suffolk","Country","E10000029","All","10-11","73","%","5640","7723"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sunderland","Country","E08000024","All","10-11","78","%","2482","3185"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Surrey","Country","E10000030","All","10-11","81","%","9865","12122"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Sutton","Country","E09000029","All","10-11","83","%","1906","2287"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Swindon","Country","E06000030","All","10-11","75","%","2085","2784"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Tameside","Country","E08000008","All","10-11","73","%","2056","2800"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Telford and Wrekin","Country","E06000020","All","10-11","77","%","1720","2233"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Thurrock","Country","E06000034","All","10-11","76","%","1780","2354"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Torbay","Country","E06000027","All","10-11","75","%","1035","1387"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Tower Hamlets","Country","E09000030","All","10-11","80","%","2580","3241"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Trafford","Country","E08000009","All","10-11","84","%","2467","2925"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wakefield","Country","E08000036","All","10-11","71","%","2737","3851"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Walsall","Country","E08000030","All","10-11","72","%","2595","3581"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Waltham Forest","Country","E09000031","All","10-11","78","%","2499","3224"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wandsworth","Country","E09000032","All","10-11","79","%","1915","2428"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Warrington","Country","E06000007","All","10-11","81","%","2036","2515"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Warwickshire","Country","E10000031","All","10-11","78","%","4714","6062"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","West Berkshire","Country","E06000037","All","10-11","76","%","1347","1770"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","West Sussex","Country","E10000032","All","10-11","76","%","6678","8769"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Westminster","Country","E09000033","All","10-11","81","%","1160","1428"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wigan","Country","E08000010","All","10-11","79","%","2831","3572"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wiltshire","Country","E06000054","All","10-11","76","%","3936","5174"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Windsor and Maidenhead","Country","E06000040","All","10-11","81","%","1226","1518"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wirral","Country","E08000015","All","10-11","74","%","2773","3754"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wokingham","Country","E06000041","All","10-11","82","%","1624","1981"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Wolverhampton","Country","E08000031","All","10-11","77","%","2502","3246"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Worcestershire","Country","E10000034","All","10-11","73","%","4535","6227"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","York","Country","E06000014","All","10-11","77","%","1449","1894"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","Asian","ONS 2011 5+1","2017-2018","Academic Year","Barking and Dagenham","Country","E09000002","All","10-11","80","%","556","691"
