"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","value_type","gender","fsm","denominator","numerator"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","All","All","38356","28834"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","56","%","All","FSM","69154","38963"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","All","All","28978","6484"
"Average scaled score in key stage 2 reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","All","11697","1228977"
"Average scaled score in key stage 2 reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","108","N/A","All","Non-FSM","1376","148260"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","58","%","All","FSM","108982","63739"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","44","%","All","Non-FSM","2648","1154"
"Average scaled score in key stage 2 reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","All","FSM","3575","360816"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","43","%","All","Non-FSM","1401","608"
"Average scaled score in key stage 2 reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","All","FSM","2930","296401"
"Average scaled score in key stage 2 reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","389735","40940920"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","68","%","All","FSM","6443","4412"
"Average scaled score in key stage 2 reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","All","5357","552348"
"Average scaled score in key stage 2 reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","98","N/A","All","All","396","38769"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","19","%","All","All","7153","1364"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","All","FSM","1250","862"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","7","%","All","FSM","328","24"
"Average scaled score in key stage 2 reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","106","N/A","All","Non-FSM","28556","3020049"
"Average scaled score in key stage 2 reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","FSM","2327","242315"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","25","%","All","Non-FSM","28558","7237"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","All","Non-FSM","4931","3459"
"Average scaled score in key stage 2 reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","Non-FSM","4584","473753"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","All","All","8854","7058"
"Average scaled score in key stage 2 reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","106","N/A","All","All","8638","916985"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","All","All","5448","4120"
"Average scaled score in key stage 2 reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","97","N/A","All","FSM","272","26474"
"Average scaled score in key stage 2 reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","107","N/A","All","Non-FSM","7167","766478"
"Average scaled score in key stage 2 reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","107","N/A","All","All","1647","175774"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","34","%","All","FSM","200","68"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","30","%","All","Non-FSM","60547","17982"
"Average scaled score in key stage 2 reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","All","37104","3893093"
"Average scaled score in key stage 2 reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","All","13419","1412070"
"Average scaled score in key stage 2 reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","FSM","6029","623067"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","All","Non-FSM","8601","6545"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","31","%","All","Non-FSM","4099","1277"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","17","%","All","FSM","1389","238"
"Percentage of pupils reaching the key stage 2 higher standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","29","%","All","Non-FSM","535787","157732"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","All","All","426247","315640"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","34","%","All","Non-FSM","10965","3737"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","All","All","10150","7104"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","All","All","13904","10552"
"Average scaled score in key stage 2 reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","All","41418","4292611"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","20","%","All","FSM","6443","1294"
"Average scaled score in key stage 2 reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","All","FSM","68889","6940295"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","21","%","All","All","5251","1096"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","9","%","All","All","473","41"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","29","%","All","All","38356","11257"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","27","%","All","All","426247","116608"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","71","%","All","Non-FSM","3862","2754"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","6","%","All","Non-FSM","1439","80"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","All","FSM","10957","7182"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","33","%","All","Non-FSM","29243","9664"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","21","%","All","All","6476","1388"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","All","Non-FSM","28558","21233"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","14","%","All","FSM","74528","10219"
"Average scaled score in key stage 2 reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","106","N/A","All","All","18847","2002586"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","20","%","All","FSM","10957","2152"
"Average scaled score in key stage 2 reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","106","N/A","All","FSM","190","20144"
"Average scaled score in key stage 2 reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","8294","872015"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","All","All","38612","27854"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","15","%","All","FSM","3874","590"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","24","%","All","All","38612","9110"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","Non-FSM","29243","23104"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","17","%","All","FSM","9113","1593"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","28","%","All","All","5448","1543"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","28","%","All","All","71504","20134"
"Average scaled score in key stage 2 reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","Non-FSM","4780","493771"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","All","All","71504","53015"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","All","Non-FSM","7301","6074"
"Average scaled score in key stage 2 reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","520823","54697223"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","All","All","474267","347889"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","15","%","All","FSM","2222","341"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","36","%","All","All","8854","3162"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","65","%","All","FSM","1389","898"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","30","%","All","Non-FSM","399739","118070"
"Average scaled score in key stage 2 reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","Non-FSM","22770","2358244"
"Average scaled score in key stage 2 reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","95","N/A","All","All","1898","180125"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","All","All","5251","3652"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","24","%","All","FSM","2466","584"
"Average scaled score in key stage 2 reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","8548","873044"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","30","%","All","Non-FSM","357093","107100"
"Average scaled score in key stage 2 reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","5224","533314"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","23","%","All","All","12706","2886"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","71","%","All","Non-FSM","9430","6661"
"Average scaled score in key stage 2 reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","All","11884","1226882"
"Average scaled score in key stage 2 reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","All","37043","3850686"
"Average scaled score in key stage 2 reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","All","25164","2627514"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","All","Non-FSM","2648","2190"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","26","%","All","Non-FSM","6878","1779"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","15","%","All","FSM","3272","498"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","82","%","All","All","2848","2346"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","25","%","All","All","43535","10855"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","38","%","All","FSM","328","123"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","38","%","All","All","1692","651"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","27","%","All","Non-FSM","19765","5356"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","All","FSM","1752","1118"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","All","All","28978","19981"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","All","Non-FSM","60547","45833"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","All","Non-FSM","18066","14656"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","60","%","All","FSM","3272","1976"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","25","%","All","Non-FSM","9430","2386"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","Non-FSM","4099","3229"
"Average scaled score in key stage 2 reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","All","10621","1114330"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","31","%","All","All","13904","4275"
"Average scaled score in key stage 2 reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","All","27994","2891558"
"Average scaled score in key stage 2 reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","FSM","9404","966632"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","19","%","All","FSM","1752","325"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","25","%","All","All","26208","6650"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","82","%","All","All","1692","1382"
"Average scaled score in key stage 2 reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","All","69159","7237451"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","15","%","All","FSM","291","43"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","26","%","All","Non-FSM","39661","10265"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","All","Non-FSM","23489","16536"
"Average scaled score in key stage 2 reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","99","N/A","All","Non-FSM","124","12295"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","57","%","All","FSM","3874","2201"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","20","%","All","FSM","1349","266"
"Average scaled score in key stage 2 reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","All","5272","552457"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","29","%","All","Non-FSM","1439","413"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","All","All","644769","472178"
"Average scaled score in key stage 2 reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","1298","132812"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","63","%","All","FSM","9113","5730"
"Average scaled score in key stage 2 reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","10083","1063624"
"Average scaled score in key stage 2 reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","All","FSM","101110","10241104"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","27","%","All","All","474267","128289"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","All","Non-FSM","10391","8096"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","67","%","All","All","12706","8516"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","All","FSM","10054","6621"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","18","%","All","FSM","5489","966"
"Average scaled score in key stage 2 reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","FSM","10376","1065993"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","Non-FSM","10965","8673"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","39","%","All","Non-FSM","7301","2871"
"Average scaled score in key stage 2 reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","All","458624","47881215"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","15","%","All","FSM","3276","500"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","71","%","All","FSM","2466","1757"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","All","Non-FSM","3862","858"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","57","%","All","FSM","3276","1855"
"Average scaled score in key stage 2 reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","1471","150507"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","29","%","All","Non-FSM","8601","2492"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","12","%","All","Non-FSM","145","17"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","32","%","All","Non-FSM","10391","3284"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","All","Non-FSM","6878","5128"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","36","%","All","All","19316","6965"
"Average scaled score in key stage 2 reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","FSM","1271","130514"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","17","%","All","FSM","854","149"
"Average scaled score in key stage 2 reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","95","N/A","All","Non-FSM","1172","111561"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","6","%","All","All","2320","134"
"Average scaled score in key stage 2 reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","All","FSM","2077","210753"
"Average scaled score in key stage 2 reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","94","N/A","All","FSM","726","68564"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","43","%","All","Non-FSM","145","62"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","63","%","All","FSM","1553","984"
