"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","79","%","3897","4948",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","73","%","1861","2532",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","84","%","2036","2416",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","90","%","2279","2544",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","87","%","1099","1264",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","92","%","1180","1280",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","89","%","16181","18170",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","86","%","8112","9379",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","92","%","8069","8791",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","80","%","28254","35506",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","75","%","13601","18070",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","84","%","14653","17436",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","82","%","10452","12824",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","77","%","5114","6603",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","86","%","5338","6221",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","84","%","6972","8308",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","80","%","3382","4209",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","88","%","3590","4099",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","81","%","3863","4797",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","77","%","1897","2478",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","85","%","1966","2319",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","73","%","6967","9577",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","67","%","3208","4780",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","78","%","3759","4797",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","76","%","8878","11653",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","74","%","4405","5987",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","79","%","4473","5666",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","80","%","21775","27362",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","76","%","10587","13933",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","83","%","11188","13429",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","64","%","3558","5563",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","60","%","1701","2839",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","68","%","1857","2724",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","76","%","350700","459125",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","72","%","168773","234977",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","81","%","181927","224148",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","77","%","319886","416305",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","72","%","153830","213074",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","82","%","166056","203231",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","28","%","604","2172",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","23","%","243","1077",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","33","%","361","1095",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","80","%","1352","1691",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","75","%","638","852",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","85","%","714","839",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","35","%","164","474",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","33","%","85","254",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","36","%","79","220",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","75","%","28694","38483",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","71","%","13977","19720",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","78","%","14717","18763",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","34","%","213111","619654",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","30","%","94551","316757",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","39","%","118560","302897",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","48","%","32326","67875",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","43","%","14936","34826",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","53","%","17390","33049",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","53","%","5984","11378",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","48","%","2808","5890",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","58","%","3176","5488",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","48","%","5267","10965",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","43","%","2426","5624",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","53","%","2841","5341",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","40","%","14792","37388",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","35","%","6513","18794",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","45","%","8279","18594",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","43","%","10970","25222",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","39","%","4937","12612",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","48","%","6033","12610",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","28","%","2022","7218",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","23","%","822","3650",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","34","%","1200","3568",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","36","%","1800","4948",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","30","%","754","2532",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","43","%","1046","2416",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","62","%","1571","2544",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","56","%","712","1264",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","67","%","859","1280",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","58","%","10491","18170",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","53","%","4967","9379",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","63","%","5524","8791",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","37","%","13224","35506",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","32","%","5858","18070",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","42","%","7366","17436",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","40","%","5160","12824",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","35","%","2334","6603",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","45","%","2826","6221",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","45","%","3701","8308",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","40","%","1691","4209",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","49","%","2010","4099",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","36","%","1749","4797",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","31","%","777","2478",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","42","%","972","2319",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","27","%","2614","9577",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","22","%","1056","4780",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","32","%","1558","4797",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","39","%","4500","11653",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","35","%","2107","5987",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","42","%","2393","5666",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","39","%","10584","27362",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","34","%","4735","13933",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","44","%","5849","13429",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","28","%","1581","5563",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","25","%","713","2839",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","32","%","868","2724",""
"% of pupils reaching the key stage 2 higher standard in GPS by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","32","%","145117","459125",""
