"Ethnicity","Local Authority ","%","Number"
"All","Sutton","86","1,957"
"All","Swindon","79","2,196"
"All","Tameside","78","2,192"
"All","Telford and Wrekin","79","1,766"
"All","Thurrock","79","1,860"
"All","Torbay","73","1,014"
"All","Tower Hamlets","84","2,719"
"All","Trafford","86","2,513"
"All","Wakefield","74","2,856"
"All","Walsall","77","2,775"
"All","Waltham Forest","82","2,644"
"All","Wandsworth","82","1,997"
"All","Warrington","82","2,067"
"All","Warwickshire","79","4,807"
"All","West Berkshire","76","1,348"
"All","West Sussex","76","6,628"
"All","Westminster","87","1,236"
"All","Wigan","81","2,908"
"All","Wiltshire","76","3,909"
"All","Windsor and Maidenhead","81","1,230"
"All","Wirral","76","2,846"
"All","Wokingham","83","1,636"
"All","Wolverhampton","81","2,622"
"All","Worcestershire","74","4,577"
"All","York","77","1,466"
"Asian","Barking and Dagenham","92","633"
"Asian","Barnet","91","396"
"Asian","Barnsley","88","15"
"Asian","Bath and North East Somerset","82","23"
"Asian","Bedford","76","238"
"Asian","Bexley","93","234"
"Asian","Birmingham","82","4,643"
"Asian","Blackburn with Darwen","83","833"
"Asian","Blackpool","77","24"
"Asian","Bolton","85","757"
"Asian","Bournemouth","91","62"
"Asian","Bracknell Forest","93","80"
"Asian","Bradford","81","2,634"
"Asian","Brent","84","878"
"Asian","Brighton and Hove","86","79"
"Asian","Bristol, City of","74","284"
"Asian","Bromley","93","182"
"Asian","Buckinghamshire","84","865"
"Asian","Bury","80","270"
"Asian","Calderdale","79","319"
"Asian","Cambridgeshire","83","232"
"Asian","Camden","86","266"
"Asian","Central Bedfordshire","85","71"
"Asian","Cheshire East","87","62"
"Asian","Cheshire West and Chester","86","51"
"Asian","City of London","100","5"
"Asian","Cornwall","78","21"
"Asian","County Durham","94","33"
"Asian","Coventry","88","724"
"Asian","Croydon","89","633"
"Asian","Cumbria","89","32"
"Asian","Darlington","83","24"
"Asian","Derby","84","486"
"Asian","Derbyshire","91","85"
"Asian","Devon","91","39"
"Asian","Doncaster","78","81"
"Asian","Dorset","81","30"
"Asian","Dudley","78","337"
"Asian","Ealing","87","1,056"
"Asian","East Riding of Yorkshire","86","12"
"Asian","East Sussex","88","105"
"Asian","Enfield","90","352"
"Asian","Essex","93","413"
"Asian","Gateshead","79","30"
"Asian","Gloucestershire","86","172"
"Asian","Greenwich","89","218"
"Asian","Hackney","90","279"
"Asian","Halton","100","3"
"Asian","Hammersmith and Fulham","91","81"
"Asian","Hampshire","90","376"
"Asian","Haringey","92","164"
"Asian","Harrow","92","1,240"
"Asian","Hartlepool","96","26"
"Asian","Havering","91","186"
"Asian","Herefordshire, County of","100","7"
"Asian","Hertfordshire","90","941"
"Asian","Hillingdon","89","903"
"Asian","Hounslow","90","826"
"Asian","Isle of Wight","72","13"
"Asian","Isles of Scilly","N/A","N/A"
"Asian","Islington","83","124"
"Asian","Kensington and Chelsea","92","34"
"Asian","Kent","90","576"
"Asian","Kingston upon Hull, City of","91","42"
"Asian","Kingston upon Thames","89","272"
"Asian","Kirklees","79","1,130"
"Asian","Knowsley","98","43"
"Asian","Lambeth","86","121"
"Asian","Lancashire","80","1,287"
"Asian","Leeds","79","849"
"Asian","Leicester","83","1,579"
"Asian","Leicestershire","90","517"
"Asian","Lewisham","87","220"
"Asian","Lincolnshire","93","65"
"Asian","Liverpool","87","153"
"Asian","Luton","81","1,171"
"Asian","Manchester","77","1,173"
"Asian","Medway","87","130"
"Asian","Merton","91","500"
"Asian","Middlesbrough","86","150"
"Asian","Milton Keynes","90","397"
"Asian","Newcastle upon Tyne","85","348"
"Asian","Newham","91","1,912"
"Asian","Norfolk","85","99"
"Asian","North East Lincolnshire","93","13"
"Asian","North Lincolnshire","84","64"
"Asian","North Somerset","85","22"
"Asian","North Tyneside","85","51"
"Asian","North Yorkshire","92","79"
"Asian","Northamptonshire","84","351"
"Asian","Northumberland","87","47"
"Asian","Nottingham","83","489"
"Asian","Nottinghamshire","90","245"
"Asian","Oldham","82","937"
"Asian","Oxfordshire","81","330"
"Asian","Peterborough","77","394"
"Asian","Plymouth","88","28"
"Asian","Poole","92","34"
"Asian","Portsmouth","86","127"
"Asian","Reading","84","274"
"Asian","Redbridge","87","1,817"
"Asian","Redcar and Cleveland","67","6"
"Asian","Richmond upon Thames","89","149"
"Asian","Rochdale","82","591"
"Asian","Rotherham","82","215"
"Asian","Rutland","80","4"
"Asian","Salford","93","84"
"Asian","Sandwell","84","1,088"
"Asian","Sefton","91","32"
"Asian","Sheffield","83","625"
"Asian","Shropshire","96","24"
"Asian","Slough","89","964"
"Asian","Solihull","85","247"
"Asian","Somerset","85","55"
"Asian","South Gloucestershire","90","100"
"Asian","South Tyneside","87","52"
"Asian","Southampton","83","266"
"Asian","Southend-on-Sea","88","128"
"Asian","Southwark","88","154"
"Asian","St. Helens","76","19"
"Asian","Staffordshire","77","300"
"Asian","Stockport","87","200"
"Asian","Stockton-on-Tees","87","104"
"Asian","Stoke-on-Trent","77","375"
"Asian","Suffolk","86","126"
"Asian","Sunderland","85","121"
"Asian","Surrey","88","764"
"Asian","Sutton","95","410"
"Asian","Swindon","90","270"
"Asian","Tameside","82","274"
"Asian","Telford and Wrekin","84","107"
"Asian","Thurrock","88","107"
"Asian","Torbay","81","13"
"Asian","Tower Hamlets","87","1,795"
"Asian","Trafford","92","390"
"Asian","Wakefield","79","132"
"Asian","Walsall","85","731"
"Asian","Waltham Forest","84","740"
"Asian","Wandsworth","87","377"
"Asian","Warrington","90","64"
"Asian","Warwickshire","91","309"
"Asian","West Berkshire","90","60"
"Asian","West Sussex","87","368"
"Asian","Westminster","91","206"
"Asian","Wigan","89","49"
"Asian","Wiltshire","90","71"
"Asian","Windsor and Maidenhead","85","198"
"Asian","Wirral","85","97"
"Asian","Wokingham","95","262"
"Asian","Wolverhampton","87","649"
"Asian","Worcestershire","79","189"
"Asian","York","85","34"
"Black","Barking and Dagenham","85","937"
"Black","Barnet","82","408"
"Black","Barnsley","82","18"
"Black","Bath and North East Somerset","75","9"
"Black","Bedford","75","96"
"Black","Bexley","88","536"
"Black","Birmingham","79","1,620"
"Black","Blackburn with Darwen","79","26"
"Black","Blackpool","100","5"
"Black","Bolton","71","161"
"Black","Bournemouth","89","17"
"Black","Bracknell Forest","87","40"
"Black","Bradford","72","87"
"Black","Brent","79","745"
"Black","Brighton and Hove","77","41"
"Black","Bristol, City of","74","414"
"Black","Bromley","84","283"
"Black","Buckinghamshire","79","131"
"Black","Bury","79","44"
"Black","Calderdale","88","14"
"Black","Cambridgeshire","83","70"
"Black","Camden","83","275"
"Black","Central Bedfordshire","84","76"
"Black","Cheshire East","89","17"
"Black","Cheshire West and Chester","73","11"
"Black","City of London","50","1"
"Black","Cornwall","83","5"
"Black","County Durham","75","12"
"Black","Coventry","85","458"
"Black","Croydon","79","1,072"
"Black","Cumbria","86","6"
"Black","Darlington","100","5"
"Black","Derby","84","118"
"Black","Derbyshire","74","23"
"Black","Devon","81","13"
"Black","Doncaster","62","28"
"Black","Dorset","93","13"
"Black","Dudley","80","75"
"Black","Ealing","83","538"
"Black","East Riding of Yorkshire","100","2"
"Black","East Sussex","68","23"
"Black","Enfield","81","906"
"Black","Essex","87","462"
"Black","Gateshead","94","32"
"Black","Gloucestershire","83","75"
"Black","Greenwich","88","1,024"
"Black","Hackney","82","755"
"Black","Halton","75","3"
"Black","Hammersmith and Fulham","83","292"
"Black","Hampshire","87","155"
"Black","Haringey","79","656"
"Black","Harrow","86","253"
"Black","Hartlepool","100","2"
"Black","Havering","87","304"
"Black","Herefordshire, County of","67","2"
"Black","Hertfordshire","82","486"
"Black","Hillingdon","86","343"
"Black","Hounslow","86","321"
"Black","Isle of Wight","50","1"
"Black","Isles of Scilly","N/A","N/A"
"Black","Islington","80","350"
"Black","Kensington and Chelsea","88","141"
"Black","Kent","90","386"
"Black","Kingston upon Hull, City of","68","42"
"Black","Kingston upon Thames","67","39"
"Black","Kirklees","75","85"
"Black","Knowsley","94","15"
"Black","Lambeth","81","1,049"
"Black","Lancashire","76","54"
"Black","Leeds","75","504"
"Black","Leicester","78","380"
"Black","Leicestershire","85","68"
"Black","Lewisham","80","1,061"
"Black","Lincolnshire","74","26"
"Black","Liverpool","77","191"
"Black","Luton","77","263"
"Black","Manchester","83","1,015"
"Black","Medway","88","180"
"Black","Merton","83","283"
"Black","Middlesbrough","75","24"
"Black","Milton Keynes","83","477"
"Black","Newcastle upon Tyne","81","115"
"Black","Newham","88","975"
"Black","Norfolk","77","67"
"Black","North East Lincolnshire","100","5"
"Black","North Lincolnshire","43","3"
"Black","North Somerset","100","8"
"Black","North Tyneside","93","25"
"Black","North Yorkshire","57","12"
"Black","Northamptonshire","80","378"
"Black","Northumberland","100","6"
"Black","Nottingham","80","300"
"Black","Nottinghamshire","86","77"
"Black","Oldham","83","90"
"Black","Oxfordshire","77","133"
"Black","Peterborough","78","87"
"Black","Plymouth","82","23"
"Black","Poole","67","6"
"Black","Portsmouth","81","55"
"Black","Reading","82","138"
"Black","Redbridge","80","353"
"Black","Redcar and Cleveland","100","3"
"Black","Richmond upon Thames","94","61"
"Black","Rochdale","84","102"
"Black","Rotherham","83","44"
"Black","Rutland","0","0"
"Black","Salford","86","131"
"Black","Sandwell","83","367"
"Black","Sefton","91","10"
"Black","Sheffield","78","299"
"Black","Shropshire","40","2"
"Black","Slough","81","157"
"Black","Solihull","83","45"
"Black","Somerset","90","19"
"Black","South Gloucestershire","90","46"
"Black","South Tyneside","90","9"
"Black","Southampton","85","78"
"Black","Southend-on-Sea","89","81"
"Black","Southwark","81","1,146"
"Black","St. Helens","64","7"
"Black","Staffordshire","86","63"
"Black","Stockport","76","35"
"Black","Stockton-on-Tees","91","31"
"Black","Stoke-on-Trent","85","86"
"Black","Suffolk","77","47"
"Black","Sunderland","89","24"
"Black","Surrey","83","159"
"Black","Sutton","86","154"
"Black","Swindon","87","77"
"Black","Tameside","84","52"
"Black","Telford and Wrekin","76","64"
"Black","Thurrock","90","332"
"Black","Torbay","67","2"
"Black","Tower Hamlets","79","278"
"Black","Trafford","84","104"
"Black","Wakefield","87","41"
"Black","Walsall","82","152"
"Black","Waltham Forest","80","511"
"Black","Wandsworth","78","468"
"Black","Warrington","79","11"
"Black","Warwickshire","75","63"
"Black","West Berkshire","75","15"
"Black","West Sussex","71","100"
"Black","Westminster","88","213"
"Black","Wigan","81","30"
"Black","Wiltshire","71","42"
"Black","Windsor and Maidenhead","93","13"
"Black","Wirral","82","14"
"Black","Wokingham","78","51"
"Black","Wolverhampton","83","340"
"Black","Worcestershire","69","18"
"Black","York","92","11"
"Chinese","Barking and Dagenham","100","7"
"Chinese","Barnet","98","54"
"Chinese","Barnsley","100","4"
"Chinese","Bath and North East Somerset","57","4"
"Chinese","Bedford","100","7"
"Chinese","Bexley","97","29"
"Chinese","Birmingham","95","62"
"Chinese","Blackburn with Darwen","100","5"
"Chinese","Blackpool","89","8"
"Chinese","Bolton","92","12"
"Chinese","Bournemouth","92","11"
"Chinese","Bracknell Forest","100","3"
"Chinese","Bradford","100","3"
"Chinese","Brent","100","6"
"Chinese","Brighton and Hove","100","11"
"Chinese","Bristol, City of","88","23"
"Chinese","Bromley","86","25"
"Chinese","Buckinghamshire","90","18"
"Chinese","Bury","80","4"
"Chinese","Calderdale","50","1"
"Chinese","Cambridgeshire","100","39"
"Chinese","Camden","100","7"
"Chinese","Central Bedfordshire","85","11"
"Chinese","Cheshire East","87","13"
"Chinese","Cheshire West and Chester","93","14"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","78","7"
"Chinese","County Durham","77","10"
"Chinese","Coventry","87","13"
"Chinese","Croydon","100","23"
"Chinese","Cumbria","86","12"
"Chinese","Darlington","100","3"
"Chinese","Derby","93","14"
"Chinese","Derbyshire","81","21"
"Chinese","Devon","79","11"
"Chinese","Doncaster","94","15"
"Chinese","Dorset","100","9"
"Chinese","Dudley","80","8"
"Chinese","Ealing","93","14"
"Chinese","East Riding of Yorkshire","50","1"
"Chinese","East Sussex","83","10"
"Chinese","Enfield","96","23"
"Chinese","Essex","92","67"
"Chinese","Gateshead","77","10"
"Chinese","Gloucestershire","85","11"
"Chinese","Greenwich","88","37"
"Chinese","Hackney","95","19"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","2"
"Chinese","Hampshire","98","49"
"Chinese","Haringey","87","34"
"Chinese","Harrow","93","13"
"Chinese","Hartlepool","50","2"
"Chinese","Havering","94","16"
"Chinese","Herefordshire, County of","100","3"
"Chinese","Hertfordshire","88","59"
"Chinese","Hillingdon","70","7"
"Chinese","Hounslow","100","17"
"Chinese","Isle of Wight","100","4"
"Chinese","Isles of Scilly","N/A","N/A"
"Chinese","Islington","100","10"
"Chinese","Kensington and Chelsea","100","4"
"Chinese","Kent","92","44"
"Chinese","Kingston upon Hull, City of","100","6"
"Chinese","Kingston upon Thames","92","23"
"Chinese","Kirklees","92","11"
"Chinese","Knowsley","100","5"
"Chinese","Lambeth","87","13"
"Chinese","Lancashire","97","32"
"Chinese","Leeds","95","52"
"Chinese","Leicester","92","12"
"Chinese","Leicestershire","94","30"
"Chinese","Lewisham","89","40"
"Chinese","Lincolnshire","100","16"
"Chinese","Liverpool","88","63"
"Chinese","Luton","100","4"
"Chinese","Manchester","87","46"
"Chinese","Medway","89","8"
"Chinese","Merton","89","17"
"Chinese","Middlesbrough","100","2"
"Chinese","Milton Keynes","86","18"
"Chinese","Newcastle upon Tyne","92","22"
"Chinese","Newham","100","14"
"Chinese","Norfolk","73","22"
"Chinese","North East Lincolnshire","100","2"
"Chinese","North Lincolnshire","N/A","N/A"
"Chinese","North Somerset","75","3"
"Chinese","North Tyneside","100","7"
"Chinese","North Yorkshire","92","11"
"Chinese","Northamptonshire","93","26"
"Chinese","Northumberland","50","1"
"Chinese","Nottingham","100","17"
"Chinese","Nottinghamshire","77","30"
"Chinese","Oldham","100","7"
"Chinese","Oxfordshire","80","20"
"Chinese","Peterborough","83","5"
"Chinese","Plymouth","94","15"
"Chinese","Poole","N/A","N/A"
"Chinese","Portsmouth","90","9"
"Chinese","Reading","80","4"
"Chinese","Redbridge","89","17"
"Chinese","Redcar and Cleveland","N/A","N/A"
"Chinese","Richmond upon Thames","100","16"
"Chinese","Rochdale","80","4"
"Chinese","Rotherham","75","3"
"Chinese","Rutland","100","1"
"Chinese","Salford","86","6"
"Chinese","Sandwell","100","13"
"Chinese","Sefton","100","3"
"Chinese","Sheffield","93","26"
"Chinese","Shropshire","100","6"
"Chinese","Slough","100","1"
"Chinese","Solihull","100","6"
"Chinese","Somerset","84","16"
"Chinese","South Gloucestershire","100","12"
"Chinese","South Tyneside","100","2"
"Chinese","Southampton","83","10"
"Chinese","Southend-on-Sea","75","9"
"Chinese","Southwark","82","32"
"Chinese","St. Helens","100","5"
"Chinese","Staffordshire","92","22"
"Chinese","Stockport","89","16"
"Chinese","Stockton-on-Tees","91","10"
"Chinese","Stoke-on-Trent","94","16"
"Chinese","Suffolk","67","6"
"Chinese","Sunderland","69","9"
"Chinese","Surrey","95","53"
"Chinese","Sutton","93","26"
"Chinese","Swindon","100","9"
"Chinese","Tameside","75","9"
"Chinese","Telford and Wrekin","100","7"
"Chinese","Thurrock","100","16"
"Chinese","Torbay","100","5"
"Chinese","Tower Hamlets","95","18"
"Chinese","Trafford","97","37"
"Chinese","Wakefield","91","10"
"Chinese","Walsall","89","17"
"Chinese","Waltham Forest","97","36"
"Chinese","Wandsworth","100","11"
"Chinese","Warrington","67","8"
"Chinese","Warwickshire","100","18"
"Chinese","West Berkshire","88","7"
"Chinese","West Sussex","95","20"
"Chinese","Westminster","88","23"
"Chinese","Wigan","83","10"
"Chinese","Wiltshire","78","7"
"Chinese","Windsor and Maidenhead","86","6"
"Chinese","Wirral","100","17"
"Chinese","Wokingham","100","20"
"Chinese","Wolverhampton","100","7"
"Chinese","Worcestershire","90","9"
"Chinese","York","89","8"
"Mixed","Barking and Dagenham","83","221"
"Mixed","Barnet","84","345"
"Mixed","Barnsley","81","43"
"Mixed","Bath and North East Somerset","73","73"
"Mixed","Bedford","73","145"
"Mixed","Bexley","79","183"
"Mixed","Birmingham","76","1,007"
"Mixed","Blackburn with Darwen","83","53"
"Mixed","Blackpool","73","40"
"Mixed","Bolton","88","135"
"Mixed","Bournemouth","84","90"
"Mixed","Bracknell Forest","82","68"
"Mixed","Bradford","75","310"
"Mixed","Brent","76","197"
"Mixed","Brighton and Hove","78","231"
"Mixed","Bristol, City of","74","270"
"Mixed","Bromley","86","352"
"Mixed","Buckinghamshire","80","357"
"Mixed","Bury","80","94"
"Mixed","Calderdale","68","64"
"Mixed","Cambridgeshire","85","306"
"Mixed","Camden","87","148"
"Mixed","Central Bedfordshire","78","167"
"Mixed","Cheshire East","81","128"
"Mixed","Cheshire West and Chester","86","95"
"Mixed","City of London","67","2"
"Mixed","Cornwall","79","94"
"Mixed","County Durham","87","62"
"Mixed","Coventry","78","229"
"Mixed","Croydon","82","547"
"Mixed","Cumbria","83","52"
"Mixed","Darlington","83","24"
"Mixed","Derby","79","220"
"Mixed","Derbyshire","75","170"
"Mixed","Devon","82","146"
"Mixed","Doncaster","73","76"
"Mixed","Dorset","77","117"
"Mixed","Dudley","77","177"
"Mixed","Ealing","85","327"
"Mixed","East Riding of Yorkshire","91","61"
"Mixed","East Sussex","75","186"
"Mixed","Enfield","79","341"
"Mixed","Essex","79","619"
"Mixed","Gateshead","79","26"
"Mixed","Gloucestershire","74","239"
"Mixed","Greenwich","85","285"
"Mixed","Hackney","81","209"
"Mixed","Halton","85","34"
"Mixed","Hammersmith and Fulham","87","152"
"Mixed","Hampshire","86","489"
"Mixed","Haringey","85","274"
"Mixed","Harrow","86","177"
"Mixed","Hartlepool","92","11"
"Mixed","Havering","86","151"
"Mixed","Herefordshire, County of","72","31"
"Mixed","Hertfordshire","83","823"
"Mixed","Hillingdon","86","391"
"Mixed","Hounslow","81","204"
"Mixed","Isle of Wight","74","28"
"Mixed","Isles of Scilly","100","1"
"Mixed","Islington","85","246"
"Mixed","Kensington and Chelsea","85","150"
"Mixed","Kent","79","724"
"Mixed","Kingston upon Hull, City of","78","102"
"Mixed","Kingston upon Thames","84","138"
"Mixed","Kirklees","68","233"
"Mixed","Knowsley","83","33"
"Mixed","Lambeth","85","359"
"Mixed","Lancashire","80","360"
"Mixed","Leeds","75","393"
"Mixed","Leicester","75","236"
"Mixed","Leicestershire","78","269"
"Mixed","Lewisham","82","385"
"Mixed","Lincolnshire","73","172"
"Mixed","Liverpool","77","193"
"Mixed","Luton","79","201"
"Mixed","Manchester","79","438"
"Mixed","Medway","78","174"
"Mixed","Merton","84","198"
"Mixed","Middlesbrough","84","74"
"Mixed","Milton Keynes","83","229"
"Mixed","Newcastle upon Tyne","84","98"
"Mixed","Newham","90","260"
"Mixed","Norfolk","76","197"
"Mixed","North East Lincolnshire","84","48"
"Mixed","North Lincolnshire","76","37"
"Mixed","North Somerset","76","58"
"Mixed","North Tyneside","79","49"
"Mixed","North Yorkshire","74","110"
"Mixed","Northamptonshire","75","380"
"Mixed","Northumberland","85","46"
"Mixed","Nottingham","75","339"
"Mixed","Nottinghamshire","79","340"
"Mixed","Oldham","82","120"
"Mixed","Oxfordshire","76","332"
"Mixed","Peterborough","69","115"
"Mixed","Plymouth","76","66"
"Mixed","Poole","82","54"
"Mixed","Portsmouth","80","77"
"Mixed","Reading","72","125"
"Mixed","Redbridge","82","282"
"Mixed","Redcar and Cleveland","84","27"
"Mixed","Richmond upon Thames","90","199"
"Mixed","Rochdale","77","113"
"Mixed","Rotherham","70","64"
"Mixed","Rutland","86","12"
"Mixed","Salford","83","179"
"Mixed","Sandwell","76","276"
"Mixed","Sefton","82","49"
"Mixed","Sheffield","72","323"
"Mixed","Shropshire","83","64"
"Mixed","Slough","76","161"
"Mixed","Solihull","82","191"
"Mixed","Somerset","75","108"
"Mixed","South Gloucestershire","83","134"
"Mixed","South Tyneside","88","29"
"Mixed","Southampton","77","135"
"Mixed","Southend-on-Sea","78","101"
"Mixed","Southwark","79","275"
"Mixed","St. Helens","74","31"
"Mixed","Staffordshire","79","241"
"Mixed","Stockport","81","158"
"Mixed","Stockton-on-Tees","82","45"
"Mixed","Stoke-on-Trent","73","111"
"Mixed","Suffolk","77","345"
"Mixed","Sunderland","82","41"
"Mixed","Surrey","84","601"
"Mixed","Sutton","86","191"
"Mixed","Swindon","78","122"
"Mixed","Tameside","83","103"
"Mixed","Telford and Wrekin","82","102"
"Mixed","Thurrock","81","112"
"Mixed","Torbay","80","35"
"Mixed","Tower Hamlets","77","158"
"Mixed","Trafford","85","175"
"Mixed","Wakefield","86","111"
"Mixed","Walsall","81","182"
"Mixed","Waltham Forest","86","302"
"Mixed","Wandsworth","80","249"
"Mixed","Warrington","85","58"
"Mixed","Warwickshire","82","227"
"Mixed","West Berkshire","82","75"
"Mixed","West Sussex","83","343"
"Mixed","Westminster","88","138"
"Mixed","Wigan","74","60"
"Mixed","Wiltshire","80","143"
"Mixed","Windsor and Maidenhead","81","102"
"Mixed","Wirral","79","92"
"Mixed","Wokingham","81","101"
"Mixed","Wolverhampton","79","298"
"Mixed","Worcestershire","73","165"
"Mixed","York","75","39"
"White","Barking and Dagenham","76","959"
"White","Barnet","86","1,811"
"White","Barnsley","77","1,993"
"White","Bath and North East Somerset","78","1,355"
"White","Bedford","69","926"
"White","Bexley","79","1,565"
"White","Birmingham","73","3,988"
"White","Blackburn with Darwen","79","834"
"White","Blackpool","76","1,177"
"White","Bolton","78","1,892"
"White","Bournemouth","77","1,093"
"White","Bracknell Forest","75","858"
"White","Bradford","73","2,703"
"White","Brent","81","778"
"White","Brighton and Hove","77","1,621"
"White","Bristol, City of","76","2,457"
"White","Bromley","83","2,153"
"White","Buckinghamshire","78","3,403"
"White","Bury","79","1,368"
"White","Calderdale","76","1,590"
"White","Cambridgeshire","74","4,372"
"White","Camden","84","492"
"White","Central Bedfordshire","73","2,089"
"White","Cheshire East","82","3,057"
"White","Cheshire West and Chester","78","2,809"
"White","City of London","87","13"
"White","Cornwall","73","4,051"
"White","County Durham","80","4,286"
"White","Coventry","76","1,834"
"White","Croydon","78","1,212"
"White","Cumbria","78","3,835"
"White","Darlington","79","919"
"White","Derby","71","1,510"
"White","Derbyshire","77","5,978"
"White","Devon","76","5,660"
"White","Doncaster","75","2,378"
"White","Dorset","75","3,043"
"White","Dudley","72","2,031"
"White","Ealing","83","991"
"White","East Riding of Yorkshire","79","2,709"
"White","East Sussex","74","3,569"
"White","Enfield","76","1,610"
"White","Essex","77","10,800"
"White","Gateshead","84","1,608"
"White","Gloucestershire","76","4,390"
"White","Greenwich","77","1,041"
"White","Hackney","84","706"
"White","Halton","75","1,045"
"White","Hammersmith and Fulham","87","454"
"White","Hampshire","78","10,216"
"White","Haringey","81","1,197"
"White","Harrow","82","605"
"White","Hartlepool","78","849"
"White","Havering","80","1,741"
"White","Herefordshire, County of","79","1,435"
"White","Hertfordshire","79","8,452"
"White","Hillingdon","77","1,143"
"White","Hounslow","79","807"
"White","Isle of Wight","70","872"
"White","Isles of Scilly","82","27"
"White","Islington","79","668"
"White","Kensington and Chelsea","89","325"
"White","Kent","75","11,198"
"White","Kingston upon Hull, City of","78","2,164"
"White","Kingston upon Thames","82","882"
"White","Kirklees","76","2,501"
"White","Knowsley","74","1,190"
"White","Lambeth","85","782"
"White","Lancashire","78","8,871"
"White","Leeds","74","4,756"
"White","Leicester","68","1,097"
"White","Leicestershire","78","5,028"
"White","Lewisham","79","872"
