"Measure","Ethnic group","Ethnicity_type","Academic year","Classification of first degree","Count","Value","Geography","Source"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","First class honours","855","15.1","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","Lower second/third class/pass","2755","48.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","Unclassified/NA","620","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","Upper second class honours","2045","36.2","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","All classifications","5655","100","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","First class honours","63420","26.3","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","Lower second/third class/pass","52105","21.6","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","Unclassified/NA","15795","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","Upper second class honours","125180","52","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","All classifications","240705","100","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2015/16","First class honours","74245","24.3","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2015/16","Lower second/third class/pass","76030","24.8","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2015/16","Unclassified/NA","19855","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2015/16","Upper second class honours","155780","50.9","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2015/16","All classified degrees","306055","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","First class honours","6850","20.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","Lower second/third class/pass","10130","30.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","Unclassified/NA","2605","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","Upper second class honours","15940","48.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","All classifications","32920","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","First class honours","2510","12.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","Lower second/third class/pass","9110","44.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","Unclassified/NA","660","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","Upper second class honours","8865","43.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","All classifications","20485","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","First class honours","2835","24.2","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","Lower second/third class/pass","2990","25.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","Unclassified/NA","540","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","Upper second class honours","5900","50.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","All classifications","11720","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","First class honours","840","20.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","Lower second/third class/pass","1345","32.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","Unclassified/NA","230","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","Upper second class honours","1920","46.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","All classifications","4105","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","First class honours","1010","16.9","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","Lower second/third class/pass","2745","46.1","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","Unclassified/NA","540","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","Upper second class honours","2210","37","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","All classifications","5965","100","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","First class honours","71340","28.6","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","Lower second/third class/pass","50980","20.4","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","Unclassified/NA","15160","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","Upper second class honours","127005","50.9","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","All classifications","249320","100","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2016/17","First class honours","84370","26.5","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2016/17","Lower second/third class/pass","74545","23.4","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2016/17","Unclassified/NA","19190","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2016/17","Upper second class honours","159635","50.1","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2016/17","All classifications","318550","100","UK","HESA student record"
