"Ethnicity","Local Authority ","%","Number"
"All","Medway","73","2,379"
"All","Merton","80","1,854"
"All","Middlesbrough","72","1,296"
"All","Milton Keynes","76","2,668"
"All","Newcastle upon Tyne","78","2,176"
"All","Newham","82","3,760"
"All","Norfolk","72","6,320"
"All","North East Lincolnshire","74","1,394"
"All","North Lincolnshire","74","1,446"
"All","North Somerset","77","1,828"
"All","North Tyneside","77","1,723"
"All","North Yorkshire","75","4,386"
"All","Northamptonshire","73","6,606"
"All","Northumberland","77","2,579"
"All","Nottingham","72","2,500"
"All","Nottinghamshire","75","6,804"
"All","Oldham","73","2,446"
"All","Oxfordshire","76","5,398"
"All","Peterborough","66","1,836"
"All","Plymouth","73","2,102"
"All","Poole","72","1,008"
"All","Portsmouth","69","1,471"
"All","Reading","73","1,188"
"All","Redbridge","79","3,092"
"All","Redcar and Cleveland","79","1,252"
"All","Richmond upon Thames","88","1,876"
"All","Rochdale","72","2,077"
"All","Rotherham","71","2,292"
"All","Rutland","76","299"
"All","Salford","76","2,153"
"All","Sandwell","72","3,105"
"All","Sefton","79","2,296"
"All","Sheffield","72","4,408"
"All","Shropshire","77","2,277"
"All","Slough","76","1,721"
"All","Solihull","77","2,054"
"All","Somerset","75","4,193"
"All","South Gloucestershire","75","2,345"
"All","South Tyneside","79","1,275"
"All","Southampton","76","1,964"
"All","Southend-on-Sea","77","1,618"
"All","Southwark","77","2,467"
"All","St. Helens","74","1,524"
"All","Staffordshire","76","7,145"
"All","Stockport","79","2,626"
"All","Stockton-on-Tees","79","1,885"
"All","Stoke-on-Trent","69","2,139"
"All","Suffolk","73","5,640"
"All","Sunderland","78","2,482"
"All","Surrey","81","9,865"
"All","Sutton","83","1,906"
"All","Swindon","75","2,085"
"All","Tameside","73","2,056"
"All","Telford and Wrekin","77","1,720"
"All","Thurrock","76","1,780"
"All","Torbay","75","1,035"
"All","Tower Hamlets","80","2,580"
"All","Trafford","84","2,467"
"All","Wakefield","71","2,737"
"All","Walsall","72","2,595"
"All","Waltham Forest","78","2,499"
"All","Wandsworth","79","1,915"
"All","Warrington","81","2,036"
"All","Warwickshire","78","4,714"
"All","West Berkshire","76","1,347"
"All","West Sussex","76","6,678"
"All","Westminster","81","1,160"
"All","Wigan","79","2,831"
"All","Wiltshire","76","3,936"
"All","Windsor and Maidenhead","81","1,226"
"All","Wirral","74","2,773"
"All","Wokingham","82","1,624"
"All","Wolverhampton","77","2,502"
"All","Worcestershire","73","4,535"
"All","York","77","1,449"
"Asian","Barking and Dagenham","80","556"
"Asian","Barnet","84","367"
"Asian","Barnsley","82","14"
"Asian","Bath and North East Somerset","68","19"
"Asian","Bedford","56","176"
"Asian","Bexley","90","227"
"Asian","Birmingham","72","4,074"
"Asian","Blackburn with Darwen","75","752"
"Asian","Blackpool","71","22"
"Asian","Bolton","75","665"
"Asian","Bournemouth","93","63"
"Asian","Bracknell Forest","83","71"
"Asian","Bradford","71","2,332"
"Asian","Brent","74","779"
"Asian","Brighton and Hove","73","67"
"Asian","Bristol, City of","67","255"
"Asian","Bromley","87","170"
"Asian","Buckinghamshire","77","791"
"Asian","Bury","63","212"
"Asian","Calderdale","71","286"
"Asian","Cambridgeshire","76","211"
"Asian","Camden","78","242"
"Asian","Central Bedfordshire","76","64"
"Asian","Cheshire East","82","58"
"Asian","Cheshire West and Chester","75","44"
"Asian","City of London","40","2"
"Asian","Cornwall","78","21"
"Asian","County Durham","86","30"
"Asian","Coventry","77","638"
"Asian","Croydon","80","571"
"Asian","Cumbria","86","31"
"Asian","Darlington","79","23"
"Asian","Derby","75","434"
"Asian","Derbyshire","77","72"
"Asian","Devon","84","36"
"Asian","Doncaster","68","71"
"Asian","Dorset","73","27"
"Asian","Dudley","68","294"
"Asian","Ealing","76","922"
"Asian","East Riding of Yorkshire","71","10"
"Asian","East Sussex","83","99"
"Asian","Enfield","82","319"
"Asian","Essex","89","397"
"Asian","Gateshead","68","26"
"Asian","Gloucestershire","78","155"
"Asian","Greenwich","84","205"
"Asian","Hackney","82","256"
"Asian","Halton","100","3"
"Asian","Hammersmith and Fulham","87","78"
"Asian","Hampshire","83","348"
"Asian","Haringey","81","145"
"Asian","Harrow","83","1,115"
"Asian","Hartlepool","89","24"
"Asian","Havering","82","168"
"Asian","Herefordshire, County of","86","6"
"Asian","Hertfordshire","83","864"
"Asian","Hillingdon","80","812"
"Asian","Hounslow","82","752"
"Asian","Isle of Wight","67","12"
"Asian","Isles of Scilly","N/A","N/A"
"Asian","Islington","81","121"
"Asian","Kensington and Chelsea","78","29"
"Asian","Kent","83","533"
"Asian","Kingston upon Hull, City of","91","42"
"Asian","Kingston upon Thames","85","257"
"Asian","Kirklees","68","980"
"Asian","Knowsley","89","39"
"Asian","Lambeth","82","115"
"Asian","Lancashire","71","1,139"
"Asian","Leeds","69","736"
"Asian","Leicester","74","1,415"
"Asian","Leicestershire","82","473"
"Asian","Lewisham","79","201"
"Asian","Lincolnshire","90","63"
"Asian","Liverpool","73","128"
"Asian","Luton","71","1,020"
"Asian","Manchester","69","1,057"
"Asian","Medway","81","121"
"Asian","Merton","82","447"
"Asian","Middlesbrough","75","131"
"Asian","Milton Keynes","83","367"
"Asian","Newcastle upon Tyne","75","308"
"Asian","Newham","82","1,737"
"Asian","Norfolk","74","87"
"Asian","North East Lincolnshire","79","11"
"Asian","North Lincolnshire","76","58"
"Asian","North Somerset","65","17"
"Asian","North Tyneside","77","46"
"Asian","North Yorkshire","80","69"
"Asian","Northamptonshire","74","309"
"Asian","Northumberland","80","43"
"Asian","Nottingham","77","456"
"Asian","Nottinghamshire","79","215"
"Asian","Oldham","67","770"
"Asian","Oxfordshire","73","297"
"Asian","Peterborough","66","337"
"Asian","Plymouth","69","22"
"Asian","Poole","78","29"
"Asian","Portsmouth","78","115"
"Asian","Reading","75","243"
"Asian","Redbridge","80","1,661"
"Asian","Redcar and Cleveland","67","6"
"Asian","Richmond upon Thames","82","137"
"Asian","Rochdale","67","484"
"Asian","Rotherham","74","195"
"Asian","Rutland","80","4"
"Asian","Salford","86","77"
"Asian","Sandwell","76","979"
"Asian","Sefton","83","29"
"Asian","Sheffield","75","559"
"Asian","Shropshire","92","23"
"Asian","Slough","83","899"
"Asian","Solihull","79","230"
"Asian","Somerset","74","48"
"Asian","South Gloucestershire","80","89"
"Asian","South Tyneside","75","45"
"Asian","Southampton","73","234"
"Asian","Southend-on-Sea","84","123"
"Asian","Southwark","81","142"
"Asian","St. Helens","60","15"
"Asian","Staffordshire","69","269"
"Asian","Stockport","79","183"
"Asian","Stockton-on-Tees","76","91"
"Asian","Stoke-on-Trent","66","320"
"Asian","Suffolk","78","114"
"Asian","Sunderland","74","106"
"Asian","Surrey","81","701"
"Asian","Sutton","90","389"
"Asian","Swindon","78","234"
"Asian","Tameside","68","228"
"Asian","Telford and Wrekin","79","100"
"Asian","Thurrock","82","99"
"Asian","Torbay","69","11"
"Asian","Tower Hamlets","80","1,649"
"Asian","Trafford","88","372"
"Asian","Wakefield","63","105"
"Asian","Walsall","76","652"
"Asian","Waltham Forest","79","698"
"Asian","Wandsworth","77","336"
"Asian","Warrington","85","60"
"Asian","Warwickshire","83","281"
"Asian","West Berkshire","79","53"
"Asian","West Sussex","76","321"
"Asian","Westminster","81","185"
"Asian","Wigan","84","46"
"Asian","Wiltshire","84","66"
"Asian","Windsor and Maidenhead","78","181"
"Asian","Wirral","75","85"
"Asian","Wokingham","90","247"
"Asian","Wolverhampton","81","601"
"Asian","Worcestershire","65","157"
"Asian","York","83","33"
"Black","Barking and Dagenham","77","846"
"Black","Barnet","75","372"
"Black","Barnsley","73","16"
"Black","Bath and North East Somerset","58","7"
"Black","Bedford","55","70"
"Black","Bexley","82","501"
"Black","Birmingham","71","1,444"
"Black","Blackburn with Darwen","76","25"
"Black","Blackpool","100","5"
"Black","Bolton","64","145"
"Black","Bournemouth","79","15"
"Black","Bracknell Forest","78","36"
"Black","Bradford","68","82"
"Black","Brent","71","670"
"Black","Brighton and Hove","74","39"
"Black","Bristol, City of","62","350"
"Black","Bromley","78","263"
"Black","Buckinghamshire","73","121"
"Black","Bury","68","38"
"Black","Calderdale","69","11"
"Black","Cambridgeshire","74","62"
"Black","Camden","78","258"
"Black","Central Bedfordshire","74","67"
"Black","Cheshire East","79","15"
"Black","Cheshire West and Chester","60","9"
"Black","City of London","50","1"
"Black","Cornwall","83","5"
"Black","County Durham","81","13"
"Black","Coventry","71","385"
"Black","Croydon","74","1,003"
"Black","Cumbria","57","4"
"Black","Darlington","100","5"
"Black","Derby","76","107"
"Black","Derbyshire","58","18"
"Black","Devon","63","10"
"Black","Doncaster","60","27"
"Black","Dorset","79","11"
"Black","Dudley","68","64"
"Black","Ealing","73","474"
"Black","East Riding of Yorkshire","100","2"
"Black","East Sussex","56","19"
"Black","Enfield","74","825"
"Black","Essex","81","433"
"Black","Gateshead","85","29"
"Black","Gloucestershire","68","61"
"Black","Greenwich","82","953"
"Black","Hackney","76","697"
"Black","Halton","75","3"
"Black","Hammersmith and Fulham","78","276"
"Black","Hampshire","75","134"
"Black","Haringey","70","577"
"Black","Harrow","81","237"
"Black","Hartlepool","100","2"
"Black","Havering","77","272"
"Black","Herefordshire, County of","0","0"
"Black","Hertfordshire","75","444"
"Black","Hillingdon","76","305"
"Black","Hounslow","74","277"
"Black","Isle of Wight","0","0"
"Black","Isles of Scilly","N/A","N/A"
"Black","Islington","69","303"
"Black","Kensington and Chelsea","83","133"
"Black","Kent","79","341"
"Black","Kingston upon Hull, City of","66","41"
"Black","Kingston upon Thames","64","37"
"Black","Kirklees","66","75"
"Black","Knowsley","94","15"
"Black","Lambeth","75","968"
"Black","Lancashire","70","50"
"Black","Leeds","65","434"
"Black","Leicester","68","331"
"Black","Leicestershire","83","66"
"Black","Lewisham","77","1,020"
"Black","Lincolnshire","69","24"
"Black","Liverpool","75","185"
"Black","Luton","68","233"
"Black","Manchester","76","925"
"Black","Medway","80","163"
"Black","Merton","77","265"
"Black","Middlesbrough","66","21"
"Black","Milton Keynes","72","411"
"Black","Newcastle upon Tyne","75","106"
"Black","Newham","83","914"
"Black","Norfolk","71","62"
"Black","North East Lincolnshire","100","5"
"Black","North Lincolnshire","29","2"
"Black","North Somerset","75","6"
"Black","North Tyneside","89","24"
"Black","North Yorkshire","57","12"
"Black","Northamptonshire","70","332"
"Black","Northumberland","100","6"
"Black","Nottingham","73","275"
"Black","Nottinghamshire","77","69"
"Black","Oldham","76","83"
"Black","Oxfordshire","72","124"
"Black","Peterborough","65","72"
"Black","Plymouth","61","17"
"Black","Poole","44","4"
"Black","Portsmouth","75","51"
"Black","Reading","73","122"
"Black","Redbridge","78","343"
"Black","Redcar and Cleveland","67","2"
"Black","Richmond upon Thames","75","49"
"Black","Rochdale","70","86"
"Black","Rotherham","79","42"
"Black","Rutland","0","0"
"Black","Salford","80","121"
"Black","Sandwell","75","330"
"Black","Sefton","91","10"
"Black","Sheffield","69","265"
"Black","Shropshire","40","2"
"Black","Slough","73","141"
"Black","Solihull","72","39"
"Black","Somerset","90","19"
"Black","South Gloucestershire","78","40"
"Black","South Tyneside","90","9"
"Black","Southampton","74","68"
"Black","Southend-on-Sea","80","73"
"Black","Southwark","74","1,049"
"Black","St. Helens","73","8"
"Black","Staffordshire","74","54"
"Black","Stockport","72","33"
"Black","Stockton-on-Tees","85","29"
"Black","Stoke-on-Trent","74","75"
"Black","Suffolk","67","41"
"Black","Sunderland","78","21"
"Black","Surrey","76","145"
"Black","Sutton","82","147"
"Black","Swindon","74","66"
"Black","Tameside","76","47"
"Black","Telford and Wrekin","63","53"
"Black","Thurrock","86","319"
"Black","Torbay","67","2"
"Black","Tower Hamlets","74","262"
"Black","Trafford","81","100"
"Black","Wakefield","77","36"
"Black","Walsall","72","133"
"Black","Waltham Forest","75","477"
"Black","Wandsworth","73","434"
"Black","Warrington","79","11"
"Black","Warwickshire","71","60"
"Black","West Berkshire","65","13"
"Black","West Sussex","69","97"
"Black","Westminster","81","196"
"Black","Wigan","76","28"
"Black","Wiltshire","61","36"
"Black","Windsor and Maidenhead","79","11"
"Black","Wirral","71","12"
"Black","Wokingham","72","47"
"Black","Wolverhampton","76","315"
"Black","Worcestershire","62","16"
"Black","York","92","11"
"Chinese","Barking and Dagenham","86","6"
"Chinese","Barnet","91","50"
"Chinese","Barnsley","100","4"
"Chinese","Bath and North East Somerset","57","4"
"Chinese","Bedford","86","6"
"Chinese","Bexley","97","29"
"Chinese","Birmingham","80","52"
"Chinese","Blackburn with Darwen","100","5"
"Chinese","Blackpool","78","7"
"Chinese","Bolton","92","12"
"Chinese","Bournemouth","75","9"
"Chinese","Bracknell Forest","100","3"
"Chinese","Bradford","67","2"
"Chinese","Brent","83","5"
"Chinese","Brighton and Hove","91","10"
"Chinese","Bristol, City of","88","23"
"Chinese","Bromley","76","22"
"Chinese","Buckinghamshire","85","17"
"Chinese","Bury","80","4"
"Chinese","Calderdale","0","0"
"Chinese","Cambridgeshire","100","39"
"Chinese","Camden","100","7"
"Chinese","Central Bedfordshire","85","11"
"Chinese","Cheshire East","73","11"
"Chinese","Cheshire West and Chester","80","12"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","78","7"
"Chinese","County Durham","77","10"
"Chinese","Coventry","80","12"
"Chinese","Croydon","87","20"
"Chinese","Cumbria","86","12"
"Chinese","Darlington","100","3"
"Chinese","Derby","73","11"
"Chinese","Derbyshire","77","20"
"Chinese","Devon","86","12"
"Chinese","Doncaster","88","14"
"Chinese","Dorset","89","8"
"Chinese","Dudley","70","7"
"Chinese","Ealing","87","13"
"Chinese","East Riding of Yorkshire","50","1"
"Chinese","East Sussex","75","9"
"Chinese","Enfield","83","20"
"Chinese","Essex","89","65"
"Chinese","Gateshead","69","9"
"Chinese","Gloucestershire","54","7"
"Chinese","Greenwich","83","35"
"Chinese","Hackney","85","17"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","2"
"Chinese","Hampshire","92","46"
"Chinese","Haringey","79","31"
"Chinese","Harrow","100","14"
"Chinese","Hartlepool","50","2"
"Chinese","Havering","94","16"
"Chinese","Herefordshire, County of","100","3"
"Chinese","Hertfordshire","91","61"
"Chinese","Hillingdon","60","6"
"Chinese","Hounslow","100","17"
"Chinese","Isle of Wight","100","4"
"Chinese","Isles of Scilly","N/A","N/A"
"Chinese","Islington","100","10"
"Chinese","Kensington and Chelsea","100","4"
"Chinese","Kent","92","44"
"Chinese","Kingston upon Hull, City of","100","6"
"Chinese","Kingston upon Thames","92","23"
"Chinese","Kirklees","67","8"
"Chinese","Knowsley","80","4"
"Chinese","Lambeth","80","12"
"Chinese","Lancashire","85","28"
"Chinese","Leeds","93","51"
"Chinese","Leicester","100","13"
"Chinese","Leicestershire","88","28"
"Chinese","Lewisham","82","37"
"Chinese","Lincolnshire","81","13"
"Chinese","Liverpool","79","57"
"Chinese","Luton","100","4"
"Chinese","Manchester","74","39"
"Chinese","Medway","100","9"
"Chinese","Merton","89","17"
"Chinese","Middlesbrough","100","2"
"Chinese","Milton Keynes","86","18"
"Chinese","Newcastle upon Tyne","79","19"
"Chinese","Newham","93","13"
"Chinese","Norfolk","60","18"
"Chinese","North East Lincolnshire","100","2"
"Chinese","North Lincolnshire","N/A","N/A"
"Chinese","North Somerset","75","3"
"Chinese","North Tyneside","100","7"
"Chinese","North Yorkshire","67","8"
"Chinese","Northamptonshire","93","26"
"Chinese","Northumberland","50","1"
"Chinese","Nottingham","88","15"
"Chinese","Nottinghamshire","74","29"
"Chinese","Oldham","100","7"
"Chinese","Oxfordshire","80","20"
"Chinese","Peterborough","83","5"
"Chinese","Plymouth","81","13"
"Chinese","Poole","N/A","N/A"
"Chinese","Portsmouth","60","6"
"Chinese","Reading","80","4"
"Chinese","Redbridge","95","18"
"Chinese","Redcar and Cleveland","N/A","N/A"
"Chinese","Richmond upon Thames","94","15"
"Chinese","Rochdale","80","4"
"Chinese","Rotherham","75","3"
"Chinese","Rutland","100","1"
"Chinese","Salford","86","6"
"Chinese","Sandwell","77","10"
"Chinese","Sefton","67","2"
"Chinese","Sheffield","79","22"
"Chinese","Shropshire","83","5"
"Chinese","Slough","100","1"
"Chinese","Solihull","100","6"
"Chinese","Somerset","79","15"
"Chinese","South Gloucestershire","75","9"
"Chinese","South Tyneside","50","1"
"Chinese","Southampton","67","8"
"Chinese","Southend-on-Sea","75","9"
"Chinese","Southwark","74","29"
"Chinese","St. Helens","80","4"
"Chinese","Staffordshire","88","21"
"Chinese","Stockport","78","14"
"Chinese","Stockton-on-Tees","91","10"
"Chinese","Stoke-on-Trent","76","13"
"Chinese","Suffolk","89","8"
"Chinese","Sunderland","62","8"
"Chinese","Surrey","95","53"
"Chinese","Sutton","93","26"
"Chinese","Swindon","89","8"
"Chinese","Tameside","50","6"
"Chinese","Telford and Wrekin","100","7"
"Chinese","Thurrock","88","14"
"Chinese","Torbay","100","5"
"Chinese","Tower Hamlets","95","18"
"Chinese","Trafford","95","36"
"Chinese","Wakefield","82","9"
"Chinese","Walsall","89","17"
"Chinese","Waltham Forest","89","33"
"Chinese","Wandsworth","100","11"
"Chinese","Warrington","75","9"
"Chinese","Warwickshire","100","18"
"Chinese","West Berkshire","88","7"
"Chinese","West Sussex","76","16"
"Chinese","Westminster","81","21"
"Chinese","Wigan","75","9"
"Chinese","Wiltshire","56","5"
"Chinese","Windsor and Maidenhead","86","6"
"Chinese","Wirral","94","16"
"Chinese","Wokingham","100","20"
"Chinese","Wolverhampton","100","7"
"Chinese","Worcestershire","90","9"
"Chinese","York","89","8"
"Mixed","Barking and Dagenham","76","201"
"Mixed","Barnet","83","342"
"Mixed","Barnsley","87","46"
"Mixed","Bath and North East Somerset","80","80"
"Mixed","Bedford","65","129"
"Mixed","Bexley","79","184"
"Mixed","Birmingham","73","962"
"Mixed","Blackburn with Darwen","78","50"
"Mixed","Blackpool","69","38"
"Mixed","Bolton","85","130"
"Mixed","Bournemouth","79","84"
"Mixed","Bracknell Forest","77","64"
"Mixed","Bradford","73","301"
"Mixed","Brent","72","185"
"Mixed","Brighton and Hove","81","240"
"Mixed","Bristol, City of","72","263"
"Mixed","Bromley","83","339"
"Mixed","Buckinghamshire","79","353"
"Mixed","Bury","74","87"
"Mixed","Calderdale","68","64"
"Mixed","Cambridgeshire","81","293"
"Mixed","Camden","89","152"
"Mixed","Central Bedfordshire","77","164"
"Mixed","Cheshire East","80","127"
"Mixed","Cheshire West and Chester","88","97"
"Mixed","City of London","67","2"
"Mixed","Cornwall","81","96"
"Mixed","County Durham","85","60"
"Mixed","Coventry","71","207"
"Mixed","Croydon","79","527"
"Mixed","Cumbria","76","48"
"Mixed","Darlington","69","20"
"Mixed","Derby","79","220"
"Mixed","Derbyshire","72","162"
"Mixed","Devon","87","155"
"Mixed","Doncaster","73","76"
"Mixed","Dorset","80","121"
"Mixed","Dudley","70","161"
"Mixed","Ealing","83","319"
"Mixed","East Riding of Yorkshire","84","56"
"Mixed","East Sussex","73","180"
"Mixed","Enfield","82","353"
"Mixed","Essex","77","601"
"Mixed","Gateshead","76","25"
"Mixed","Gloucestershire","73","234"
"Mixed","Greenwich","82","273"
"Mixed","Hackney","79","202"
"Mixed","Halton","90","36"
"Mixed","Hammersmith and Fulham","84","149"
"Mixed","Hampshire","82","469"
"Mixed","Haringey","86","279"
"Mixed","Harrow","83","171"
"Mixed","Hartlepool","75","9"
"Mixed","Havering","78","138"
"Mixed","Herefordshire, County of","79","34"
"Mixed","Hertfordshire","82","816"
"Mixed","Hillingdon","80","366"
"Mixed","Hounslow","84","210"
"Mixed","Isle of Wight","82","31"
"Mixed","Isles of Scilly","100","1"
"Mixed","Islington","81","235"
"Mixed","Kensington and Chelsea","82","144"
"Mixed","Kent","80","735"
"Mixed","Kingston upon Hull, City of","73","95"
"Mixed","Kingston upon Thames","82","136"
"Mixed","Kirklees","64","222"
"Mixed","Knowsley","85","34"
"Mixed","Lambeth","83","350"
"Mixed","Lancashire","76","342"
"Mixed","Leeds","74","387"
"Mixed","Leicester","70","220"
"Mixed","Leicestershire","74","253"
"Mixed","Lewisham","79","372"
"Mixed","Lincolnshire","72","170"
"Mixed","Liverpool","76","189"
"Mixed","Luton","75","189"
"Mixed","Manchester","76","426"
"Mixed","Medway","76","171"
"Mixed","Merton","83","197"
"Mixed","Middlesbrough","81","71"
"Mixed","Milton Keynes","78","217"
"Mixed","Newcastle upon Tyne","85","99"
"Mixed","Newham","87","251"
"Mixed","Norfolk","75","195"
"Mixed","North East Lincolnshire","75","43"
"Mixed","North Lincolnshire","73","36"
"Mixed","North Somerset","70","53"
"Mixed","North Tyneside","73","45"
"Mixed","North Yorkshire","74","110"
"Mixed","Northamptonshire","75","377"
"Mixed","Northumberland","81","44"
"Mixed","Nottingham","71","318"
"Mixed","Nottinghamshire","74","318"
"Mixed","Oldham","73","108"
"Mixed","Oxfordshire","76","333"
"Mixed","Peterborough","64","106"
"Mixed","Plymouth","70","61"
"Mixed","Poole","70","46"
"Mixed","Portsmouth","66","63"
"Mixed","Reading","74","128"
"Mixed","Redbridge","80","275"
"Mixed","Redcar and Cleveland","84","27"
"Mixed","Richmond upon Thames","87","192"
"Mixed","Rochdale","71","104"
"Mixed","Rotherham","70","64"
"Mixed","Rutland","86","12"
"Mixed","Salford","79","171"
"Mixed","Sandwell","69","251"
"Mixed","Sefton","82","49"
"Mixed","Sheffield","72","323"
"Mixed","Shropshire","79","61"
"Mixed","Slough","69","145"
"Mixed","Solihull","75","175"
"Mixed","Somerset","76","109"
"Mixed","South Gloucestershire","77","124"
"Mixed","South Tyneside","76","25"
"Mixed","Southampton","78","136"
"Mixed","Southend-on-Sea","77","99"
"Mixed","Southwark","80","280"
"Mixed","St. Helens","79","33"
"Mixed","Staffordshire","76","234"
"Mixed","Stockport","77","150"
"Mixed","Stockton-on-Tees","73","40"
"Mixed","Stoke-on-Trent","67","103"
"Mixed","Suffolk","75","339"
"Mixed","Sunderland","80","40"
"Mixed","Surrey","83","595"
"Mixed","Sutton","83","184"
"Mixed","Swindon","78","121"
"Mixed","Tameside","79","98"
"Mixed","Telford and Wrekin","83","104"
"Mixed","Thurrock","78","108"
"Mixed","Torbay","80","35"
"Mixed","Tower Hamlets","82","167"
"Mixed","Trafford","84","174"
"Mixed","Wakefield","77","99"
"Mixed","Walsall","75","167"
"Mixed","Waltham Forest","80","280"
"Mixed","Wandsworth","80","249"
"Mixed","Warrington","81","55"
"Mixed","Warwickshire","81","223"
"Mixed","West Berkshire","82","75"
"Mixed","West Sussex","79","327"
"Mixed","Westminster","87","137"
"Mixed","Wigan","72","58"
"Mixed","Wiltshire","79","142"
"Mixed","Windsor and Maidenhead","76","96"
"Mixed","Wirral","77","90"
"Mixed","Wokingham","80","100"
"Mixed","Wolverhampton","76","284"
"Mixed","Worcestershire","76","170"
"Mixed","York","77","40"
"White","Barking and Dagenham","72","902"
"White","Barnet","85","1,794"
"White","Barnsley","74","1,913"
"White","Bath and North East Somerset","79","1,377"
"White","Bedford","63","836"
"White","Bexley","77","1,539"
"White","Birmingham","71","3,919"
"White","Blackburn with Darwen","76","801"
"White","Blackpool","72","1,111"
"White","Bolton","75","1,823"
"White","Bournemouth","75","1,062"
"White","Bracknell Forest","77","873"
"White","Bradford","71","2,623"
"White","Brent","77","737"
"White","Brighton and Hove","80","1,676"
"White","Bristol, City of","76","2,461"
"White","Bromley","83","2,140"
"White","Buckinghamshire","80","3,474"
"White","Bury","79","1,367"
"White","Calderdale","75","1,571"
"White","Cambridgeshire","75","4,400"
"White","Camden","84","491"
"White","Central Bedfordshire","74","2,116"
"White","Cheshire East","81","3,025"
"White","Cheshire West and Chester","78","2,804"
"White","City of London","87","13"
"White","Cornwall","75","4,164"
"White","County Durham","78","4,174"
"White","Coventry","71","1,702"
"White","Croydon","77","1,195"
"White","Cumbria","78","3,841"
"White","Darlington","78","903"
"White","Derby","69","1,473"
"White","Derbyshire","76","5,920"
"White","Devon","77","5,729"
"White","Doncaster","71","2,250"
"White","Dorset","74","3,017"
"White","Dudley","69","1,946"
"White","Ealing","82","970"
"White","East Riding of Yorkshire","77","2,637"
"White","East Sussex","77","3,694"
"White","Enfield","71","1,511"
"White","Essex","76","10,657"
"White","Gateshead","81","1,545"
"White","Gloucestershire","76","4,385"
"White","Greenwich","76","1,036"
"White","Hackney","79","669"
"White","Halton","75","1,046"
"White","Hammersmith and Fulham","87","463"
"White","Hampshire","78","10,275"
"White","Haringey","77","1,135"
"White","Harrow","80","590"
"White","Hartlepool","75","819"
"White","Havering","78","1,678"
"White","Herefordshire, County of","80","1,446"
"White","Hertfordshire","79","8,494"
"White","Hillingdon","76","1,125"
"White","Hounslow","76","783"
"White","Isle of Wight","69","861"
"White","Isles of Scilly","76","25"
"White","Islington","81","683"
"White","Kensington and Chelsea","88","322"
"White","Kent","77","11,480"
"White","Kingston upon Hull, City of","77","2,134"
"White","Kingston upon Thames","83","886"
"White","Kirklees","76","2,499"
"White","Knowsley","73","1,165"
"White","Lambeth","83","765"
"White","Lancashire","77","8,717"
"White","Leeds","74","4,726"
"White","Leicester","68","1,094"
"White","Leicestershire","76","4,903"
"White","Lewisham","80","883"
