"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value type","Denominator","Numerator","Lower CI","Upper CI","Unweighted respondents","Note"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","White Irish","ONS 2011 18+1","England","72.7","%","5,763.2","4,190.4","","","7,017","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Pakistani","ONS 2011 18+1","England","54.6","%","13,714.9","7,482.7","","","12,572","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Mixed White/Asian","ONS 2011 18+1","England","65.7","%","2,693.9","1,770.0","","","2,033","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Mixed White/Black African","ONS 2011 18+1","England","65.9","%","1,271.2","837.4","","","975","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Mixed White/Black Caribbean","ONS 2011 18+1","England","64.1","%","2,591.5","1,660.1","","","1,901","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Unknown","ONS 2011 18+1","England","63.3","%","8,341.5","5,277.3","","","9,824","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Black African","ONS 2011 18+1","England","76","%","12,350.4","9,391.9","","","10,912","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Asian other","ONS 2011 18+1","England","68.1","%","12,444.8","8,474.5","","","11,283","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Black other","ONS 2011 18+1","England","75.2","%","3,343.1","2,512.7","","","3,324","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Any other ethnic group","ONS 2011 18+1","England","71.8","%","18,987.3","13,632.8","","","17,619","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed other","ONS 2011 18+1","England","67.6","%","2,748.5","1,857.3","","","2,120","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White other","ONS 2011 18+1","England","72","%","50,742.1","36,528.7","","","39,001","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Arab","ONS 2011 18+1","England","71.3","%","2,104.0","1,499.7","","","1,679","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 2011 18+1","England","58.9","%","5,139.2","3,025.1","","","3,918","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 2011 18+1","England","70.8","%","5,946.2","4,210.6","","","6,668","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Chinese","ONS 2011 18+1","England","62.9","%","5,692.1","3,580.6","","","4,348","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White British","ONS 2011 18+1","England","73.8","%","596,340.1","439,984.6","","","610,172","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White Gypsy or Irish Traveller","ONS 2011 18+1","England","60.7","%","291.1","176.6","","","216","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Indian","ONS 2011 18+1","England","61.2","%","19,701.2","12,066.8","","","20,273","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","White Irish","ONS 2011 18+1","England","76.4","%","6,252.0","4,775.6","","","7,554","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Pakistani","ONS 2011 18+1","England","56.4","%","13,190.3","7,444.2","","","12,055","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed White/Asian","ONS 2011 18+1","England","69.5","%","2,521.7","1,753.5","","","1,822","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed White/Black African","ONS 2011 18+1","England","73.3","%","1,417.2","1,038.4","","","1,125","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Mixed White/Black Caribbean","ONS 2011 18+1","England","67.5","%","2,578.5","1,741.4","","","1,901","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","Unknown","ONS 2011 18+1","England","70.7","%","11,420.4","8,071.9","","","12,449","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Black African","ONS 2011 18+1","England","76.4","%","12,901.5","9,852.6","","","11,767","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Asian other","ONS 2011 18+1","England","69.2","%","12,092.0","8,366.4","","","11,545","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Black other","ONS 2011 18+1","England","74","%","3,074.9","2,275.1","","","3,230","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Any other ethnic group","ONS 2011 18+1","England","73","%","15,773.9","11,510.8","","","15,390","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Mixed other","ONS 2011 18+1","England","72","%","2,415.0","1,738.2","","","1,964","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","White other","ONS 2011 18+1","England","72.5","%","49,205.9","35,672.3","","","39,352","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Arab","ONS 2011 18+1","England","71.8","%","1,978.1","1,419.4","","","1,734","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 2011 18+1","England","59","%","5,240.8","3,092.2","","","4,134","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Black Caribbean","ONS 2011 18+1","England","72","%","5,775.7","4,156.0","","","6,932","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Chinese","ONS 2011 18+1","England","63.8","%","5,866.0","3,741.5","","","4,563","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","White British","ONS 2011 18+1","England","74.5","%","622,683.3","464,099.0","","","631,362","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","White Gypsy or Irish Traveller","ONS 2011 18+1","England","65.6","%","288.1","188.9","","","218","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Indian","ONS 2011 18+1","England","63","%","20,855.2","13,128.7","","","21,693","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","White Irish","ONS 2011 18+1","England","77.4","%","6,709.9","5,196.7","","","8,071","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Pakistani","ONS 2011 18+1","England","58.5","%","13,418.4","7,855.7","","","12,652","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Mixed White/Asian","ONS 2011 18+1","England","69.9","%","2,366.4","1,653.6","","","1,750","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Mixed White/Black African","ONS 2011 18+1","England","71.6","%","1,180.3","844.8","","","1,009","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Mixed White/Black Caribbean","ONS 2011 18+1","England","69.4","%","2,412.9","1,675.5","","","1,845","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","Unknown","ONS 2011 18+1","England","69.8","%","14,897.7","10,402.4","","","15,990","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Black African","ONS 2011 18+1","England","75.4","%","12,518.6","9,437.7","","","10,872","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Asian other","ONS 2011 18+1","England","66.9","%","11,393.5","7,622.8","","","10,319","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Black other","ONS 2011 18+1","England","76.4","%","3,003.3","2,293.5","","","3,171","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Any other ethnic group","ONS 2011 18+1","England","73.2","%","21,639.1","15,843.7","","","20,116","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Mixed other","ONS 2011 18+1","England","67.8","%","2,512.6","1,704.2","","","1,896","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","White other","ONS 2011 18+1","England","72.1","%","46,545.7","33,568.2","","","36,735","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Arab","ONS 2011 18+1","England","69.2","%","1,801.4","1,246.6","","","1,489","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Bangladeshi","ONS 2011 18+1","England","61","%","4,916.5","3,000.1","","","3,591","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Black Caribbean","ONS 2011 18+1","England","72.1","%","6,028.6","4,346.3","","","7,157","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Chinese","ONS 2011 18+1","England","63.6","%","5,497.2","3,495.0","","","4,082","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","White British","ONS 2011 18+1","England","74.4","%","652,206.8","485,371.0","","","664,008","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","White Gypsy or Irish Traveller","ONS 2011 18+1","England","62.8","%","254.7","160.1","","","178","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Indian","ONS 2011 18+1","England","60.9","%","19,508.9","11,879.2","","","19,537","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","White Irish","ONS 2011 18+1","England","77.4","%","6,817.5","5,276.2","","","8,702","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Pakistani","ONS 2011 18+1","England","57.1","%","12,311.9","7,028.1","","","10,655","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Mixed White/Asian","ONS 2011 18+1","England","67.6","%","2,321.2","1,568.7","","","1,565","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Mixed White/Black African","ONS 2011 18+1","England","72.1","%","1,206.9","870.3","","","985","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Mixed White/Black Caribbean","ONS 2011 18+1","England","67.6","%","2,440.8","1,649.7","","","1,834","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","Unknown","ONS 2011 18+1","England","68.5","%","11,719.3","8,032.8","","","13,120","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Black African","ONS 2011 18+1","England","77.5","%","12,205.1","9,459.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Asian other","ONS 2011 18+1","England","69.4","%","11,068.8","7,683.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Black other","ONS 2011 18+1","England","76.6","%","3,281.3","2,512.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Any other ethnic group","ONS 2011 18+1","England","74.8","%","24,345.9","18,201.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Mixed other","ONS 2011 18+1","England","70.2","%","2,216.7","1,555.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","White other","ONS 2011 18+1","England","73.9","%","45,807.0","33,852.7","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Arab","ONS 2011 18+1","England","69.5","%","1,599.2","1,111.5","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Bangladeshi","ONS 2011 18+1","England","61.4","%","4,799.6","2,948.2","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Black Caribbean","ONS 2011 18+1","England","73.2","%","6,228.9","4,559.7","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Chinese","ONS 2011 18+1","England","65.6","%","5,283.4","3,466.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","White British","ONS 2011 18+1","England","75.5","%","688,571.5","519,968.5","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","White Gypsy or Irish Traveller","ONS 2011 18+1","England","62.4","%","285.1","177.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Indian","ONS 2011 18+1","England","63.6","%","19,779.4","12,578.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","White Irish","ONS 2011 18+1","England","78.7","%","7,060.8","5,554.7","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Pakistani","ONS 2011 18+1","England","60.3","%","12,595.4","7,599.2","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Mixed White/Asian","ONS 2011 18+1","England","68.6","%","2,306.0","1,582.0","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Mixed White/Black African","ONS 2011 18+1","England","72.6","%","1,267.4","920.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Mixed White/Black Caribbean","ONS 2011 18+1","England","69.2","%","2,579.4","1,786.2","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","Unknown","ONS 2011 18+1","England","71.1","%","12,389.7","8,808.9","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Black African","ONS 2011 18+1","England","78.4","%","13,648.1","10,703.4","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Asian other","ONS 2011 18+1","England","70.5","%","12,236.4","8,632.4","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Black other","ONS 2011 18+1","England","77.9","%","3,655.6","2,849.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Any other ethnic group","ONS 2011 18+1","England","76.5","%","24,412.8","18,681.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Mixed other","ONS 2011 18+1","England","70","%","2,471.7","1,729.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","White other","ONS 2011 18+1","England","75.2","%","49,415.4","37,169.5","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Arab","ONS 2011 18+1","England","74.5","%","1,785.0","1,329.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Bangladeshi","ONS 2011 18+1","England","62.6","%","5,167.7","3,237.5","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Black Caribbean","ONS 2011 18+1","England","74.8","%","6,992.3","5,228.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Chinese","ONS 2011 18+1","England","68.4","%","5,810.4","3,975.4","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","White British","ONS 2011 18+1","England","77.4","%","746,234.3","577,504.2","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","White Gypsy or Irish Traveller","ONS 2011 18+1","England","67.5","%","293.4","198.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Indian","ONS 2011 18+1","England","63.7","%","21,667.6","13,808.0","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","White Irish","ONS 2011 18+1","England","78.9","%","7,749.5","6,117.3","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Pakistani","ONS 2011 18+1","England","60.8","%","13,565.3","8,246.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Mixed White/Asian","ONS 2011 18+1","England","70.4","%","2,388.5","1,682.3","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Mixed White/Black African","ONS 2011 18+1","England","74.9","%","1,251.6","937.9","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Mixed White/Black Caribbean","ONS 2011 18+1","England","71.5","%","2,624.9","1,876.3","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","Unknown","ONS 2011 18+1","England","72.2","%","12,230.8","8,825.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Black African","ONS 2011 18+1","England","82.3","%","14,296.4","11,770.2","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Asian other","ONS 2011 18+1","England","73.8","%","13,778.0","10,166.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Black other","ONS 2011 18+1","England","79.7","%","4,027.0","3,209.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Any other ethnic group","ONS 2011 18+1","England","77.4","%","23,174.1","17,938.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Mixed other","ONS 2011 18+1","England","73.8","%","2,673.2","1,971.9","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","White other","ONS 2011 18+1","England","77.2","%","49,096.9","37,892.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Arab","ONS 2011 18+1","England","75.2","%","2,095.1","1,574.5","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Bangladeshi","ONS 2011 18+1","England","66.1","%","5,808.0","3,837.1","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Black Caribbean","ONS 2011 18+1","England","78.3","%","7,682.6","6,012.7","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Chinese","ONS 2011 18+1","England","68.4","%","6,352.9","4,346.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","White British","ONS 2011 18+1","England","80.3","%","794,344.4","637,478.0","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","White Gypsy or Irish Traveller","ONS 2011 18+1","England","73.4","%","378.4","277.8","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Indian","ONS 2011 18+1","England","67.5","%","23,447.9","15,827.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","White Irish","ONS 2011 18+1","England","82.8","%","8,566.7","7,096.5","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Pakistani","ONS 2011 18+1","England","64","%","14,511.3","9,284.7","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Mixed White/Asian","ONS 2011 18+1","England","73.9","%","2,510.4","1,854.9","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Mixed White/Black African","ONS 2011 18+1","England","76.8","%","1,443.9","1,109.6","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Mixed White/Black Caribbean","ONS 2011 18+1","England","73.7","%","2,712.0","1,998.3","","","","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","Unknown","ONS 2011 18+1","England","76.4","%","16,381.8","12,520.2","","","","No figures to report for upper and lower bounds"
