"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Denominator","Numerator","Lower_95_CI","Upper_95_CI"
"Key stage 2 average progress in maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","1.1","31778","33770.126593000001","1.00342771372895","1.12195000626599"
"Key stage 2 average progress in maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-0.1","17332","-1599.3587680000001","-0.17252113471102801","-1.20344581807342E-2"
"Key stage 2 average progress in maths","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-0.7","17856","-12323.480235000001","-0.76921622887347696","-0.61110189780663604"
"Key stage 2 average progress in maths","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-1.1","223687","-235610.92042099999","-1.0756426621306601","-1.03096988505358"
"Key stage 2 average progress in maths","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","1.6","4935","7972.6448689999997","1.4651509897911299","1.7659107605634801"
"Key stage 2 average progress in maths","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-1.1","2095","-2344.315724","-1.3498080470118099","-0.88820219069702799"
"Key stage 2 average progress in maths","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","All","NA","0","NULL","NULL","NULL"
"Key stage 2 average progress in maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","1.8","64856","119889.094259","1.8070609748109501","1.89002469988377"
"Key stage 2 average progress in maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","0.3","34610","10898.376593999999","0.25810611759340502","0.37167582947391498"
"Key stage 2 average progress in maths","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-0.1","35998","-2944.1476630000002","-0.13746577129394799","-2.6107075141965499E-2"
"Key stage 2 average progress in maths","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-0.3","456393","-140096.98484300001","-0.322603048598536","-0.29132829935377502"
"Key stage 2 average progress in maths","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","2.4","10146","24087.550546999999","2.2692149298751998","2.4789716553800298"
"Key stage 2 average progress in maths","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-0.4","4354","-1788.8896629999999","-0.57096038256989201","-0.25076201660328901"
"Key stage 2 average progress in maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","5.1","1257","6423.8458780000001","4.8124928378305896","5.4084234358369097"
"Key stage 2 average progress in maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","3.7","1288","4774.3180199999997","3.4124109520344001","4.0011263461022697"
"Key stage 2 average progress in maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","4.4","2545","11198.163898000001","4.1906582488279502","4.6094705511720502"
"Key stage 2 average progress in maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","3.3","5455","18248.771687","3.20229646304402","3.48836226729509"
"Key stage 2 average progress in maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","2.7","5167","13998.916383","2.5623278336298001","2.8562579542548598"
"Key stage 2 average progress in maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","3.2","8670","28052.283216","3.12210242802003","3.3490125006996498"
"Key stage 2 average progress in maths","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","1.9","13786","25818.99638","1.7828683389135001","1.9628151631900701"
"Key stage 2 average progress in maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","1.3","11631","15450.782085000001","1.23045930919278","1.42636849323177"
"Key stage 2 average progress in maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","-1.1","3326","-3732.8220459999998","-1.30549324128308","-0.93913817543369404"
"Key stage 2 average progress in maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.3","2321","779.77532299999996","0.11668688882502801","0.55524359200220197"
"Key stage 2 average progress in maths","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","1","6490","6582.979327","0.88319385987103605","1.1454592455218799"
"Key stage 2 average progress in maths","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","1.4","4172","6016.9483959999998","1.2786675683825599","1.6057755744745801"
"Key stage 2 average progress in maths","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.3","2474","798.191868","0.11024240714516199","0.53502183537706904"
"Key stage 2 average progress in maths","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","-0.8","5006","-4018.7870189999999","-0.95210371054047005","-0.65348439133728098"
"Key stage 2 average progress in maths","White Gypsy","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0","919","-18.575509","-0.36869090690759099","0.32826542486188898"
"Key stage 2 average progress in maths","White Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","-1","183","-189.20750200000001","-1.8148430011806","-0.25299855073196598"
"Key stage 2 average progress in maths","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.2","212820","40298.825156999999","0.16645682325528299","0.212255940178606"
"Key stage 2 average progress in maths","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","1.3","784","989.94921699999998","0.88540032590612106","1.63998032970612"
"Key stage 2 average progress in maths","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","3","18000","54432.944215000003","2.9453121545175298","3.1027927582603598"
"Key stage 2 average progress in maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","1.9","5219","9980.3683349999992","1.76608322331149","2.05854537795312"
"Key stage 2 average progress in maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","1.1","4965","5504.7144660000004","0.95877894281389098","1.25862869706527"
"Key stage 2 average progress in maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","1.8","8423","15049.502640000001","1.6716087396697801","1.9018217815221701"
"Key stage 2 average progress in maths","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","0.2","13171","3235.5411519999998","0.153606419753641","0.33770648769454298"
"Key stage 2 average progress in maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","0.4","11635","4755.8534010000003","0.310816299860596","0.50669180516734402"
"Key stage 2 average progress in maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-1.6","3466","-5475.9450109999998","-1.7593432624712499","-1.4004634374710401"
"Key stage 2 average progress in maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-0.4","2231","-879.26715799999999","-0.61777101239089804","-0.17045593337333301"
"Key stage 2 average progress in maths","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-0.2","6276","-1345.69424","-0.34776873894326299","-8.1069450986634303E-2"
"Key stage 2 average progress in maths","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","0","4112","-8.2031790000000004","-0.166737862441283","0.16274798938681201"
"Key stage 2 average progress in maths","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-0.8","2625","-2049.5502069999998","-0.986971541849199","-0.574590520627002"
"Key stage 2 average progress in maths","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-1.8","4843","-8920.0326089999999","-1.9936418181082101","-1.69003879679991"
"Key stage 2 average progress in maths","White Gypsy","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-1.5","864","-1326.056284","-1.8941860284052401","-1.17538870307625"
"Key stage 2 average progress in maths","White Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-1.7","187","-316.21971600000001","-2.4635394920715301","-0.91848955605681304"
"Key stage 2 average progress in maths","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-1.3","204626","-257516.05321799999","-1.2818253637564601","-1.2351182623516499"
"Key stage 2 average progress in maths","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-0.2","749","-128.64793499999999","-0.55776413854560003","0.21424495296482499"
"Key stage 2 average progress in maths","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","1.4","17261","23676.056732000001","1.2912421502246101","1.4520585544853799"
"Key stage 2 average progress in maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","2.6","10674","28229.140022","2.54241216112265","2.7469151804549599"
"Key stage 2 average progress in maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","1.9","10132","19503.630849000001","1.8200028999686699","2.02990449225398"
"Key stage 2 average progress in maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","2.5","17093","43101.785856000002","2.4408021226947101","2.6024068933937698"
"Key stage 2 average progress in maths","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","1.1","26957","29054.537531999998","1.01346805235412","1.1421529390024701"
"Key stage 2 average progress in maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","0.9","23266","20206.635485999999","0.79924651886002696","0.93776332262538697"
"Key stage 2 average progress in maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-1.4","6792","-9208.7670569999991","-1.4840097360901101","-1.22764134076501"
"Key stage 2 average progress in maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","0","4552","-99.491834999999995","-0.178435256337867","0.13472179632029199"
"Key stage 2 average progress in maths","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","0.4","12766","5237.2850870000002","0.316753858758276","0.50375140318751899"
"Key stage 2 average progress in maths","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","0.7","8284","6008.7452169999997","0.60927525037180597","0.84141166826654201"
"Key stage 2 average progress in maths","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-0.2","5099","-1251.3583389999999","-0.39335427425848601","-9.7470726329865198E-2"
"Key stage 2 average progress in maths","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-1.3","9849","-12938.819627999999","-1.4201670610341599","-1.2072711820362001"
"Key stage 2 average progress in maths","White Gypsy","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-0.8","1783","-1344.631793","-1.0043230166460799","-0.50395717740888801"
"Key stage 2 average progress in maths","White Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-1.4","370","-505.42721799999998","-1.9152219580997401","-0.81681705811646899"
"Key stage 2 average progress in maths","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","-0.5","417446","-217217.228061","-0.53669866877597305","-0.50399750778818098"
"Key stage 2 average progress in maths","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","0.6","1533","861.30128200000001","0.29202775193908498","0.83165298126378695"
"Key stage 2 average progress in maths","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","2.2","35261","78109.000946999993","2.1589087014262001","2.2714251488333201"
"Key stage 2 average progress in maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","2.6","750","1982.2402709999999","2.2572399044446398","3.0287341515553501"
"Key stage 2 average progress in maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","3.5","4705","16266.531416","3.3032745381852799","3.61129779592734"
"Key stage 2 average progress in maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","2.1","1189","2553.262123","1.8410356689856999","2.4537702570025202"
"Key stage 2 average progress in maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","2.9","3978","11445.654259999999","2.7097437264773099","3.0447330256594398"
"Key stage 2 average progress in maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","1.5","589","886.53271600000005","1.0698619400334901","1.94043590716515"
"Key stage 2 average progress in maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","3.4","8081","27165.750499999998","3.2441647632048798","3.4791988056603098"
"Key stage 2 average progress in maths","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","1.1","2661","2875.6238709999998","0.87586433289714105","1.28544635556584"
"Key stage 2 average progress in maths","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","2.1","11125","22943.372509000001","1.9621681551207999","2.1624830824522201"
"Key stage 2 average progress in maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","1.6","5189","8297.6589810000005","1.45243315009644","1.7457395155424"
"Key stage 2 average progress in maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","2.8","27889","77821.308684999996","2.7271361696767999","2.8536525774995498"
"Key stage 2 average progress in maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","0.9","2940","2603.5776540000002","0.690738911405675","1.08040234981881"
"Key stage 2 average progress in maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","1.5","8691","12847.204431","1.3649014737707901","1.5915372400711001"
"Key stage 2 average progress in maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-1.9","1065","-2018.742696","-2.2192448429915501","-1.5718212527830999"
"Key stage 2 average progress in maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","-0.8","2261","-1714.07935","-0.98027553331214201","-0.53593795629422802"
"Key stage 2 average progress in maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.3","621","-211.09218999999999","-0.76384654617379699","8.4000523629512006E-2"
"Key stage 2 average progress in maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.6","1700","990.86751300000003","0.326645696935006","0.83908078894735005"
"Key stage 2 average progress in maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","0.1","4626","373.74276800000001","-7.4529341445992298E-2","0.23611289873090399"
"Key stage 2 average progress in maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","1","12652","12123.992593999999","0.86434782242013797","1.0521859420439801"
"Key stage 2 average progress in maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","4.3","96","412.76310000000001","3.2214196370065298","5.3778116129934803"
"Key stage 2 average progress in maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","5.2","1161","6011.082778","4.8674649102352197","5.4875441819267303"
"Key stage 2 average progress in maths","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.4","1350","-566.62546299999997","-0.70724149531677905","-0.13220363505359001"
"Key stage 2 average progress in maths","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","1.4","5140","7149.6047900000003","1.24362314209012","1.5383242470149401"
"Key stage 2 average progress in maths","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","0","774","-12.286790999999999","-0.39559386090694698","0.36384504695345998"
"Key stage 2 average progress in maths","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","1.8","3398","6029.2351870000002","1.5931217270157201","1.9555746749854701"
"Key stage 2 average progress in maths","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","0","616","-15.613016999999999","-0.45098633349766098","0.400294719861297"
"Key stage 2 average progress in maths","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.4","1858","813.80488500000001","0.192919008241486","0.68308194439576098"
"Key stage 2 average progress in maths","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-1.4","1606","-2180.5382420000001","-1.62135405462751","-1.0941356614372599"
"Key stage 2 average progress in maths","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","-0.5","3400","-1838.248777","-0.72183456923994505","-0.35948824076006403"
"Key stage 2 average progress in maths","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.6","4346","-2775.0635130000001","-0.79877926013392497","-0.478286323391163"
"Key stage 2 average progress in maths","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.9","13796","12154.396085","0.79106790662160797","0.97094950204755504"
"Key stage 2 average progress in maths","White Gypsy","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.9","400","-364.68558300000001","-1.4399199601599999","-0.383507954839998"
"Key stage 2 average progress in maths","White Gypsy","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.7","519","346.110074","0.203165351976241","1.1305921586210601"
"Key stage 2 average progress in maths","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.7","36315","-25493.400881000001","-0.75744325722323302","-0.64657166118514797"
"Key stage 2 average progress in maths","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.6","196391","121007.336459","0.59231705353490705","0.63999335232890997"
"Key stage 2 average progress in maths","White Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.8","123","-93.761886000000004","-1.7148263829927299","0.19024287079761301"
"Key stage 2 average progress in maths","White Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","-1.6","60","-95.445616000000001","-2.9545823011126502","-0.22693823222068599"
"Key stage 2 average progress in maths","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.8","33946","-28415.940266000001","-0.89442998460397205","-0.77975491293918697"
"Key stage 2 average progress in maths","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.4","178874","68714.765423000004","0.35917366126970401","0.40912989791721299"
"Key stage 2 average progress in maths","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","0.8","131","99.558758999999995","-0.16300092783594899","1.68298198127106"
"Key stage 2 average progress in maths","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","1.4","653","890.39045799999997","0.95013225683700397","1.7769441842043401"
"Key stage 2 average progress in maths","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","1.9","1715","3281.4280950000002","1.6582745513056401","2.1684637519013501"
"Key stage 2 average progress in maths","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","3.1","16285","51151.51612","3.0582376596015202","3.2238030060418001"
"Key stage 2 average progress in maths","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","2.8","1288","3575.5876539999999","2.4817196740840699","3.0704350681519501"
"Key stage 2 average progress in maths","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","3.2","3923","12539.318024","3.0276947343506802","3.3650241155091201"
"Key stage 2 average progress in maths","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.2","392","-65.721630000000005","-0.70122585702250595","0.36591141824699602"
"Key stage 2 average progress in maths","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.3","1867","621.14769100000001","8.8208242651500096E-2","0.57718831974807305"
"Key stage 2 average progress in maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","1.4","721","988.08690100000001","0.97701113982214505","1.76386791981725"
"Key stage 2 average progress in maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","2","4498","8992.2814340000004","1.8416576734688199","2.1566888956730201"
"Key stage 2 average progress in maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","0.8","1133","943.01331400000004","0.518468086976696","1.1461626526526101"
"Key stage 2 average progress in maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","1.2","3832","4561.7011519999996","1.0197674431147199","1.36107866962015"
"Key stage 2 average progress in maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","0.2","580","98.990757000000002","-0.26797749055973802","0.60932492849077302"
"Key stage 2 average progress in maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","1.9","7843","14950.511882999999","1.7869368700924799","2.02551037789934"
"Key stage 2 average progress in maths","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","-0.4","2507","-929.60746300000005","-0.58179195737745204","-0.159817506523624"
"Key stage 2 average progress in maths","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","0.4","10664","4165.1486150000001","0.288280886925321","0.49287976855104998"
"Key stage 2 average progress in maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","0.2","4941","1100.4835089999999","7.2436302773588895E-2","0.37301340740653699"
"Key stage 2 average progress in maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","1.2","26837","32669.643083999999","1.1528497481774","1.2818220172210799"
