"Measure","Time","Type_type","Ethnicity","Ethnicity_Type","Local Authority","School type","Value","Denominator","Numerator"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bath and North East Somerset","","2.8","26,076","720"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bath and North East Somerset","","5.7","411,421","23,359"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bath and North East Somerset","","5.9","38,997","2,290"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bath and North East Somerset","","7","199,624","13,917"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bath and North East Somerset","","5","7,258,983","361,666"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bedford","","5","3,764,698","188,066"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bedford","","5.1","1,289,369","66,074"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bedford","","3.2","488,619","15,697"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bedford","","2.5","20,370","519"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bedford","","5.3","835,413","44,303"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bedford","","4.5","106,606","4,835"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bedford","","5.4","78,787","4,226"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bedford","","4.6","5,637,958","259,475"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bexley","","3.4","5,485,975","186,731"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bexley","","3.6","988,716","35,838"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bexley","","2.3","2,383,746","55,031"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bexley","","2.2","153,120","3,390"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bexley","","4.6","944,015","43,132"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bexley","","4.4","174,347","7,612"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bexley","","4.9","143,903","7,039"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bexley","","5.2","8,088,697","424,492"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Birmingham","","5","40,768,141","2,038,907"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Birmingham","","5","21,993,457","1,106,724"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Birmingham","","4","7,553,264","300,086"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Birmingham","","2.4","296,616","7,029"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Birmingham","","5.8","5,027,187","293,613"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Birmingham","","4.3","3,003,634","128,611"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Birmingham","","6.4","1,179,899","74,936"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Birmingham","","5.6","20,566,155","1,150,234"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Blackburn with Darwen","","4.4","4,517,953","199,846"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Blackburn with Darwen","","4.2","3,734,916","156,329"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Blackburn with Darwen","","2.7","103,090","2,743"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Blackburn with Darwen","","2","19,952","405"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Blackburn with Darwen","","5.1","274,025","13,994"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Blackburn with Darwen","","5.3","93,359","4,912"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Blackburn with Darwen","","6.7","46,729","3,110"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Blackburn with Darwen","","5.5","4,178,645","229,687"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Blackpool","","4.9","703,003","34,319"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Blackpool","","4.2","126,757","5,333"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Blackpool","","4.4","21,714","947"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Blackpool","","2.2","22,796","501"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Blackpool","","5.1","195,036","9,916"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Blackpool","","4.5","21,488","965"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Blackpool","","9","20,027","1,807"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Blackpool","","5","5,663,878","284,998"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bolton","","4.6","5,837,837","269,298"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bolton","","4.2","3,498,626","146,333"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bolton","","2.7","872,879","23,483"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bolton","","3","42,496","1,282"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bolton","","5.5","619,299","34,024"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bolton","","6.3","271,411","16,992"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bolton","","6.4","92,117","5,889"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bolton","","5.4","10,032,202","541,515"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bournemouth","","4.9","1,853,914","90,615"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bournemouth","","4.1","248,278","10,234"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bournemouth","","3.1","62,596","1,949"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bournemouth","","3","44,504","1,334"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bournemouth","","5.3","477,459","25,436"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bournemouth","","4","94,620","3,831"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bournemouth","","7.9","114,925","9,075"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bournemouth","","5.1","6,132,605","314,176"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bracknell Forest","","4","1,166,697","46,892"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bracknell Forest","","3.6","288,810","10,442"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bracknell Forest","","2.5","154,739","3,873"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bracknell Forest","","2.9","20,426","599"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bracknell Forest","","4.6","314,161","14,435"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bracknell Forest","","3.9","32,066","1,265"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bracknell Forest","","5.5","26,677","1,465"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bracknell Forest","","4.4","4,553,367","198,145"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bradford","","5.2","16,029,433","828,633"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bradford","","4.7","12,007,429","562,068"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bradford","","3.1","470,047","14,561"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bradford","","2.2","29,097","630"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bradford","","6.1","1,549,901","94,937"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bradford","","4.4","396,913","17,499"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bradford","","7.5","417,698","31,358"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bradford","","5.6","13,876,868","778,854"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Brent","","4.4","12,128,344","533,561"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Brent","","3.9","4,029,553","155,596"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Brent","","4.4","3,149,797","139,789"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Brent","","2.2","26,447","591"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Brent","","5","1,017,693","50,731"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Brent","","4.7","1,521,140","71,114"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Brent","","5.3","704,275","37,172"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Brent","","4.8","3,524,988","170,154"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Brighton and Hove","","5.1","2,633,869","133,736"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Brighton and Hove","","4.8","352,344","16,931"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Brighton and Hove","","4.5","211,829","9,444"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Brighton and Hove","","2.9","64,759","1,848"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Brighton and Hove","","5.2","1,016,151","52,774"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Brighton and Hove","","5.3","241,743","12,926"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Brighton and Hove","","5.3","143,104","7,573"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Brighton and Hove","","5.1","8,255,419","418,645"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bristol City of","","5.4","6,469,586","351,704"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bristol City of","","5.5","1,346,856","73,854"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bristol City of","","4.7","1,903,627","90,388"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bristol City of","","2.8","74,933","2,125"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bristol City of","","6","1,539,231","91,596"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bristol City of","","5.4","166,875","9,053"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bristol City of","","5.9","248,425","14,685"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bristol City of","","5.4","12,371,731","662,207"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bromley","","4.1","5,563,725","225,678"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bromley","","3.9","889,154","34,957"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bromley","","3.3","1,445,869","47,648"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bromley","","2.7","175,925","4,800"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bromley","","4.6","1,611,318","74,103"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bromley","","4.1","198,197","8,159"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bromley","","5","319,425","15,907"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bromley","","4.6","10,276,337","474,902"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Buckinghamshire","","5.2","8,501,082","438,285"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Buckinghamshire","","5.2","4,280,454","221,295"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Buckinghamshire","","3.8","665,167","25,468"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Buckinghamshire","","2.9","104,789","2,994"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Buckinghamshire","","5.2","1,795,876","92,736"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Buckinghamshire","","4.8","157,153","7,598"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Buckinghamshire","","5.1","278,858","14,138"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Buckinghamshire","","4.6","17,471,418","810,168"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bury","","5","2,511,649","126,501"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bury","","5.3","1,357,951","71,494"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bury","","2.9","235,382","6,842"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Bury","","2.5","40,550","1,031"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Bury","","5.1","445,124","22,647"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Bury","","4.6","107,432","4,892"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Bury","","5.6","61,625","3,460"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Bury","","4.9","7,204,827","354,351"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Calderdale","","4.6","2,723,773","125,328"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Calderdale","","4.5","1,811,475","82,194"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Calderdale","","2.8","97,083","2,761"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Calderdale","","2.6","21,337","554"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Calderdale","","5","443,389","22,088"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Calderdale","","3.6","47,921","1,737"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Calderdale","","5.5","51,069","2,821"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Calderdale","","4.4","8,378,178","368,467"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Cambridgeshire","","4.7","6,001,127","282,792"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Cambridgeshire","","4.4","1,018,639","44,912"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Cambridgeshire","","3.5","319,582","11,227"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Cambridgeshire","","2.8","184,788","5,120"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Cambridgeshire","","4.5","1,430,926","65,085"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Cambridgeshire","","4.5","223,372","10,049"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Cambridgeshire","","5.5","393,327","21,601"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Cambridgeshire","","4.6","23,398,717","1,071,933"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Camden","","4.8","4,911,701","235,511"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Camden","","5.4","1,266,016","68,747"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Camden","","4.2","1,314,209","54,981"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Camden","","2.5","47,937","1,209"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Camden","","5.3","781,227","41,569"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Camden","","4.6","417,497","19,180"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Camden","","4.9","129,180","6,336"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Camden","","5.2","2,523,693","132,028"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Central Bedfordshire","","5.6","2,206,871","122,501"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Central Bedfordshire","","4.7","307,092","14,531"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Central Bedfordshire","","3.4","321,074","10,791"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Central Bedfordshire","","2.5","40,130","1,013"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Central Bedfordshire","","4.9","766,126","37,172"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Central Bedfordshire","","5.6","66,354","3,691"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Central Bedfordshire","","7.1","131,247","9,309"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Central Bedfordshire","","4.9","11,407,267","554,884"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Cheshire East","","5.3","1,869,228","98,246"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Cheshire East","","4.6","270,655","12,337"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Cheshire East","","4.4","71,170","3,120"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Cheshire East","","2.4","51,840","1,258"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Cheshire East","","4.7","568,532","26,859"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Cheshire East","","4.9","79,391","3,915"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Cheshire East","","6.3","161,979","10,128"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Cheshire East","","4.6","15,209,924","702,266"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Cheshire West and Chester","","5.5","1,384,085","76,721"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Cheshire West and Chester","","4.8","225,250","10,746"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Cheshire West and Chester","","3.7","59,181","2,170"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Cheshire West and Chester","","2.8","49,150","1,388"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Cheshire West and Chester","","5","393,559","19,595"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Cheshire West and Chester","","4","54,377","2,164"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Cheshire West and Chester","","6.8","117,109","7,994"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Cheshire West and Chester","","4.9","14,534,986","718,288"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","City of London","","3.3","59,534","1,954"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","City of London","","3.6","27,740","997"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","City of London","","3.2","2,660","85"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","City of London","","7.5","1,140","86"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","City of London","","3.6","11,400","412"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","City of London","","1.9","6,460","120"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","City of London","","2.8","30,448","865"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Cornwall","","5.8","1,639,603","94,659"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Cornwall","","5.9","70,031","4,118"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Cornwall","","5.1","18,466","935"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Cornwall","","3.4","35,619","1,226"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Cornwall","","5.5","508,093","27,777"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Cornwall","","6.4","71,474","4,584"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Cornwall","","6.4","273,377","17,417"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Cornwall","","5.1","21,644,463","1,113,646"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Coventry","","4.3","8,189,677","355,966"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Coventry","","4.1","3,261,862","133,992"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Coventry","","2.7","1,928,089","51,813"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Coventry","","2.6","65,107","1,690"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Coventry","","5.8","1,115,568","64,954"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Coventry","","5","283,287","14,252"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Coventry","","6","143,895","8,656"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Coventry","","5.4","9,717,338","526,693"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Croydon","","4.5","12,085,114","537,851"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Croydon","","4.5","2,597,377","116,393"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Croydon","","3.8","4,888,453","186,277"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Croydon","","2.3","85,834","2,011"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Croydon","","5.2","2,565,458","134,355"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Croydon","","4.6","363,891","16,681"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Croydon","","5.4","328,693","17,782"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Croydon","","5.2","6,132,702","319,197"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Cumbria","","5.5","1,117,604","61,358"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Cumbria","","4.1","135,818","5,631"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Cumbria","","3.3","25,279","840"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Cumbria","","3.1","47,393","1,460"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Cumbria","","4.5","313,412","14,199"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Cumbria","","5.9","58,017","3,408"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Cumbria","","6.6","446,436","29,591"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Cumbria","","4.9","19,744,877","957,673"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Darlington","","6.5","552,837","36,129"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Darlington","","4.6","139,756","6,487"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Darlington","","3.1","26,813","841"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Darlington","","1.9","11,991","226"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Darlington","","5.1","118,371","5,997"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Darlington","","5.2","30,549","1,589"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Darlington","","5.1","36,352","1,866"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Darlington","","5.2","4,639,911","239,069"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Derby","","5.1","5,208,097","263,238"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Derby","","4.3","2,387,964","102,516"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Derby","","3.1","502,772","15,667"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Derby","","2.6","58,321","1,531"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Derby","","5.9","953,757","56,103"
