"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","State-funded mainstream","All","51.7","%","501818","259571"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Studio Schools","All","35.4","%","1171","415"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","University Technical Colleges (UTCs)","All","45.2","%","3176","1435"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Academies and free schools","All","96.2","%","22570","21723"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","All state-funded","All","96.1","%","25737","24723"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Converter Academies","All","96.4","%","22391","21596"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","LA maintained mainstream","All","94.7","%","3167","3000"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Sponsored Academies","All","!","%","179","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","State-funded mainstream","All","96.1","%","25737","24723"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Academies and free schools","All","21.3","%","57153","12183"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","All state-funded","All","18.3","%","87210","16001"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Converter Academies","All","24.1","%","35772","8621"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","FE 14-16 Colleges","All","0","%","15","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Free Schools","All","24.3","%","1808","440"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","LA maintained mainstream","All","20.2","%","18030","3649"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Sponsored Academies","All","15.4","%","18558","2858"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","All","21.1","%","75259","15862"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Church of England","20.3","%","4399","893"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Hindu","23.8","%","21","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Jewish","40.9","%","181","74"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Muslim","30.1","%","123","37"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","No religious character","20.7","%","62685","12996"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Other Christian faith","30.3","%","1286","390"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Roman catholic","22.4","%","6510","1458"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Sikh","23.1","%","39","9"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded special schools","All","1.2","%","11951","139"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Studio Schools","All","20.1","%","288","58"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","28.3","%","727","206"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","non-selective schools in highly selective areas","State-funded mainstream","All","15.8","%","5379","851"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","non-selective schools in other areas","State-funded mainstream","All","20.1","%","68465","13787"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","selective schools","State-funded mainstream","All","87.4","%","1400","1224"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Academies and free schools","All","58.3","%","375660","219061"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","All state-funded","All","58","%","487466","282962"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Converter Academies","All","62.6","%","259371","162256"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","FE 14-16 Colleges","All","!","%","2","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Free Schools","All","62.5","%","11334","7080"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","LA maintained mainstream","All","57.1","%","111268","63483"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Sponsored Academies","All","47.4","%","101424","48080"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","All","58","%","487466","282962"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Church of England","59.7","%","27035","16134"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Hindu","83.2","%","274","228"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Jewish","83.3","%","1272","1059"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Muslim","83.4","%","1312","1094"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","No religious character","57.3","%","401153","230059"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Other Christian faith","63.8","%","9158","5847"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Roman catholic","60.3","%","46859","28270"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Sikh","67.6","%","401","271"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Studio Schools","All","40.4","%","883","357"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","48.6","%","2648","1288"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in highly selective areas","State-funded mainstream","All","45.9","%","29774","13679"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in other areas","State-funded mainstream","All","56.7","%","433353","245784"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","selective schools","State-funded mainstream","All","96.6","%","24337","23499"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Academies and free schools","All","58.3","%","375660","219061"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","All state-funded","All","58","%","487466","282962"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Converter Academies","All","62.6","%","259371","162256"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","FE 14-16 Colleges","All","!","%","2","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Free Schools","All","62.5","%","11334","7080"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","LA maintained mainstream","All","57.1","%","111268","63483"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Sponsored Academies","All","47.4","%","101424","48080"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","All","58","%","487466","282962"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Church of England","59.7","%","27035","16134"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Hindu","83.2","%","274","228"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Jewish","83.3","%","1272","1059"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Muslim","83.4","%","1312","1094"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","No religious character","57.3","%","401153","230059"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Other Christian faith","63.8","%","9158","5847"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Roman catholic","60.3","%","46859","28270"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Sikh","67.6","%","401","271"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Studio Schools","All","40.4","%","883","357"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","University Technical Colleges (UTCs)","All","48.6","%","2648","1288"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","non-selective schools in highly selective areas","State-funded mainstream","All","45.9","%","29774","13679"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","non-selective schools in other areas","State-funded mainstream","All","56.7","%","433353","245784"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","selective schools","State-funded mainstream","All","96.6","%","24337","23499"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Academies and free schools","All","15.1","%","8624","1302"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","All state-funded","All","7.8","%","23284","1818"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Converter Academies","All","16.8","%","5595","940"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","FE 14-16 Colleges","All","!","%","1","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Free Schools","All","17.7","%","288","51"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","LA maintained mainstream","All","13.6","%","2770","376"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Sponsored Academies","All","10.9","%","2636","287"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","All","14.7","%","11402","1681"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Church of England","15.4","%","656","101"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Hindu","25","%","4","1"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Jewish","30.2","%","43","13"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Muslim","23.1","%","13","3"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","No religious character","14.6","%","9527","1387"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Other Christian faith","18","%","205","37"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Roman catholic","14.6","%","946","138"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Sikh","14.3","%","7","1"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded special schools","All","1.2","%","11882","137"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Studio Schools","All","6.9","%","29","2"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","University Technical Colleges (UTCs)","All","28.9","%","76","22"
