"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Kensington and Chelsea","63.8","896","77.4","31","62.8","183","100.0","7","60.1","143","63.7","342"
"Kent","52.9","16,779","76.5","737","69.5","574","87.5","56","63.1","899","50.2","14,029"
"Kingston upon Hull, City of","44.3","2,787","67.5","40","40.7","54","!","2","64.6","113","44.2","2,378"
"Kingston upon Thames","71.6","1,828","85.7","426","57.3","75","85.0","20","69.9","176","67.0","999"
"Kirklees","50.0","4,858","52.0","1,365","40.2","102","71.4","7","38.5","299","50.8","2,973"
"Knowsley","26.2","1,151","44.4","9","36.4","11","N/A","0","26.7","15","26.0","1,095"
"Lambeth","51.1","2,264","65.1","106","49.4","1,025","81.8","11","45.5","268","54.5","642"
"Lancashire","52.3","13,085","54.0","1,534","41.4","58","75.7","37","53.2","408","52.4","10,727"
"Leeds","50.5","8,584","52.2","1,003","42.2","689","81.3","48","50.9","513","52.2","5,928"
"Leicester","44.8","4,070","53.9","1,982","38.0","469","100.0","5","37.9","272","33.6","1,225"
"Leicestershire","53.1","7,412","73.5","604","49.0","96","76.7","30","47.7","350","51.5","6,232"
"Lewisham","48.3","2,340","67.5","126","42.8","999","94.1","17","48.6","315","51.4","679"
"Lincolnshire","50.2","7,860","85.5","159","59.6","47","77.8","18","60.3","237","49.1","7,289"
"Liverpool","44.0","5,028","72.9","199","46.3","218","80.0","50","46.2","277","42.0","3,967"
"London","57.1","85,646","67.2","18,292","50.1","18,410","88.1","505","54.3","8,449","56.1","32,293"
"Luton","44.2","2,832","49.5","1,362","44.4","340","100.0","5","39.1","202","36.1","830"
"Manchester","44.0","5,743","50.9","1,385","47.4","1,125","84.0","50","36.3","476","39.5","2,257"
"Medway","49.5","3,169","75.9","170","74.0","265","71.4","14","55.9","204","44.5","2,439"
"Merton","52.6","1,555","62.6","281","45.7","302","75.0","4","38.5","161","55.8","728"
"Middlesbrough","42.7","1,547","55.6","187","55.0","20","100.0","3","35.1","74","40.9","1,209"
"Milton Keynes","45.9","3,128","66.1","295","45.6","471","90.9","11","43.2","259","43.7","1,954"
"Newcastle upon Tyne","48.1","2,607","57.7","300","38.6","132","70.6","17","52.9","102","46.9","1,964"
"Newham","54.2","4,311","61.8","2,051","46.6","999","88.9","9","45.6","263","45.4","689"
"Norfolk","48.9","8,197","72.7","99","52.5","80","81.8","33","56.2","297","48.1","7,427"
"North East","49.8","27,055","57.7","1,028","51.8","299","86.1","72","51.2","611","49.7","24,440"
"North East Lincolnshire","42.4","1,827","71.4","14","100.0","3","!","2","42.9","28","45.4","1,599"
"North Lincolnshire","48.6","1,899","43.3","67","33.3","12","57.1","7","50.0","42","48.8","1,757"
"North Northamptonshire","47.0","3,753","72.8","125","50.3","169","71.4","7","45.9","170","45.9","3,223"
"North Somerset","55.3","2,239","77.8","27","42.4","33","60.0","5","50.0","66","55.4","2,086"
"North Tyneside","52.1","2,098","63.4","41","66.7","12","100.0","7","51.0","51","51.8","1,948"
"North West","49.6","79,949","56.3","8,447","46.8","2,549","81.8","347","51.5","3,085","48.9","63,044"
"North Yorkshire","55.5","6,261","71.4","133","42.1","19","81.3","16","60.6","160","55.0","5,837"
"Northumberland","49.7","3,164","63.8","47","25.0","4","66.7","3","44.1","59","49.6","3,028"
"Nottingham","42.3","2,932","54.3","534","36.6","344","76.9","13","35.3","331","41.1","1,559"
"Nottinghamshire","53.4","8,236","70.0","217","54.9","144","92.0","25","55.4","381","52.8","7,289"
"Oldham","42.9","3,231","45.5","1,030","37.5","136","100.0","5","45.0","140","42.1","1,809"
"Outer London","58.0","56,755","69.7","12,244","51.3","9,997","89.2","353","55.4","5,355","55.2","24,175"
"Oxfordshire","54.0","6,566","53.1","377","48.8","164","100.0","12","52.6","435","54.3","5,336"
"Peterborough","41.8","2,564","43.2","442","35.1","94","40.0","5","33.1","175","43.2","1,746"
"Plymouth","51.9","2,717","70.4","27","34.6","26","90.0","10","54.2","72","51.3","2,487"
"Portsmouth","46.0","1,888","70.6","109","48.4","62","85.7","7","36.4","77","44.0","1,562"
"Reading","57.2","1,397","74.3","389","51.7","116","89.5","19","38.0","142","52.0","691"
"Redbridge","63.7","3,874","72.4","2,055","47.0","504","94.1","17","57.5","299","55.3","855"
"Redcar and Cleveland","51.4","1,567","50.0","16","60.0","5","N/A","0","51.4","37","52.0","1,457"
"Richmond upon Thames","67.9","1,736","69.4","121","52.6","78","83.3","6","64.8","193","69.6","1,255"
"Rochdale","40.8","2,657","41.8","703","35.3","136","100.0","3","45.2","115","40.7","1,634"
"Rotherham","47.1","3,239","47.8","297","36.6","41","100.0","8","44.2","95","46.9","2,755"
"Rutland","59.3","504","100.0","3","80.0","5","!","1","50.0","14","58.6","474"
"Salford","43.1","2,383","62.5","48","51.1","141","100.0","5","40.8","147","42.0","1,942"
"Sandwell","40.1","4,028","48.1","1,206","30.7","401","66.7","3","41.1","333","37.3","1,922"
"Sefton","50.2","2,906","72.1","43","52.9","17","100.0","5","68.1","72","50.8","2,620"
"Sheffield","47.4","5,640","47.5","642","45.2","323","84.0","25","41.9","418","48.1","3,976"
"Shropshire","50.3","3,013","71.4","28","36.4","11","71.4","7","52.3","86","50.3","2,819"
"Slough","61.1","2,113","70.0","1,009","53.2","201","!","2","61.9","215","45.8","528"
"Solihull","53.3","3,157","60.8","416","50.5","93","81.8","11","48.7","226","52.3","2,329"
"Somerset","49.2","5,095","65.2","46","50.0","24","100.0","6","56.2","130","48.8","4,824"
"South East","54.5","90,615","68.1","6,851","55.6","2,951","82.1","329","55.7","5,136","53.0","73,095"
"South Gloucestershire","52.8","2,640","64.7","68","51.7","60","100.0","3","55.5","128","52.7","2,309"
"South Tyneside","44.3","1,618","57.8","64","66.7","9","N/A","0","43.2","37","45.8","1,403"
"South West","52.5","53,700","64.1","1,321","42.7","860","83.5","133","53.1","2,129","52.4","47,805"
"Southampton","41.8","2,174","53.4","264","57.4","61","71.4","7","45.5","145","39.0","1,665"
"Southend-on-Sea","64.4","2,188","84.6","221","82.6","201","93.3","15","64.2","134","59.1","1,568"
"Southwark","57.4","3,002","76.4","157","53.3","1,386","78.6","28","56.1","367","62.3","771"
"St. Helens","46.0","1,892","77.8","27","44.4","9","75.0","4","56.8","44","45.4","1,794"
"Staffordshire","48.4","8,897","51.5","338","46.2","65","84.2","19","46.4","293","48.5","8,082"
"Stockport","56.8","2,869","68.1","191","37.2","43","46.7","15","56.7","127","56.4","2,431"
"Stockton-on-Tees","53.9","2,186","46.3","108","75.7","37","100.0","8","54.0","63","53.7","1,943"
"Stoke-on-Trent","41.1","2,672","46.4","412","40.4","114","83.3","12","31.0","155","40.6","1,937"
"Suffolk","47.6","7,474","59.0","117","46.6","73","66.7","9","44.6","363","47.9","6,664"
"Sunderland","49.9","2,817","55.7","106","56.3","16","100.0","6","52.8","36","49.5","2,642"
"Surrey","59.3","10,875","66.9","704","50.6","259","86.0","43","61.1","633","58.8","8,999"
"Sutton","68.9","3,048","90.7","784","62.9","334","95.7","47","65.6","305","58.7","1,486"
"Swindon","48.7","2,313","47.3","262","44.8","67","!","2","42.7","124","49.4","1,789"
"Tameside","47.5","2,635","55.1","305","48.8","80","90.9","11","52.9","136","45.9","2,055"
"Telford and Wrekin","49.4","2,174","61.4","171","37.9","87","100.0","9","49.5","109","48.3","1,772"
"Thurrock","51.0","1,948","68.9","90","59.4","197","84.6","13","48.9","141","48.9","1,410"
"Torbay","56.0","1,638","75.0","16","!","1","100.0","8","60.7","56","57.6","1,412"
"Tower Hamlets","54.2","2,967","59.6","1,974","46.0","300","100.0","8","42.6","162","45.5","319"
"Trafford","69.8","3,168","80.4","520","73.0","126","88.7","53","71.1","235","66.0","2,137"
"Wakefield","52.2","3,710","54.2","142","43.4","53","69.2","13","50.9","112","52.2","3,324"
"Walsall","44.0","3,491","58.4","858","40.8","201","93.3","15","38.6","215","38.8","2,140"
"Waltham Forest","50.4","2,707","62.3","756","43.7","572","78.9","19","44.9","276","45.3","936"
"Wandsworth","55.9","1,919","63.7","383","42.3","525","83.3","12","51.8","251","65.4","612"
"Warrington","56.2","2,454","65.0","40","55.6","18","92.9","14","77.8","81","55.6","2,198"
"Warwickshire","57.4","6,225","77.2","369","42.0","81","86.7","15","55.9","297","56.6","5,363"
"West Berkshire","56.4","1,776","67.3","55","42.9","21","100.0","3","50.5","107","56.7","1,565"
"West Midlands","48.7","65,625","55.3","11,469","41.8","4,003","82.8","163","45.2","3,772","48.0","44,012"
"West Northamptonshire","53.5","4,443","63.1","217","55.0","329","66.7","9","48.9","278","53.3","3,506"
"West Sussex","52.6","8,184","63.0","386","37.0","154","66.7","33","52.4","361","52.4","7,116"
"Westminster","65.1","1,752","72.6","197","62.1","406","85.7","14","64.9","194","70.9","433"
"Wigan","49.8","3,646","74.3","35","29.5","61","100.0","9","53.2","77","49.7","3,392"
"Wiltshire","52.5","5,000","68.3","82","42.0","50","66.7","15","59.3","172","52.0","4,563"
"Windsor and Maidenhead","55.7","1,585","54.3","210","51.2","43","!","2","64.3","126","55.5","1,160"
"Wirral","52.1","3,587","78.6","112","78.9","19","87.0","23","57.6","92","50.7","3,316"
"Wokingham","65.8","1,814","76.1","234","71.4","70","66.7","9","50.4","127","65.4","1,309"
"Wolverhampton","47.3","3,100","61.4","775","39.1","386","80.0","5","37.5","307","44.0","1,554"
"Worcestershire","48.7","5,729","59.9","217","36.7","49","66.7","9","48.4","190","48.4","5,191"
"York","60.1","1,810","83.9","31","77.8","9","75.0","8","68.6","51","59.0","1,692"
"Yorkshire and The Humber","49.4","58,783","50.2","7,306","43.3","1,519","78.9","166","47.3","2,509","50.0","45,405"
