"Ethnicity","Geography","%","Pupils"
"All","Walsall","44.0","3,491"
"All","Waltham Forest","50.4","2,707"
"All","Wandsworth","55.9","1,919"
"All","Warrington","56.2","2,454"
"All","Warwickshire","57.4","6,225"
"All","West Berkshire","56.4","1,776"
"All","West Midlands","48.7","65,625"
"All","West Northamptonshire","53.5","4,443"
"All","West Sussex","52.6","8,184"
"All","Westminster","65.1","1,752"
"All","Wigan","49.8","3,646"
"All","Wiltshire","52.5","5,000"
"All","Windsor and Maidenhead","55.7","1,585"
"All","Wirral","52.1","3,587"
"All","Wokingham","65.8","1,814"
"All","Wolverhampton","47.3","3,100"
"All","Worcestershire","48.7","5,729"
"All","York","60.1","1,810"
"All","Yorkshire and The Humber","49.4","58,783"
"Asian","All - England","60.6","63,704"
"Asian","Barking and Dagenham","64.3","639"
"Asian","Barnet","85.6","603"
"Asian","Barnsley","45.5","11"
"Asian","Bath and North East Somerset","79.5","39"
"Asian","Bedford","44.8","299"
"Asian","Bexley","78.8","278"
"Asian","Birmingham","52.8","5,611"
"Asian","Blackburn with Darwen","64.1","891"
"Asian","Blackpool","70.0","30"
"Asian","Bolton","59.9","863"
"Asian","Bournemouth, Christchurch and Poole","85.0","100"
"Asian","Bracknell Forest","80.6","62"
"Asian","Bradford","46.6","2,978"
"Asian","Brent","61.2","959"
"Asian","Brighton and Hove","63.0","81"
"Asian","Bristol, City of","56.7","300"
"Asian","Bromley","80.4","219"
"Asian","Buckinghamshire","70.4","1,300"
"Asian","Bury","52.1","336"
"Asian","Calderdale","55.3","477"
"Asian","Cambridgeshire","64.6","209"
"Asian","Camden","57.1","296"
"Asian","Central Bedfordshire","60.9","64"
"Asian","Cheshire East","66.7","63"
"Asian","Cheshire West and Chester","42.6","47"
"Asian","Cornwall","54.5","11"
"Asian","County Durham","75.6","41"
"Asian","Coventry","63.2","730"
"Asian","Croydon","64.8","522"
"Asian","Cumbria","79.4","34"
"Asian","Darlington","63.6","33"
"Asian","Derby","51.1","591"
"Asian","Derbyshire","68.4","76"
"Asian","Devon","54.2","48"
"Asian","Doncaster","58.1","93"
"Asian","Dorset","80.6","36"
"Asian","Dudley","59.1","328"
"Asian","Ealing","58.4","998"
"Asian","East Midlands","59.3","4,508"
"Asian","East Riding of Yorkshire","69.2","13"
"Asian","East Sussex","61.2","85"
"Asian","East of England","62.3","4,482"
"Asian","Enfield","77.3","308"
"Asian","Essex","78.4","425"
"Asian","Gateshead","69.5","59"
"Asian","Gloucestershire","74.9","259"
"Asian","Greenwich","66.0","200"
"Asian","Hackney","58.9","282"
"Asian","Halton","!","2"
"Asian","Hammersmith and Fulham","70.2","124"
"Asian","Hampshire","66.9","375"
"Asian","Haringey","67.8","146"
"Asian","Harrow","67.4","1,109"
"Asian","Hartlepool","50.0","26"
"Asian","Havering","64.9","171"
"Asian","Herefordshire, County of","40.0","10"
"Asian","Hertfordshire","77.8","1,154"
"Asian","Hillingdon","65.6","847"
"Asian","Hounslow","64.0","968"
"Asian","Inner London","62.3","6,048"
"Asian","Isle of Wight","33.3","9"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","68.6","175"
"Asian","Kensington and Chelsea","77.4","31"
"Asian","Kent","76.5","737"
"Asian","Kingston upon Hull, City of","67.5","40"
"Asian","Kingston upon Thames","85.7","426"
"Asian","Kirklees","52.0","1,365"
"Asian","Knowsley","44.4","9"
"Asian","Lambeth","65.1","106"
"Asian","Lancashire","54.0","1,534"
"Asian","Leeds","52.2","1,003"
"Asian","Leicester","53.9","1,982"
"Asian","Leicestershire","73.5","604"
"Asian","Lewisham","67.5","126"
"Asian","Lincolnshire","85.5","159"
"Asian","Liverpool","72.9","199"
"Asian","London","67.2","18,292"
"Asian","Luton","49.5","1,362"
"Asian","Manchester","50.9","1,385"
"Asian","Medway","75.9","170"
"Asian","Merton","62.6","281"
"Asian","Middlesbrough","55.6","187"
"Asian","Milton Keynes","66.1","295"
"Asian","Newcastle upon Tyne","57.7","300"
"Asian","Newham","61.8","2,051"
"Asian","Norfolk","72.7","99"
"Asian","North East","57.7","1,028"
"Asian","North East Lincolnshire","71.4","14"
"Asian","North Lincolnshire","43.3","67"
"Asian","North Northamptonshire","72.8","125"
"Asian","North Somerset","77.8","27"
"Asian","North Tyneside","63.4","41"
"Asian","North West","56.3","8,447"
"Asian","North Yorkshire","71.4","133"
"Asian","Northumberland","63.8","47"
"Asian","Nottingham","54.3","534"
"Asian","Nottinghamshire","70.0","217"
"Asian","Oldham","45.5","1,030"
"Asian","Outer London","69.7","12,244"
"Asian","Oxfordshire","53.1","377"
"Asian","Peterborough","43.2","442"
"Asian","Plymouth","70.4","27"
"Asian","Portsmouth","70.6","109"
"Asian","Reading","74.3","389"
"Asian","Redbridge","72.4","2,055"
"Asian","Redcar and Cleveland","50.0","16"
"Asian","Richmond upon Thames","69.4","121"
"Asian","Rochdale","41.8","703"
"Asian","Rotherham","47.8","297"
"Asian","Rutland","100.0","3"
"Asian","Salford","62.5","48"
"Asian","Sandwell","48.1","1,206"
"Asian","Sefton","72.1","43"
"Asian","Sheffield","47.5","642"
"Asian","Shropshire","71.4","28"
"Asian","Slough","70.0","1,009"
"Asian","Solihull","60.8","416"
"Asian","Somerset","65.2","46"
"Asian","South East","68.1","6,851"
"Asian","South Gloucestershire","64.7","68"
"Asian","South Tyneside","57.8","64"
"Asian","South West","64.1","1,321"
"Asian","Southampton","53.4","264"
"Asian","Southend-on-Sea","84.6","221"
"Asian","Southwark","76.4","157"
"Asian","St. Helens","77.8","27"
"Asian","Staffordshire","51.5","338"
"Asian","Stockport","68.1","191"
"Asian","Stockton-on-Tees","46.3","108"
"Asian","Stoke-on-Trent","46.4","412"
"Asian","Suffolk","59.0","117"
"Asian","Sunderland","55.7","106"
"Asian","Surrey","66.9","704"
"Asian","Sutton","90.7","784"
"Asian","Swindon","47.3","262"
"Asian","Tameside","55.1","305"
"Asian","Telford and Wrekin","61.4","171"
"Asian","Thurrock","68.9","90"
"Asian","Torbay","75.0","16"
"Asian","Tower Hamlets","59.6","1,974"
"Asian","Trafford","80.4","520"
"Asian","Wakefield","54.2","142"
"Asian","Walsall","58.4","858"
"Asian","Waltham Forest","62.3","756"
"Asian","Wandsworth","63.7","383"
"Asian","Warrington","65.0","40"
"Asian","Warwickshire","77.2","369"
"Asian","West Berkshire","67.3","55"
"Asian","West Midlands","55.3","11,469"
"Asian","West Northamptonshire","63.1","217"
"Asian","West Sussex","63.0","386"
"Asian","Westminster","72.6","197"
"Asian","Wigan","74.3","35"
"Asian","Wiltshire","68.3","82"
"Asian","Windsor and Maidenhead","54.3","210"
"Asian","Wirral","78.6","112"
"Asian","Wokingham","76.1","234"
"Asian","Wolverhampton","61.4","775"
"Asian","Worcestershire","59.9","217"
"Asian","York","83.9","31"
"Asian","Yorkshire and The Humber","50.2","7,306"
"Black","All - England","48.9","34,911"
"Black","Barking and Dagenham","53.8","775"
"Black","Barnet","57.3","506"
"Black","Barnsley","55.6","18"
"Black","Bath and North East Somerset","47.6","21"
"Black","Bedford","40.1","152"
"Black","Bexley","64.7","640"
"Black","Birmingham","44.5","1,894"
"Black","Blackburn with Darwen","63.3","30"
"Black","Blackpool","66.7","6"
"Black","Bolton","38.7","199"
"Black","Bournemouth, Christchurch and Poole","52.0","25"
"Black","Bracknell Forest","37.8","37"
"Black","Bradford","38.7","119"
"Black","Brent","48.6","665"
"Black","Brighton and Hove","37.3","51"
"Black","Bristol, City of","40.6","429"
"Black","Bromley","60.9","379"
"Black","Buckinghamshire","55.4","213"
"Black","Bury","43.5","62"
"Black","Calderdale","55.3","38"
"Black","Cambridgeshire","37.6","85"
"Black","Camden","49.2","370"
"Black","Central Bedfordshire","48.2","85"
"Black","Cheshire East","50.0","20"
"Black","Cheshire West and Chester","57.1","21"
"Black","Cornwall","20.0","5"
"Black","County Durham","56.3","16"
"Black","Coventry","42.7","504"
"Black","Croydon","43.8","1,230"
"Black","Cumbria","60.0","10"
"Black","Darlington","25.0","4"
"Black","Derby","39.7","131"
"Black","Derbyshire","69.0","29"
"Black","Devon","33.3","12"
"Black","Doncaster","48.5","33"
"Black","Dorset","71.4","7"
"Black","Dudley","42.1","114"
"Black","Ealing","49.3","594"
"Black","East Midlands","45.4","1,763"
"Black","East Riding of Yorkshire","66.7","6"
"Black","East Sussex","43.2","37"
"Black","East of England","52.7","2,557"
"Black","Enfield","46.4","988"
"Black","Essex","56.4","596"
"Black","Gateshead","70.3","37"
"Black","Gloucestershire","42.0","100"
"Black","Greenwich","55.6","912"
"Black","Hackney","45.8","813"
"Black","Halton","33.3","3"
"Black","Hammersmith and Fulham","56.2","324"
"Black","Hampshire","55.0","149"
"Black","Haringey","43.5","655"
"Black","Harrow","45.2","363"
"Black","Hartlepool","28.6","7"
"Black","Havering","54.8","345"
"Black","Herefordshire, County of","33.3","3"
"Black","Hertfordshire","51.1","654"
"Black","Hillingdon","52.2","383"
"Black","Hounslow","51.1","352"
"Black","Inner London","48.8","8,413"
"Black","Isle of Wight","66.7","3"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","50.2","428"
"Black","Kensington and Chelsea","62.8","183"
"Black","Kent","69.5","574"
"Black","Kingston upon Hull, City of","40.7","54"
"Black","Kingston upon Thames","57.3","75"
"Black","Kirklees","40.2","102"
"Black","Knowsley","36.4","11"
"Black","Lambeth","49.4","1,025"
"Black","Lancashire","41.4","58"
"Black","Leeds","42.2","689"
"Black","Leicester","38.0","469"
"Black","Leicestershire","49.0","96"
"Black","Lewisham","42.8","999"
"Black","Lincolnshire","59.6","47"
"Black","Liverpool","46.3","218"
"Black","London","50.1","18,410"
"Black","Luton","44.4","340"
"Black","Manchester","47.4","1,125"
"Black","Medway","74.0","265"
"Black","Merton","45.7","302"
"Black","Middlesbrough","55.0","20"
"Black","Milton Keynes","45.6","471"
"Black","Newcastle upon Tyne","38.6","132"
"Black","Newham","46.6","999"
"Black","Norfolk","52.5","80"
"Black","North East","51.8","299"
"Black","North East Lincolnshire","100.0","3"
"Black","North Lincolnshire","33.3","12"
"Black","North Northamptonshire","50.3","169"
"Black","North Somerset","42.4","33"
"Black","North Tyneside","66.7","12"
"Black","North West","46.8","2,549"
"Black","North Yorkshire","42.1","19"
"Black","Northumberland","25.0","4"
"Black","Nottingham","36.6","344"
"Black","Nottinghamshire","54.9","144"
"Black","Oldham","37.5","136"
"Black","Outer London","51.3","9,997"
"Black","Oxfordshire","48.8","164"
"Black","Peterborough","35.1","94"
"Black","Plymouth","34.6","26"
"Black","Portsmouth","48.4","62"
"Black","Reading","51.7","116"
"Black","Redbridge","47.0","504"
"Black","Redcar and Cleveland","60.0","5"
"Black","Richmond upon Thames","52.6","78"
"Black","Rochdale","35.3","136"
"Black","Rotherham","36.6","41"
"Black","Rutland","80.0","5"
"Black","Salford","51.1","141"
"Black","Sandwell","30.7","401"
"Black","Sefton","52.9","17"
"Black","Sheffield","45.2","323"
"Black","Shropshire","36.4","11"
"Black","Slough","53.2","201"
"Black","Solihull","50.5","93"
"Black","Somerset","50.0","24"
"Black","South East","55.6","2,951"
"Black","South Gloucestershire","51.7","60"
"Black","South Tyneside","66.7","9"
"Black","South West","42.7","860"
"Black","Southampton","57.4","61"
"Black","Southend-on-Sea","82.6","201"
"Black","Southwark","53.3","1,386"
"Black","St. Helens","44.4","9"
"Black","Staffordshire","46.2","65"
"Black","Stockport","37.2","43"
"Black","Stockton-on-Tees","75.7","37"
"Black","Stoke-on-Trent","40.4","114"
"Black","Suffolk","46.6","73"
"Black","Sunderland","56.3","16"
"Black","Surrey","50.6","259"
"Black","Sutton","62.9","334"
"Black","Swindon","44.8","67"
"Black","Tameside","48.8","80"
"Black","Telford and Wrekin","37.9","87"
"Black","Thurrock","59.4","197"
"Black","Torbay","!","1"
"Black","Tower Hamlets","46.0","300"
"Black","Trafford","73.0","126"
"Black","Wakefield","43.4","53"
"Black","Walsall","40.8","201"
"Black","Waltham Forest","43.7","572"
"Black","Wandsworth","42.3","525"
"Black","Warrington","55.6","18"
"Black","Warwickshire","42.0","81"
"Black","West Berkshire","42.9","21"
"Black","West Midlands","41.8","4,003"
"Black","West Northamptonshire","55.0","329"
"Black","West Sussex","37.0","154"
"Black","Westminster","62.1","406"
"Black","Wigan","29.5","61"
"Black","Wiltshire","42.0","50"
"Black","Windsor and Maidenhead","51.2","43"
"Black","Wirral","78.9","19"
"Black","Wokingham","71.4","70"
"Black","Wolverhampton","39.1","386"
"Black","Worcestershire","36.7","49"
"Black","York","77.8","9"
"Black","Yorkshire and The Humber","43.3","1,519"
"Chinese","All - England","83.8","2,101"
"Chinese","Barking and Dagenham","85.7","14"
"Chinese","Barnet","92.5","40"
"Chinese","Barnsley","!","2"
"Chinese","Bath and North East Somerset","85.7","7"
"Chinese","Bedford","100.0","5"
"Chinese","Bexley","89.7","39"
"Chinese","Birmingham","83.7","43"
"Chinese","Blackburn with Darwen","100.0","5"
"Chinese","Blackpool","33.3","3"
"Chinese","Bolton","66.7","3"
"Chinese","Bournemouth, Christchurch and Poole","100.0","13"
"Chinese","Bracknell Forest","!","2"
"Chinese","Bradford","80.0","10"
"Chinese","Brent","71.4","7"
"Chinese","Brighton and Hove","55.6","9"
"Chinese","Bristol, City of","80.0","15"
"Chinese","Bromley","86.8","38"
"Chinese","Buckinghamshire","95.7","46"
"Chinese","Bury","83.3","6"
"Chinese","Calderdale","!","2"
"Chinese","Cambridgeshire","78.8","33"
"Chinese","Camden","100.0","7"
"Chinese","Central Bedfordshire","63.6","11"
"Chinese","Cheshire East","70.6","17"
"Chinese","Cheshire West and Chester","77.8","9"
"Chinese","Cornwall","75.0","8"
"Chinese","County Durham","71.4","14"
"Chinese","Coventry","85.7","7"
"Chinese","Croydon","100.0","11"
"Chinese","Cumbria","73.7","19"
"Chinese","Darlington","!","1"
"Chinese","Derby","100.0","9"
"Chinese","Derbyshire","85.7","14"
"Chinese","Devon","66.7","12"
"Chinese","Doncaster","71.4","14"
"Chinese","Dorset","100.0","6"
"Chinese","Dudley","62.5","8"
"Chinese","Ealing","100.0","9"
"Chinese","East Midlands","82.4","131"
"Chinese","East Riding of Yorkshire","!","2"
"Chinese","East Sussex","61.1","18"
"Chinese","East of England","84.3","255"
"Chinese","Enfield","84.6","13"
"Chinese","Essex","86.8","68"
"Chinese","Gateshead","100.0","7"
"Chinese","Gloucestershire","87.0","23"
"Chinese","Greenwich","82.1","28"
"Chinese","Hackney","92.9","14"
"Chinese","Halton","!","1"
"Chinese","Hammersmith and Fulham","66.7","3"
"Chinese","Hampshire","77.1","35"
"Chinese","Haringey","70.0","20"
"Chinese","Harrow","84.6","13"
"Chinese","Hartlepool","100.0","6"
"Chinese","Havering","100.0","15"
"Chinese","Herefordshire, County of","N/A","0"
"Chinese","Hertfordshire","91.4","58"
"Chinese","Hillingdon","80.0","5"
"Chinese","Hounslow","100.0","8"
"Chinese","Inner London","85.5","152"
"Chinese","Isle of Wight","!","1"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","!","2"
"Chinese","Kensington and Chelsea","100.0","7"
"Chinese","Kent","87.5","56"
"Chinese","Kingston upon Hull, City of","!","2"
"Chinese","Kingston upon Thames","85.0","20"
"Chinese","Kirklees","71.4","7"
"Chinese","Knowsley","N/A","0"
"Chinese","Lambeth","81.8","11"
"Chinese","Lancashire","75.7","37"
"Chinese","Leeds","81.3","48"
"Chinese","Leicester","100.0","5"
"Chinese","Leicestershire","76.7","30"
"Chinese","Lewisham","94.1","17"
"Chinese","Lincolnshire","77.8","18"
"Chinese","Liverpool","80.0","50"
"Chinese","London","88.1","505"
"Chinese","Luton","100.0","5"
"Chinese","Manchester","84.0","50"
"Chinese","Medway","71.4","14"
"Chinese","Merton","75.0","4"
"Chinese","Middlesbrough","100.0","3"
"Chinese","Milton Keynes","90.9","11"
"Chinese","Newcastle upon Tyne","70.6","17"
"Chinese","Newham","88.9","9"
"Chinese","Norfolk","81.8","33"
"Chinese","North East","86.1","72"
"Chinese","North East Lincolnshire","!","2"
"Chinese","North Lincolnshire","57.1","7"
"Chinese","North Northamptonshire","71.4","7"
"Chinese","North Somerset","60.0","5"
"Chinese","North Tyneside","100.0","7"
"Chinese","North West","81.8","347"
"Chinese","North Yorkshire","81.3","16"
"Chinese","Northumberland","66.7","3"
"Chinese","Nottingham","76.9","13"
"Chinese","Nottinghamshire","92.0","25"
"Chinese","Oldham","100.0","5"
"Chinese","Outer London","89.2","353"
"Chinese","Oxfordshire","100.0","12"
"Chinese","Peterborough","40.0","5"
"Chinese","Plymouth","90.0","10"
"Chinese","Portsmouth","85.7","7"
"Chinese","Reading","89.5","19"
"Chinese","Redbridge","94.1","17"
"Chinese","Redcar and Cleveland","N/A","0"
"Chinese","Richmond upon Thames","83.3","6"
"Chinese","Rochdale","100.0","3"
"Chinese","Rotherham","100.0","8"
"Chinese","Rutland","!","1"
"Chinese","Salford","100.0","5"
"Chinese","Sandwell","66.7","3"
"Chinese","Sefton","100.0","5"
"Chinese","Sheffield","84.0","25"
"Chinese","Shropshire","71.4","7"
"Chinese","Slough","!","2"
"Chinese","Solihull","81.8","11"
"Chinese","Somerset","100.0","6"
"Chinese","South East","82.1","329"
"Chinese","South Gloucestershire","100.0","3"
"Chinese","South Tyneside","N/A","0"
"Chinese","South West","83.5","133"
"Chinese","Southampton","71.4","7"
"Chinese","Southend-on-Sea","93.3","15"
"Chinese","Southwark","78.6","28"
"Chinese","St. Helens","75.0","4"
"Chinese","Staffordshire","84.2","19"
"Chinese","Stockport","46.7","15"
"Chinese","Stockton-on-Tees","100.0","8"
"Chinese","Stoke-on-Trent","83.3","12"
"Chinese","Suffolk","66.7","9"
"Chinese","Sunderland","100.0","6"
"Chinese","Surrey","86.0","43"
"Chinese","Sutton","95.7","47"
"Chinese","Swindon","!","2"
"Chinese","Tameside","90.9","11"
"Chinese","Telford and Wrekin","100.0","9"
"Chinese","Thurrock","84.6","13"
"Chinese","Torbay","100.0","8"
"Chinese","Tower Hamlets","100.0","8"
"Chinese","Trafford","88.7","53"
"Chinese","Wakefield","69.2","13"
"Chinese","Walsall","93.3","15"
"Chinese","Waltham Forest","78.9","19"
"Chinese","Wandsworth","83.3","12"
"Chinese","Warrington","92.9","14"
"Chinese","Warwickshire","86.7","15"
"Chinese","West Berkshire","100.0","3"
"Chinese","West Midlands","82.8","163"
"Chinese","West Northamptonshire","66.7","9"
"Chinese","West Sussex","66.7","33"
"Chinese","Westminster","85.7","14"
"Chinese","Wigan","100.0","9"
"Chinese","Wiltshire","66.7","15"
"Chinese","Windsor and Maidenhead","!","2"
"Chinese","Wirral","87.0","23"
"Chinese","Wokingham","66.7","9"
"Chinese","Wolverhampton","80.0","5"
"Chinese","Worcestershire","66.7","9"
"Chinese","York","75.0","8"
"Chinese","Yorkshire and The Humber","78.9","166"
"Mixed","All - England","51.5","31,772"
"Mixed","Barking and Dagenham","44.2","303"
"Mixed","Barnet","65.3","450"
"Mixed","Barnsley","50.0","52"
"Mixed","Bath and North East Somerset","67.7","124"
"Mixed","Bedford","39.9","193"
"Mixed","Bexley","65.0","197"
"Mixed","Birmingham","46.0","1,023"
"Mixed","Blackburn with Darwen","55.7","61"
"Mixed","Blackpool","31.0","29"
"Mixed","Bolton","52.6","133"
"Mixed","Bournemouth, Christchurch and Poole","64.1","192"
"Mixed","Bracknell Forest","53.5","71"
"Mixed","Bradford","37.5","352"
"Mixed","Brent","54.3","208"
"Mixed","Brighton and Hove","51.8","193"
"Mixed","Bristol, City of","42.2","339"
"Mixed","Bromley","55.7","323"
"Mixed","Buckinghamshire","64.7","368"
"Mixed","Bury","42.5","80"
"Mixed","Calderdale","53.9","115"
"Mixed","Cambridgeshire","61.3","313"
"Mixed","Camden","46.5","187"
"Mixed","Central Bedfordshire","44.1","161"
"Mixed","Cheshire East","55.7","122"
"Mixed","Cheshire West and Chester","72.2","97"
"Mixed","Cornwall","43.9","123"
"Mixed","County Durham","66.2","74"
"Mixed","Coventry","45.5","268"
"Mixed","Croydon","48.8","514"
"Mixed","Cumbria","61.8","76"
"Mixed","Darlington","48.3","29"
"Mixed","Derby","34.8","210"
"Mixed","Derbyshire","56.9","204"
"Mixed","Devon","57.6","172"
"Mixed","Doncaster","49.0","96"
"Mixed","Dorset","49.1","114"
"Mixed","Dudley","44.1","220"
"Mixed","Ealing","64.2","257"
"Mixed","East Midlands","47.0","2,447"
"Mixed","East Riding of Yorkshire","50.8","63"
"Mixed","East Sussex","49.8","245"
"Mixed","East of England","51.0","3,634"
"Mixed","Enfield","56.2","372"
"Mixed","Essex","51.0","723"
"Mixed","Gateshead","60.5","38"
"Mixed","Gloucestershire","52.4","317"
"Mixed","Greenwich","53.1","275"
"Mixed","Hackney","49.6","232"
"Mixed","Halton","40.0","45"
"Mixed","Hammersmith and Fulham","63.5","233"
"Mixed","Hampshire","54.2","498"
"Mixed","Haringey","52.8","290"
"Mixed","Harrow","52.6","215"
"Mixed","Hartlepool","63.6","11"
"Mixed","Havering","47.5","202"
"Mixed","Herefordshire, County of","60.0","50"
"Mixed","Hertfordshire","56.3","932"
"Mixed","Hillingdon","56.3","352"
"Mixed","Hounslow","48.7","277"
"Mixed","Inner London","52.3","3,094"
"Mixed","Isle of Wight","45.2","31"
"Mixed","Isles of Scilly","N/A","0"
"Mixed","Islington","54.5","189"
"Mixed","Kensington and Chelsea","60.1","143"
"Mixed","Kent","63.1","899"
"Mixed","Kingston upon Hull, City of","64.6","113"
"Mixed","Kingston upon Thames","69.9","176"
"Mixed","Kirklees","38.5","299"
"Mixed","Knowsley","26.7","15"
"Mixed","Lambeth","45.5","268"
"Mixed","Lancashire","53.2","408"
"Mixed","Leeds","50.9","513"
"Mixed","Leicester","37.9","272"
"Mixed","Leicestershire","47.7","350"
"Mixed","Lewisham","48.6","315"
"Mixed","Lincolnshire","60.3","237"
"Mixed","Liverpool","46.2","277"
"Mixed","London","54.3","8,449"
"Mixed","Luton","39.1","202"
"Mixed","Manchester","36.3","476"
"Mixed","Medway","55.9","204"
"Mixed","Merton","38.5","161"
"Mixed","Middlesbrough","35.1","74"
"Mixed","Milton Keynes","43.2","259"
"Mixed","Newcastle upon Tyne","52.9","102"
"Mixed","Newham","45.6","263"
"Mixed","Norfolk","56.2","297"
"Mixed","North East","51.2","611"
"Mixed","North East Lincolnshire","42.9","28"
"Mixed","North Lincolnshire","50.0","42"
"Mixed","North Northamptonshire","45.9","170"
