"Measure","Ethnicity","Category","Time","Value","Number"
"Percentage of honours recipients","Bangladeshi","Higher","Dec-20","0","0"
"Percentage of honours recipients","Chinese","Higher","Dec-20","0","0"
"Percentage of honours recipients","Asian other","Higher","Dec-20","0","0"
"Percentage of honours recipients","Black","Higher","Dec-20","3.333333333","1"
"Percentage of honours recipients","Black Caribbean","Higher","Dec-20","3.333333333","1"
"Percentage of honours recipients","Black African","Higher","Dec-20","0","0"
"Percentage of honours recipients","Black other ","Higher","Dec-20","0","0"
"Percentage of honours recipients","Mixed","Higher","Dec-20","0","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","Higher","Dec-20","0","0"
"Percentage of honours recipients","Mixed White/Black African","Higher","Dec-20","0","0"
"Percentage of honours recipients","Mixed White/Asian","Higher","Dec-20","0","0"
"Percentage of honours recipients","Mixed other","Higher","Dec-20","0","0"
"Percentage of honours recipients","White","Higher","Dec-20","96.66666667","29"
"Percentage of honours recipients","White British","Higher","Dec-20","96.66666667","29"
"Percentage of honours recipients","White other","Higher","Dec-20","0","0"
"Percentage of honours recipients","Any other","Higher","Dec-20","0","0"
"Percentage of honours recipients","Unknown ","Higher","Dec-20","!","0"
"Percentage of honours recipients","All including Unknown","CBE","Dec-20","N/A","86"
"Percentage of honours recipients","All excluding Unknown","CBE","Dec-20","100","86"
"Percentage of honours recipients","Asian","CBE","Dec-20","9.302325581","8"
"Percentage of honours recipients","Indian","CBE","Dec-20","4.651162791","4"
"Percentage of honours recipients","Pakistani","CBE","Dec-20","1.162790698","1"
"Percentage of honours recipients","Bangladeshi","CBE","Dec-20","0","0"
"Percentage of honours recipients","Chinese","CBE","Dec-20","0","0"
"Percentage of honours recipients","Asian other","CBE","Dec-20","3.488372093","3"
"Percentage of honours recipients","Black","CBE","Dec-20","1.162790698","1"
"Percentage of honours recipients","Black Caribbean","CBE","Dec-20","1.162790698","1"
"Percentage of honours recipients","Black African","CBE","Dec-20","0","0"
"Percentage of honours recipients","Black other ","CBE","Dec-20","0","0"
"Percentage of honours recipients","Mixed","CBE","Dec-20","1.162790698","1"
"Percentage of honours recipients","Mixed White/Black Caribbean","CBE","Dec-20","0","0"
"Percentage of honours recipients","Mixed White/Black African","CBE","Dec-20","0","0"
"Percentage of honours recipients","Mixed White/Asian","CBE","Dec-20","1.162790698","1"
"Percentage of honours recipients","Mixed other","CBE","Dec-20","0","0"
"Percentage of honours recipients","White","CBE","Dec-20","86.04651163","74"
"Percentage of honours recipients","White British","CBE","Dec-20","86.04651163","74"
"Percentage of honours recipients","White other","CBE","Dec-20","0","0"
"Percentage of honours recipients","Any other","CBE","Dec-20","2.325581395","2"
"Percentage of honours recipients","Unknown ","CBE","Dec-20","!","0"
"Percentage of honours recipients","All including Unknown","OBE","Dec-20","N/A","250"
"Percentage of honours recipients","All excluding Unknown","OBE","Dec-20","100","233"
"Percentage of honours recipients","Asian","OBE","Dec-20","6.43776824","15"
"Percentage of honours recipients","Indian","OBE","Dec-20","3.433476395","8"
"Percentage of honours recipients","Pakistani","OBE","Dec-20","1.287553648","3"
"Percentage of honours recipients","Bangladeshi","OBE","Dec-20","0","0"
"Percentage of honours recipients","Chinese","OBE","Dec-20","0","0"
"Percentage of honours recipients","Asian other","OBE","Dec-20","1.716738197","4"
"Percentage of honours recipients","Black","OBE","Dec-20","3.004291845","7"
"Percentage of honours recipients","Black Caribbean","OBE","Dec-20","2.145922747","5"
"Percentage of honours recipients","Black African","OBE","Dec-20","0","0"
"Percentage of honours recipients","Black other ","OBE","Dec-20","0.858369099","2"
"Percentage of honours recipients","Mixed","OBE","Dec-20","3.433476395","8"
"Percentage of honours recipients","Mixed White/Black Caribbean","OBE","Dec-20","0.429184549","1"
"Percentage of honours recipients","Mixed White/Black African","OBE","Dec-20","0.429184549","1"
"Percentage of honours recipients","Mixed White/Asian","OBE","Dec-20","1.287553648","3"
"Percentage of honours recipients","Mixed other","OBE","Dec-20","1.287553648","3"
"Percentage of honours recipients","White","OBE","Dec-20","85.83690987","200"
"Percentage of honours recipients","White British","OBE","Dec-20","85.83690987","200"
"Percentage of honours recipients","White other","OBE","Dec-20","0","0"
"Percentage of honours recipients","Any other","OBE","Dec-20","1.287553648","3"
"Percentage of honours recipients","Unknown ","OBE","Dec-20","!","17"
"Percentage of honours recipients","All including Unknown","MBE","Dec-20","N/A","476"
"Percentage of honours recipients","All excluding Unknown","MBE","Dec-20","100","447"
"Percentage of honours recipients","Asian","MBE","Dec-20","8.277404922","37"
"Percentage of honours recipients","Indian","MBE","Dec-20","4.026845638","18"
"Percentage of honours recipients","Pakistani","MBE","Dec-20","1.789709172","8"
"Percentage of honours recipients","Bangladeshi","MBE","Dec-20","1.118568233","5"
"Percentage of honours recipients","Chinese","MBE","Dec-20","0.223713647","1"
"Percentage of honours recipients","Asian other","MBE","Dec-20","1.118568233","5"
"Percentage of honours recipients","Black","MBE","Dec-20","4.474272931","20"
"Percentage of honours recipients","Black Caribbean","MBE","Dec-20","2.460850112","11"
"Percentage of honours recipients","Black African","MBE","Dec-20","2.013422819","9"
"Percentage of honours recipients","Black other ","MBE","Dec-20","0","0"
"Percentage of honours recipients","Mixed","MBE","Dec-20","1.789709172","8"
"Percentage of honours recipients","Mixed White/Black Caribbean","MBE","Dec-20","0.67114094","3"
"Percentage of honours recipients","Mixed White/Black African","MBE","Dec-20","0.223713647","1"
"Percentage of honours recipients","Mixed White/Asian","MBE","Dec-20","0.223713647","1"
"Percentage of honours recipients","Mixed other","MBE","Dec-20","0.67114094","3"
"Percentage of honours recipients","White","MBE","Dec-20","84.1163311","376"
"Percentage of honours recipients","White British","MBE","Dec-20","84.1163311","376"
"Percentage of honours recipients","White other","MBE","Dec-20","0","0"
"Percentage of honours recipients","Any other","MBE","Dec-20","1.342281879","6"
"Percentage of honours recipients","Unknown ","MBE","Dec-20","!","29"
"Percentage of honours recipients","All including Unknown","BEM","Dec-20","N/A","397"
"Percentage of honours recipients","All excluding Unknown","BEM","Dec-20","100","354"
"Percentage of honours recipients","Asian","BEM","Dec-20","7.627118644","27"
"Percentage of honours recipients","Indian","BEM","Dec-20","2.824858757","10"
"Percentage of honours recipients","Pakistani","BEM","Dec-20","2.259887006","8"
"Percentage of honours recipients","Bangladeshi","BEM","Dec-20","1.412429379","5"
"Percentage of honours recipients","Chinese","BEM","Dec-20","0.282485876","1"
"Percentage of honours recipients","Asian other","BEM","Dec-20","0.847457627","3"
"Percentage of honours recipients","Black","BEM","Dec-20","1.694915254","6"
"Percentage of honours recipients","Black Caribbean","BEM","Dec-20","1.129943503","4"
"Percentage of honours recipients","Black African","BEM","Dec-20","0.564971751","2"
"Percentage of honours recipients","Black other ","BEM","Dec-20","0","0"
"Percentage of honours recipients","Mixed","BEM","Dec-20","2.542372881","9"
"Percentage of honours recipients","Mixed White/Black Caribbean","BEM","Dec-20","0.564971751","2"
"Percentage of honours recipients","Mixed White/Black African","BEM","Dec-20","0.564971751","2"
"Percentage of honours recipients","Mixed White/Asian","BEM","Dec-20","0.282485876","1"
"Percentage of honours recipients","Mixed other","BEM","Dec-20","1.129943503","4"
"Percentage of honours recipients","White","BEM","Dec-20","86.44067797","306"
"Percentage of honours recipients","White British","BEM","Dec-20","86.44067797","306"
"Percentage of honours recipients","White other","BEM","Dec-20","0","0"
"Percentage of honours recipients","Any other","BEM","Dec-20","1.694915254","6"
"Percentage of honours recipients","Unknown ","BEM","Dec-20","!","43"
"Percentage of honours recipients","All including Unknown","All","Oct-20","N/A","1495"
"Percentage of honours recipients","All excluding Unknown","All","Oct-20","100","1343"
"Percentage of honours recipients","Asian","All","Oct-20","7.967237528","107"
"Percentage of honours recipients","Indian","All","Oct-20","3.499627699","47"
"Percentage of honours recipients","Pakistani","All","Oct-20","1.712583768","23"
"Percentage of honours recipients","Bangladeshi","All","Oct-20","0.819061802","11"
"Percentage of honours recipients","Chinese","All","Oct-20","0.297840655","4"
"Percentage of honours recipients","Asian other","All","Oct-20","1.638123604","22"
"Percentage of honours recipients","Black","All","Oct-20","4.765450484","64"
"Percentage of honours recipients","Black Caribbean","All","Oct-20","2.903946389","39"
"Percentage of honours recipients","Black African","All","Oct-20","1.414743112","19"
"Percentage of honours recipients","Black other ","All","Oct-20","0.446760983","6"
"Percentage of honours recipients","Mixed","All","Oct-20","1.042442293","14"
"Percentage of honours recipients","Mixed White/Black Caribbean","All","Oct-20","0.446760983","6"
"Percentage of honours recipients","Mixed White/Black African","All","Oct-20","0.148920328","2"
"Percentage of honours recipients","Mixed White/Asian","All","Oct-20","0.297840655","4"
"Percentage of honours recipients","Mixed other","All","Oct-20","0.148920328","2"
"Percentage of honours recipients","White","All","Oct-20","85.62918838","1150"
"Percentage of honours recipients","White British","All","Oct-20","85.1824274","1144"
"Percentage of honours recipients","White other","All","Oct-20","0.446760983","6"
"Percentage of honours recipients","Any other","All","Oct-20","0.59568131","8"
"Percentage of honours recipients","Unknown ","All","Oct-20","!","152"
"Percentage of honours recipients","All including Unknown","Higher","Oct-20","N/A","31"
"Percentage of honours recipients","All excluding Unknown","Higher","Oct-20","100","22"
"Percentage of honours recipients","Asian","Higher","Oct-20","0","0"
"Percentage of honours recipients","Indian","Higher","Oct-20","0","0"
"Percentage of honours recipients","Pakistani","Higher","Oct-20","0","0"
"Percentage of honours recipients","Bangladeshi","Higher","Oct-20","0","0"
"Percentage of honours recipients","Chinese","Higher","Oct-20","0","0"
"Percentage of honours recipients","Asian other","Higher","Oct-20","0","0"
"Percentage of honours recipients","Black","Higher","Oct-20","4.545454545","1"
"Percentage of honours recipients","Black Caribbean","Higher","Oct-20","4.545454545","1"
"Percentage of honours recipients","Black African","Higher","Oct-20","0","0"
"Percentage of honours recipients","Black other ","Higher","Oct-20","0","0"
"Percentage of honours recipients","Mixed","Higher","Oct-20","0","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","Higher","Oct-20","0","0"
"Percentage of honours recipients","Mixed White/Black African","Higher","Oct-20","0","0"
"Percentage of honours recipients","Mixed White/Asian","Higher","Oct-20","0","0"
"Percentage of honours recipients","Mixed other","Higher","Oct-20","0","0"
"Percentage of honours recipients","White","Higher","Oct-20","95.45454545","21"
"Percentage of honours recipients","White British","Higher","Oct-20","95.45454545","21"
"Percentage of honours recipients","White other","Higher","Oct-20","0","0"
"Percentage of honours recipients","Any other","Higher","Oct-20","0","0"
"Percentage of honours recipients","Unknown ","Higher","Oct-20","!","9"
"Percentage of honours recipients","All including Unknown","CBE","Oct-20","N/A","107"
"Percentage of honours recipients","All excluding Unknown","CBE","Oct-20","100","94"
"Percentage of honours recipients","Asian","CBE","Oct-20","6.382978723","6"
"Percentage of honours recipients","Indian","CBE","Oct-20","2.127659574","2"
"Percentage of honours recipients","Pakistani","CBE","Oct-20","2.127659574","2"
"Percentage of honours recipients","Bangladeshi","CBE","Oct-20","0","0"
"Percentage of honours recipients","Chinese","CBE","Oct-20","0","0"
"Percentage of honours recipients","Asian other","CBE","Oct-20","2.127659574","2"
"Percentage of honours recipients","Black","CBE","Oct-20","6.382978723","6"
"Percentage of honours recipients","Black Caribbean","CBE","Oct-20","4.255319149","4"
"Percentage of honours recipients","Black African","CBE","Oct-20","2.127659574","2"
"Percentage of honours recipients","Black other ","CBE","Oct-20","0","0"
"Percentage of honours recipients","Mixed","CBE","Oct-20","2.127659574","2"
"Percentage of honours recipients","Mixed White/Black Caribbean","CBE","Oct-20","1.063829787","1"
"Percentage of honours recipients","Mixed White/Black African","CBE","Oct-20","0","0"
"Percentage of honours recipients","Mixed White/Asian","CBE","Oct-20","0","0"
"Percentage of honours recipients","Mixed other","CBE","Oct-20","1.063829787","1"
"Percentage of honours recipients","White","CBE","Oct-20","84.04255319","79"
"Percentage of honours recipients","White British","CBE","Oct-20","84.04255319","79"
"Percentage of honours recipients","White other","CBE","Oct-20","0","0"
"Percentage of honours recipients","Any other","CBE","Oct-20","1.063829787","1"
"Percentage of honours recipients","Unknown ","CBE","Oct-20","!","13"
"Percentage of honours recipients","All including Unknown","OBE","Oct-20","N/A","260"
"Percentage of honours recipients","All excluding Unknown","OBE","Oct-20","100","241"
"Percentage of honours recipients","Asian","OBE","Oct-20","8.298755187","20"
"Percentage of honours recipients","Indian","OBE","Oct-20","2.904564315","7"
"Percentage of honours recipients","Pakistani","OBE","Oct-20","0.829875519","2"
"Percentage of honours recipients","Bangladeshi","OBE","Oct-20","1.244813278","3"
"Percentage of honours recipients","Chinese","OBE","Oct-20","0","0"
"Percentage of honours recipients","Asian other","OBE","Oct-20","3.319502075","8"
"Percentage of honours recipients","Black","OBE","Oct-20","3.319502075","8"
"Percentage of honours recipients","Black Caribbean","OBE","Oct-20","1.244813278","3"
"Percentage of honours recipients","Black African","OBE","Oct-20","1.659751037","4"
"Percentage of honours recipients","Black other ","OBE","Oct-20","0.414937759","1"
"Percentage of honours recipients","Mixed","OBE","Oct-20","1.244813278","3"
"Percentage of honours recipients","Mixed White/Black Caribbean","OBE","Oct-20","0","0"
"Percentage of honours recipients","Mixed White/Black African","OBE","Oct-20","0.414937759","1"
"Percentage of honours recipients","Mixed White/Asian","OBE","Oct-20","0.829875519","2"
"Percentage of honours recipients","Mixed other","OBE","Oct-20","0","0"
"Percentage of honours recipients","White","OBE","Oct-20","86.7219917","209"
"Percentage of honours recipients","White British","OBE","Oct-20","86.30705394","208"
"Percentage of honours recipients","White other","OBE","Oct-20","0.414937759","1"
"Percentage of honours recipients","Any other","OBE","Oct-20","0.414937759","1"
"Percentage of honours recipients","Unknown ","OBE","Oct-20","!","19"
"Percentage of honours recipients","All including Unknown","MBE","Oct-20","N/A","561"
"Percentage of honours recipients","All excluding Unknown","MBE","Oct-20","100","479"
"Percentage of honours recipients","Asian","MBE","Oct-20","10.64718163","51"
"Percentage of honours recipients","Indian","MBE","Oct-20","5.636743215","27"
"Percentage of honours recipients","Pakistani","MBE","Oct-20","2.087682672","10"
"Percentage of honours recipients","Bangladeshi","MBE","Oct-20","0.835073069","4"
"Percentage of honours recipients","Chinese","MBE","Oct-20","0.835073069","4"
"Percentage of honours recipients","Asian other","MBE","Oct-20","1.252609603","6"
"Percentage of honours recipients","Black","MBE","Oct-20","7.098121086","34"
"Percentage of honours recipients","Black Caribbean","MBE","Oct-20","4.592901879","22"
"Percentage of honours recipients","Black African","MBE","Oct-20","1.878914405","9"
"Percentage of honours recipients","Black other ","MBE","Oct-20","0.626304802","3"
"Percentage of honours recipients","Mixed","MBE","Oct-20","1.252609603","6"
"Percentage of honours recipients","Mixed White/Black Caribbean","MBE","Oct-20","0.626304802","3"
"Percentage of honours recipients","Mixed White/Black African","MBE","Oct-20","0.208768267","1"
"Percentage of honours recipients","Mixed White/Asian","MBE","Oct-20","0.417536534","2"
"Percentage of honours recipients","Mixed other","MBE","Oct-20","0","0"
"Percentage of honours recipients","White","MBE","Oct-20","80.16701461","384"
"Percentage of honours recipients","White British","MBE","Oct-20","79.33194154","380"
"Percentage of honours recipients","White other","MBE","Oct-20","0.835073069","4"
"Percentage of honours recipients","Any other","MBE","Oct-20","0.835073069","4"
"Percentage of honours recipients","Unknown ","MBE","Oct-20","!","82"
"Percentage of honours recipients","All including Unknown","BEM","Oct-20","N/A","536"
"Percentage of honours recipients","All excluding Unknown","BEM","Oct-20","100","507"
"Percentage of honours recipients","Asian","BEM","Oct-20","5.917159763","30"
"Percentage of honours recipients","Indian","BEM","Oct-20","2.169625247","11"
"Percentage of honours recipients","Pakistani","BEM","Oct-20","1.775147929","9"
"Percentage of honours recipients","Bangladeshi","BEM","Oct-20","0.788954635","4"
"Percentage of honours recipients","Chinese","BEM","Oct-20","0","0"
"Percentage of honours recipients","Asian other","BEM","Oct-20","1.183431953","6"
"Percentage of honours recipients","Black","BEM","Oct-20","2.958579882","15"
"Percentage of honours recipients","Black Caribbean","BEM","Oct-20","1.775147929","9"
"Percentage of honours recipients","Black African","BEM","Oct-20","0.788954635","4"
"Percentage of honours recipients","Black other ","BEM","Oct-20","0.394477318","2"
"Percentage of honours recipients","Mixed","BEM","Oct-20","0.591715976","3"
"Percentage of honours recipients","Mixed White/Black Caribbean","BEM","Oct-20","0.394477318","2"
"Percentage of honours recipients","Mixed White/Black African","BEM","Oct-20","0","0"
"Percentage of honours recipients","Mixed White/Asian","BEM","Oct-20","0","0"
"Percentage of honours recipients","Mixed other","BEM","Oct-20","0.197238659","1"
"Percentage of honours recipients","White","BEM","Oct-20","90.13806706","457"
"Percentage of honours recipients","White British","BEM","Oct-20","89.9408284","456"
"Percentage of honours recipients","White other","BEM","Oct-20","0.197238659","1"
"Percentage of honours recipients","Any other","BEM","Oct-20","0.394477318","2"
