"Measure","Ethnicity","Ethnicity_type","Category","Time","Time_type","Value","Value_type","Number"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.2","%","2"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","0.4","%","1"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0.3","%","1"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","All","Jun-22","Queen's Birthday Honours","14.5","%","150"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","BEM","Jun-22","Queen's Birthday Honours","10.6","%","30"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","CBE","Jun-22","Queen's Birthday Honours","8.3","%","7"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","Higher","Jun-22","Queen's Birthday Honours","7.1","%","3"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","MBE","Jun-22","Queen's Birthday Honours","18","%","72"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","OBE","Jun-22","Queen's Birthday Honours","17","%","38"
"Percentage of honours recipients","Indian","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","3.9","%","40"
"Percentage of honours recipients","Indian","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","1.1","%","3"
"Percentage of honours recipients","Indian","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","3.6","%","3"
"Percentage of honours recipients","Indian","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","2.4","%","1"
"Percentage of honours recipients","Indian","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","5.5","%","22"
"Percentage of honours recipients","Indian","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","4.9","%","11"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","All","Jun-22","Queen's Birthday Honours","1.9","%","20"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","BEM","Jun-22","Queen's Birthday Honours","3.2","%","9"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","CBE","Jun-22","Queen's Birthday Honours","1.2","%","1"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","MBE","Jun-22","Queen's Birthday Honours","1.5","%","6"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","OBE","Jun-22","Queen's Birthday Honours","1.8","%","4"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.7","%","7"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","1.8","%","5"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0.9","%","2"
"Percentage of honours recipients","Mixed White/Asian","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.1","%","1"
"Percentage of honours recipients","Mixed White/Asian","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","0.4","%","1"
"Percentage of honours recipients","Mixed White/Asian","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Asian","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Asian","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Asian","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Black African","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.4","%","4"
"Percentage of honours recipients","Mixed White/Black African","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","0.4","%","1"
"Percentage of honours recipients","Mixed White/Black African","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","1.2","%","1"
"Percentage of honours recipients","Mixed White/Black African","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Black African","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Black African","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0.9","%","2"
"Percentage of honours recipients","Mixed White/Black Caribbean","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.8","%","8"
"Percentage of honours recipients","Mixed White/Black Caribbean","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","0.7","%","2"
"Percentage of honours recipients","Mixed White/Black Caribbean","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","1.5","%","6"
"Percentage of honours recipients","Mixed White/Black Caribbean","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Pakistani","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","1.9","%","20"
"Percentage of honours recipients","Pakistani","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","1.1","%","3"
"Percentage of honours recipients","Pakistani","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Pakistani","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","2.4","%","1"
"Percentage of honours recipients","Pakistani","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","2.5","%","10"
"Percentage of honours recipients","Pakistani","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","2.7","%","6"
"Percentage of honours recipients","Unknown","Unknown","All","Jun-22","Queen's Birthday Honours","NA","%","8"
"Percentage of honours recipients","Unknown","Unknown","BEM","Jun-22","Queen's Birthday Honours","NA","%","0"
"Percentage of honours recipients","Unknown","Unknown","CBE","Jun-22","Queen's Birthday Honours","NA","%","6"
"Percentage of honours recipients","Unknown","Unknown","Higher","Jun-22","Queen's Birthday Honours","NA","%","1"
"Percentage of honours recipients","Unknown","Unknown","MBE","Jun-22","Queen's Birthday Honours","NA","%","0"
"Percentage of honours recipients","Unknown","Unknown","OBE","Jun-22","Queen's Birthday Honours","NA","%","1"
"Percentage of honours recipients","White","ONS 2001 5+1","All","Jun-22","Queen's Birthday Honours","85.5","%","882"
"Percentage of honours recipients","White","ONS 2001 5+1","BEM","Jun-22","Queen's Birthday Honours","89.4","%","252"
"Percentage of honours recipients","White","ONS 2001 5+1","CBE","Jun-22","Queen's Birthday Honours","91.7","%","77"
"Percentage of honours recipients","White","ONS 2001 5+1","Higher","Jun-22","Queen's Birthday Honours","92.9","%","39"
"Percentage of honours recipients","White","ONS 2001 5+1","MBE","Jun-22","Queen's Birthday Honours","82","%","328"
"Percentage of honours recipients","White","ONS 2001 5+1","OBE","Jun-22","Queen's Birthday Honours","83","%","186"
"Percentage of honours recipients","White","White/Ethnic Minorities","All","Jun-22","Queen's Birthday Honours","85.5","%","882"
"Percentage of honours recipients","White","White/Ethnic Minorities","BEM","Jun-22","Queen's Birthday Honours","89.4","%","252"
"Percentage of honours recipients","White","White/Ethnic Minorities","CBE","Jun-22","Queen's Birthday Honours","91.7","%","77"
"Percentage of honours recipients","White","White/Ethnic Minorities","Higher","Jun-22","Queen's Birthday Honours","92.9","%","39"
"Percentage of honours recipients","White","White/Ethnic Minorities","MBE","Jun-22","Queen's Birthday Honours","82","%","328"
"Percentage of honours recipients","White","White/Ethnic Minorities","OBE","Jun-22","Queen's Birthday Honours","83","%","186"
"Percentage of honours recipients","White British","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","81.6","%","842"
"Percentage of honours recipients","White British","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","87.6","%","247"
"Percentage of honours recipients","White British","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","85.7","%","72"
"Percentage of honours recipients","White British","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","81","%","34"
"Percentage of honours recipients","White British","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","79.3","%","317"
"Percentage of honours recipients","White British","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","76.8","%","172"
"Percentage of honours recipients","White Other","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","3.9","%","40"
"Percentage of honours recipients","White Other","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","1.8","%","5"
"Percentage of honours recipients","White Other","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","6","%","5"
"Percentage of honours recipients","White Other","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","11.9","%","5"
"Percentage of honours recipients","White Other","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","2.8","%","11"
"Percentage of honours recipients","White Other","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","6.3","%","14"
"Percentage of honours recipients","All Excluding Unknown","All","All","Dec-21","New Years Honours","100","%","1160"
"Percentage of honours recipients","All Excluding Unknown","All","Higher","Dec-21","New Years Honours","100","%","34"
"Percentage of honours recipients","All Excluding Unknown","All","CBE","Dec-21","New Years Honours","100","%","104"
"Percentage of honours recipients","All Excluding Unknown","All","OBE","Dec-21","New Years Honours","100","%","230"
"Percentage of honours recipients","All Excluding Unknown","All","MBE","Dec-21","New Years Honours","100","%","476"
"Percentage of honours recipients","All Excluding Unknown","All","BEM","Dec-21","New Years Honours","100","%","316"
"Percentage of honours recipients","All Including Unknown","All","All","Dec-21","New Years Honours","NA","%","1278"
"Percentage of honours recipients","All Including Unknown","All","Higher","Dec-21","New Years Honours","NA","%","42"
"Percentage of honours recipients","All Including Unknown","All","CBE","Dec-21","New Years Honours","NA","%","114"
"Percentage of honours recipients","All Including Unknown","All","OBE","Dec-21","New Years Honours","NA","%","253"
"Percentage of honours recipients","All Including Unknown","All","MBE","Dec-21","New Years Honours","NA","%","508"
"Percentage of honours recipients","All Including Unknown","All","BEM","Dec-21","New Years Honours","NA","%","361"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","All","Dec-21","New Years Honours","0.6","%","7"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","Higher","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","CBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","OBE","Dec-21","New Years Honours","0.4","%","1"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","MBE","Dec-21","New Years Honours","1.1","%","5"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","BEM","Dec-21","New Years Honours","0.3","%","1"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","All","Dec-21","New Years Honours","0.6","%","7"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","Higher","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","CBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","OBE","Dec-21","New Years Honours","0.4","%","1"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","MBE","Dec-21","New Years Honours","1.1","%","5"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","BEM","Dec-21","New Years Honours","0.3","%","1"
"Percentage of honours recipients","Asian","ONS 2001 5+1","All","Dec-21","New Years Honours","8.4","%","98"
"Percentage of honours recipients","Asian","ONS 2001 5+1","Higher","Dec-21","New Years Honours","8.8","%","3"
"Percentage of honours recipients","Asian","ONS 2001 5+1","CBE","Dec-21","New Years Honours","4.8","%","5"
"Percentage of honours recipients","Asian","ONS 2001 5+1","OBE","Dec-21","New Years Honours","10.4","%","24"
"Percentage of honours recipients","Asian","ONS 2001 5+1","MBE","Dec-21","New Years Honours","7.8","%","37"
"Percentage of honours recipients","Asian","ONS 2001 5+1","BEM","Dec-21","New Years Honours","9.2","%","29"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","All","Dec-21","New Years Honours","0.9","%","10"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","Higher","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","CBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","OBE","Dec-21","New Years Honours","2.2","%","5"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","MBE","Dec-21","New Years Honours","0.4","%","2"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","BEM","Dec-21","New Years Honours","0.9","%","3"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","All","Dec-21","New Years Honours","0.9","%","10"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","Higher","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","CBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","OBE","Dec-21","New Years Honours","0.4","%","1"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","MBE","Dec-21","New Years Honours","0.4","%","2"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","BEM","Dec-21","New Years Honours","2.2","%","7"
"Percentage of honours recipients","Black","ONS 2001 5+1","All","Dec-21","New Years Honours","3.6","%","42"
"Percentage of honours recipients","Black","ONS 2001 5+1","Higher","Dec-21","New Years Honours","5.9","%","2"
"Percentage of honours recipients","Black","ONS 2001 5+1","CBE","Dec-21","New Years Honours","4.8","%","5"
"Percentage of honours recipients","Black","ONS 2001 5+1","OBE","Dec-21","New Years Honours","2.6","%","6"
"Percentage of honours recipients","Black","ONS 2001 5+1","MBE","Dec-21","New Years Honours","4.8","%","23"
"Percentage of honours recipients","Black","ONS 2001 5+1","BEM","Dec-21","New Years Honours","1.9","%","6"
"Percentage of honours recipients","Black African","ONS 2001 16+1","All","Dec-21","New Years Honours","1.4","%","16"
"Percentage of honours recipients","Black African","ONS 2001 16+1","Higher","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Black African","ONS 2001 16+1","CBE","Dec-21","New Years Honours","1","%","1"
"Percentage of honours recipients","Black African","ONS 2001 16+1","OBE","Dec-21","New Years Honours","0.4","%","1"
"Percentage of honours recipients","Black African","ONS 2001 16+1","MBE","Dec-21","New Years Honours","2.7","%","13"
"Percentage of honours recipients","Black African","ONS 2001 16+1","BEM","Dec-21","New Years Honours","0.3","%","1"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","All","Dec-21","New Years Honours","2.1","%","24"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","Higher","Dec-21","New Years Honours","5.9","%","2"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","CBE","Dec-21","New Years Honours","3.8","%","4"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","OBE","Dec-21","New Years Honours","2.2","%","5"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","MBE","Dec-21","New Years Honours","1.9","%","9"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","BEM","Dec-21","New Years Honours","1.3","%","4"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","All","Dec-21","New Years Honours","0.2","%","2"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","Higher","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","CBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","OBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","MBE","Dec-21","New Years Honours","0.2","%","1"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","BEM","Dec-21","New Years Honours","0.3","%","1"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","All","Dec-21","New Years Honours","0.2","%","2"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","Higher","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","CBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","OBE","Dec-21","New Years Honours","0.4","%","1"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","MBE","Dec-21","New Years Honours","0.2","%","1"
"Percentage of honours recipients","Chinese","ONS 2001 16+1","BEM","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","All","Dec-21","New Years Honours","15.1","%","175"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","Higher","Dec-21","New Years Honours","17.6","%","6"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","CBE","Dec-21","New Years Honours","10.6","%","11"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","OBE","Dec-21","New Years Honours","16.1","%","37"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","MBE","Dec-21","New Years Honours","17.2","%","82"
"Percentage of honours recipients","Ethnic Minorities (Excl White)","White/Ethnic Minorities","BEM","Dec-21","New Years Honours","12.3","%","39"
"Percentage of honours recipients","Indian","ONS 2001 16+1","All","Dec-21","New Years Honours","4.6","%","53"
"Percentage of honours recipients","Indian","ONS 2001 16+1","Higher","Dec-21","New Years Honours","2.9","%","1"
"Percentage of honours recipients","Indian","ONS 2001 16+1","CBE","Dec-21","New Years Honours","3.8","%","4"
"Percentage of honours recipients","Indian","ONS 2001 16+1","OBE","Dec-21","New Years Honours","5.7","%","13"
"Percentage of honours recipients","Indian","ONS 2001 16+1","MBE","Dec-21","New Years Honours","4.6","%","22"
"Percentage of honours recipients","Indian","ONS 2001 16+1","BEM","Dec-21","New Years Honours","4.1","%","13"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","All","Dec-21","New Years Honours","2.4","%","28"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","Higher","Dec-21","New Years Honours","2.9","%","1"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","CBE","Dec-21","New Years Honours","1","%","1"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","OBE","Dec-21","New Years Honours","2.6","%","6"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","MBE","Dec-21","New Years Honours","3.6","%","17"
"Percentage of honours recipients","Mixed","ONS 2001 5+1","BEM","Dec-21","New Years Honours","0.9","%","3"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","All","Dec-21","New Years Honours","0.8","%","9"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","Higher","Dec-21","New Years Honours","2.9","%","1"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","CBE","Dec-21","New Years Honours","0","%","0"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","OBE","Dec-21","New Years Honours","0.4","%","1"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","MBE","Dec-21","New Years Honours","1.1","%","5"
"Percentage of honours recipients","Mixed Other","ONS 2001 16+1","BEM","Dec-21","New Years Honours","0.6","%","2"
