"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","3","2732"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","3","2732"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","1","2732"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","5","2732"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","3","2732"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","72","531"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","531"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","531"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","531"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","531"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","531"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","531"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","531"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","531"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","69","2622"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","6","2622"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","1","2622"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","4","2622"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","3","2622"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","2","2622"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","1","2622"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","7","2622"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","7","2622"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","77","1127"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","6","1127"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","1","1127"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","2","1127"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","3","1127"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","2","1127"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","1","1127"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","5","1127"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","3","1127"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","56","618"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","9","618"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","~","618"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","10","618"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","3","618"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","1","618"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","2","618"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","12","618"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","8","618"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","55","221"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","5","221"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","~","221"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","9","221"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","4","221"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","2","221"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","2","221"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","16","221"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","7","221"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","63","236"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","5","236"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","2","236"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","236"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","1","236"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","2","236"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","~","236"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","3","236"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","23","236"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","70","420"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","5","420"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","1","420"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","3","420"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","2","420"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","2","420"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","~","420"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","8","420"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","9","420"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","67","1457"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1457"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","~","1457"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1457"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1457"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","1457"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","1457"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1457"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1457"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","67","597"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","6","597"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","1","597"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","3","597"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","3","597"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","4","597"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","1","597"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","8","597"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","6","597"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","64","66320"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","8","66320"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","2","66320"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","2","66320"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","66320"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","8","66320"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","1","66320"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","6","66320"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","3","66320"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","64","61420"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","8","61420"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","2","61420"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","2","61420"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","61420"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","8","61420"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","1","61420"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","5","61420"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","3","61420"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","63","58941"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","58941"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58941"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58941"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","8","58941"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","9","58941"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58941"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","5","58941"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","2","58941"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","72","2479"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","10","2479"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","1","2479"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","2","2479"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","3","2479"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","3","2479"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","1","2479"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","5","2479"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","4","2479"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","66","491"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","491"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","~","491"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","491"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","491"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","491"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","491"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","10","491"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","491"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","68","2454"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","8","2454"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","1","2454"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","4","2454"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","3","2454"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","2","2454"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","1","2454"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","7","2454"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","6","2454"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","75","1047"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","9","1047"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","1","1047"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","1","1047"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","3","1047"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","2","1047"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","1","1047"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","4","1047"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","3","1047"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","57","570"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","10","570"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","~","570"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","10","570"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","3","570"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","1","570"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","2","570"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","12","570"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","5","570"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","55","228"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","3","228"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","~","228"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","10","228"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","5","228"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","3","228"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","1","228"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","15","228"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","7","228"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","65","213"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","4","213"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","213"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","213"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","2","213"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","2","213"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","~","213"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","3","213"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","22","213"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","68","396"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","5","396"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","~","396"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","3","396"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","2","396"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","2","396"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","1","396"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","8","396"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","10","396"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","65","1355"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1355"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","~","1355"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1355"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1355"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","1355"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","1355"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","1355"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1355"
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","68","600"
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","6","600"
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","1","600"
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","3","600"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","3","600"
"Share of income made up by Private pensions by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","600"
