"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Norfolk","75","6,594","85","99","74","64","83","25","76","198","75","6,116"
"North East Lincolnshire","81","1,527","86","12","100","5","100","2","82","47","80","1,443"
"North Lincolnshire","80","1,563","86","65","57","4","N/A","N/A","84","41","80","1,431"
"North Somerset","80","1,896","81","21","88","7","75","3","80","61","79","1,790"
"North Tyneside","82","1,834","88","53","89","24","100","7","77","48","82","1,694"
"North Yorkshire","78","4,536","86","74","65","13","92","11","76","112","78","4,290"
"Northamptonshire","77","6,962","82","343","79","375","96","27","78","394","77","5,759"
"Northumberland","81","2,704","87","47","100","6","100","2","85","46","81","2,590"
"Nottingham","75","2,601","79","469","77","290","82","14","73","327","74","1,422"
"Nottinghamshire","79","7,208","87","236","81","73","82","32","81","349","79","6,455"
"Oldham","77","2,593","78","896","79","86","86","6","79","116","77","1,453"
"Oxfordshire","77","5,465","81","329","76","131","84","21","77","340","77","4,528"
"Peterborough","70","1,937","73","370","72","80","83","5","69","114","69","1,313"
"Plymouth","76","2,177","84","27","75","21","100","16","70","61","75","2,010"
"Poole","79","1,114","86","32","89","8","N/A","N/A","77","51","79","1,010"
"Portsmouth","73","1,561","87","129","79","54","90","9","71","68","72","1,262"
"Reading","74","1,212","78","253","75","126","80","4","71","122","73","676"
"Redbridge","85","3,314","87","1,812","83","368","89","17","84","289","82","755"
"Redcar and Cleveland","83","1,319","78","7","100","3","N/A","N/A","84","27","83","1,273"
"Richmond upon Thames","88","1,869","85","142","85","55","100","16","89","195","88","1,398"
"Rochdale","75","2,190","76","551","74","90","80","4","77","113","75","1,404"
"Rotherham","80","2,584","84","219","81","43","75","3","80","74","79","2,222"
"Rutland","81","319","80","4","0","0","100","1","93","13","81","298"
"Salford","78","2,216","86","77","83","126","86","6","81","175","78","1,746"
"Sandwell","77","3,327","82","1,061","80","352","92","12","76","277","74","1,538"
"Sefton","80","2,314","89","31","91","10","100","3","78","47","80","2,200"
"Sheffield","77","4,679","82","618","76","290","89","25","74","332","77","3,243"
"Shropshire","78","2,296","96","24","60","3","100","6","78","60","78","2,171"
"Slough","82","1,866","88","955","84","162","100","1","80","167","74","488"
"Solihull","80","2,123","83","240","85","46","100","6","82","191","79","1,607"
"Somerset","77","4,329","85","55","86","18","79","15","79","114","77","4,096"
"South Gloucestershire","81","2,540","92","102","84","43","92","11","85","138","81","2,217"
"South Tyneside","81","1,302","83","50","90","9","100","2","82","27","81","1,195"
"Southampton","79","2,054","79","255","80","74","92","11","81","141","79","1,541"
"Southend-on-Sea","82","1,711","88","129","89","81","92","11","78","101","81","1,348"
"Southwark","80","2,565","84","148","79","1,113","90","35","81","283","83","758"
"St. Helens","79","1,617","84","21","64","7","100","5","81","34","79","1,541"
"Staffordshire","80","7,498","81","315","84","61","92","22","78","239","79","6,802"
"Stockport","80","2,676","85","197","67","31","83","15","82","160","80","2,227"
"Stockton-on-Tees","83","1,983","85","101","91","31","91","10","89","49","82","1,778"
"Stoke-on-Trent","74","2,283","73","357","79","80","82","14","72","110","74","1,697"
"Suffolk","75","5,821","86","126","75","46","89","8","78","353","75","5,176"
"Sunderland","81","2,595","83","119","93","25","69","9","80","40","81","2,393"
"Surrey","81","9,770","85","739","82","156","95","53","81","581","80","8,068"
"Sutton","84","1,920","94","404","84","150","89","25","82","182","82","1,114"
"Swindon","78","2,179","81","243","80","71","89","8","78","121","78","1,712"
"Tameside","79","2,210","78","261","81","50","75","9","84","104","79","1,754"
"Telford and Wrekin","80","1,779","85","108","81","68","100","7","86","107","79","1,482"
"Thurrock","81","1,897","89","108","87","322","100","16","82","113","78","1,280"
"Torbay","75","1,045","81","13","67","2","100","5","84","37","75","978"
"Tower Hamlets","82","2,654","85","1,751","74","262","100","19","76","156","78","359"
"Trafford","85","2,493","89","377","83","103","95","36","86","178","84","1,709"
"Wakefield","77","2,960","75","126","79","37","100","11","81","105","77","2,656"
"Walsall","77","2,739","82","705","78","145","84","16","79","177","74","1,661"
"Waltham Forest","83","2,686","86","760","80","512","97","36","84","295","83","990"
"Wandsworth","82","2,002","85","371","78","464","100","11","79","246","85","830"
"Warrington","82","2,055","85","60","64","9","75","9","79","54","82","1,902"
"Warwickshire","80","4,856","85","289","74","62","100","18","83","229","80","4,197"
"West Berkshire","78","1,389","85","57","65","13","88","7","84","76","78","1,221"
"West Sussex","75","6,611","81","344","69","97","86","18","78","322","75","5,727"
"Westminster","83","1,190","84","190","81","196","92","24","89","139","87","315"
"Wigan","81","2,908","82","45","84","31","83","10","75","61","82","2,732"
"Wiltshire","78","4,039","85","67","71","42","100","9","84","150","78","3,678"
"Windsor and Maidenhead","80","1,212","80","185","86","12","86","6","79","100","80","881"
"Wirral","76","2,840","81","92","82","14","94","16","77","90","75","2,609"
"Wokingham","83","1,643","92","253","77","50","90","18","82","102","82","1,201"
"Wolverhampton","81","2,621","85","630","80","331","100","7","82","308","79","1,302"
"Worcestershire","77","4,765","80","192","69","18","90","9","77","173","77","4,328"
"York","80","1,508","83","33","83","10","89","8","77","40","79","1,396"
