"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Value","Value_Type","confidence_interval","Numerator","denominator","samp_size"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","West Midlands","42","%","3.8","61800","146400","659"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","Yorkshire and The Humber","41","%","3.6","57900","141400","710"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","All","38","%","4.2","115700","303900","1270"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","East Midlands","47","%","17.4","6900","14800","79"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","East of England","44","%","16.8","7000","15900","84"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","London","32","%","6.3","51000","157300","538"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","North East","27","%","24.6","900","3500","31"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","North West","42","%","13.7","9200","22300","124"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","Scotland","68","%","25.5","3600","5200","32"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","South East","48","%","16","7500","15500","94"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","South West","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","Wales","58","%","27.9","2100","3700","30"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","West Midlands","39","%","11.7","16400","42600","167"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2006","year","Yorkshire and The Humber","39","%","18.4","6800","17400","67"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","All","44","%","1.8","569300","1292900","7447"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","East Midlands","42","%","7.6","42800","101700","405"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","East of England","49","%","7.3","56300","114300","452"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","London","40","%","6.8","56600","141300","502"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","North East","39","%","5.9","31100","80100","661"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","North West","41","%","5","64400","156200","929"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","Scotland","44","%","4.4","57400","131500","1210"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","South East","48","%","5.4","86300","179900","832"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","South West","52","%","7.4","47000","90800","440"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","Wales","45","%","5.2","31000","69400","881"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","West Midlands","44","%","6.9","45400","103800","492"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2006","year","Yorkshire and The Humber","41","%","6","51100","124000","643"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","All","42","%","1.1","660700","1558700","8301"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","East Midlands","42","%","4.5","47600","112700","469"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","East of England","43","%","4.3","53300","124700","500"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","London","39","%","3.1","105100","272800","928"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","North East","39","%","3.9","29600","75800","595"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","North West","40","%","2.9","76700","189800","1116"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","Scotland","42","%","2.9","52500","124600","1121"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","South East","48","%","3.4","87100","182400","827"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","South West","53","%","4.5","54400","102300","473"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","Wales","46","%","3.3","36700","79000","904"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","West Midlands","39","%","3.6","60100","156100","684"
"0-3 months","Length of time spent in unemployment","All","All","2007","year","Yorkshire and The Humber","42","%","3.7","57600","138600","684"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","All","37","%","4.2","110000","299100","1248"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","East Midlands","37","%","16","6000","15900","88"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","East of England","42","%","15.7","7800","18800","94"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","London","34","%","6.7","48500","144500","482"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","North East","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","North West","43","%","12.6","11600","27000","147"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","Scotland","62","%","26.2","2900","4600","33"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","South East","45","%","15.4","8700","19500","100"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","South West","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","Wales","36","%","24.7","1500","4100","36"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","West Midlands","29","%","11.6","10800","36700","147"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2007","year","Yorkshire and The Humber","31","%","17.2","6000","19000","70"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","All","44","%","1.8","550300","1258100","7047"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","East Midlands","43","%","7.9","41500","96600","380"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","East of England","43","%","7.6","45500","105900","406"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","London","44","%","7.3","56600","128100","445"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","North East","39","%","6.3","28300","73100","571"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","North West","40","%","4.9","65100","162800","969"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","Scotland","41","%","4.6","49700","120000","1088"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","South East","48","%","5.7","78100","162200","725"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","South West","52","%","7.3","49300","95900","446"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","Wales","47","%","5.2","35200","74800","867"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","West Midlands","41","%","6.6","49400","119400","537"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2007","year","Yorkshire and The Humber","43","%","6.2","51600","119300","613"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","All","43","%","1","746200","1738400","8963"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","East Midlands","40","%","4.2","53600","132900","513"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","East of England","47","%","4.1","67300","142700","557"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","London","40","%","3.1","113800","285500","976"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","North East","39","%","3.6","36000","92900","688"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","North West","41","%","2.7","87500","213400","1246"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","Scotland","47","%","3","60500","130100","1064"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","South East","47","%","3.4","92800","195900","844"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","South West","51","%","4.2","55400","109100","538"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","Wales","42","%","3.1","38100","90300","954"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","West Midlands","40","%","3.4","73900","185600","810"
"0-3 months","Length of time spent in unemployment","All","All","2008","year","Yorkshire and The Humber","42","%","3.5","67400","160000","773"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","All","38","%","4.1","125500","327100","1361"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","East Midlands","26","%","13.3","5300","19900","105"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","East of England","43","%","17.1","7200","16800","80"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","London","37","%","6.6","57300","154700","513"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","North East","20","%","22","900","4400","32"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","North West","42","%","11.9","11900","28500","166"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","Scotland","45","%","27.7","2300","5100","31"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","South East","53","%","14.4","11600","22000","116"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","South West","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","Wales","50","%","26.2","2200","4400","35"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","West Midlands","39","%","11.5","17200","43700","172"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2008","year","Yorkshire and The Humber","33","%","16.1","7000","20900","82"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","All","44","%","1.8","620700","1410400","7599"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","East Midlands","43","%","7.6","48300","113000","408"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","East of England","48","%","7.1","60100","125800","476"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","London","43","%","7.1","56500","130500","462"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","North East","40","%","5.9","35200","88500","656"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","North West","41","%","4.6","75500","184900","1080"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","Scotland","47","%","4.8","58200","125100","1033"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","South East","47","%","5.7","81200","173500","727"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","South West","51","%","6.9","52700","102500","509"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","Wales","42","%","5","35900","85900","919"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","West Midlands","40","%","6","56700","141900","638"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2008","year","Yorkshire and The Humber","44","%","5.8","60500","139000","691"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","All","37","%","0.9","857800","2343300","11671"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","East Midlands","38","%","3.8","62200","166100","623"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","East of England","38","%","3.6","70900","186400","686"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","London","37","%","2.8","141300","381300","1163"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","North East","31","%","3.1","36100","117500","867"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","North West","35","%","2.3","100100","290100","1650"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","Scotland","34","%","2.4","63700","185700","1454"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","South East","43","%","3","113500","262300","1069"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","South West","44","%","3.5","71700","164600","751"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","Wales","37","%","2.7","43100","118100","1202"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","West Midlands","31","%","2.7","77800","253200","1144"
"0-3 months","Length of time spent in unemployment","All","All","2009","year","Yorkshire and The Humber","36","%","2.9","77500","218100","1062"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","All","34","%","3.7","135000","403300","1584"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","East Midlands","26","%","13.2","6300","24000","107"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","East of England","32","%","14.4","7700","24300","100"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","London","34.7","%","6.3","63700","183700","549"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","North East","32","%","22.5","1800","5600","41"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","North West","40","%","10.2","15800","39900","220"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","Scotland","32","%","26","2000","6100","31"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","South East","42","%","13.5","9700","23000","128"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","South West","53","%","24.4","4700","8800","40"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","Wales","34","%","21.4","2200","6400","47"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","West Midlands","23","%","8.9","12700","54100","217"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2009","year","Yorkshire and The Humber","31","%","14.1","8600","27400","104"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","All","37","%","1.5","722300","1937600","10077"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","East Midlands","39","%","6.7","55900","142100","516"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","East of England","39","%","6.2","63300","162000","585"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","London","39","%","6.1","77100","196000","611"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","North East","31","%","5","34300","111900","826"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","North West","34","%","3.9","84300","250100","1429"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","Scotland","34","%","3.9","61800","179400","1421"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","South East","43","%","5","103600","239100","940"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","South West","43","%","5.8","67000","155700","710"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","Wales","37","%","4.4","40900","111700","1155"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","West Midlands","33","%","4.8","65100","198900","926"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2009","year","Yorkshire and The Humber","36","%","4.8","68900","190700","958"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","All","33","%","0.9","773600","2341200","11425"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","East Midlands","35","%","3.8","59900","168900","605"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","East of England","34","%","3.6","65500","194800","679"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","London","33","%","2.7","120800","371900","1174"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","North East","30","%","3","36100","120800","916"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","North West","34","%","2.4","94500","274700","1541"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","Scotland","34","%","2.3","69400","205500","1564"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","South East","36","%","3","95100","266600","996"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","South West","38","%","3.7","60200","158100","669"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","Wales","31","%","2.6","36400","119300","1183"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","West Midlands","27","%","2.7","64300","236200","1025"
"0-3 months","Length of time spent in unemployment","All","All","2010","year","Yorkshire and The Humber","32","%","2.8","71500","224500","1073"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","All","31","%","3.6","128200","410600","1593"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","East Midlands","33","%","13.4","8600","25700","119"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","East of England","36","%","15.8","7900","22200","88"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","London","31","%","5.9","59300","191900","593"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","North East","36","%","20.6","2400","6700","52"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","North West","34","%","11","11100","33000","177"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","Scotland","35","%","23","2900","8300","41"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","South East","39","%","12.9","11500","29800","137"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","South West","30","%","22.4","2300","7900","40"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","Wales","35","%","25.6","1900","5600","33"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","West Midlands","22","%","9","11400","51500","205"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2010","year","Yorkshire and The Humber","32","%","13.9","8900","28000","108"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","All","33","%","1.5","644900","1928200","9821"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","East Midlands","36","%","6.7","51000","142500","484"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","East of England","33","%","6","57500","172600","591"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","London","34","%","6.1","61500","179400","579"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","North East","30","%","4.8","33700","114000","864"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","North West","35","%","4","83400","241600","1362"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","Scotland","34","%","3.8","66500","197100","1522"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","South East","35","%","5","83600","236800","859"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","South West","39","%","6","57800","150000","628"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","Wales","30","%","4.2","34500","113700","1150"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","West Midlands","29","%","4.9","52700","184300","818"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2010","year","Yorkshire and The Humber","32","%","4.6","62600","196200","964"
"0-3 months","Length of time spent in unemployment","All","All","2011","year","All","32","%","0.8","781800","2476600","11504"
"0-3 months","Length of time spent in unemployment","All","All","2011","year","East Midlands","31","%","3.6","57600","187000","623"
"0-3 months","Length of time spent in unemployment","All","All","2011","year","East of England","34","%","3.5","68400","201600","687"
"0-3 months","Length of time spent in unemployment","All","All","2011","year","London","32","%","2.6","129200","405900","1251"
"0-3 months","Length of time spent in unemployment","All","All","2011","year","North East","23","%","2.7","29700","128400","954"
