"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","1485","25"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","0","% of cohort","1700","10"
"Pupil destination after key stage 4 study (Percentage %)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","442055","13275"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","32365","585"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","3290","45"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","5725","80"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","0","% of cohort","4245","20"
"Pupil destination after key stage 4 study (Percentage %)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","1885","35"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","2330","20"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","7525","70"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","6190","140"
"Pupil destination after key stage 4 study (Percentage %)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","4665","25"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","8","% of cohort","115","10"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","5975","55"
"Pupil destination after key stage 4 study (Percentage %)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","0","% of cohort","10135","30"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","24","% of cohort","390","95"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","11600","875"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","7","% of cohort","14760","1060"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","3","% of cohort","11965","340"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","1485","140"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","1","% of cohort","1700","25"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","32365","2730"
"Pupil destination after key stage 4 study (Percentage %)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","442055","40870"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","7","% of cohort","3290","240"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","5725","490"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","4","% of cohort","4245","155"
"Pupil destination after key stage 4 study (Percentage %)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","1885","160"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","2330","190"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","7525","690"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","12","% of cohort","6190","745"
"Pupil destination after key stage 4 study (Percentage %)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","6","% of cohort","4665","275"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","23","% of cohort","115","25"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","6","% of cohort","5975","380"
"Pupil destination after key stage 4 study (Percentage %)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","4","% of cohort","10135","455"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","11600","270"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","9","% of cohort","390","35"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","14760","385"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","11965","210"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","1485","45"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","1700","35"
"Pupil destination after key stage 4 study (Percentage %)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","442055","7995"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","5","% of cohort","32365","1670"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","3290","70"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","5725","130"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","4245","100"
"Pupil destination after key stage 4 study (Percentage %)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","1885","40"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","2330","55"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","7525","125"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","6190","105"
"Pupil destination after key stage 4 study (Percentage %)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","4665","145"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","17","% of cohort","115","20"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","5975","105"
"Pupil destination after key stage 4 study (Percentage %)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","10135","300"
"Pupil destination after key stage 4 study (Percentage %)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","4665","145"
"Pupil destination after key stage 4 study (Percentage %)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","19990","480"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","5","% of cohort","32365","1670"
"Pupil destination after key stage 4 study (Percentage %)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","456050","8360"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","16690","355"
"Pupil destination after key stage 4 study (Percentage %)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","36945","800"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","1700","35"
"Pupil destination after key stage 4 study (Percentage %)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","19990","18175"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","88","% of cohort","16690","14725"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","32365","27965"
"Pupil destination after key stage 4 study (Percentage %)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","456050","405660"
"Pupil destination after key stage 4 study (Percentage %)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","93","% of cohort","36945","34215"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","97","% of cohort","1700","1640"
"Pupil destination after key stage 4 study (Percentage %)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","4665","4250"
"Pupil destination after key stage 4 study (Percentage %)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education","89","% of cohort","19990","17730"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education","83","% of cohort","32365","26770"
"Pupil destination after key stage 4 study (Percentage %)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education","81","% of cohort","456050","370620"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education","84","% of cohort","16690","13940"
"Pupil destination after key stage 4 study (Percentage %)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education","91","% of cohort","36945","33450"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education","95","% of cohort","1700","1620"
"Pupil destination after key stage 4 study (Percentage %)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Education","90","% of cohort","4665","4190"
"Pupil destination after key stage 4 study (Percentage %)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","19990","320"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","32365","610"
"Pupil destination after key stage 4 study (Percentage %)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","5","% of cohort","456050","21490"
"Pupil destination after key stage 4 study (Percentage %)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","16690","495"
"Pupil destination after key stage 4 study (Percentage %)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","36945","465"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","1700","15"
"Pupil destination after key stage 4 study (Percentage %)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","4665","30"
